index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f,ARs
0,2010-05-03 09:48:00,not applicable,not applicable,11065,N,False,8.1633e+20,28.845,134.98,133.31,49.638,0.60317,1228800000000.0,-0.0039025,53.002,5.2722,435220000000.0,1788.8,3.2094e+21,23.156,2.5907,0.0,59.242,0.0,0.0,0.0,11065
1,2010-05-06 15:48:00,not applicable,not applicable,11070,N,False,5.822e+20,35.754,177.8,179.86,93.061,-0.5426,866380000000.0,-0.019,52.781,13.718,422920000000.0,2923.8,2.8035e+21,22.299,5.2632,0.0,36.832,0.0,0.0,0.0,11070
2,2010-05-08 21:48:00,not applicable,not applicable,11071,N,False,6.2034e+20,33.115,169.34,168.54,75.592,-0.48648,896680000000.0,-0.00016845,47.939,0.14268,220850000000.0,2826.8,3.1797e+21,24.89,6.1393,0.0,31.018,0.0,0.0,0.0,11071
3,2010-06-03 06:00:00,not applicable,not applicable,11073,N,False,5.8718e+20,33.531,140.85,135.77,68.475,1.0243,1033200000000.0,0.00061931,45.572,0.60755,543670000000.0,2005.8,2.6132e+21,22.643,3.262,0.0,120.93,0.0,0.0,0.0,11073
4,2010-05-30 18:00:00,not applicable,not applicable,11074,N,False,2.5833e+21,34.14,95.697,97.566,43.267,0.032381,2978000000000.0,-0.0018084,143.9,7.3094,429790000000.0,2414.5,1.2961e+22,26.996,11.603,0.0,50.006,0.0,0.0,0.0,11074
5,2010-06-18 12:48:00,not applicable,not applicable,11083,N,False,3.9694e+20,35.232,139.35,141.73,63.926,-0.49935,972090000000.0,-0.014377,43.997,10.107,190530000000.0,1804.8,1.685e+21,25.426,9.9573,2.1137,47.243,0.0,0.0,0.0,11083
6,2010-06-28 18:00:00,not applicable,not applicable,11085,N,False,8.2798e+20,29.187,137.49,134.32,57.603,1.3157,1369300000000.0,0.0054776,58.945,7.6632,1000400000000.0,1546.6,2.8735e+21,21.163,2.0729,0.0,87.417,0.0,0.0,0.0,11085
7,2010-07-13 15:36:00,not applicable,not applicable,11088,N,False,6.5127e+20,31.266,146.0,145.59,62.791,-0.11007,895570000000.0,0.011603,45.534,10.466,690740000000.0,2427.6,2.908e+21,23.164,2.439,0.0,31.717,0.0,0.0,0.0,11088
8,2010-07-27 15:36:00,not applicable,not applicable,11090,N,False,1.108e+21,28.338,125.26,125.07,46.238,0.9622,1902000000000.0,0.0025103,85.042,4.5813,952300000000.0,1788.1,4.3339e+21,23.464,3.1781,0.0,71.76,0.0,0.0,0.0,11090
9,2010-08-30 05:24:00,not applicable,not applicable,11104,N,False,9.2452e+20,30.301,120.51,121.65,49.102,1.3162,1560400000000.0,0.0073919,66.614,11.694,1117300000000.0,1837.2,3.8598e+21,23.777,2.2124,0.0,97.065,0.0,0.0,0.0,11104
