index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f,ARs
0,2010-05-05 17:13:00,2010-05-05 17:19:00,2010-05-05 17:22:00,11069,M,False,8.9176e+21,39.612,107.32,116.44,58.999,0.078979,13939000000000.0,-0.03,896.51,363.84,13683000000000.0,7730.3,1.2451e+23,32.388,21.166,4.2394,268.99,6354.4,14.651,129.38,11069
1,2010-06-12 00:30:00,2010-06-12 00:57:00,2010-06-12 01:02:00,11081,M,False,3.8976e+21,45.723,126.87,130.26,69.471,-0.33633,7684200000000.0,-0.0047713,356.15,30.121,1151200000000.0,4355.5,3.6516e+22,36.597,27.356,3.3849,130.12,776.27,19.744,95.046,11081
2,2010-06-13 05:30:00,2010-06-13 05:39:00,2010-06-13 05:44:00,11079,M,False,,,,,,,,,,,,,,,,,,,,,
3,2010-08-07 17:55:00,2010-08-07 18:24:00,2010-08-07 18:47:00,11093,M,False,,,,,,,,,,,,,,,,,,,,,
4,2010-10-16 19:07:00,2010-10-16 19:12:00,2010-10-16 19:15:00,11112,M,False,1.2406e+22,37.834,120.86,121.04,58.24,0.39107,20087000000000.0,0.0046543,963.86,95.65,8326900000000.0,3455.8,9.4318e+22,30.131,16.637,3.9211,680.04,828.51,16.82,98.848,11112
5,2010-11-04 23:30:00,2010-11-04 23:58:00,2010-11-05 00:12:00,11121,M,False,,,,,,,,,,,,,,,,,,,,,
6,2010-11-05 12:43:00,2010-11-05 13:29:00,2010-11-05 14:06:00,11121,M,True,,,,,,,,,,,,,,,,,,,,,
7,2010-11-06 15:27:00,2010-11-06 15:36:00,2010-11-06 15:44:00,11121,M,False,,,,,,,,,,,,,,,,,,,,,
8,2011-01-28 00:44:00,2011-01-28 01:03:00,2011-01-28 01:10:00,11149,M,False,,,,,,,,,,,,,,,,,,,,,
9,2011-02-09 01:23:00,2011-02-09 01:31:00,2011-02-09 01:35:00,11153,M,False,,,,,,,,,,,,,,,,,,,,,
10,2011-02-13 17:28:00,2011-02-13 17:38:00,2011-02-13 17:47:00,11158,M,False,1.4563e+22,59.027,122.7,131.83,89.415,0.039439,39447000000000.0,0.027861,2264.2,683.65,19767000000000.0,10826.0,3.5278e+23,48.318,49.491,4.8449,666.88,47158.0,9.7191,155.98,11158
11,2011-02-14 17:20:00,2011-02-14 17:26:00,2011-02-14 17:32:00,11158,M,True,2.3631e+22,59.856,99.616,110.83,72.657,0.15183,51273000000000.0,0.020015,3027.1,736.71,15904000000000.0,16032.0,7.8373e+23,51.209,57.438,4.8401,1031.1,75019.0,8.2361,176.94,11158
12,2011-02-16 07:35:00,2011-02-16 07:44:00,2011-02-16 07:55:00,11161,M,False,,,,,,,,,,,,,,,,,,,,,
13,2011-02-16 14:19:00,2011-02-16 14:25:00,2011-02-16 14:29:00,11158,M,False,2.7965e+22,55.682,99.794,112.69,68.975,0.22993,55456000000000.0,0.024816,3128.0,1027.4,35111000000000.0,14337.0,7.8828e+23,48.407,53.158,4.8022,1099.0,76060.0,9.2973,194.09,11158
14,2011-02-18 09:55:00,2011-02-18 10:11:00,2011-02-18 10:15:00,11158,M,False,3.5656e+22,46.345,93.166,103.79,57.492,0.10324,52168000000000.0,0.013784,3196.4,691.36,21192000000000.0,11008.0,7.3324e+23,39.953,35.594,4.6945,1087.0,27061.0,12.353,218.95,11158
15,2011-02-18 10:23:00,2011-02-18 10:26:00,2011-02-18 10:37:00,11162,M,False,,,,,,,,,,,,,,,,,,,,,
16,2011-02-18 12:59:00,2011-02-18 13:03:00,2011-02-18 13:06:00,11158,M,True,3.6781e+22,45.587,93.471,103.07,56.101,0.096043,52072000000000.0,0.013425,3172.0,694.1,21752000000000.0,10655.0,7.3165e+23,39.275,33.696,4.7215,1086.5,26353.0,12.514,218.48,11158
17,2011-02-18 14:00:00,2011-02-18 14:08:00,2011-02-18 14:15:00,11162,M,True,,,,,,,,,,,,,,,,,,,,,
18,2011-02-18 20:56:00,2011-02-18 21:04:00,2011-02-18 21:14:00,11162,M,True,,,,,,,,,,,,,,,,,,,,,
19,2011-02-24 07:23:00,2011-02-24 07:35:00,2011-02-24 07:42:00,11163,M,False,,,,,,,,,,,,,,,,,,,,,
20,2011-02-28 12:38:00,2011-02-28 12:52:00,2011-02-28 13:03:00,11164,M,False,2.8713e+22,33.632,85.042,90.318,39.969,-0.086874,31935000000000.0,0.011426,1750.2,487.7,23869000000000.0,4586.4,2.5999e+23,27.702,15.139,4.3714,711.99,6716.8,12.333,119.45,11164
21,2011-03-07 05:00:00,2011-03-07 05:13:00,2011-03-07 05:19:00,11164,M,False,6.0393e+22,41.15,91.233,100.01,49.56,-0.13113,76312000000000.0,0.0075353,4229.1,615.01,34306000000000.0,9912.4,1.0744e+24,35.873,29.044,4.8648,1934.4,42963.0,9.1552,192.98,11164
22,2011-03-07 07:49:00,2011-03-07 07:54:00,2011-03-07 07:56:00,11165,M,False,,,,,,,,,,,,,,,,,,,,,
23,2011-03-07 07:59:00,2011-03-07 08:07:00,2011-03-07 08:15:00,11164,M,True,6.1476e+22,40.842,86.86,94.469,47.274,-0.015742,74441000000000.0,0.0063645,4043.4,553.53,32426000000000.0,9035.8,1.0437e+24,35.606,27.816,4.7254,1856.6,26721.0,9.7372,193.84,11164
24,2011-03-07 09:14:00,2011-03-07 09:20:00,2011-03-07 09:28:00,11164,M,True,6.1236e+22,40.608,84.527,92.573,46.16,-0.041329,72333000000000.0,0.005141,3937.8,448.02,27097000000000.0,8942.4,1.035e+24,34.875,27.091,4.6613,1820.2,20710.0,10.073,192.82,11164
25,2011-03-07 13:45:00,2011-03-07 14:30:00,2011-03-07 14:56:00,11166,M,False,2.332e+22,54.613,92.081,96.851,57.779,0.18072,37551000000000.0,-0.0046048,1783.4,174.29,5039000000000.0,10599.0,5.3279e+23,46.444,48.892,4.4104,963.33,18179.0,14.118,252.05,11166
26,2011-03-07 19:43:00,2011-03-07 20:12:00,2011-03-07 20:58:00,11164,M,True,6.1384e+22,39.901,88.235,96.574,47.238,-0.038112,71551000000000.0,0.0026839,4066.8,219.96,14725000000000.0,9241.8,1.0059e+24,34.164,25.564,4.8849,1926.4,37764.0,10.038,193.87,11164
27,2011-03-07 21:45:00,2011-03-07 21:50:00,2011-03-07 21:55:00,11165,M,True,,,,,,,,,,,,,,,,,,,,,
28,2011-03-08 02:24:00,2011-03-08 02:29:00,2011-03-08 02:32:00,11165,M,True,,,,,,,,,,,,,,,,,,,,,
29,2011-03-08 03:37:00,2011-03-08 03:58:00,2011-03-08 04:20:00,11171,M,False,,,,,,,,,,,,,,,,,,,,,
30,2011-03-08 10:35:00,2011-03-08 10:44:00,2011-03-08 10:55:00,11165,M,True,,,,,,,,,,,,,,,,,,,,,
31,2011-03-08 18:08:00,2011-03-08 18:28:00,2011-03-08 18:41:00,11165,M,True,,,,,,,,,,,,,,,,,,,,,
32,2011-03-08 19:46:00,2011-03-08 20:16:00,2011-03-08 21:19:00,11165,M,True,,,,,,,,,,,,,,,,,,,,,
33,2011-03-09 10:35:00,2011-03-09 11:07:00,2011-03-09 11:21:00,11166,M,False,3.0719e+22,57.301,101.41,108.59,70.878,0.40291,60777000000000.0,-0.0037955,2995.8,181.56,9991100000000.0,15013.0,9.5371e+23,49.622,54.922,4.6618,1407.7,51049.0,10.692,228.79,11166
34,2011-03-09 13:17:00,2011-03-09 14:02:00,2011-03-09 14:13:00,11166,M,True,3.0778e+22,58.258,99.113,105.76,70.262,0.28981,58137000000000.0,-0.0047474,2971.7,223.93,7377400000000.0,15312.0,9.5925e+23,50.276,55.776,4.6109,1408.9,53641.0,10.348,228.84,11166
