parameter,f_score,f_score_norm
TOTUSJZ,721.5896381,1
TOTUSJH,679.3315897,0.941303744
R_VALUE,570.744057,0.790476106
AREA_ACR,548.9725893,0.760235626
SAVNCPP,512.0741135,0.708983794
USFLUX,504.893162,0.699009482
TOTPOT,400.3560952,0.553807925
ABSNJZH,396.8827471,0.548983458
MEANPOT,367.714209,0.508468478
d_l_f,212.9259921,0.293468279
g_s,192.3992972,0.264956784
SHRGT45,164.6265139,0.226380502
MEANSHR,161.3819291,0.221873787
MEANGBT,101.6062221,0.138845574
MEANGAM,79.25071143,0.107793862
MEANGBZ,29.27804193,0.038382028
MEANJZD,10.49301641,0.012289705
MEANJZH,4.186578086,0.003530088
slf,2.132323718,0.000676737
MEANGBH,1.645110582,0
