parameter,f_score,f_score_norm
TOTUSJZ,1011.820679,1
TOTUSJH,1005.187379,0.993442526
SAVNCPP,777.2709748,0.768131476
USFLUX,745.97666,0.737194892
AREA_ACR,690.9206806,0.682768268
R_VALUE,653.9537882,0.64622395
ABSNJZH,623.0127356,0.615636591
TOTPOT,615.6527127,0.608360702
MEANPOT,532.750799,0.526406455
g_s,307.0209683,0.303256983
SHRGT45,252.3508794,0.249211838
MEANSHR,251.9891339,0.248854227
MEANGBT,189.6954463,0.18727263
d_l_f,157.7080179,0.155650856
MEANGAM,126.8161618,0.12511213
MEANGBZ,82.47597702,0.081278806
MEANJZD,38.98646971,0.038286435
MEANJZH,5.776612822,0.005456206
slf,1.718083125,0.00144407
MEANGBH,0.257314522,0
