parameter,B,C,M,X
ABSNJZH,80.62747487706672,139.92405961165818,560.463134229183,482.64148067249675
AREA_ACR,262.0302733104403,1034.2621095677573,1704.9034270408204,2313.6394466317943
MEANGAM,11.934586108656273,10.109883868590472,7.473155948446938,5.808976477883989
MEANGBH,17.02536859042237,13.401672602738408,11.520748028673738,7.933341507383807
MEANGBT,27.150560003729318,19.891557271561027,12.802731852829588,10.718198705782571
MEANGBZ,27.174921934574538,19.810048978117003,11.903521040573464,9.714630971645644
MEANJZD,0.24064416495152197,0.23099866132199848,0.1692336189190738,0.105971427790157
MEANJZH,0.00605592974488705,0.005863625139205953,0.0123151184044976,0.009962524129079312
MEANPOT,2500.5523762123485,3397.867580619081,4650.621605150031,4172.059374573127
MEANSHR,9.523188855767186,8.611333054011364,6.579101830223368,6.090514919863502
R_VALUE,1.09739867550166,0.9177634422037464,1.0254273780828236,0.35119877322676524
SAVNCPP,2365740391724.375,6055378657408.593,18482665543828.35,16434554022347.607
SHRGT45,13.83879802509987,14.100827609172196,12.040754160981052,10.227790951180033
TOTPOT,8.413343777382212e+22,3.787206552587861e+23,1.369581411896122e+24,1.9634553545945987e+24
TOTUSJH,385.25592861250396,1425.969514967946,3520.509986994449,4272.262479905696
TOTUSJZ,7693666086385.704,29195155651279.367,58017021085941.05,76329373533819.11
USFLUX,5.76602972602271e+21,1.9848675250261125e+22,4.7100227917325785e+22,5.785734811759606e+22
