parameter,B,M,X
TOTUSJH,397.64180693069306,4044.1005512195125,4556.775555555555
USFLUX,6.229896544554456e+21,4.898615979094077e+22,5.7362140740740736e+22
TOTUSJZ,7954509900990.099,69491720034843.2,81925896296296.3
R_VALUE,3.1664841584158405,4.472999303135889,4.671848148148148
TOTPOT,7.054551722772279e+22,1.1671587482578397e+24,1.5862426481481485e+24
AREA_ACR,228.78924851485147,1861.7708292682928,2399.517888888889
SAVNCPP,2056988118811.881,21968917142857.145,25021045555555.555
ABSNJZH,46.244616336633676,585.8292672473867,687.3620222222221
MEANPOT,4757.811881188119,10780.14993031359,10633.25185185185
SHRGT45,21.26624287128713,33.45867351916376,32.52624444444445
