parameter,B,M,X
TOTUSJH,395.8888678699674,2283.663873577236,3081.4666666666667
USFLUX,6.347303567752443e+21,3.2034186260162602e+22,4.421455555555555e+22
TOTUSJZ,8079578769837.134,42959788292682.93,54624444444444.445
R_VALUE,2.8330638436482083,4.213673577235773,4.680933333333333
TOTPOT,7.127961789928339e+22,5.913879993902439e+23,9.141211111111111e+23
AREA_ACR,266.2781394136808,1267.086961382114,1717.3886666666667
SAVNCPP,2089001671804.5603,13202463780487.805,26600677777777.777
ABSNJZH,49.39188842697069,333.2798699186992,681.3711111111111
MEANPOT,4290.003029315962,7410.851097560976,9174.655555555555
SHRGT45,17.841211068403908,26.069600162601624,28.45411111111111
