,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,AR_class,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
0,2016-04-04 19:24:00,2016-04-04 19:36:00,2016-04-04 19:48:00,12528,B,4.1,False,0,41.999,125.88,54.529,91.516,138.15,142.51,0.48288,0.014726,5548.6,39.695,3.5884,1812700000000.0,36.045,2.1016e+22,232.1,4293500000000.0,1.5147e+21,90.059,241.9,21.603
1,2017-12-23 20:24:00,2017-12-23 20:36:00,2017-12-23 20:36:00,12692,B,1.0,False,0,59.737,479.87,48.614,74.676,128.85,132.61,0.072659,0.0039093,6560.5,37.658,4.1456,5061300000000.0,33.25,1.3314e+23,993.02,19299000000000.0,1.0067e+22,211.66,3774.2,24.3
2,2011-08-13 14:24:00,2011-08-13 14:24:00,2011-08-13 14:24:00,11269,B,1.6,False,0,7.5936,78.494,33.046,67.508,148.66,148.38,0.81632,0.0047253,2394.5,23.628,0.0,708500000000.0,5.4138,5.1103e+21,88.272,1744300000000.0,1.0759e+21,0.0,0.0,0.0
3,2017-12-25 07:00:00,2017-12-25 07:12:00,2017-12-25 07:24:00,12692,B,1.6,False,0,1.1886,441.68,49.453,73.813,125.78,125.33,0.23077,9.5021e-05,5107.5,38.165,3.4187,1469700000000.0,31.945,8.4849e+22,678.52,13893000000000.0,7.4284e+21,227.63,1542.1,31.16
4,2011-08-11 22:48:00,2011-08-11 23:00:00,2011-08-11 23:24:00,11266,B,6.8,False,0,28.046,256.03,29.693,53.549,135.39,135.03,-0.0096895,-0.0036757,2229.5,23.866,0.0,747360000000.0,4.2983,2.2595e+22,343.95,7087100000000.0,5.1111e+21,44.407,0.0,20.778
5,2019-04-08 22:12:00,2019-04-08 22:24:00,2019-04-08 22:24:00,12738,B,1.7,False,0,68.861,722.38,49.014,28.916,49.527,61.504,0.064793,-0.0021618,13146.0,42.653,4.9562,2562800000000.0,42.053,5.5615e+23,891.98,14789000000000.0,2.1435e+22,472.25,80352.0,23.154
6,2016-04-01 03:36:00,2016-04-01 03:36:00,2016-04-01 03:36:00,12526,B,1.0,False,0,64.181,462.29,63.523,51.671,70.49,71.906,-0.016786,0.0054075,21390.0,54.536,2.6318,323180000000.0,66.647,3.3719e+23,451.78,10200000000000.0,7.9427e+21,0.0,0.0,0.0
7,2016-04-27 13:12:00,2016-04-27 13:12:00,2016-04-27 13:24:00,12532,B,5.7,False,0,63.678,295.12,25.401,34.929,86.411,90.106,-0.24272,0.0037152,2013.7,19.961,3.5695,2928100000000.0,2.987,4.584e+22,564.33,10336000000000.0,1.2502e+22,0.0,0.0,0.0
8,2018-04-14 00:00:00,2018-04-14 00:12:00,2018-04-14 00:12:00,12704,B,1.0,False,0,29.379,116.83,31.723,51.552,111.0,110.7,-0.096134,0.0049896,2940.6,25.972,0.0,1012700000000.0,5.8764,2.2994e+22,272.59,4518500000000.0,4.3846e+21,70.841,132.76,22.127
9,2013-08-08 17:48:00,2013-08-08 19:24:00,2013-08-08 19:24:00,11810,B,4.1,False,0,79.404,269.32,33.638,57.123,133.16,135.32,0.43799,0.011107,2852.6,27.138,3.092,3526000000000.0,9.8196,2.7083e+22,358.92,7016600000000.0,4.8275e+21,0.0,0.0,0.0
10,2017-04-10 21:12:00,2017-04-10 21:12:00,2017-04-10 21:24:00,12650,B,1.6,False,0,74.367,243.95,32.255,32.208,64.321,69.238,-0.034553,0.0040428,2955.6,24.735,3.2912,4418400000000.0,13.307,7.2208e+22,477.27,9041200000000.0,1.2664e+22,0.0,0.0,0.0
11,2016-03-26 23:12:00,2016-03-26 23:12:00,2016-03-26 23:24:00,12526,B,1.9,False,0,88.97,514.45,44.808,33.141,62.227,67.62,-0.077332,-0.0034061,11227.0,36.147,4.0418,1057100000000.0,35.519,3.8947e+23,855.87,16406000000000.0,1.7926e+22,37.202,0.0,3.1227
