,time_start,time_peak,time_end,nar,xray_class,magnitude,COINCIDENCE,AR_class,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
0,2016-04-04 19:24:00,2016-04-04 19:36:00,2016-04-04 19:48:00,12528,B,4.1,False,0,41.999,125.88,54.529,91.516,138.15,142.51,0.48288,0.014726,5548.6,39.695,3.5884,1812700000000.0,36.045,2.1016e+22,232.1,4293500000000.0,1.5147e+21,90.059,241.9,21.603
1,2017-12-23 20:24:00,2017-12-23 20:36:00,2017-12-23 20:36:00,12692,B,1.0,False,0,59.737,479.87,48.614,74.676,128.85,132.61,0.072659,0.0039093,6560.5,37.658,4.1456,5061300000000.0,33.25,1.3314e+23,993.02,19299000000000.0,1.0067e+22,211.66,3774.2,24.3
2,2021-02-18 13:24:00,2021-02-18 13:24:00,2021-02-18 13:36:00,12803,B,1.0,False,0,0.0,24.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993,0.0,0.0,0.0,0.0,0.0,0.0,3.9584,0.0,0.83858
3,2021-02-19 14:36:00,2021-02-19 14:36:00,2021-02-19 14:48:00,12803,B,1.1,False,0,0.0,24.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993,0.0,0.0,0.0,0.0,0.0,0.0,3.9584,0.0,0.83858
4,2011-08-13 14:24:00,2011-08-13 14:24:00,2011-08-13 14:24:00,11269,B,1.6,False,0,7.5936,78.494,33.046,67.508,148.66,148.38,0.81632,0.0047253,2394.5,23.628,0.0,708500000000.0,5.4138,5.1103e+21,88.272,1744300000000.0,1.0759e+21,0.0,0.0,0.0
5,2016-11-27 19:12:00,2016-11-27 19:12:00,2016-11-27 19:24:00,12613,B,2.0,False,0,0.00041804,0.0,0.0,26.125,40.322,38.099,0.15941,-0.00041804,208.61,19.013,0.0,81622000.0,0.0,2.7704e+17,0.00041804,21170000.0,2.7715e+17,0.0,0.0,0.0
6,2020-11-03 21:12:00,2020-11-03 21:12:00,2020-11-03 21:24:00,12780,B,4.7,False,0,3.4015,48.298,22.723,30.938,98.744,99.354,-0.85888,-0.0011044,1177.1,17.997,0.0,1368900000000.0,0.58442,4.8146e+21,101.9,1995200000000.0,2.0763e+21,0.0,0.0,0.0
7,2021-07-21 02:00:00,2021-07-21 02:00:00,2021-07-21 02:12:00,12847,B,3.3,False,0,0.0,19.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4743,0.0,0.0,0.0,0.0,0.0,0.0,17.357,2710.3,2.3637
8,2021-09-03 09:36:00,2021-09-03 09:36:00,2021-09-03 09:36:00,12863,B,2.9,False,0,85.011,261.41,47.796,68.888,122.61,132.05,-0.12679,0.0096593,7855.9,38.212,4.1714,3079400000000.0,33.746,9.1821e+22,580.92,10750000000000.0,6.3149e+21,94.709,3219.7,12.36
10,2017-12-25 07:00:00,2017-12-25 07:12:00,2017-12-25 07:24:00,12692,B,1.6,False,0,1.1886,441.68,49.453,73.813,125.78,125.33,0.23077,9.5021e-05,5107.5,38.165,3.4187,1469700000000.0,31.945,8.4849e+22,678.52,13893000000000.0,7.4284e+21,227.63,1542.1,31.16
11,2017-01-16 01:36:00,2017-01-16 01:36:00,2017-01-16 01:48:00,12626,B,1.3,False,0,84.607,392.84,44.674,39.647,78.08,82.231,-0.0173,-0.003755,8206.7,37.897,4.0296,2099900000000.0,34.863,2.456e+23,744.68,15313000000000.0,1.4183e+22,423.03,0.0,36.466
12,2020-01-25 07:00:00,2020-01-25 07:12:00,2020-01-25 07:12:00,12757,B,1.1,False,0,0.45996,4.6763,37.644,52.076,119.43,113.86,-0.47085,-0.0019656,2357.2,33.381,1.87,110120000000.0,24.786,7.3254e+20,8.8546,247140000000.0,1.108e+20,0.0,0.0,0.0
13,2011-08-11 22:48:00,2011-08-11 23:00:00,2011-08-11 23:24:00,11266,B,6.8,False,0,28.046,256.03,29.693,53.549,135.39,135.03,-0.0096895,-0.0036757,2229.5,23.866,0.0,747360000000.0,4.2983,2.2595e+22,343.95,7087100000000.0,5.1111e+21,44.407,0.0,20.778
