T_REC,NOAA_AR,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2010.05.04_17:24:00.000_TAI,11069,720.336,7.2655e+22,13373000000000.0,240.63,9859000000000.0,5.9875e+21,171.01,5501.1,4.0721,25.269,-0.3687019193424324,5229536593.483387,-1018.8525657968606,1216.566630362739
2010.08.06_18:24:00.000_TAI,11093,942.902,2.2452e+23,19542000000000.0,142.55,2124900000000.0,1.628e+22,470.63,6295.1,3.8181,19.619,-0.3066304182256304,14440870563.459549,-2339.814305641651,2342.365915077236
2010.10.15_19:12:00.000_TAI,11112,855.488,7.3953e+22,18649000000000.0,10.009,7092100000000.0,1.1044e+22,703.61,2971.2,3.7072,12.117,-0.454163945411238,7179321730.79921,-1722.9345667881744,2389.672058940356
2011.02.08_01:36:00.000_TAI,11153,536.2719999999998,6.688e+22,10166000000000.0,35.038,1490900000000.0,1.0171e+22,240.66,3373.1,3.7818,11.46,-0.54861213040489,7219961412.515813,-2093.0180313980604,1178.7999591721389
2011.02.12_17:36:00.000_TAI,11158,497.171,6.7625e+22,11105000000000.0,15.378,1266400000000.0,5.4665e+21,302.57,5202.9,3.4732,34.474,-0.28255439118425,5323465639.08771,-794.8207127950978,984.1588183661648
2011.02.13_17:24:00.000_TAI,11158,2627.275,5.7933e+23,45529000000000.0,736.12,19789000000000.0,1.8798e+22,837.61,14078.0,4.8027,55.601,-0.0314953514029192,27527128903.24016,-458.12078302699854,3577.874110498901
2011.10.01_14:00:00.000_TAI,11302,2922.304,9.2958e+23,59957000000000.0,671.42,27251000000000.0,3.8453e+22,1618.3,11640.0,4.6376,42.672,-0.0609103266506883,33741086346.97802,-1085.9820348469316,3826.89829817622
2011.02.15_07:48:00.000_TAI,11161,877.3589999999997,8.4031e+22,16512000000000.0,141.61,4169400000000.0,1.1715e+22,356.13,3735.9,4.1725,14.595,-0.5181944068678865,9015392531.740808,-2468.59567199102,1901.3384824767968
2011.02.15_14:24:00.000_TAI,11158,3013.313,8.2927e+23,52287000000000.0,1001.4,29799000000000.0,2.6059e+22,1096.3,14985.0,4.8609,57.563,-0.0397890587348193,37892726256.88918,-796.6953183841432,4428.5126077627065
2015.06.23_15:24:00.000_TAI,12371,3013.4040000000005,1.3225e+24,60429000000000.0,731.41,23761000000000.0,3.8782e+22,1801.8,17024.0,4.677,56.985,-0.2303579866741237,37724957271.72985,-4592.030039495076,5002.580592258692
2011.02.17_10:24:00.000_TAI,11162,1263.017,2.851e+23,25572000000000.0,161.97,5440700000000.0,1.4898e+22,720.14,8984.4,4.0184,38.75,-0.2101540960431289,17050543017.378609,-1893.427791922378,2518.405166284095
2014.07.29_22:00:00.000_TAI,12130,3153.0959999999995,7.4661e+23,58379000000000.0,40.185,5360300000000.0,5.4818e+22,1602.9,7199.0,0.0,25.447,-0.2287156458225893,38739559478.547134,-4681.911947032849,5103.712497092652
