T_REC,NOAA_AR,SAVNCPP,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2010.05.04_17:24:00.000_TAI,11069,9859024000000.0,5501.1,-0.3687019193424324,5229536593.483387,-1018.8525657968606,1216.566630362739
2010.08.06_18:24:00.000_TAI,11093,2124900000000.0,6295.1,-0.3066304182256304,14440870563.459549,-2339.814305641651,2342.365915077236
2010.10.15_19:12:00.000_TAI,11112,7092123000000.0,2971.2,-0.454163945411238,7179321730.79921,-1722.9345667881744,2389.672058940356
2011.02.08_01:36:00.000_TAI,11153,1490940000000.0,3373.1,-0.54861213040489,7219961412.515813,-2093.0180313980604,1178.7999591721389
2011.02.12_17:36:00.000_TAI,11158,1266448000000.0,5202.9,-0.28255439118425,5323465639.08771,-794.8207127950978,984.1588183661648
2013.10.21_09:24:00.000_TAI,11875,19789300000000.0,6851.8,-0.0314953514029192,27527128903.24016,-458.12078302699854,3577.874110498901
2011.03.11_22:48:00.000_TAI,11166,13440820000000.0,11368.0,-0.0609103266506883,33741086346.97802,-1085.9820348469316,3826.89829817622
2011.02.15_07:48:00.000_TAI,11161,4169352000000.0,3735.9,-0.5181944068678865,9015392531.740808,-2468.59567199102,1901.3384824767968
2013.05.16_22:12:00.000_TAI,11748,29798980000000.0,5812.7,-0.0397890587348193,37892726256.88918,-796.6953183841432,4428.5126077627065
2011.02.17_10:00:00.000_TAI,11158,29310650000000.0,10860.0,-0.2303579866741237,37724957271.72985,-4592.030039495076,5002.580592258692
2011.02.17_10:24:00.000_TAI,11162,5440717000000.0,8984.4,-0.2101540960431289,17050543017.378609,-1893.427791922378,2518.405166284095
2011.02.17_13:00:00.000_TAI,11158,26021830000000.0,10909.0,-0.2287156458225893,38739559478.547134,-4681.911947032849,5103.712497092652
2011.02.17_14:12:00.000_TAI,11162,4801238000000.0,9608.0,-0.1983586270788618,16463349029.659103,-1725.6070234527267,2486.3022397528616
2014.12.15_13:48:00.000_TAI,12241,6402945000000.0,6587.2,-0.2196250019339963,17128337780.68236,-1987.7861313397093,2562.594170430419
2014.03.03_04:00:00.000_TAI,11991,24463580000000.0,13425.0,-0.4322801897781458,18631190128.917816,-4255.774757854888,3602.455884036854
2011.03.06_05:12:00.000_TAI,11164,51526810000000.0,11872.0,-0.2069168797023859,64408721903.71484,-7042.279768949809,8699.150947065571
2011.03.06_08:00:00.000_TAI,11165,9138532000000.0,5381.1,-0.444187994721952,25202455656.06721,-5915.375595873779,4215.227279892364
2012.07.05_20:24:00.000_TAI,11515,39328250000000.0,13256.0,-0.2099883276140116,65019425622.8269,-7214.57952528752,8824.855135635786
2011.03.06_09:12:00.000_TAI,11164,38011460000000.0,11898.0,-0.1988388645027536,64023561614.35407,-6726.880581015983,8355.941561317488
2011.03.06_20:00:00.000_TAI,11164,35363190000000.0,9963.0,-0.2632894439625664,64400741378.27957,-8959.773814594962,8581.354267421399
2011.03.06_21:48:00.000_TAI,11165,3133314000000.0,6491.2,-0.4123671227548672,39297156339.9206,-8562.842181507018,5684.454202608051
2011.03.07_13:24:00.000_TAI,11165,18440030000000.0,8830.7,-0.3843613573867358,43329191761.959946,-8800.209559217561,5748.148331329677
2014.06.11_12:48:00.000_TAI,12089,10215920000000.0,4986.6,-0.0546348284423162,45491552594.58197,-1313.327493524958,5103.55852017859
2014.05.05_23:24:00.000_TAI,12055,5081225000000.0,10262.0,-0.1067800245543301,52872396115.95589,-2983.264110611061,6019.909779529228
2011.03.13_19:36:00.000_TAI,11169,29067470000000.0,8589.2,-0.2701735137080562,23529897104.33033,-3359.1976296465755,3677.4397613119295
2014.10.22_00:12:00.000_TAI,12192,15442550000000.0,18882.0,-0.3332211620544619,23064776130.37961,-4061.2011966983055,3807.4942546977727
2011.03.24_23:24:00.000_TAI,11176,5857979000000.0,6282.9,-0.3426350883960802,48395467327.99325,-8762.12120113241,7473.084131602039
2011.09.22_10:48:00.000_TAI,11302,13891520000000.0,13141.0,-0.2179877980563308,25667546759.75276,-2956.577178216417,5247.2901399080765
2011.04.21_04:48:00.000_TAI,11195,15136010000000.0,3863.0,-0.5168982946322996,34123508611.27331,-9320.335983712412,6642.837547758863
2011.04.21_15:48:00.000_TAI,11195,16031860000000.0,3320.4,-0.5060616183812865,35569116010.10174,-9511.504228071532,7442.991513577383
2011.06.06_06:36:00.000_TAI,11226,19693860000000.0,3703.9,-0.4558865059368672,16334165387.872189,-3934.834978591404,4021.683731244969
2011.07.26_16:00:00.000_TAI,11260,15544250000000.0,5375.5,-0.4271314797233473,12329043274.387497,-2782.683797774805,2673.170516129158
2011.07.29_02:12:00.000_TAI,11261,1770517000000.0,7750.7,-0.288350706887546,23821150410.70581,-3629.581528053551,3647.566077559648
2012.11.26_20:36:00.000_TAI,11620,6192685000000.0,10335.0,-0.0477640672611647,30248562887.57112,-763.4469578645561,5008.848419270242
2011.08.02_03:36:00.000_TAI,11261,42305070000000.0,13596.0,-0.0313434251396348,27774036410.81612,-460.000509015127,4026.595818770285
2013.08.16_15:12:00.000_TAI,11818,27880980000000.0,14436.0,-0.0323837195318815,51807274793.67288,-886.5237180768178,3878.369126414296
2011.08.02_13:48:00.000_TAI,11261,44606710000000.0,12063.0,-0.0598191891681746,25531531904.11063,-807.0310628119998,3979.908633526136
2011.08.03_03:48:00.000_TAI,11261,44322640000000.0,12052.0,-0.096059911167252,27764659529.97798,-1409.312643458435,4414.785641455149
2011.08.07_18:12:00.000_TAI,11263,46627800000000.0,12023.0,-0.176643324941946,44393052964.99416,-4143.669640303072,4906.310625317463
2011.08.08_03:48:00.000_TAI,11263,38380550000000.0,10685.0,-0.2410205429197061,43365415255.21529,-5522.941060285869,4740.769940067825
2011.08.08_08:00:00.000_TAI,11263,35459330000000.0,9830.8,-0.2437968217313735,41477582308.92304,-5343.358386140757,4303.69624301685
