T_REC,NOAA_AR,USFLUX,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2010.05.04_17:24:00.000_TAI,11069,5.987544e+21,5501.1,-0.3687019193424324,5229536593.483387,-1018.8525657968606,1216.566630362739
2013.10.14_03:00:00.000_TAI,11865,1.628014e+22,6627.5,-0.3066304182256304,14440870563.459549,-2339.814305641651,2342.365915077236
2010.10.15_19:12:00.000_TAI,11112,1.104408e+22,2971.2,-0.454163945411238,7179321730.79921,-1722.9345667881744,2389.672058940356
2011.02.08_01:36:00.000_TAI,11153,1.017101e+22,3373.1,-0.54861213040489,7219961412.515813,-2093.0180313980604,1178.7999591721389
2011.02.12_17:36:00.000_TAI,11158,5.466512e+21,5202.9,-0.28255439118425,5323465639.08771,-794.8207127950978,984.1588183661648
2011.02.13_17:24:00.000_TAI,11158,1.879846e+22,14078.0,-0.0314953514029192,27527128903.24016,-458.12078302699854,3577.874110498901
2011.02.14_01:48:00.000_TAI,11158,2.234685e+22,15349.0,-0.0609103266506883,33741086346.97802,-1085.9820348469316,3826.89829817622
2011.02.15_07:48:00.000_TAI,11161,1.171459e+22,3735.9,-0.5181944068678865,9015392531.740808,-2468.59567199102,1901.3384824767968
2016.02.12_11:36:00.000_TAI,12497,2.605934e+22,5761.0,-0.0397890587348193,37892726256.88918,-796.6953183841432,4428.5126077627065
2015.01.25_06:12:00.000_TAI,12268,3.14651e+22,10706.0,-0.2303579866741237,37724957271.72985,-4592.030039495076,5002.580592258692
2011.02.08_10:36:00.000_TAI,11153,1.489751e+22,5590.5,-0.2101540960431289,17050543017.378609,-1893.427791922378,2518.405166284095
2011.02.17_13:00:00.000_TAI,11158,3.25141e+22,10909.0,-0.2287156458225893,38739559478.547134,-4681.911947032849,5103.712497092652
2011.02.17_14:12:00.000_TAI,11162,1.408307e+22,9608.0,-0.1983586270788618,16463349029.659103,-1725.6070234527267,2486.3022397528616
2011.02.17_21:00:00.000_TAI,11162,1.516475e+22,8282.0,-0.2196250019339963,17128337780.68236,-1987.7861313397093,2562.594170430419
2011.02.27_12:48:00.000_TAI,11164,2.449318e+22,5376.1,-0.4322801897781458,18631190128.917816,-4255.774757854888,3602.455884036854
2011.03.06_05:12:00.000_TAI,11164,5.405605e+22,11872.0,-0.2069168797023859,64408721903.71484,-7042.279768949809,8699.150947065571
2011.03.06_08:00:00.000_TAI,11165,2.942691e+22,5381.1,-0.444187994721952,25202455656.06721,-5915.375595873779,4215.227279892364
2014.07.31_07:00:00.000_TAI,12130,5.712703e+22,6289.6,-0.2099883276140116,65019425622.8269,-7214.57952528752,8824.855135635786
2014.12.14_16:24:00.000_TAI,12242,5.421441e+22,5357.6,-0.1988388645027536,64023561614.35407,-6726.880581015983,8355.941561317488
2012.05.07_09:48:00.000_TAI,11476,6.035676e+22,11418.0,-0.2632894439625664,64400741378.27957,-8959.773814594962,8581.354267421399
2011.03.06_21:48:00.000_TAI,11165,4.383901e+22,6491.2,-0.4123671227548672,39297156339.9206,-8562.842181507018,5684.454202608051
2011.03.07_02:24:00.000_TAI,11165,4.623613e+22,7481.2,-0.3843613573867358,43329191761.959946,-8800.209559217561,5748.148331329677
2011.03.08_23:12:00.000_TAI,11166,3.071002e+22,15412.0,-0.0546348284423162,45491552594.58197,-1313.327493524958,5103.55852017859
2011.03.11_04:48:00.000_TAI,11166,3.872077e+22,14345.0,-0.1067800245543301,52872396115.95589,-2983.264110611061,6019.909779529228
2013.10.21_04:36:00.000_TAI,11875,2.288074e+22,5831.6,-0.2701735137080562,23529897104.33033,-3359.1976296465755,3677.4397613119295
2015.08.19_14:48:00.000_TAI,12403,2.383095e+22,4989.9,-0.3332211620544619,23064776130.37961,-4061.2011966983055,3807.4942546977727
2011.03.24_23:24:00.000_TAI,11176,5.419468e+22,6282.9,-0.3426350883960802,48395467327.99325,-8762.12120113241,7473.084131602039
2011.04.14_17:12:00.000_TAI,11190,2.458537e+22,7896.7,-0.2179877980563308,25667546759.75276,-2956.577178216417,5247.2901399080765
2011.04.21_04:48:00.000_TAI,11195,4.731241e+22,3863.0,-0.5168982946322996,34123508611.27331,-9320.335983712412,6642.837547758863
2011.04.21_15:48:00.000_TAI,11195,5.190915e+22,3320.4,-0.5060616183812865,35569116010.10174,-9511.504228071532,7442.991513577383
2014.02.24_13:48:00.000_TAI,11990,2.38494e+22,6909.0,-0.4558865059368672,16334165387.872189,-3934.834978591404,4021.683731244969
2011.07.26_16:00:00.000_TAI,11260,1.48331e+22,5375.5,-0.4271314797233473,12329043274.387497,-2782.683797774805,2673.170516129158
2011.07.29_02:12:00.000_TAI,11261,2.433346e+22,7750.7,-0.288350706887546,23821150410.70581,-3629.581528053551,3647.566077559648
2011.08.01_06:24:00.000_TAI,11261,2.320127e+22,12170.0,-0.0477640672611647,30248562887.57112,-763.4469578645561,5008.848419270242
2011.08.02_03:36:00.000_TAI,11261,2.037682e+22,13596.0,-0.0313434251396348,27774036410.81612,-460.000509015127,4026.595818770285
2014.12.19_22:00:00.000_TAI,12241,2.862224e+22,16653.0,-0.0323837195318815,51807274793.67288,-886.5237180768178,3878.369126414296
2013.10.12_07:36:00.000_TAI,11865,1.989983e+22,7755.5,-0.0598191891681746,25531531904.11063,-807.0310628119998,3979.908633526136
2011.08.03_03:48:00.000_TAI,11261,2.236081e+22,12052.0,-0.096059911167252,27764659529.97798,-1409.312643458435,4414.785641455149
2011.08.07_18:12:00.000_TAI,11263,3.644354e+22,12023.0,-0.176643324941946,44393052964.99416,-4143.669640303072,4906.310625317463
