index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f
0,2013-01-03 21:01:00,2013-01-03 21:08:00,2013-01-03 21:17:00,11640,B,False,2.42e+22,50.6,90.6,96.1,54.7,-0.133,34900000000000.0,-0.00197,1690.0,70.8,2430000000000.0,10200.0,4.88e+23,43.0,42.1,4.34,892.0,11200.0,16.3,284.0
1,2013-10-06 00:16:00,2013-10-06 00:51:00,2013-10-06 01:03:00,11857,B,False,1.03e+22,41.4,96.1,96.2,44.7,0.0155,13400000000000.0,0.0022,585.0,37.9,2800000000000.0,6910.0,1.58e+23,34.8,27.5,3.66,548.0,0.0,0.0,0.0
2,2021-06-03 01:57:00,2021-06-03 02:05:00,2021-06-03 02:09:00,12829,B,False,9.13e+21,31.9,104.0,106.0,41.2,-0.234,10500000000000.0,0.00161,500.0,23.2,3070000000000.0,2620.0,5.01e+22,25.7,10.2,3.44,202.0,0.0,0.0,0.0
3,2010-07-12 05:54:00,2010-07-12 06:06:00,2010-07-12 06:21:00,11087,B,False,2.27e+22,33.4,105.0,107.0,45.0,0.0104,31500000000000.0,-0.00487,1520.0,167.0,10100000000000.0,4170.0,1.9e+23,28.8,13.2,4.21,1030.0,1100.0,16.1,143.0
4,2018-08-25 08:02:00,2018-08-25 08:13:00,2018-08-25 08:30:00,12720,B,False,,,,,,,,,,,,,,,,,,,,
5,2020-08-03 08:34:00,2020-08-03 08:39:00,2020-08-03 08:46:00,12770,B,False,,,,,,,,,,,,,,,,,,,,
6,2010-10-14 16:58:00,2010-10-14 17:03:00,2010-10-14 17:08:00,11113,B,False,,,,,,,,,,,,,,,,,,,,
7,2018-06-01 04:57:00,2018-06-01 05:04:00,2018-06-01 05:09:00,12712,B,False,1.47e+22,38.4,127.0,126.0,61.1,-0.133,26400000000000.0,0.00102,1180.0,25.2,1780000000000.0,3460.0,1.13e+23,31.3,17.9,4.05,875.0,1580.0,15.2,97.6
8,2010-07-12 11:34:00,2010-07-12 11:39:00,2010-07-12 11:44:00,11087,B,True,2.3e+22,35.1,102.0,103.0,45.7,0.0938,35400000000000.0,-0.00523,1580.0,202.0,11900000000000.0,3610.0,1.85e+23,30.2,14.8,4.03,1040.0,4660.0,9.11,75.4
9,2012-12-15 10:37:00,2012-12-15 10:47:00,2012-12-15 10:52:00,11633,B,False,,,,,,,,,,,,,,,,,,,,
10,2017-06-04 19:00:00,2017-06-04 19:04:00,2017-06-04 19:08:00,12661,B,False,1.21e+22,38.7,120.0,124.0,58.0,0.298,21200000000000.0,0.0168,1100.0,312.0,16700000000000.0,5480.0,1.35e+23,31.7,20.0,4.17,611.0,4430.0,5.95,44.1
11,2016-07-15 03:51:00,2016-07-15 03:54:00,2016-07-15 03:56:00,12565,B,False,,,,,,,,,,,,,,,,,,,,
12,2016-12-30 12:22:00,2016-12-30 12:29:00,2016-12-30 12:39:00,12621,B,False,,,,,,,,,,,,,,,,,,,,
