index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,R_VALUE,AREA_ACR,g_s,slf,d_l_f
0,2010-05-05 17:13:00,2010-05-05 17:19:00,2010-05-05 17:22:00,11069,M,False,1.0499e+22,40.734,97.062,104.67,53.868,-0.085775,14993000000000.0,-0.022928,861.73,340.02,14791000000000.0,6886.3,1.3563e+23,34.185,24.071,4.1728,278.7,4447.8,20.58,157.09
1,2010-06-12 00:30:00,2010-06-12 00:57:00,2010-06-12 01:02:00,11081,M,False,8.2806e+21,42.632,130.68,140.38,71.075,-0.84216,16543000000000.0,0.018983,962.93,226.09,8542900000000.0,5324.7,8.4236e+22,32.781,22.952,4.2123,255.63,1677.0,20.896,134.88
2,2010-06-13 05:30:00,2010-06-13 05:39:00,2010-06-13 05:44:00,11079,M,False,,,,,,,,,,,,,,,,,,,,
3,2010-08-07 17:55:00,2010-08-07 18:24:00,2010-08-07 18:47:00,11093,M,False,1.2362e+22,41.963,96.241,95.579,45.268,-0.040709,18338000000000.0,-0.0064996,865.85,136.34,461780000000.0,8107.5,2.2585e+23,36.255,27.684,3.7183,576.1,0.0,0.0,0.0
4,2010-10-16 19:07:00,2010-10-16 19:12:00,2010-10-16 19:15:00,11112,M,False,1.3475e+22,35.092,122.88,125.38,55.166,0.37892,21030000000000.0,0.0043242,1040.2,91.401,6712000000000.0,3422.5,9.6077e+22,28.826,13.852,4.1634,654.69,632.79,19.026,97.767
5,2010-11-04 23:30:00,2010-11-04 23:58:00,2010-11-05 00:12:00,11121,M,False,,,,,,,,,,,,,,,,,,,,
6,2010-11-05 12:43:00,2010-11-05 13:29:00,2010-11-05 14:06:00,11121,M,True,,,,,,,,,,,,,,,,,,,,
7,2010-11-06 15:27:00,2010-11-06 15:36:00,2010-11-06 15:44:00,11121,M,False,2.7503e+22,28.056,91.519,94.492,36.951,0.050792,29151000000000.0,0.003971,1405.6,163.88,6854600000000.0,2072.3,1.1358e+23,23.353,6.639,3.7741,650.88,107.04,55.855,287.61
8,2011-01-28 00:44:00,2011-01-28 01:03:00,2011-01-28 01:10:00,11149,M,False,,,,,,,,,,,,,,,,,,,,
9,2011-02-09 01:23:00,2011-02-09 01:31:00,2011-02-09 01:35:00,11153,M,False,,,,,,,,,,,,,,,,,,,,
