index,time_start,time_peak,time_end,nar,xray_class,COINCIDENCE
0,2010-05-03 09:48:00,not applicable,not applicable,11065,N,False
1,2010-05-06 15:48:00,not applicable,not applicable,11070,N,False
2,2010-05-08 21:48:00,not applicable,not applicable,11071,N,False
3,2010-06-03 06:00:00,not applicable,not applicable,11073,N,False
4,2010-05-30 18:00:00,not applicable,not applicable,11074,N,False
5,2010-06-18 12:48:00,not applicable,not applicable,11083,N,False
6,2010-06-28 18:00:00,not applicable,not applicable,11085,N,False
7,2010-07-13 15:36:00,not applicable,not applicable,11088,N,False
8,2010-07-27 15:36:00,not applicable,not applicable,11090,N,False
9,2010-08-30 05:24:00,not applicable,not applicable,11104,N,False
10,2010-10-15 19:36:00,not applicable,not applicable,11114,N,False
11,2010-10-18 21:48:00,not applicable,not applicable,11116,N,False
12,2010-10-23 06:00:00,not applicable,not applicable,11118,N,False
13,2010-11-08 20:36:00,not applicable,not applicable,11122,N,False
14,2010-12-26 12:48:00,not applicable,not applicable,11136,N,False
15,2010-12-27 21:12:00,not applicable,not applicable,11137,N,False
16,2011-01-09 20:24:00,not applicable,not applicable,11143,N,False
17,2011-01-10 12:48:00,not applicable,not applicable,11144,N,False
18,2011-01-19 06:36:00,not applicable,not applicable,11148,N,False
19,2011-01-28 22:36:00,not applicable,not applicable,11151,N,False
20,2011-02-09 11:48:00,not applicable,not applicable,11154,N,False
21,2011-02-10 05:48:00,not applicable,not applicable,11155,N,False
22,2011-03-07 03:00:00,not applicable,not applicable,11167,N,False
23,2011-03-05 13:48:00,not applicable,not applicable,11168,N,False
24,2011-03-20 13:36:00,not applicable,not applicable,11174,N,False
25,2011-03-27 01:00:00,not applicable,not applicable,11177,N,False
26,2011-03-24 21:24:00,not applicable,not applicable,11179,N,False
27,2011-04-11 21:24:00,not applicable,not applicable,11187,N,False
28,2011-04-09 03:24:00,not applicable,not applicable,11188,N,False
29,2011-04-10 23:12:00,not applicable,not applicable,11189,N,False
30,2011-04-16 04:48:00,not applicable,not applicable,11192,N,False
31,2011-04-15 10:48:00,not applicable,not applicable,11194,N,False
32,2011-04-25 14:12:00,not applicable,not applicable,11197,N,False
33,2011-04-23 14:12:00,not applicable,not applicable,11198,N,False
34,2011-05-05 09:12:00,not applicable,not applicable,11205,N,False
35,2011-05-08 21:12:00,not applicable,not applicable,11207,N,False
36,2011-05-10 12:48:00,not applicable,not applicable,11209,N,False
37,2011-05-11 05:12:00,not applicable,not applicable,11211,N,False
38,2011-05-14 17:12:00,not applicable,not applicable,11212,N,False
39,2011-05-16 11:12:00,not applicable,not applicable,11215,N,False
40,2011-05-26 22:12:00,not applicable,not applicable,11219,N,False
41,2011-05-23 06:00:00,not applicable,not applicable,11221,N,False
42,2011-05-29 12:00:00,not applicable,not applicable,11222,N,False
43,2011-05-31 09:00:00,not applicable,not applicable,11225,N,False
44,2011-06-03 18:00:00,not applicable,not applicable,11230,N,False
45,2011-06-05 06:00:00,not applicable,not applicable,11231,N,False
46,2011-06-06 16:00:00,not applicable,not applicable,11233,N,False
47,2011-06-20 21:24:00,not applicable,not applicable,11238,N,False
48,2011-07-05 17:00:00,not applicable,not applicable,11246,N,False
