,LD1,xray_class,jitter
2,-1.183950267070922,B,0.6500915416163574
3,-0.9839278191726022,B,0.9174218796341765
5,-1.7024056683129112,B,0.691303128354539
6,-2.4606756655122184,B,0.29875397889610367
8,-1.027432260639363,B,0.2743360058195241
9,-1.6296666003808755,B,0.615024702759585
10,-2.2019309151816864,B,0.3972685456770634
12,-0.36651505043852206,B,0.4805751471939692
13,-1.7619754220365729,B,0.19370489931511525
14,-2.007031531809774,B,0.7738570591080778
17,-1.7507082885353926,B,0.17099484091490336
19,-2.991350451895614,B,0.05312906119706762
20,-2.17557430432984,B,0.7838738613835214
23,-3.178876036202965,B,0.07472522451015118
24,-2.0868186738852645,B,0.7720234051232007
26,-1.849516682880502,B,0.9587844056774466
27,-0.9206802939788616,B,0.12412051426637849
28,-3.390060888056308,B,0.08923382392696022
29,-2.6210767272559354,B,0.8825537247744815
31,-2.6190520970736744,B,0.3489561135875189
33,-1.5352651005296638,B,0.17208397577025103
35,-2.244355651607104,B,0.5830948104935793
37,-2.2619389189862797,B,0.0016623811124439891
38,-1.3265006819247727,B,0.14597428989549388
42,0.08910041453301966,B,0.5989845741157108
44,-1.2991538674798664,B,0.16884286041399277
45,-1.6472855194032985,B,0.25711795607775034
46,-1.1683235002776768,B,0.9916907033285463
50,-2.5799673409794717,B,0.8582964868201495
52,-0.3795193387878187,B,0.17882184484202535
54,-1.8717770129093134,B,0.6615564228803679
57,-2.038559119673024,B,0.25761998849155476
60,-0.8021225911714056,B,0.85525712783121
62,-0.8879455166749562,B,0.6434572149206965
64,-1.1603276030434897,B,0.6189692154426129
65,-1.4496654993513127,B,0.733557344943033
73,-1.4232060542229334,B,0.8532708524361278
74,-2.474164169620138,B,0.8990497881347768
75,-3.4529489631997037,B,0.27401222212305065
76,-1.307985687720547,B,0.7679325083302334
77,-1.1897172074535474,B,0.9484129183746357
78,-1.05633708195319,B,0.9776247302190793
80,-1.4016955833447335,B,0.4232173630170134
81,-2.039690287909084,B,0.24087198070475924
82,-1.1327854451775805,B,0.5699409412019556
87,-2.9524638711845763,B,0.930434485220224
90,-1.5348070635445468,B,0.10303577902681293
92,-2.083282506631847,B,0.9284760669092913
96,-2.863636318006593,B,0.852371037542849
97,0.43440291293031863,B,0.31063712144069155
98,-0.6232588500661314,B,0.008207086242543515
103,-3.056231345347501,B,0.7377137440414159
105,-3.2390546230575943,B,0.615949925694805
107,-2.0124024494282424,B,0.6247665481048054
108,-1.9737910032336796,B,0.5186271454801195
112,-2.52600352837124,B,0.8403127837939941
117,-1.530066808577927,B,0.00969809852865211
118,-0.1816719734185256,B,0.5812105319445433
119,-1.945556902562871,B,0.5306613089170353
120,-1.8056802238282141,B,0.5871391809387595
127,0.47578436437214955,B,0.05328756872125018
132,-2.329033081048395,B,0.7726349231454931
133,-1.09509570724827,B,0.04512085668123145
134,0.09561652749878083,B,0.3391455556384243
135,-2.6555956286715263,B,0.3159639781759047
141,-2.2047592098453093,B,0.17233570249063646
143,-1.7618419592784338,B,0.7787286927964997
