parameter,f_score,f_score_norm
TOTUSJZ,674.5710800705707,1.0
TOTUSJH,669.9673199702331,0.9931538300074078
R_VALUE,576.1579600506384,0.8536515946805218
SAVNCPP,518.3917368000482,0.7677484686304524
USFLUX,497.06145317577557,0.7360285821682385
AREA_ACR,463.92697081088113,0.6867548811189623
ABSNJZH,415.158603809745,0.6142323075108317
TOTPOT,410.34811203453967,0.6070787105111514
MEANPOT,362.84587847036374,0.5364389814808906
g_s,204.6589988445108,0.30120207840314
MEANGBT,191.67474534158342,0.2818934253085892
SHRGT45,190.8829683049006,0.2807159877203525
MEANSHR,189.85427093316764,0.27918623010389887
MEANGBZ,113.16649892630663,0.1651452044923266
d_l_f,105.7511811089242,0.15411801688470644
MEANGAM,92.58879576549748,0.13454446708950812
MEANJZD,77.6619376956298,0.1123470011976344
MEANGBH,12.58022988371762,0.015565147804382604
MEANJZH,3.868361654911125,0.0026098830756449117
slf,2.113325542281563,0.0
