parameter,chi2_score,chi2_score_norm
TOTPOT,1.0564810837732942e+27,1.0
USFLUX,3.367100202062107e+25,0.03187089909869734
TOTUSJZ,5.17718288327425e+16,4.9004028210174746e-11
SAVNCPP,2.3175124575100052e+16,2.193614720703613e-11
g_s,125572487.11619139,1.1885919016301931e-19
TOTUSJH,3224817.8542027264,3.0524131736806856e-21
MEANPOT,2501432.004864908,2.367700630835908e-21
AREA_ACR,1147308.240687295,1.0859703803128532e-21
ABSNJZH,706367.115560558,6.686026376251321e-22
d_l_f,68840.87756161529,6.515952085679924e-23
SHRGT45,4762.3919277836685,4.506768414729056e-24
MEANGBT,1850.096346838524,1.750168579979831e-24
MEANGBZ,1001.3666776154975,9.468132882866465e-25
MEANSHR,983.8244598005217,9.302089040866735e-25
R_VALUE,670.254082413917,6.334024754597957e-25
MEANGAM,526.9087822405755,4.977206328077967e-25
slf,149.86586220300177,1.4083500008928242e-25
MEANGBH,124.09350241813111,1.1644046981258034e-25
MEANJZD,119.05443249008754,1.1167079621838196e-25
MEANJZH,1.076348675464686,0.0
