parameter,f_score,f_score_norm
TOTUSJH,528.7794119211384,1.0
TOTUSJZ,502.29696900949165,0.9498814911903519
SAVNCPP,447.39789401526826,0.8459839850985156
R_VALUE,439.16211361547585,0.830397619675264
MEANPOT,397.04162259723086,0.7506838180744225
ABSNJZH,380.9516969170567,0.7202333386893147
USFLUX,378.17387022182606,0.7149762507325474
TOTPOT,348.3640191413166,0.6585605609497988
AREA_ACR,321.21861708212384,0.6071873897969681
MEANSHR,203.71305109765004,0.3848059515126044
SHRGT45,202.75254472513248,0.3829881755901432
g_s,195.19642915105484,0.3686880883123346
MEANGBT,172.25780473438383,0.32527632098619674
MEANGAM,115.46804557318582,0.21780066043954216
MEANGBZ,82.97463002346727,0.1563062756912257
MEANJZD,49.307447264487735,0.09259051497642126
d_l_f,40.890243698130874,0.07666080288375289
MEANJZH,3.416807485880731,0.005741637714686384
slf,2.1365688733930126,0.0033187626652626404
MEANGBH,0.382946411201897,0.0
