parameter,B,M,X
TOTUSJH,396.32280621588234,3231.5913153846154,4187.948333333334
USFLUX,6.318239574264705e+21,4.116217200750469e+22,5.407524444444444e+22
TOTUSJZ,8048618093970.588,57246213076923.08,75100533333333.33
R_VALUE,2.9156017156862744,4.353310506566605,4.674119444444444
TOTPOT,7.10978919977451e+22,9.014184026266416e+23,1.4182122638888892e+24
AREA_ACR,256.9978012254902,1587.301351782364,2228.985583333333
SAVNCPP,2081076748147.0588,17922861744840.523,25415953611111.11
ABSNJZH,48.61278430656863,469.2680069418387,685.8642944444445
MEANPOT,4405.808651960784,9225.088930581614,10268.602777777778
SHRGT45,18.689074333333334,30.048331969981238,31.50821111111111
