parameter,B,C,M,X
ABSNJZH,27.467655570922197,94.28357314853213,609.2737117581057,516.0868753512078
AREA_ACR,179.03542760224428,1250.942870151786,1960.1327289751205,2316.296383579642
MEANGAM,16.179031854301854,7.686400472072461,7.25892649173667,5.5740172128135805
MEANGBH,21.69618444929434,5.1360117298369,11.08369074053387,7.292834212628764
MEANGBT,37.90489174081924,7.948379002167225,11.716618578898496,10.818146140085126
MEANGBZ,38.51377284427569,7.276918711059338,10.75771093177596,10.011876939207673
MEANJZD,0.12563471276969426,0.20701053384017823,0.13854355242135488,0.08204836562222918
MEANJZH,0.002514998613243779,0.003926938302994478,0.012815774903207731,0.010479275012954552
MEANPOT,2941.4970517987276,3077.5610417108774,4483.089566426405,4201.970933824628
MEANSHR,13.27318989276351,7.092510862254862,6.184158658792283,5.616264166673205
R_VALUE,0.8841923213366226,0.8762868755253926,1.0932322333625013,0.3529224729239142
SAVNCPP,2165508392896.6658,4564125071849.289,19515075602445.48,17312917521224.777
SHRGT45,15.959734334093067,13.674949963913503,11.417410219719462,10.113329566870135
TOTPOT,8.827825625428518e+22,4.48544526240634e+23,1.5981865179179897e+24,1.9635576387641268e+24
TOTUSJH,317.2040462395577,1881.4366124796843,3913.0735255646023,4241.010596317819
TOTUSJZ,6925354823944.756,38857886757392.945,64877570077850.39,75628181979788.66
USFLUX,4.572545652049577e+21,2.0388973622165414e+22,5.5676558988470825e+22,5.800560306407881e+22
