parameter,B,C,M,X
ABSNJZH,66.122574247131,151.37040587190756,452.1321794801376,644.1698053097346
AREA_ACR,338.5006600475995,1267.9834059625755,1690.3363516676943,1836.3306194690265
MEANGAM,36.683366811865085,39.97126707278578,44.162233788912935,45.90547876106194
MEANGBH,51.335251993286676,52.97492334481104,55.71446877056532,55.74697079646018
MEANGBT,105.48941478310618,103.68250561032728,100.56151162220445,96.01220973451325
MEANGBZ,106.79071554417911,106.09023599673243,105.58299693284322,102.0443389380531
MEANJZD,0.05028207980478611,0.13174180966676896,0.07518406242981071,-0.019562064601769957
MEANJZH,0.0025021785242831484,-0.0004858780615205495,0.0019425861204726985,0.0104332895132743
MEANPOT,4267.174004106878,5856.544816737085,9076.445986287601,9357.679734513275
MEANSHR,29.34852097962658,32.39578774956556,36.85979862431424,36.71873761061946
R_VALUE,2.8992312773018596,3.832600965053565,4.32461290839973,4.709694955752212
SAVNCPP,2877244750327.227,7576307850716.825,17576573355662.49,22809159292035.4
SHRGT45,17.65430599338483,23.232631281667253,30.871374840203618,34.06118761061947
TOTPOT,8.180876425779998e+22,3.7706544587404814e+23,8.11459143631299e+23,7.660730973451327e+23
TOTUSJH,540.3047257746616,1916.4132831189283,3190.6743398293906,3225.1988495575224
TOTUSJZ,11132173391777.605,39372545523051.15,59396417123163.52,60175715486725.664
USFLUX,8.2227099506696e+21,2.7576245267317547e+22,4.046246738827669e+22,4.350387168141593e+22
