parameter,B,C,M,X
ABSNJZH,85.19633466710268,144.03523406180096,481.8925816694441,40.6838204287352
AREA_ACR,272.6335423678174,1022.0509374756459,1170.6078856926972,455.2220796537742
MEANGAM,11.341706041965582,10.12777696801209,7.583800805778046,9.879807331700428
MEANGBH,16.39417547101724,13.77619585087648,11.92570327132752,15.529720671089354
MEANGBT,25.207190226094507,20.751166362620484,13.938110573431638,14.21059732683049
MEANGBZ,25.16003967417202,20.670329548309773,13.15019388944505,10.78781754186099
MEANJZD,0.2524772867301632,0.23500346881323925,0.19992209142723308,0.25214145888836226
MEANJZH,0.006418542759691375,0.006038969405381367,0.01150716740517367,0.0023083918252562695
MEANPOT,2453.613618949787,3385.372009129788,4474.901715746178,2331.9529360845636
MEANSHR,8.979788132506085,8.557042492806708,6.797175605025101,10.55828880341319
R_VALUE,1.1215699124785885,0.9270435802170077,0.9126286808443385,0.1649327192875842
SAVNCPP,2400649870743.1094,6178481446419.371,16133067826499.447,5595534950641.021
SHRGT45,13.592507856653139,13.789689749377844,12.411971426195867,14.510379314142929
TOTPOT,8.424144407406547e+22,3.744111061250826e+23,8.405213222050447e+23,7.099790113862342e+22
TOTUSJH,396.67693532601265,1391.0453474913818,2419.8541455946124,41.74595738989849
TOTUSJZ,7855546399870.404,28437818494189.133,40182485038864.64,5505272457143.455
USFLUX,5.948882149303525e+21,1.9919569818694678e+22,2.858409728989759e+22,1.215958967916577e+22
