parameter,f_score,f_score_norm
TOTUSJZ,678.7356777964576,1.0
TOTUSJH,664.8746044039583,0.979567279648052
SAVNCPP,626.0900930389024,0.9223947178796418
AREA_ACR,490.39280727002796,0.7223622518417544
R_VALUE,444.14028470642137,0.6541810343881521
ABSNJZH,442.0210046177668,0.6510569864755017
USFLUX,438.10559290968047,0.6452852464212746
MEANPOT,421.0221721725629,0.6201024377965774
TOTPOT,379.41284203020166,0.5587657878304345
d_l_f,344.2718847397282,0.5069642185807876
MEANSHR,240.86834362424077,0.35453622262506135
SHRGT45,237.09274758635607,0.34897058598066066
g_s,193.35084622902414,0.28449029554510874
MEANGAM,132.42770447404627,0.19468299973242195
MEANGBT,121.64739304813027,0.17879165550277182
MEANGBZ,56.44798440327563,0.08268068009493704
MEANJZD,7.9448616061794946,0.011181834641485443
MEANJZH,3.269457834751741,0.00428978414229962
slf,0.625569577361238,0.0003924070867613223
MEANGBH,0.3593699066542984,0.0
