parameter,f_score,f_score_norm
TOTUSJH,1406.5280492129127,1.0
TOTUSJZ,1385.4179518200226,0.9849217546992217
USFLUX,1144.1601500446513,0.812599275641366
AREA_ACR,1027.4985167052216,0.7292717242832264
SAVNCPP,962.3844244221137,0.6827628788852469
TOTPOT,875.2598805843979,0.620532694947491
ABSNJZH,811.5779534538327,0.5750467978135274
R_VALUE,791.4624461305017,0.5606789553481041
MEANPOT,733.804473798983,0.5194957701557451
g_s,409.7101767313447,0.28800591860181335
SHRGT45,389.04997975173495,0.27324902230602105
d_l_f,352.00196540441874,0.24678684935443007
MEANSHR,324.2478643623304,0.2269630116986104
MEANGBT,267.1887341976906,0.18620755968628358
MEANGAM,173.6810566934112,0.1194181142055412
MEANGBZ,120.45845321280997,0.08140296648306566
MEANJZD,47.01406355197989,0.0289440648180776
MEANGBH,9.738090176864441,0.0023190682624211036
slf,7.735458119186907,0.0008886543306012348
MEANJZH,6.491309407357867,0.0
