,name,score,performance,error
0,KNN,TSS,0.9330094477802631,0.0
1,KNN,MAC,0.9665047238901315,0.0
2,KNN,SSW,0.8767395626242545,0.0
3,KNN,CSW,0.9892793329362716,0.0
4,RFC,TSS,0.9492118166522011,0.0
5,RFC,MAC,0.9746059083261005,0.0
6,RFC,SSW,0.9085487077534792,0.0
7,RFC,CSW,0.9898749255509232,0.0
8,LR,TSS,0.9339028367022404,0.0
9,LR,MAC,0.9669514183511202,0.0
10,LR,SSW,0.8767395626242545,0.0
11,LR,CSW,0.9910661107802263,0.0
12,SVM,TSS,0.9370820935021201,0.0
13,SVM,MAC,0.96854104675106,0.0
14,SVM,SSW,0.8807157057654076,0.0
15,SVM,CSW,0.9934484812388327,0.0
