,name,tss,timepoint,dataset
0,KNN,0.7362931574896249,24,All Flares
1,LR,0.8123209623792859,24,All Flares
2,RFC,0.7844287856785775,24,All Flares
3,SVM,0.7350727259742423,24,All Flares
4,DART,0.8003824759365503,24,All Flares
5,LDA,0.6990049277501367,24,All Flares
6,KNN,0.83312447786132,24,Coincidental Flares
7,LR,0.85421888053467,24,Coincidental Flares
8,RFC,0.8940685045948203,24,Coincidental Flares
9,SVM,0.8841687552213867,24,Coincidental Flares
10,DART,0.8775689223057644,24,Coincidental Flares
11,LDA,0.8490810359231411,24,Coincidental Flares
12,KNN,0.663809749920861,24,Noncoincidental Flares
13,LR,0.776863722697056,24,Noncoincidental Flares
14,RFC,0.708744855967078,24,Noncoincidental Flares
15,SVM,0.6546019309908199,24,Noncoincidental Flares
16,DART,0.7081948401392847,24,Noncoincidental Flares
17,LDA,0.6441674580563468,24,Noncoincidental Flares
18,KNN,0.7339814814814816,23,All Flares
19,LR,0.8151851851851853,23,All Flares
20,RFC,0.781388888888889,23,All Flares
21,SVM,0.7355555555555555,23,All Flares
22,DART,0.7858333333333333,23,All Flares
23,LDA,0.6955555555555557,23,All Flares
24,KNN,0.8289987789987789,23,Coincidental Flares
25,LR,0.85006105006105,23,Coincidental Flares
26,RFC,0.886935286935287,23,Coincidental Flares
27,SVM,0.8713675213675213,23,Coincidental Flares
28,DART,0.862148962148962,23,Coincidental Flares
29,LDA,0.8363247863247864,23,Coincidental Flares
30,KNN,0.6506008078948715,23,Noncoincidental Flares
31,LR,0.7824691926164543,23,Noncoincidental Flares
32,RFC,0.7039678887354911,23,Noncoincidental Flares
33,SVM,0.635463005573452,23,Noncoincidental Flares
34,DART,0.7184486373165618,23,Noncoincidental Flares
35,LDA,0.6185969218182749,23,Noncoincidental Flares
36,KNN,0.7343445592777382,22,All Flares
37,LR,0.8032608695652175,22,All Flares
38,RFC,0.7811326918507959,22,All Flares
39,SVM,0.7426823473509147,22,All Flares
40,DART,0.7735997267759565,22,All Flares
41,LDA,0.6711659539082918,22,All Flares
42,KNN,0.8114341085271317,22,Coincidental Flares
43,LR,0.8637209302325582,22,Coincidental Flares
44,RFC,0.8900968992248061,22,Coincidental Flares
45,SVM,0.853391472868217,22,Coincidental Flares
46,DART,0.880813953488372,22,Coincidental Flares
47,LDA,0.8420155038759688,22,Coincidental Flares
48,KNN,0.6671878896703076,22,Noncoincidental Flares
49,LR,0.7755673599680779,22,Noncoincidental Flares
50,RFC,0.7099755598782982,22,Noncoincidental Flares
51,SVM,0.6297546012269939,22,Noncoincidental Flares
52,DART,0.7108783480472841,22,Noncoincidental Flares
53,LDA,0.618980996558432,22,Noncoincidental Flares
54,KNN,0.7408198564386406,21,All Flares
55,LR,0.8069193404249185,21,All Flares
56,RFC,0.7835538643373979,21,All Flares
57,SVM,0.7241380552913026,21,All Flares
58,DART,0.7856063881922225,21,All Flares
59,LDA,0.6792282856236846,21,All Flares
60,KNN,0.8285185185185185,21,Coincidental Flares
61,LR,0.867314814814815,21,Coincidental Flares
62,RFC,0.8789814814814816,21,Coincidental Flares
63,SVM,0.8488888888888888,21,Coincidental Flares
64,DART,0.872037037037037,21,Coincidental Flares
65,LDA,0.8542592592592594,21,Coincidental Flares
66,KNN,0.6379566751855907,21,Noncoincidental Flares
67,LR,0.7707508823171474,21,Noncoincidental Flares
68,RFC,0.7096689789460873,21,Noncoincidental Flares
69,SVM,0.6578191554095169,21,Noncoincidental Flares
70,DART,0.705229402458318,21,Noncoincidental Flares
71,LDA,0.6301058780576853,21,Noncoincidental Flares
72,KNN,0.7133809273840769,20,All Flares
73,LR,0.8037676290463692,20,All Flares
74,RFC,0.7853053368328958,20,All Flares
75,SVM,0.720855293088364,20,All Flares
76,DART,0.7731527559055118,20,All Flares
77,LDA,0.6633420822397201,20,All Flares
78,KNN,0.8361698283649504,20,Coincidental Flares
79,LR,0.8613730803974705,20,Coincidental Flares
80,RFC,0.8837759710930442,20,Coincidental Flares
81,SVM,0.8444805781391147,20,Coincidental Flares
82,DART,0.8759530261969287,20,Coincidental Flares
83,LDA,0.8476603432700994,20,Coincidental Flares
84,KNN,0.6411356209150327,20,Noncoincidental Flares
85,LR,0.7764787581699345,20,Noncoincidental Flares
86,RFC,0.7049253034547153,20,Noncoincidental Flares
87,SVM,0.6504225023342671,20,Noncoincidental Flares
88,DART,0.691388888888889,20,Noncoincidental Flares
89,LDA,0.6290908029878619,20,Noncoincidental Flares
90,KNN,0.7142451185849832,19,All Flares
91,LR,0.8155581327527859,19,All Flares
92,RFC,0.7901476462728981,19,All Flares
93,SVM,0.7176782165795167,19,All Flares
94,DART,0.7823597631691385,19,All Flares
95,LDA,0.6733178701499523,19,All Flares
96,KNN,0.8411743450767841,19,Coincidental Flares
97,LR,0.8693044263775971,19,Coincidental Flares
98,RFC,0.8951761517615175,19,Coincidental Flares
99,SVM,0.8538211382113822,19,Coincidental Flares
100,DART,0.8868112014453479,19,Coincidental Flares
101,LDA,0.8218608852755195,19,Coincidental Flares
102,KNN,0.6518451300665458,19,Noncoincidental Flares
103,LR,0.7780298447267594,19,Noncoincidental Flares
104,RFC,0.7204308664381261,19,Noncoincidental Flares
105,SVM,0.6515493715130738,19,Noncoincidental Flares
106,DART,0.696776903945688,19,Noncoincidental Flares
107,LDA,0.6432278013040266,19,Noncoincidental Flares
108,KNN,0.7237736337736337,18,All Flares
109,LR,0.8071626521626521,18,All Flares
110,RFC,0.7758430458430458,18,All Flares
111,SVM,0.7207912457912459,18,All Flares
112,DART,0.7710567210567212,18,All Flares
113,LDA,0.6746477596477597,18,All Flares
114,KNN,0.8413733609385783,18,Coincidental Flares
115,LR,0.8577639751552796,18,Coincidental Flares
116,RFC,0.8881642512077296,18,Coincidental Flares
117,SVM,0.8654934437543135,18,Coincidental Flares
118,DART,0.8579365079365079,18,Coincidental Flares
119,LDA,0.8371635610766046,18,Coincidental Flares
120,KNN,0.657693999978537,18,Noncoincidental Flares
121,LR,0.7658564330403614,18,Noncoincidental Flares
122,RFC,0.6976809074616616,18,Noncoincidental Flares
123,SVM,0.6485936275930159,18,Noncoincidental Flares
124,DART,0.6948155779487677,18,Noncoincidental Flares
125,LDA,0.6305635148042026,18,Noncoincidental Flares
126,KNN,0.7277211955112773,17,All Flares
127,LR,0.8069151759811366,17,All Flares
128,RFC,0.7686098045751392,17,All Flares
129,SVM,0.7211732898781527,17,All Flares
130,DART,0.7751614137747984,17,All Flares
131,LDA,0.6685974593533573,17,All Flares
132,KNN,0.827498388136686,17,Coincidental Flares
133,LR,0.8646196002578981,17,Coincidental Flares
134,RFC,0.8837685364281107,17,Coincidental Flares
135,SVM,0.8328981302385559,17,Coincidental Flares
136,DART,0.881221792392005,17,Coincidental Flares
137,LDA,0.8176176660219213,17,Coincidental Flares
138,KNN,0.6589774544704122,17,Noncoincidental Flares
139,LR,0.7907454986328226,17,Noncoincidental Flares
140,RFC,0.6991693752257132,17,Noncoincidental Flares
141,SVM,0.6341794355878865,17,Noncoincidental Flares
142,DART,0.6987927565392353,17,Noncoincidental Flares
143,LDA,0.6266181705618326,17,Noncoincidental Flares
144,KNN,0.7372842657845535,16,All Flares
145,LR,0.8010990459753585,16,All Flares
146,RFC,0.775361354810873,16,All Flares
147,SVM,0.7367095738050721,16,All Flares
148,DART,0.7803502085430748,16,All Flares
149,LDA,0.6666049427105807,16,All Flares
150,KNN,0.7878703703703704,16,Coincidental Flares
151,LR,0.8135185185185186,16,Coincidental Flares
152,RFC,0.8782407407407409,16,Coincidental Flares
153,SVM,0.8233796296296295,16,Coincidental Flares
154,DART,0.8565740740740739,16,Coincidental Flares
155,LDA,0.8140277777777778,16,Coincidental Flares
156,KNN,0.6555268856373828,16,Noncoincidental Flares
157,LR,0.776253212717301,16,Noncoincidental Flares
158,RFC,0.700743731406715,16,Noncoincidental Flares
