,name,tss,timepoint,dataset
0,KNN,0.7831549748700912,0,All Flares
1,LR,0.8139021104864127,0,All Flares
2,RFC,0.8277930402930402,0,All Flares
3,SVM,0.7456070576710113,0,All Flares
4,DART,0.8194807372859699,0,All Flares
5,LDA,0.682449527216969,0,All Flares
6,KNN,0.8429379509379511,0,Coincidental Flares
7,LR,0.8701240981240982,0,Coincidental Flares
8,RFC,0.8711976911976912,0,Coincidental Flares
9,SVM,0.86987012987013,0,Coincidental Flares
10,DART,0.8803578643578642,0,Coincidental Flares
11,LDA,0.8207619047619049,0,Coincidental Flares
12,KNN,0.702236208192932,0,Noncoincidental Flares
13,LR,0.7924573226767664,0,Noncoincidental Flares
14,RFC,0.7720998449785105,0,Noncoincidental Flares
15,SVM,0.6418558021665878,0,Noncoincidental Flares
16,DART,0.7609257660567916,0,Noncoincidental Flares
17,LDA,0.6049597593917959,0,Noncoincidental Flares
18,KNN,0.7879104906721187,1,All Flares
19,LR,0.8302485305392281,1,All Flares
20,RFC,0.8372819767441861,1,All Flares
21,SVM,0.735818904932277,1,All Flares
22,DART,0.8188844343640855,1,All Flares
23,LDA,0.6696609591958428,1,All Flares
24,KNN,0.8392150072150072,1,Coincidental Flares
25,LR,0.864952380952381,1,Coincidental Flares
26,RFC,0.8789206349206349,1,Coincidental Flares
27,SVM,0.8557402597402598,1,Coincidental Flares
28,DART,0.887059163059163,1,Coincidental Flares
29,LDA,0.8155555555555556,1,Coincidental Flares
30,KNN,0.7080406954616764,1,Noncoincidental Flares
31,LR,0.7994541758333568,1,Noncoincidental Flares
32,RFC,0.7747403157982679,1,Noncoincidental Flares
33,SVM,0.6445728554587059,1,Noncoincidental Flares
34,DART,0.7682438014611007,1,Noncoincidental Flares
35,LDA,0.6132288098619658,1,Noncoincidental Flares
36,KNN,0.7721614383678336,2,All Flares
37,LR,0.8201816594258454,2,All Flares
38,RFC,0.8343063186813187,2,All Flares
39,SVM,0.7416488308203424,2,All Flares
40,DART,0.8245413259221398,2,All Flares
41,LDA,0.6585529538291165,2,All Flares
42,KNN,0.8434747474747475,2,Coincidental Flares
43,LR,0.8803232323232323,2,Coincidental Flares
44,RFC,0.8863722943722945,2,Coincidental Flares
45,SVM,0.8677402597402598,2,Coincidental Flares
46,DART,0.8830360750360751,2,Coincidental Flares
47,LDA,0.8104415584415585,2,Coincidental Flares
48,KNN,0.6942228967668272,2,Noncoincidental Flares
49,LR,0.7909038588283346,2,Noncoincidental Flares
50,RFC,0.7655105034021185,2,Noncoincidental Flares
51,SVM,0.6485871694189943,2,Noncoincidental Flares
52,DART,0.7632121009589053,2,Noncoincidental Flares
53,LDA,0.591268205742293,2,Noncoincidental Flares
54,KNN,0.7862349859442882,3,All Flares
55,LR,0.8223826561035863,3,All Flares
56,RFC,0.8319328200868897,3,All Flares
57,SVM,0.732395753471335,3,All Flares
58,DART,0.828382421841724,3,All Flares
59,LDA,0.6638520636340404,3,All Flares
60,KNN,0.8348629148629149,3,Coincidental Flares
61,LR,0.8807330447330447,3,Coincidental Flares
62,RFC,0.8903261183261182,3,Coincidental Flares
63,SVM,0.8642193362193361,3,Coincidental Flares
64,DART,0.8805945165945166,3,Coincidental Flares
65,LDA,0.7980952380952381,3,Coincidental Flares
66,KNN,0.7116530674761203,3,Noncoincidental Flares
67,LR,0.8032484892366817,3,Noncoincidental Flares
68,RFC,0.7639087693892893,3,Noncoincidental Flares
69,SVM,0.6482701643970405,3,Noncoincidental Flares
70,DART,0.779449905780352,3,Noncoincidental Flares
71,LDA,0.6024576011584839,3,Noncoincidental Flares
72,KNN,0.7687715627395858,4,All Flares
73,LR,0.818781146179402,4,All Flares
74,RFC,0.8260363425334353,4,All Flares
75,SVM,0.7324205106908593,4,All Flares
76,DART,0.8187704979129399,4,All Flares
77,LDA,0.6691469141323794,4,All Flares
78,KNN,0.8332813852813852,4,Coincidental Flares
79,LR,0.8561673881673882,4,Coincidental Flares
80,RFC,0.8780317460317462,4,Coincidental Flares
81,SVM,0.8667590187590186,4,Coincidental Flares
82,DART,0.8755151515151514,4,Coincidental Flares
83,LDA,0.8133391053391053,4,Coincidental Flares
84,KNN,0.6998486916000632,4,Noncoincidental Flares
85,LR,0.7923436093087156,4,Noncoincidental Flares
86,RFC,0.7634854771784231,4,Noncoincidental Flares
87,SVM,0.6555793812136234,4,Noncoincidental Flares
88,DART,0.7535840597064801,4,Noncoincidental Flares
89,LDA,0.6065661347665858,4,Noncoincidental Flares
90,KNN,0.7862435045574581,5,All Flares
91,LR,0.8121970568191498,5,All Flares
92,RFC,0.8327327711048642,5,All Flares
93,SVM,0.7382557607121562,5,All Flares
94,DART,0.825025822046171,5,All Flares
95,LDA,0.6606948526279921,5,All Flares
96,KNN,0.8190707070707071,5,Coincidental Flares
97,LR,0.857021645021645,5,Coincidental Flares
