name,tss,parameter,coincidence,label
KNN,0.577848731884058,ABSNJZH,all,24h Time-series
KNN,0.5482925724637682,ABSNJZH,all,0-12h Time-series
KNN,0.5571693840579711,ABSNJZH,all,6h-18h Time-series
KNN,0.5994021739130434,ABSNJZH,all,13-24h Time-series
KNN,0.6204981884057972,ABSNJZH,all,24h Mean
LR,0.13067481884057972,ABSNJZH,all,24h Time-series
LR,0.238161231884058,ABSNJZH,all,0-12h Time-series
LR,0.25215579710144925,ABSNJZH,all,6h-18h Time-series
LR,0.2429619565217392,ABSNJZH,all,13-24h Time-series
LR,0.5746875,ABSNJZH,all,24h Mean
RFC,0.7346557971014495,ABSNJZH,all,24h Time-series
RFC,0.7114130434782611,ABSNJZH,all,0-12h Time-series
RFC,0.7527400362318841,ABSNJZH,all,6h-18h Time-series
RFC,0.7366032608695652,ABSNJZH,all,13-24h Time-series
RFC,0.5677536231884057,ABSNJZH,all,24h Mean
SVM,0.6679891304347828,ABSNJZH,all,24h Time-series
SVM,0.6041259057971013,ABSNJZH,all,0-12h Time-series
SVM,0.6174547101449277,ABSNJZH,all,6h-18h Time-series
SVM,0.645792572463768,ABSNJZH,all,13-24h Time-series
SVM,0.6255887681159421,ABSNJZH,all,24h Mean
KNN,0.7454856653829697,ABSNJZH,coincident,24h Time-series
KNN,0.7189345314505776,ABSNJZH,coincident,0-12h Time-series
KNN,0.732413350449294,ABSNJZH,coincident,6h-18h Time-series
KNN,0.7527385537013266,ABSNJZH,coincident,13-24h Time-series
KNN,0.6997004706889175,ABSNJZH,coincident,24h Mean
LR,0.09728284124946511,ABSNJZH,coincident,24h Time-series
LR,0.10376551133932391,ABSNJZH,coincident,0-12h Time-series
LR,0.1310012836970475,ABSNJZH,coincident,6h-18h Time-series
LR,0.16071887034659818,ABSNJZH,coincident,13-24h Time-series
LR,0.7499786050492083,ABSNJZH,coincident,24h Mean
RFC,0.8120239623448866,ABSNJZH,coincident,24h Time-series
RFC,0.7945442875481386,ABSNJZH,coincident,0-12h Time-series
RFC,0.8223149336756526,ABSNJZH,coincident,6h-18h Time-series
RFC,0.8412922550278135,ABSNJZH,coincident,13-24h Time-series
RFC,0.7030808729139925,ABSNJZH,coincident,24h Mean
SVM,0.7630937098844673,ABSNJZH,coincident,24h Time-series
