name,tss,parameter,coincidence,label
KNN,0.7100815217391304,ABSNJZH_AREA_ACR,all,24h Time-series
KNN,0.6803894927536233,ABSNJZH_AREA_ACR,all,0-12h Time-series
KNN,0.7048686594202899,ABSNJZH_AREA_ACR,all,6h-18h Time-series
KNN,0.6836141304347827,ABSNJZH_AREA_ACR,all,13-24h Time-series
LR,0.1954302536231884,ABSNJZH_AREA_ACR,all,24h Time-series
LR,0.20024003623188402,ABSNJZH_AREA_ACR,all,0-12h Time-series
LR,0.22592391304347823,ABSNJZH_AREA_ACR,all,6h-18h Time-series
LR,0.1685280797101449,ABSNJZH_AREA_ACR,all,13-24h Time-series
RFC,0.7915715579710145,ABSNJZH_AREA_ACR,all,24h Time-series
RFC,0.746123188405797,ABSNJZH_AREA_ACR,all,0-12h Time-series
RFC,0.7750724637681159,ABSNJZH_AREA_ACR,all,6h-18h Time-series
RFC,0.7653940217391304,ABSNJZH_AREA_ACR,all,13-24h Time-series
SVM,0.7416032608695652,ABSNJZH_AREA_ACR,all,24h Time-series
SVM,0.7030887681159421,ABSNJZH_AREA_ACR,all,0-12h Time-series
SVM,0.7294384057971015,ABSNJZH_AREA_ACR,all,6h-18h Time-series
SVM,0.7179936594202897,ABSNJZH_AREA_ACR,all,13-24h Time-series
KNN,0.5786503623188405,ABSNJZH_MEANGAM,all,24h Time-series
KNN,0.5589175724637682,ABSNJZH_MEANGAM,all,0-12h Time-series
KNN,0.5400498188405796,ABSNJZH_MEANGAM,all,6h-18h Time-series
KNN,0.593623188405797,ABSNJZH_MEANGAM,all,13-24h Time-series
LR,0.5524094202898551,ABSNJZH_MEANGAM,all,24h Time-series
LR,0.5580797101449275,ABSNJZH_MEANGAM,all,0-12h Time-series
LR,0.5626721014492754,ABSNJZH_MEANGAM,all,6h-18h Time-series
LR,0.5629755434782608,ABSNJZH_MEANGAM,all,13-24h Time-series
RFC,0.7340036231884058,ABSNJZH_MEANGAM,all,24h Time-series
RFC,0.7065851449275364,ABSNJZH_MEANGAM,all,0-12h Time-series
RFC,0.7439039855072463,ABSNJZH_MEANGAM,all,6h-18h Time-series
RFC,0.7247237318840581,ABSNJZH_MEANGAM,all,13-24h Time-series
SVM,0.6510597826086957,ABSNJZH_MEANGAM,all,24h Time-series
SVM,0.6015534420289854,ABSNJZH_MEANGAM,all,0-12h Time-series
SVM,0.6126086956521738,ABSNJZH_MEANGAM,all,6h-18h Time-series
SVM,0.6402626811594202,ABSNJZH_MEANGAM,all,13-24h Time-series
KNN,0.5760461956521737,ABSNJZH_MEANGBH,all,24h Time-series
KNN,0.5692889492753623,ABSNJZH_MEANGBH,all,0-12h Time-series
KNN,0.5525498188405797,ABSNJZH_MEANGBH,all,6h-18h Time-series
KNN,0.5973505434782609,ABSNJZH_MEANGBH,all,13-24h Time-series
LR,0.5670878623188406,ABSNJZH_MEANGBH,all,24h Time-series
LR,0.558052536231884,ABSNJZH_MEANGBH,all,0-12h Time-series
LR,0.5668251811594203,ABSNJZH_MEANGBH,all,6h-18h Time-series
LR,0.5570335144927536,ABSNJZH_MEANGBH,all,13-24h Time-series
RFC,0.7292798913043479,ABSNJZH_MEANGBH,all,24h Time-series
RFC,0.7098641304347827,ABSNJZH_MEANGBH,all,0-12h Time-series
RFC,0.7466893115942029,ABSNJZH_MEANGBH,all,6h-18h Time-series
RFC,0.7325951086956521,ABSNJZH_MEANGBH,all,13-24h Time-series
SVM,0.6690036231884056,ABSNJZH_MEANGBH,all,24h Time-series
SVM,0.6128985507246377,ABSNJZH_MEANGBH,all,0-12h Time-series
SVM,0.6126766304347826,ABSNJZH_MEANGBH,all,6h-18h Time-series
SVM,0.6419067028985508,ABSNJZH_MEANGBH,all,13-24h Time-series
KNN,0.5685552536231884,ABSNJZH_MEANGBT,all,24h Time-series
KNN,0.597590579710145,ABSNJZH_MEANGBT,all,0-12h Time-series
KNN,0.5862182971014493,ABSNJZH_MEANGBT,all,6h-18h Time-series
KNN,0.5976856884057972,ABSNJZH_MEANGBT,all,13-24h Time-series
LR,0.5605570652173913,ABSNJZH_MEANGBT,all,24h Time-series
LR,0.5885778985507245,ABSNJZH_MEANGBT,all,0-12h Time-series
LR,0.5697373188405798,ABSNJZH_MEANGBT,all,6h-18h Time-series
LR,0.5759782608695653,ABSNJZH_MEANGBT,all,13-24h Time-series
RFC,0.7331340579710144,ABSNJZH_MEANGBT,all,24h Time-series
RFC,0.7130525362318839,ABSNJZH_MEANGBT,all,0-12h Time-series
RFC,0.7322463768115942,ABSNJZH_MEANGBT,all,6h-18h Time-series
RFC,0.7492617753623187,ABSNJZH_MEANGBT,all,13-24h Time-series
SVM,0.6585507246376812,ABSNJZH_MEANGBT,all,24h Time-series
SVM,0.6305932971014495,ABSNJZH_MEANGBT,all,0-12h Time-series
SVM,0.6216259057971015,ABSNJZH_MEANGBT,all,6h-18h Time-series
SVM,0.6421014492753625,ABSNJZH_MEANGBT,all,13-24h Time-series
KNN,0.5738541666666667,ABSNJZH_MEANGBZ,all,24h Time-series
KNN,0.5715172101449275,ABSNJZH_MEANGBZ,all,0-12h Time-series
KNN,0.5461548913043478,ABSNJZH_MEANGBZ,all,6h-18h Time-series
KNN,0.5916349637681159,ABSNJZH_MEANGBZ,all,13-24h Time-series
LR,0.5613813405797102,ABSNJZH_MEANGBZ,all,24h Time-series
LR,0.5623414855072464,ABSNJZH_MEANGBZ,all,0-12h Time-series
LR,0.5812364130434783,ABSNJZH_MEANGBZ,all,6h-18h Time-series
LR,0.5495380434782609,ABSNJZH_MEANGBZ,all,13-24h Time-series
RFC,0.7449682971014493,ABSNJZH_MEANGBZ,all,24h Time-series
RFC,0.7139990942028986,ABSNJZH_MEANGBZ,all,0-12h Time-series
RFC,0.7490851449275361,ABSNJZH_MEANGBZ,all,6h-18h Time-series
RFC,0.730516304347826,ABSNJZH_MEANGBZ,all,13-24h Time-series
SVM,0.6586367753623189,ABSNJZH_MEANGBZ,all,24h Time-series
SVM,0.6230978260869564,ABSNJZH_MEANGBZ,all,0-12h Time-series
SVM,0.6180480072463769,ABSNJZH_MEANGBZ,all,6h-18h Time-series
SVM,0.6276222826086956,ABSNJZH_MEANGBZ,all,13-24h Time-series
KNN,0.5811684782608694,ABSNJZH_MEANJZD,all,24h Time-series
KNN,0.5582653985507247,ABSNJZH_MEANJZD,all,0-12h Time-series
KNN,0.5609692028985507,ABSNJZH_MEANJZD,all,6h-18h Time-series
KNN,0.5951856884057971,ABSNJZH_MEANJZD,all,13-24h Time-series
LR,0.19520380434782608,ABSNJZH_MEANJZD,all,24h Time-series
LR,0.25962862318840585,ABSNJZH_MEANJZD,all,0-12h Time-series
LR,0.2684329710144927,ABSNJZH_MEANJZD,all,6h-18h Time-series
LR,0.26179800724637675,ABSNJZH_MEANJZD,all,13-24h Time-series
RFC,0.7478894927536232,ABSNJZH_MEANJZD,all,24h Time-series
RFC,0.7292391304347825,ABSNJZH_MEANJZD,all,0-12h Time-series
RFC,0.7490896739130435,ABSNJZH_MEANJZD,all,6h-18h Time-series
RFC,0.7563903985507248,ABSNJZH_MEANJZD,all,13-24h Time-series
SVM,0.6501358695652173,ABSNJZH_MEANJZD,all,24h Time-series
SVM,0.6009148550724639,ABSNJZH_MEANJZD,all,0-12h Time-series
SVM,0.6213134057971015,ABSNJZH_MEANJZD,all,6h-18h Time-series
SVM,0.6411548913043478,ABSNJZH_MEANJZD,all,13-24h Time-series
KNN,0.5851721014492755,ABSNJZH_MEANJZH,all,24h Time-series
KNN,0.5500181159420289,ABSNJZH_MEANJZH,all,0-12h Time-series
KNN,0.5549909420289854,ABSNJZH_MEANJZH,all,6h-18h Time-series
KNN,0.5888269927536232,ABSNJZH_MEANJZH,all,13-24h Time-series
LR,0.12721014492753624,ABSNJZH_MEANJZH,all,24h Time-series
LR,0.2355298913043478,ABSNJZH_MEANJZH,all,0-12h Time-series
LR,0.2330751811594203,ABSNJZH_MEANJZH,all,6h-18h Time-series
LR,0.2202626811594203,ABSNJZH_MEANJZH,all,13-24h Time-series
RFC,0.7506295289855073,ABSNJZH_MEANJZH,all,24h Time-series
RFC,0.727350543478261,ABSNJZH_MEANJZH,all,0-12h Time-series
RFC,0.7459284420289857,ABSNJZH_MEANJZH,all,6h-18h Time-series
RFC,0.7578351449275363,ABSNJZH_MEANJZH,all,13-24h Time-series
SVM,0.659741847826087,ABSNJZH_MEANJZH,all,24h Time-series
SVM,0.6001721014492755,ABSNJZH_MEANJZH,all,0-12h Time-series
SVM,0.621820652173913,ABSNJZH_MEANJZH,all,6h-18h Time-series
SVM,0.6269882246376811,ABSNJZH_MEANJZH,all,13-24h Time-series
KNN,0.5295833333333334,ABSNJZH_MEANPOT,all,24h Time-series
KNN,0.5219655797101448,ABSNJZH_MEANPOT,all,0-12h Time-series
KNN,0.5506068840579709,ABSNJZH_MEANPOT,all,6h-18h Time-series
KNN,0.5414130434782609,ABSNJZH_MEANPOT,all,13-24h Time-series
LR,0.49334239130434787,ABSNJZH_MEANPOT,all,24h Time-series
LR,0.49745923913043477,ABSNJZH_MEANPOT,all,0-12h Time-series
LR,0.4993795289855073,ABSNJZH_MEANPOT,all,6h-18h Time-series
LR,0.4663677536231884,ABSNJZH_MEANPOT,all,13-24h Time-series
RFC,0.7470697463768114,ABSNJZH_MEANPOT,all,24h Time-series
RFC,0.7075543478260868,ABSNJZH_MEANPOT,all,0-12h Time-series
RFC,0.7568342391304348,ABSNJZH_MEANPOT,all,6h-18h Time-series
RFC,0.7385914855072463,ABSNJZH_MEANPOT,all,13-24h Time-series
SVM,0.4334601449275363,ABSNJZH_MEANPOT,all,24h Time-series
SVM,0.4428442028985507,ABSNJZH_MEANPOT,all,0-12h Time-series
SVM,0.45028079710144925,ABSNJZH_MEANPOT,all,6h-18h Time-series
SVM,0.46245471014492756,ABSNJZH_MEANPOT,all,13-24h Time-series
KNN,0.5833967391304348,ABSNJZH_MEANSHR,all,24h Time-series
KNN,0.5557608695652174,ABSNJZH_MEANSHR,all,0-12h Time-series
KNN,0.5614628623188407,ABSNJZH_MEANSHR,all,6h-18h Time-series
KNN,0.5812228260869566,ABSNJZH_MEANSHR,all,13-24h Time-series
LR,0.5611911231884058,ABSNJZH_MEANSHR,all,24h Time-series
LR,0.5466440217391304,ABSNJZH_MEANSHR,all,0-12h Time-series
LR,0.5661503623188405,ABSNJZH_MEANSHR,all,6h-18h Time-series
LR,0.5582246376811594,ABSNJZH_MEANSHR,all,13-24h Time-series
RFC,0.7473731884057971,ABSNJZH_MEANSHR,all,24h Time-series
RFC,0.7106068840579709,ABSNJZH_MEANSHR,all,0-12h Time-series
RFC,0.7488179347826087,ABSNJZH_MEANSHR,all,6h-18h Time-series
RFC,0.7303668478260867,ABSNJZH_MEANSHR,all,13-24h Time-series
SVM,0.670697463768116,ABSNJZH_MEANSHR,all,24h Time-series
SVM,0.6000769927536233,ABSNJZH_MEANSHR,all,0-12h Time-series
SVM,0.6237590579710146,ABSNJZH_MEANSHR,all,6h-18h Time-series
SVM,0.629963768115942,ABSNJZH_MEANSHR,all,13-24h Time-series
KNN,0.5801358695652172,ABSNJZH_R_VALUE,all,24h Time-series
KNN,0.5562998188405798,ABSNJZH_R_VALUE,all,0-12h Time-series
KNN,0.5734329710144928,ABSNJZH_R_VALUE,all,6h-18h Time-series
KNN,0.6005298913043478,ABSNJZH_R_VALUE,all,13-24h Time-series
LR,0.5069021739130435,ABSNJZH_R_VALUE,all,24h Time-series
LR,0.5057427536231884,ABSNJZH_R_VALUE,all,0-12h Time-series
LR,0.5289085144927536,ABSNJZH_R_VALUE,all,6h-18h Time-series
LR,0.4948641304347826,ABSNJZH_R_VALUE,all,13-24h Time-series
RFC,0.7757880434782609,ABSNJZH_R_VALUE,all,24h Time-series
