name,tss,parameter,coincidence,label
KNN,0.5685733695652175,ABSNJZH,all,24h Time-series
KNN,0.550516304347826,ABSNJZH,all,0-12h Time-series
KNN,0.5614085144927538,ABSNJZH,all,6h-18h Time-series
KNN,0.6012001811594202,ABSNJZH,all,13-24h Time-series
LR,0.12509510869565216,ABSNJZH,all,24h Time-series
LR,0.23813405797101447,ABSNJZH,all,0-12h Time-series
LR,0.23317028985507246,ABSNJZH,all,6h-18h Time-series
LR,0.21682518115942026,ABSNJZH,all,13-24h Time-series
RFC,0.7357427536231883,ABSNJZH,all,24h Time-series
RFC,0.7066304347826088,ABSNJZH,all,0-12h Time-series
RFC,0.7466893115942028,ABSNJZH,all,6h-18h Time-series
RFC,0.7309646739130434,ABSNJZH,all,13-24h Time-series
SVM,0.6680480072463768,ABSNJZH,all,24h Time-series
SVM,0.5999275362318841,ABSNJZH,all,0-12h Time-series
SVM,0.6310778985507246,ABSNJZH,all,6h-18h Time-series
SVM,0.6348278985507245,ABSNJZH,all,13-24h Time-series
KNN,0.6462273550724638,AREA_ACR,all,24h Time-series
KNN,0.6087137681159421,AREA_ACR,all,0-12h Time-series
KNN,0.6253260869565217,AREA_ACR,all,6h-18h Time-series
KNN,0.6081114130434783,AREA_ACR,all,13-24h Time-series
LR,0.16325634057971014,AREA_ACR,all,24h Time-series
LR,0.1847010869565217,AREA_ACR,all,0-12h Time-series
LR,0.18723731884057973,AREA_ACR,all,6h-18h Time-series
LR,0.17812047101449274,AREA_ACR,all,13-24h Time-series
RFC,0.6644157608695652,AREA_ACR,all,24h Time-series
RFC,0.6409284420289855,AREA_ACR,all,0-12h Time-series
RFC,0.6566621376811594,AREA_ACR,all,6h-18h Time-series
RFC,0.6247418478260869,AREA_ACR,all,13-24h Time-series
SVM,0.6309782608695653,AREA_ACR,all,24h Time-series
SVM,0.6175452898550724,AREA_ACR,all,0-12h Time-series
SVM,0.6228034420289854,AREA_ACR,all,6h-18h Time-series
SVM,0.6087771739130435,AREA_ACR,all,13-24h Time-series
KNN,0.32399456521739134,MEANGAM,all,24h Time-series
KNN,0.3167164855072464,MEANGAM,all,0-12h Time-series
KNN,0.3243478260869565,MEANGAM,all,6h-18h Time-series
KNN,0.32244112318840573,MEANGAM,all,13-24h Time-series
LR,-0.07074728260869566,MEANGAM,all,24h Time-series
LR,-0.05727807971014493,MEANGAM,all,0-12h Time-series
LR,-0.06210597826086957,MEANGAM,all,6h-18h Time-series
LR,-0.0628532608695652,MEANGAM,all,13-24h Time-series
RFC,0.28328351449275363,MEANGAM,all,24h Time-series
RFC,0.24915760869565215,MEANGAM,all,0-12h Time-series
RFC,0.25207427536231886,MEANGAM,all,6h-18h Time-series
RFC,0.24490489130434787,MEANGAM,all,13-24h Time-series
SVM,0.0,MEANGAM,all,24h Time-series
SVM,0.0,MEANGAM,all,0-12h Time-series
SVM,0.0,MEANGAM,all,6h-18h Time-series
SVM,0.0,MEANGAM,all,13-24h Time-series
KNN,0.29455615942028984,MEANGBH,all,24h Time-series
KNN,0.2831204710144928,MEANGBH,all,0-12h Time-series
KNN,0.3086050724637681,MEANGBH,all,6h-18h Time-series
KNN,0.26070199275362316,MEANGBH,all,13-24h Time-series
LR,-0.022676630434782612,MEANGBH,all,24h Time-series
LR,-0.015851449275362316,MEANGBH,all,0-12h Time-series
LR,-0.01592391304347826,MEANGBH,all,6h-18h Time-series
LR,-0.015353260869565215,MEANGBH,all,13-24h Time-series
RFC,0.2021557971014493,MEANGBH,all,24h Time-series
RFC,0.19818840579710142,MEANGBH,all,0-12h Time-series
RFC,0.21146739130434783,MEANGBH,all,6h-18h Time-series
RFC,0.18304347826086956,MEANGBH,all,13-24h Time-series
SVM,0.0,MEANGBH,all,24h Time-series
SVM,0.0,MEANGBH,all,0-12h Time-series
SVM,0.0,MEANGBH,all,6h-18h Time-series
SVM,0.0,MEANGBH,all,13-24h Time-series
KNN,0.3877898550724638,MEANGBT,all,24h Time-series
KNN,0.3291666666666666,MEANGBT,all,0-12h Time-series
KNN,0.3591440217391305,MEANGBT,all,6h-18h Time-series
KNN,0.3552989130434782,MEANGBT,all,13-24h Time-series
LR,-0.01875,MEANGBT,all,24h Time-series
LR,-0.00620018115942029,MEANGBT,all,0-12h Time-series
LR,-0.006648550724637683,MEANGBT,all,6h-18h Time-series
LR,-0.0037047101449275356,MEANGBT,all,13-24h Time-series
RFC,0.33418025362318843,MEANGBT,all,24h Time-series
RFC,0.28865942028985514,MEANGBT,all,0-12h Time-series
RFC,0.32264945652173904,MEANGBT,all,6h-18h Time-series
RFC,0.2715670289855073,MEANGBT,all,13-24h Time-series
SVM,0.0,MEANGBT,all,24h Time-series
SVM,0.0,MEANGBT,all,0-12h Time-series
SVM,0.0,MEANGBT,all,6h-18h Time-series
SVM,0.0,MEANGBT,all,13-24h Time-series
KNN,0.31229166666666663,MEANGBZ,all,24h Time-series
KNN,0.21780344202898552,MEANGBZ,all,0-12h Time-series
KNN,0.2811503623188406,MEANGBZ,all,6h-18h Time-series
KNN,0.26966485507246385,MEANGBZ,all,13-24h Time-series
LR,-0.011621376811594203,MEANGBZ,all,24h Time-series
LR,-0.005932971014492755,MEANGBZ,all,0-12h Time-series
LR,-0.006784420289855073,MEANGBZ,all,6h-18h Time-series
LR,-0.00307518115942029,MEANGBZ,all,13-24h Time-series
RFC,0.2041757246376812,MEANGBZ,all,24h Time-series
RFC,0.17325634057971015,MEANGBZ,all,0-12h Time-series
RFC,0.17762681159420293,MEANGBZ,all,6h-18h Time-series
RFC,0.18972373188405794,MEANGBZ,all,13-24h Time-series
SVM,0.0,MEANGBZ,all,24h Time-series
SVM,0.0,MEANGBZ,all,0-12h Time-series
SVM,0.0,MEANGBZ,all,6h-18h Time-series
SVM,0.0,MEANGBZ,all,13-24h Time-series
KNN,0.40672101449275355,MEANJZD,all,24h Time-series
KNN,0.3590896739130436,MEANJZD,all,0-12h Time-series
KNN,0.3995425724637681,MEANJZD,all,6h-18h Time-series
KNN,0.39247735507246373,MEANJZD,all,13-24h Time-series
