name,tss,parameter,coincidence,label
KNN,0.7058152173913044,ABSNJZH_AREA_ACR_MEANGAM,all,24h Time-series
KNN,0.6847690217391305,ABSNJZH_AREA_ACR_MEANGAM,all,0-12h Time-series
KNN,0.6970425724637682,ABSNJZH_AREA_ACR_MEANGAM,all,6h-18h Time-series
KNN,0.6885190217391304,ABSNJZH_AREA_ACR_MEANGAM,all,13-24h Time-series
LR,0.6141168478260871,ABSNJZH_AREA_ACR_MEANGAM,all,24h Time-series
LR,0.6080978260869565,ABSNJZH_AREA_ACR_MEANGAM,all,0-12h Time-series
LR,0.6337182971014492,ABSNJZH_AREA_ACR_MEANGAM,all,6h-18h Time-series
LR,0.607445652173913,ABSNJZH_AREA_ACR_MEANGAM,all,13-24h Time-series
RFC,0.788586956521739,ABSNJZH_AREA_ACR_MEANGAM,all,24h Time-series
RFC,0.7544112318840578,ABSNJZH_AREA_ACR_MEANGAM,all,0-12h Time-series
RFC,0.7848233695652173,ABSNJZH_AREA_ACR_MEANGAM,all,6h-18h Time-series
RFC,0.7728396739130435,ABSNJZH_AREA_ACR_MEANGAM,all,13-24h Time-series
SVM,0.7317391304347826,ABSNJZH_AREA_ACR_MEANGAM,all,24h Time-series
SVM,0.7102853260869566,ABSNJZH_AREA_ACR_MEANGAM,all,0-12h Time-series
SVM,0.7284510869565217,ABSNJZH_AREA_ACR_MEANGAM,all,6h-18h Time-series
SVM,0.7212862318840578,ABSNJZH_AREA_ACR_MEANGAM,all,13-24h Time-series
KNN,0.7108831521739132,ABSNJZH_AREA_ACR_MEANGBH,all,24h Time-series
KNN,0.6662273550724636,ABSNJZH_AREA_ACR_MEANGBH,all,0-12h Time-series
KNN,0.6955615942028985,ABSNJZH_AREA_ACR_MEANGBH,all,6h-18h Time-series
KNN,0.6932608695652174,ABSNJZH_AREA_ACR_MEANGBH,all,13-24h Time-series
LR,0.6409148550724638,ABSNJZH_AREA_ACR_MEANGBH,all,24h Time-series
LR,0.6145606884057971,ABSNJZH_AREA_ACR_MEANGBH,all,0-12h Time-series
LR,0.6153577898550725,ABSNJZH_AREA_ACR_MEANGBH,all,6h-18h Time-series
LR,0.6136911231884058,ABSNJZH_AREA_ACR_MEANGBH,all,13-24h Time-series
RFC,0.7884918478260871,ABSNJZH_AREA_ACR_MEANGBH,all,24h Time-series
RFC,0.7435054347826088,ABSNJZH_AREA_ACR_MEANGBH,all,0-12h Time-series
