name,tss,parameter,coincidence,label
KNN,0.7006567028985506,ABSNJZH,all,24h Time-series
KNN,0.6601539855072464,ABSNJZH,all,0-12h Time-series
KNN,0.6863722826086956,ABSNJZH,all,6h-18h Time-series
KNN,0.7056521739130434,ABSNJZH,all,13-24h Time-series
LR,0.08169836956521741,ABSNJZH,all,24h Time-series
LR,0.12279891304347824,ABSNJZH,all,0-12h Time-series
LR,0.1011911231884058,ABSNJZH,all,6h-18h Time-series
LR,0.07814764492753623,ABSNJZH,all,13-24h Time-series
RFC,0.800991847826087,ABSNJZH,all,24h Time-series
RFC,0.7837907608695651,ABSNJZH,all,0-12h Time-series
RFC,0.7939266304347826,ABSNJZH,all,6h-18h Time-series
RFC,0.7948188405797101,ABSNJZH,all,13-24h Time-series
SVM,0.7544972826086956,ABSNJZH,all,24h Time-series
SVM,0.7376222826086957,ABSNJZH,all,0-12h Time-series
SVM,0.7487681159420292,ABSNJZH,all,6h-18h Time-series
SVM,0.7546603260869565,ABSNJZH,all,13-24h Time-series
KNN,0.700529891304348,AREA_ACR,all,24h Time-series
KNN,0.6763088768115944,AREA_ACR,all,0-12h Time-series
KNN,0.685788043478261,AREA_ACR,all,6h-18h Time-series
KNN,0.6985960144927537,AREA_ACR,all,13-24h Time-series
LR,0.07027626811594204,AREA_ACR,all,24h Time-series
LR,0.10872735507246377,AREA_ACR,all,0-12h Time-series
LR,0.11662590579710144,AREA_ACR,all,6h-18h Time-series
LR,0.07538043478260872,AREA_ACR,all,13-24h Time-series
RFC,0.829284420289855,AREA_ACR,all,24h Time-series
RFC,0.812794384057971,AREA_ACR,all,0-12h Time-series
RFC,0.8100045289855073,AREA_ACR,all,6h-18h Time-series
RFC,0.8051494565217392,AREA_ACR,all,13-24h Time-series
SVM,0.7536503623188405,AREA_ACR,all,24h Time-series
SVM,0.745625,AREA_ACR,all,0-12h Time-series
SVM,0.7394338768115941,AREA_ACR,all,6h-18h Time-series
SVM,0.7527898550724638,AREA_ACR,all,13-24h Time-series
KNN,0.7003124999999998,MEANGAM,all,24h Time-series
KNN,0.6531295289855071,MEANGAM,all,0-12h Time-series
KNN,0.6850905797101449,MEANGAM,all,6h-18h Time-series
KNN,0.703985507246377,MEANGAM,all,13-24h Time-series
LR,0.084080615942029,MEANGAM,all,24h Time-series
LR,0.12950634057971014,MEANGAM,all,0-12h Time-series
LR,0.11804347826086956,MEANGAM,all,6h-18h Time-series
LR,0.08754076086956523,MEANGAM,all,13-24h Time-series
RFC,0.8126947463768115,MEANGAM,all,24h Time-series
RFC,0.814026268115942,MEANGAM,all,0-12h Time-series
RFC,0.828125,MEANGAM,all,6h-18h Time-series
RFC,0.825294384057971,MEANGAM,all,13-24h Time-series
SVM,0.7518750000000001,MEANGAM,all,24h Time-series
SVM,0.7238496376811593,MEANGAM,all,0-12h Time-series
SVM,0.7502490942028984,MEANGAM,all,6h-18h Time-series
SVM,0.7650135869565219,MEANGAM,all,13-24h Time-series
KNN,0.6955887681159421,MEANGBH,all,24h Time-series
KNN,0.6626856884057971,MEANGBH,all,0-12h Time-series
KNN,0.6850271739130436,MEANGBH,all,6h-18h Time-series
KNN,0.7071648550724636,MEANGBH,all,13-24h Time-series
LR,0.0911503623188406,MEANGBH,all,24h Time-series
LR,0.1225588768115942,MEANGBH,all,0-12h Time-series
LR,0.10842844202898554,MEANGBH,all,6h-18h Time-series
LR,0.08514492753623187,MEANGBH,all,13-24h Time-series
RFC,0.8038949275362318,MEANGBH,all,24h Time-series
RFC,0.8196648550724638,MEANGBH,all,0-12h Time-series
RFC,0.8232472826086956,MEANGBH,all,6h-18h Time-series
RFC,0.8226268115942027,MEANGBH,all,13-24h Time-series
SVM,0.7514990942028985,MEANGBH,all,24h Time-series
SVM,0.735584239130435,MEANGBH,all,0-12h Time-series
SVM,0.7446557971014494,MEANGBH,all,6h-18h Time-series
SVM,0.7538043478260871,MEANGBH,all,13-24h Time-series
KNN,0.697241847826087,MEANGBT,all,24h Time-series
KNN,0.6527762681159419,MEANGBT,all,0-12h Time-series
KNN,0.6855480072463769,MEANGBT,all,6h-18h Time-series
KNN,0.6960869565217392,MEANGBT,all,13-24h Time-series
LR,0.06449728260869565,MEANGBT,all,24h Time-series
LR,0.12113677536231883,MEANGBT,all,0-12h Time-series
LR,0.11480525362318841,MEANGBT,all,6h-18h Time-series
LR,0.08624094202898551,MEANGBT,all,13-24h Time-series
RFC,0.8085507246376812,MEANGBT,all,24h Time-series
RFC,0.7980389492753625,MEANGBT,all,0-12h Time-series
RFC,0.8113858695652173,MEANGBT,all,6h-18h Time-series
RFC,0.8276222826086956,MEANGBT,all,13-24h Time-series
SVM,0.7631385869565218,MEANGBT,all,24h Time-series
SVM,0.7202989130434783,MEANGBT,all,0-12h Time-series
SVM,0.7421557971014493,MEANGBT,all,6h-18h Time-series
SVM,0.7500226449275363,MEANGBT,all,13-24h Time-series
KNN,0.6997554347826089,MEANGBZ,all,24h Time-series
KNN,0.6716757246376812,MEANGBZ,all,0-12h Time-series
KNN,0.6800996376811596,MEANGBZ,all,6h-18h Time-series
KNN,0.7103170289855072,MEANGBZ,all,13-24h Time-series
LR,0.07822916666666664,MEANGBZ,all,24h Time-series
LR,0.11795289855072463,MEANGBZ,all,0-12h Time-series
LR,0.11448369565217394,MEANGBZ,all,6h-18h Time-series
LR,0.09072010869565217,MEANGBZ,all,13-24h Time-series
RFC,0.806616847826087,MEANGBZ,all,24h Time-series
RFC,0.8048460144927537,MEANGBZ,all,0-12h Time-series
RFC,0.8146014492753623,MEANGBZ,all,6h-18h Time-series
RFC,0.8304664855072463,MEANGBZ,all,13-24h Time-series
SVM,0.7479121376811595,MEANGBZ,all,24h Time-series
SVM,0.7321965579710146,MEANGBZ,all,0-12h Time-series
SVM,0.7345878623188405,MEANGBZ,all,6h-18h Time-series
SVM,0.7578034420289855,MEANGBZ,all,13-24h Time-series
KNN,0.7092617753623187,MEANJZD,all,24h Time-series
KNN,0.6693251811594204,MEANJZD,all,0-12h Time-series
KNN,0.6866440217391305,MEANJZD,all,6h-18h Time-series
KNN,0.710439311594203,MEANJZD,all,13-24h Time-series
LR,0.08319746376811596,MEANJZD,all,24h Time-series
LR,0.11456068840579708,MEANJZD,all,0-12h Time-series
LR,0.1117481884057971,MEANJZD,all,6h-18h Time-series
LR,0.09038949275362321,MEANJZD,all,13-24h Time-series
RFC,0.8108605072463768,MEANJZD,all,24h Time-series
RFC,0.8059827898550723,MEANJZD,all,0-12h Time-series
RFC,0.8184782608695651,MEANJZD,all,6h-18h Time-series
RFC,0.8278351449275364,MEANJZD,all,13-24h Time-series
SVM,0.7605932971014494,MEANJZD,all,24h Time-series
SVM,0.7334510869565217,MEANJZD,all,0-12h Time-series
SVM,0.7438586956521739,MEANJZD,all,6h-18h Time-series
SVM,0.7534782608695653,MEANJZD,all,13-24h Time-series
KNN,0.7015126811594202,MEANJZH,all,24h Time-series
KNN,0.6524003623188405,MEANJZH,all,0-12h Time-series
KNN,0.6802445652173912,MEANJZH,all,6h-18h Time-series
KNN,0.7002762681159421,MEANJZH,all,13-24h Time-series
LR,0.07928442028985506,MEANJZH,all,24h Time-series
LR,0.11922554347826088,MEANJZH,all,0-12h Time-series
LR,0.11106884057971014,MEANJZH,all,6h-18h Time-series
LR,0.09289855072463768,MEANJZH,all,13-24h Time-series
RFC,0.8040579710144928,MEANJZH,all,24h Time-series
RFC,0.7936141304347826,MEANJZH,all,0-12h Time-series
RFC,0.8128532608695653,MEANJZH,all,6h-18h Time-series
RFC,0.8196512681159419,MEANJZH,all,13-24h Time-series
SVM,0.7572599637681159,MEANJZH,all,24h Time-series
SVM,0.7231521739130434,MEANJZH,all,0-12h Time-series
SVM,0.7501222826086955,MEANJZH,all,6h-18h Time-series
SVM,0.7529936594202901,MEANJZH,all,13-24h Time-series
KNN,0.706929347826087,MEANPOT,all,24h Time-series
KNN,0.6707246376811593,MEANPOT,all,0-12h Time-series
KNN,0.6778577898550725,MEANPOT,all,6h-18h Time-series
KNN,0.6984873188405799,MEANPOT,all,13-24h Time-series
LR,0.07758152173913045,MEANPOT,all,24h Time-series
LR,0.1264447463768116,MEANPOT,all,0-12h Time-series
LR,0.10509057971014495,MEANPOT,all,6h-18h Time-series
LR,0.0742481884057971,MEANPOT,all,13-24h Time-series
RFC,0.8144655797101448,MEANPOT,all,24h Time-series
RFC,0.8110914855072465,MEANPOT,all,0-12h Time-series
RFC,0.8199456521739129,MEANPOT,all,6h-18h Time-series
RFC,0.818768115942029,MEANPOT,all,13-24h Time-series
SVM,0.7616349637681158,MEANPOT,all,24h Time-series
SVM,0.726177536231884,MEANPOT,all,0-12h Time-series
SVM,0.7396105072463768,MEANPOT,all,6h-18h Time-series
SVM,0.7627626811594204,MEANPOT,all,13-24h Time-series
KNN,0.7019338768115942,MEANSHR,all,24h Time-series
KNN,0.6662771739130435,MEANSHR,all,0-12h Time-series
KNN,0.6868070652173913,MEANSHR,all,6h-18h Time-series
KNN,0.7092391304347827,MEANSHR,all,13-24h Time-series
LR,0.08079710144927535,MEANSHR,all,24h Time-series
LR,0.1184873188405797,MEANSHR,all,0-12h Time-series
LR,0.1051766304347826,MEANSHR,all,6h-18h Time-series
LR,0.0803125,MEANSHR,all,13-24h Time-series
RFC,0.812884963768116,MEANSHR,all,24h Time-series
RFC,0.8076992753623189,MEANSHR,all,0-12h Time-series
RFC,0.8195742753623189,MEANSHR,all,6h-18h Time-series
RFC,0.8141666666666668,MEANSHR,all,13-24h Time-series
SVM,0.7524230072463768,MEANSHR,all,24h Time-series
SVM,0.7394429347826087,MEANSHR,all,0-12h Time-series
SVM,0.7503442028985509,MEANSHR,all,6h-18h Time-series
SVM,0.7612681159420289,MEANSHR,all,13-24h Time-series
KNN,0.7149094202898552,R_VALUE,all,24h Time-series
KNN,0.6511639492753624,R_VALUE,all,0-12h Time-series
KNN,0.6781838768115943,R_VALUE,all,6h-18h Time-series
KNN,0.7007789855072465,R_VALUE,all,13-24h Time-series
LR,0.061055253623188414,R_VALUE,all,24h Time-series
LR,0.12279438405797102,R_VALUE,all,0-12h Time-series
LR,0.09467391304347829,R_VALUE,all,6h-18h Time-series
LR,0.09831974637681164,R_VALUE,all,13-24h Time-series
RFC,0.8081521739130436,R_VALUE,all,24h Time-series
RFC,0.7997644927536232,R_VALUE,all,0-12h Time-series
RFC,0.8119701086956524,R_VALUE,all,6h-18h Time-series
RFC,0.8063088768115942,R_VALUE,all,13-24h Time-series
SVM,0.759945652173913,R_VALUE,all,24h Time-series
SVM,0.7305706521739131,R_VALUE,all,0-12h Time-series
SVM,0.7352445652173915,R_VALUE,all,6h-18h Time-series
SVM,0.7523731884057969,R_VALUE,all,13-24h Time-series
KNN,0.7130661231884059,SHRGT45,all,24h Time-series
KNN,0.6617708333333333,SHRGT45,all,0-12h Time-series
KNN,0.6855932971014493,SHRGT45,all,6h-18h Time-series
KNN,0.6992753623188405,SHRGT45,all,13-24h Time-series
LR,0.09307518115942028,SHRGT45,all,24h Time-series
LR,0.11243659420289852,SHRGT45,all,0-12h Time-series
LR,0.11564764492753624,SHRGT45,all,6h-18h Time-series
LR,0.087518115942029,SHRGT45,all,13-24h Time-series
RFC,0.8211367753623189,SHRGT45,all,24h Time-series
RFC,0.8133288043478262,SHRGT45,all,0-12h Time-series
RFC,0.8202717391304347,SHRGT45,all,6h-18h Time-series
