,name,tss_mean,tss_std,dataset
0,KNN,0.8582706766917292,0.049358535806499904,Original
1,KNN,0.8651211361737676,0.04719004234205039,Interpolated
2,RFC,0.9068922305764411,0.04155938412465607,Original
3,RFC,0.9052213868003341,0.039655907168990805,Interpolated
4,LR,0.8882623224728488,0.034148859647546784,Original
5,LR,0.8873015873015871,0.03302812726020602,Interpolated
6,SVM,0.885547201336675,0.04127144781912539,Original
7,SVM,0.8846700083542188,0.041848487201189305,Interpolated
8,LDA,0.8742690058479532,0.0451560793493303,Original
9,LDA,0.8572681704260653,0.04711884986108975,Interpolated
10,DART,0.9950710108604847,0.011799576350231149,Original
11,DART,0.9950710108604847,0.011799576350231149,Interpolated
