,name,tss_mean,tss_std,hours,dataset
0,LR,0.7353204439670605,0.025054855314906876,1,All Flares
1,LDA,0.6301378446115287,0.025599414681316466,1,All Flares
2,KNN,0.7141066953097028,0.022728078860661173,1,All Flares
3,DART,0.7563999283924097,0.024347411647854415,1,All Flares
4,RFC,0.7550751879699248,0.035153193085099274,1,All Flares
5,SVM,0.6893215180809167,0.0229906457266682,1,All Flares
6,LR,0.7516571969696968,0.055232739886017075,1,Coincidental Flares
7,LDA,0.7088068181818182,0.05440517415664897,1,Coincidental Flares
8,KNN,0.7585858585858587,0.05726136257839803,1,Coincidental Flares
9,DART,0.7955650252525253,0.040280118540679394,1,Coincidental Flares
10,RFC,0.804955808080808,0.03910956823992011,1,Coincidental Flares
11,SVM,0.7714488636363636,0.038098351577660595,1,Coincidental Flares
12,LR,0.7322798097424962,0.036589878333351256,1,Noncoincidental Flares
13,LDA,0.5935181236673776,0.03273253550841802,1,Noncoincidental Flares
14,KNN,0.6374911158493248,0.038052691498049386,1,Noncoincidental Flares
15,DART,0.6989415559564816,0.028810415444558205,1,Noncoincidental Flares
16,RFC,0.6995423979006069,0.03771970856678151,1,Noncoincidental Flares
17,SVM,0.6226422830900443,0.042814805204471056,1,Noncoincidental Flares
18,LR,0.7388672976238421,0.023803266591581648,2,All Flares
19,LDA,0.6395680628272252,0.03832802152165135,2,All Flares
20,KNN,0.717553362867499,0.028497697571163237,2,All Flares
21,DART,0.7501359242851391,0.026159907790952137,2,All Flares
22,RFC,0.7652040542354678,0.017536321353638598,2,All Flares
23,SVM,0.6968418579675125,0.03972103273988321,2,All Flares
24,LR,0.7108366935483871,0.04315021505611636,2,Coincidental Flares
25,LDA,0.6302755376344087,0.06753715454240164,2,Coincidental Flares
26,KNN,0.7596270161290325,0.05228855521188115,2,Coincidental Flares
27,DART,0.7948084677419357,0.04878559270984167,2,Coincidental Flares
28,RFC,0.7920026881720429,0.048268000928628554,2,Coincidental Flares
29,SVM,0.7825772849462367,0.04687689384639184,2,Coincidental Flares
30,LR,0.7326691423397403,0.02579273828013131,2,Noncoincidental Flares
31,LDA,0.5852852181686896,0.030538609492830326,2,Noncoincidental Flares
32,KNN,0.6489742002773672,0.037437063943371165,2,Noncoincidental Flares
33,DART,0.7151709475180232,0.02673724704278556,2,Noncoincidental Flares
34,RFC,0.7122419741200474,0.034756017414074344,2,Noncoincidental Flares
35,SVM,0.6358565714220219,0.03603812223590296,2,Noncoincidental Flares
36,LR,0.7430779305828423,0.027408272957388072,3,All Flares
37,LDA,0.6150151330112038,0.024505943461265545,3,All Flares
38,KNN,0.7065916210906387,0.028197312133567083,3,All Flares
39,DART,0.7622517212694029,0.0270518978063383,3,All Flares
40,RFC,0.7618747234464327,0.022516132048577445,3,All Flares
41,SVM,0.7039699817695887,0.030029864528907855,3,All Flares
42,LR,0.6998438719750195,0.036791002762238886,3,Coincidental Flares
43,LDA,0.5644895480961054,0.051186968594550596,3,Coincidental Flares
44,KNN,0.7445398560152658,0.04316530929751586,3,Coincidental Flares
45,DART,0.7829386763812995,0.043880240739966436,3,Coincidental Flares
46,RFC,0.8118397085610201,0.04004160787288785,3,Coincidental Flares
47,SVM,0.7852285540810132,0.04291640869012934,3,Coincidental Flares
48,LR,0.7256118636435552,0.033605132835546836,3,Noncoincidental Flares
49,LDA,0.5651922304574828,0.034551490950059646,3,Noncoincidental Flares
50,KNN,0.6363248019277812,0.04291582553796262,3,Noncoincidental Flares
51,DART,0.6842941813623474,0.04072086357378867,3,Noncoincidental Flares
52,RFC,0.7168997286015067,0.03636825676180058,3,Noncoincidental Flares
53,SVM,0.6256416809668115,0.03282753735908835,3,Noncoincidental Flares
54,LR,0.7424959706959707,0.030865329619201867,4,All Flares
55,LDA,0.6158615384615386,0.03319974623672823,4,All Flares
56,KNN,0.7093098901098899,0.025495510653419866,4,All Flares
57,DART,0.7645018315018316,0.028224586837082413,4,All Flares
58,RFC,0.7655684981684981,0.02608332813712235,4,All Flares
59,SVM,0.7057699633699634,0.03027363339186736,4,All Flares
60,LR,0.7024876981957353,0.06134445920717366,4,Coincidental Flares
61,LDA,0.4121742299981775,0.10046545844855892,4,Coincidental Flares
62,KNN,0.7470020047384728,0.04840324593558698,4,Coincidental Flares
63,DART,0.8280845635137598,0.04419853099804365,4,Coincidental Flares
64,RFC,0.828494623655914,0.03588935955792928,4,Coincidental Flares
65,SVM,0.7910880262438492,0.03728853643186956,4,Coincidental Flares
66,LR,0.7213907785336356,0.029083545563842458,4,Noncoincidental Flares
67,LDA,0.5550415721844293,0.045752560617501714,4,Noncoincidental Flares
68,KNN,0.6367422524565384,0.03620198962840534,4,Noncoincidental Flares
69,DART,0.7070049130763417,0.03588118235157934,4,Noncoincidental Flares
70,RFC,0.7127569916855631,0.03571830318299836,4,Noncoincidental Flares
71,SVM,0.6249281934996221,0.03467591798396969,4,Noncoincidental Flares
72,LR,0.7301736784099113,0.02827490071941936,5,All Flares
73,LDA,0.611596929274503,0.032240495588073195,5,All Flares
74,KNN,0.7059442100862693,0.02774291182959776,5,All Flares
75,DART,0.7572200053205639,0.020381987112869978,5,All Flares
76,RFC,0.7649868886101927,0.02515021409503087,5,All Flares
77,SVM,0.7101041310378898,0.026957085319198406,5,All Flares
78,LR,0.7114877589453863,0.04897093608851446,5,Coincidental Flares
79,LDA,0.2136723163841808,0.08900874289068,5,Coincidental Flares
80,KNN,0.7753483992467043,0.047100707730979526,5,Coincidental Flares
81,DART,0.8081732580037664,0.04165218448778367,5,Coincidental Flares
82,RFC,0.8292278719397363,0.045569372185120145,5,Coincidental Flares
83,SVM,0.777476459510358,0.04120015151141399,5,Coincidental Flares
84,LR,0.7135867225114494,0.04949601208782467,5,Noncoincidental Flares
85,LDA,0.5517621116634698,0.04133917388390193,5,Noncoincidental Flares
86,KNN,0.6268426821153167,0.03934199030598787,5,Noncoincidental Flares
87,DART,0.69603214989366,0.0446036809181766,5,Noncoincidental Flares
88,RFC,0.7094655602092874,0.03479975482953234,5,Noncoincidental Flares
89,SVM,0.6109138711655642,0.03478473965029039,5,Noncoincidental Flares
90,LR,0.7476935817805382,0.02982091469241875,6,All Flares
91,LDA,0.6095486542443065,0.029886209951306943,6,All Flares
92,KNN,0.7112298136645963,0.03211381888910052,6,All Flares
93,DART,0.7507301587301587,0.027637137684647834,6,All Flares
94,RFC,0.7595969634230503,0.02314075487841434,6,All Flares
95,SVM,0.7022001380262249,0.04034877420341591,6,All Flares
96,LR,0.714124293785311,0.04004529976648442,6,Coincidental Flares
97,LDA,0.2734463276836158,0.08403468152837537,6,Coincidental Flares
98,KNN,0.7785310734463278,0.046300115815927405,6,Coincidental Flares
99,DART,0.8135593220338982,0.04376252368595952,6,Coincidental Flares
100,RFC,0.8203389830508473,0.050011968308092035,6,Coincidental Flares
101,SVM,0.787005649717514,0.050409285940552225,6,Coincidental Flares
102,LR,0.7046484110885735,0.033085916838234974,6,Noncoincidental Flares
103,LDA,0.5581365787694387,0.04315141799834037,6,Noncoincidental Flares
104,KNN,0.6306382691007438,0.04090103012191615,6,Noncoincidental Flares
105,DART,0.6914178498985801,0.039172297118756666,6,Noncoincidental Flares
106,RFC,0.7063624070317781,0.044402538632911714,6,Noncoincidental Flares
107,SVM,0.6232974983096687,0.03611573407764784,6,Noncoincidental Flares
108,LR,0.7475694956345111,0.034988402513303575,7,All Flares
109,LDA,0.600556947925369,0.033730818190241665,7,All Flares
110,KNN,0.70286459613085,0.03163038933823413,7,All Flares
111,DART,0.7647542057758775,0.027806572185461734,7,All Flares
112,RFC,0.772492915294773,0.026806408026177307,7,All Flares
113,SVM,0.6889507264894262,0.029230219612158968,7,All Flares
114,LR,0.7257309941520467,0.05114535767037714,7,Coincidental Flares
115,LDA,0.3596491228070175,0.08275422045663686,7,Coincidental Flares
116,KNN,0.7824561403508772,0.05015621436816742,7,Coincidental Flares
117,DART,0.7918128654970762,0.04915064652503086,7,Coincidental Flares
118,RFC,0.8163742690058479,0.038631917110909325,7,Coincidental Flares
119,SVM,0.7918128654970759,0.05561400434137422,7,Coincidental Flares
120,LR,0.7076920915858967,0.03633441436862742,7,Noncoincidental Flares
121,LDA,0.5504804045512011,0.041263651197676214,7,Noncoincidental Flares
122,KNN,0.6270213513133868,0.040936396279016164,7,Noncoincidental Flares
123,DART,0.7010099733108582,0.036382421438494135,7,Noncoincidental Flares
124,RFC,0.7068169686753757,0.0395659054406516,7,Noncoincidental Flares
125,SVM,0.627300182609917,0.0382052834804321,7,Noncoincidental Flares
126,LR,0.7364761929133185,0.02525661651662949,8,All Flares
127,LDA,0.6040107818550932,0.035630234218986666,8,All Flares
128,KNN,0.7009080130337614,0.03262995264929515,8,All Flares
129,DART,0.7522527594383881,0.03226248068455647,8,All Flares
130,RFC,0.7784286128597505,0.019629876346667303,8,All Flares
131,SVM,0.7051708548714538,0.030179848071439936,8,All Flares
132,LR,0.75,0.05113507522598698,8,Coincidental Flares
133,LDA,0.40178571428571436,0.07656390998979332,8,Coincidental Flares
134,KNN,0.774404761904762,0.06262459236722422,8,Coincidental Flares
135,DART,0.8142857142857145,0.04164965639175215,8,Coincidental Flares
136,RFC,0.8232142857142858,0.040287550616708835,8,Coincidental Flares
137,SVM,0.7982142857142859,0.03605492314501859,8,Coincidental Flares
138,LR,0.7186207999767321,0.04188130394110573,8,Noncoincidental Flares
139,LDA,0.5288368271419119,0.05317749471923986,8,Noncoincidental Flares
140,KNN,0.6272706120163748,0.03865285185099146,8,Noncoincidental Flares
141,DART,0.6792465589075757,0.035629540308430435,8,Noncoincidental Flares
142,RFC,0.7081051996306231,0.03307544489740565,8,Noncoincidental Flares
143,SVM,0.6201179387620066,0.031127716811159896,8,Noncoincidental Flares
144,LR,0.7515855725006051,0.02283942599512276,9,All Flares
145,LDA,0.5672960542241589,0.04043666340275581,9,All Flares
146,KNN,0.7061486322924232,0.038663656921135436,9,All Flares
147,DART,0.7553497942386831,0.03469228400455834,9,All Flares
148,RFC,0.7524086177680951,0.024683833655902397,9,All Flares
149,SVM,0.6866497216170416,0.025288687179191825,9,All Flares
150,LR,0.7339506172839507,0.06315934033058987,9,Coincidental Flares
151,LDA,0.4820987654320988,0.07702209810835234,9,Coincidental Flares
152,KNN,0.7808641975308642,0.04384454532612288,9,Coincidental Flares
153,DART,0.79320987654321,0.04947907266012778,9,Coincidental Flares
154,RFC,0.8246913580246914,0.03964097372346252,9,Coincidental Flares
155,SVM,0.8049382716049381,0.04375319789301075,9,Coincidental Flares
156,LR,0.7256796205072067,0.03103838184446832,9,Noncoincidental Flares
157,LDA,0.5043012224046707,0.04000938617525828,9,Noncoincidental Flares
158,KNN,0.6269719637535729,0.04017354918476854,9,Noncoincidental Flares
159,DART,0.6900580794258955,0.04219120612128275,9,Noncoincidental Flares
160,RFC,0.7159733625250866,0.03422453177623403,9,Noncoincidental Flares
161,SVM,0.6109529891139088,0.04658528476951646,9,Noncoincidental Flares
162,LR,0.7441858384999601,0.028422369238732637,10,All Flares
163,LDA,0.5546438440643815,0.0478995321323924,10,All Flares
164,KNN,0.6940467279600416,0.031462636548561906,10,All Flares
165,DART,0.7534782342612077,0.03455560537060344,10,All Flares
166,RFC,0.7699394127699241,0.024944751910802147,10,All Flares
167,SVM,0.7002749257370976,0.02634282484105599,10,All Flares
168,LR,0.724455732946299,0.04732813665759369,10,Coincidental Flares
169,LDA,0.4687106918238993,0.09311458929971737,10,Coincidental Flares
170,KNN,0.7725205611998067,0.0578185895481663,10,Coincidental Flares
171,DART,0.8190130624092888,0.04106170996165004,10,Coincidental Flares
172,RFC,0.8229801644895985,0.03844301903426386,10,Coincidental Flares
173,SVM,0.7872278664731495,0.05542224488679601,10,Coincidental Flares
174,LR,0.7218888567572779,0.030440707515598003,10,Noncoincidental Flares
175,LDA,0.4802286164128269,0.05221736517110433,10,Noncoincidental Flares
176,KNN,0.6289224664224664,0.047437965721798,10,Noncoincidental Flares
177,DART,0.6983114838377998,0.045968932931737386,10,Noncoincidental Flares
178,RFC,0.6954830987725723,0.0415443902313114,10,Noncoincidental Flares
179,SVM,0.6211707152496626,0.035480999640948085,10,Noncoincidental Flares
180,LR,0.7617948266932466,0.031117050935031542,11,All Flares
181,LDA,0.5469022700399674,0.036728057983721855,11,All Flares
182,KNN,0.7007983739360714,0.03470649753306206,11,All Flares
183,DART,0.7574804803924443,0.032078613669206106,11,All Flares
184,RFC,0.7678246508946283,0.03160322362828767,11,All Flares
185,SVM,0.7178681363782944,0.03604814072702829,11,All Flares
186,LR,0.766302161890397,0.038997984518652926,11,Coincidental Flares
187,LDA,0.4929738562091503,0.07676996829723169,11,Coincidental Flares
188,KNN,0.8018979386626446,0.04068561440184266,11,Coincidental Flares
189,DART,0.8484414278531927,0.04558800484215405,11,Coincidental Flares
190,RFC,0.8438788335847158,0.0413616999444048,11,Coincidental Flares
191,SVM,0.8106209150326796,0.054349391412522104,11,Coincidental Flares
192,LR,0.7186535230385949,0.040143123693924344,11,Noncoincidental Flares
193,LDA,0.4862099504217052,0.04464041774474305,11,Noncoincidental Flares
194,KNN,0.6148941805510724,0.03697909099567671,11,Noncoincidental Flares
195,DART,0.6841904005164753,0.037100032654198326,11,Noncoincidental Flares
196,RFC,0.7068615035714582,0.021681124530734838,11,Noncoincidental Flares
197,SVM,0.6232943493986874,0.027438479676307526,11,Noncoincidental Flares
198,LR,0.7568561804109131,0.03543062718365255,12,All Flares
199,LDA,0.5359849829000488,0.04224627002211072,12,All Flares
200,KNN,0.7081442053022705,0.037673645533951465,12,All Flares
201,DART,0.7688338604746844,0.03233643559812826,12,All Flares
202,RFC,0.7781285196328009,0.03511093567242985,12,All Flares
203,SVM,0.7092864306101982,0.03410970858007761,12,All Flares
204,LR,0.7662483660130717,0.0612963408604399,12,Coincidental Flares
205,LDA,0.5424575163398693,0.07038059025864506,12,Coincidental Flares
206,KNN,0.8118169934640522,0.04314649138587667,12,Coincidental Flares
207,DART,0.856483660130719,0.03083900613186427,12,Coincidental Flares
208,RFC,0.8472418300653594,0.04563451676553363,12,Coincidental Flares
209,SVM,0.8218823529411766,0.04173445773211901,12,Coincidental Flares
210,LR,0.7176430976430976,0.036955600955783666,12,Noncoincidental Flares
211,LDA,0.4517941317941318,0.05271470694627332,12,Noncoincidental Flares
212,KNN,0.6351803751803753,0.043877454445722934,12,Noncoincidental Flares
213,DART,0.6893506493506493,0.03289153740827243,12,Noncoincidental Flares
214,RFC,0.706070226070226,0.040653782772234796,12,Noncoincidental Flares
215,SVM,0.6281770081770083,0.03851615548912668,12,Noncoincidental Flares
216,LR,0.7507553450262451,0.03431954400459156,13,All Flares
217,LDA,0.5161855076174625,0.033939302011769715,13,All Flares
218,KNN,0.7196955148721886,0.0318742717920981,13,All Flares
219,DART,0.7765053556949599,0.03343901479673529,13,All Flares
220,RFC,0.783432552383391,0.029540175896432024,13,All Flares
221,SVM,0.7141189775103487,0.025521160347467053,13,All Flares
222,LR,0.7574166666666667,0.055955235911627856,13,Coincidental Flares
223,LDA,0.5663333333333334,0.08433360781685678,13,Coincidental Flares
224,KNN,0.8125833333333332,0.036209492054084594,13,Coincidental Flares
225,DART,0.8479722222222226,0.04597839837667195,13,Coincidental Flares
226,RFC,0.8587499999999999,0.0347908765712017,13,Coincidental Flares
227,SVM,0.8199444444444443,0.041559825983784736,13,Coincidental Flares
228,LR,0.7101410934744267,0.03825187199310813,13,Noncoincidental Flares
229,LDA,0.4449861426051902,0.03898445144620758,13,Noncoincidental Flares
230,KNN,0.6199798437893675,0.04854945492065752,13,Noncoincidental Flares
231,DART,0.6913454270597127,0.046770765050901046,13,Noncoincidental Flares
232,RFC,0.7017888636936257,0.044852055454259035,13,Noncoincidental Flares
233,SVM,0.644923154446964,0.042809495693925274,13,Noncoincidental Flares
234,LR,0.7446676255186893,0.03797837118040171,14,All Flares
235,LDA,0.5216854855152726,0.044194783901801434,14,All Flares
236,KNN,0.6974149569894251,0.034800085276449816,14,All Flares
237,DART,0.7743440956206914,0.03174924185468751,14,All Flares
238,RFC,0.7874704491725768,0.02634934208246069,14,All Flares
239,SVM,0.7102784528316444,0.03800148764118632,14,All Flares
240,LR,0.7808106575963719,0.05783748043419081,14,Coincidental Flares
241,LDA,0.5699971655328799,0.09153958520378133,14,Coincidental Flares
242,KNN,0.8022817460317458,0.04901892928612415,14,Coincidental Flares
243,DART,0.8401643990929705,0.05120654506561923,14,Coincidental Flares
244,RFC,0.862471655328798,0.041101982112822344,14,Coincidental Flares
245,SVM,0.8352749433106577,0.04487625030969709,14,Coincidental Flares
246,LR,0.6985242518059857,0.04323980434150159,14,Noncoincidental Flares
247,LDA,0.4484970447509148,0.0514692343287098,14,Noncoincidental Flares
248,KNN,0.6220808706257622,0.04330741039547694,14,Noncoincidental Flares
249,DART,0.6976301716858994,0.047362503105274206,14,Noncoincidental Flares
250,RFC,0.7254554836288581,0.03906537404262467,14,Noncoincidental Flares
251,SVM,0.6388300966319541,0.040113935548942554,14,Noncoincidental Flares
252,LR,0.7606451981272124,0.021749184020648175,15,All Flares
253,LDA,0.49191332648167185,0.0433429408695287,15,All Flares
254,KNN,0.7038683339043053,0.03516717793522661,15,All Flares
255,DART,0.7757525408244832,0.026135053706135586,15,All Flares
256,RFC,0.7892543108370447,0.025215057879095757,15,All Flares
257,SVM,0.7196916752312437,0.03295896792711063,15,All Flares
258,LR,0.8099083111505471,0.060928188073251975,15,Coincidental Flares
259,LDA,0.5474267968056789,0.08195161875602933,15,Coincidental Flares
260,KNN,0.8207630878438332,0.043512954788038724,15,Coincidental Flares
261,DART,0.862910381543922,0.03783336881452545,15,Coincidental Flares
262,RFC,0.8692102928127772,0.03402840360677892,15,Coincidental Flares
263,SVM,0.8315291333924875,0.0444137468901512,15,Coincidental Flares
264,LR,0.7021218778908419,0.039936931973445076,15,Noncoincidental Flares
265,LDA,0.40606113166820845,0.04648365691130948,15,Noncoincidental Flares
266,KNN,0.6430099444958371,0.04223406179697219,15,Noncoincidental Flares
267,DART,0.7055773974714769,0.04931785245924232,15,Noncoincidental Flares
268,RFC,0.7171060746222631,0.03525854080595387,15,Noncoincidental Flares
269,SVM,0.6483695652173912,0.03946282755500665,15,Noncoincidental Flares
270,LR,0.7482477587612062,0.03268392077979994,16,All Flares
271,LDA,0.4567458890646723,0.030497293125306624,16,All Flares
272,KNN,0.7072187065535259,0.033358679650839516,16,All Flares
273,DART,0.7818076130207583,0.03331357125255494,16,All Flares
274,RFC,0.797092382185148,0.035137688566706946,16,All Flares
275,SVM,0.716289131789635,0.03073968676109073,16,All Flares
276,LR,0.8010185185185186,0.04352186748343345,16,Coincidental Flares
277,LDA,0.5933796296296296,0.06307215817211537,16,Coincidental Flares
278,KNN,0.8176388888888889,0.03721280629937626,16,Coincidental Flares
279,DART,0.8675925925925926,0.0457565762062457,16,Coincidental Flares
280,RFC,0.8767592592592592,0.04224891537637517,16,Coincidental Flares
281,SVM,0.8229166666666667,0.0502408678719501,16,Coincidental Flares
282,LR,0.7108068726853257,0.04272656788204753,16,Noncoincidental Flares
283,LDA,0.3651316455183859,0.055680900543210204,16,Noncoincidental Flares
284,KNN,0.6401382227349078,0.045750481249728664,16,Noncoincidental Flares
285,DART,0.7021168518406087,0.039528593639891245,16,Noncoincidental Flares
286,RFC,0.7163226276485943,0.05188183778697972,16,Noncoincidental Flares
287,SVM,0.6427711331026248,0.0431289177069467,16,Noncoincidental Flares
288,LR,0.7498055627569349,0.02998944029917469,17,All Flares
289,LDA,0.44004296137180104,0.04430335110751332,17,All Flares
290,KNN,0.7113143957631199,0.030740094777609774,17,All Flares
291,DART,0.7775656457168252,0.03204809826432659,17,All Flares
292,RFC,0.8001172796069279,0.022651015112168865,17,All Flares
293,SVM,0.716281495747071,0.03369615795960175,17,All Flares
294,LR,0.8084622823984525,0.0489466414257568,17,Coincidental Flares
295,LDA,0.6269181173436493,0.07635433097410749,17,Coincidental Flares
296,KNN,0.8393778207607994,0.054031391779616945,17,Coincidental Flares
297,DART,0.8836557059961316,0.03339466489571335,17,Coincidental Flares
298,RFC,0.8902643455834944,0.04124731450509488,17,Coincidental Flares
299,SVM,0.8499032882011606,0.060111861508211635,17,Coincidental Flares
300,LR,0.7116555744724757,0.041466001957920086,17,Noncoincidental Flares
301,LDA,0.31517618531703046,0.06692092232646131,17,Noncoincidental Flares
302,KNN,0.5952226177578289,0.03598047573450319,17,Noncoincidental Flares
