,name,tss_mean,tss_std,dataset
0,KNN,0.655749446027224,0.049941239579201914,Original
1,KNN,0.6565883190883192,0.051007557649137183,Interpolated
2,RFC,0.792687559354226,0.04015004148590523,Original
3,RFC,0.7901274137385247,0.041985972732958454,Interpolated
4,LR,0.9086024058246278,0.025474142961582655,Original
5,LR,0.9075973409306743,0.028044464163415283,Interpolated
6,SVM,0.6852168407723964,0.0518426229823857,Original
7,SVM,0.6830682177904401,0.05198552986812324,Interpolated
8,LDA,0.5601733143399809,0.04846263261947182,Original
9,LDA,0.4981244064577398,0.07441460603165803,Interpolated
10,DART,0.9988247863247863,0.0019378586695744647,Original
11,DART,0.9988247863247863,0.0019378586695744647,Interpolated
