,name,tss_mean,tss_std,dataset
0,KNN,0.7250831210671236,0.03238366373087719,Original
1,KNN,0.7254576618182682,0.03195755384963683,Interpolated
2,RFC,0.8198490727735853,0.02923269677422661,Original
3,RFC,0.8181715745788399,0.03051844139640479,Interpolated
4,LR,0.7123217558978265,0.044446876564236085,Original
5,LR,0.7035819426920911,0.039551628635382884,Interpolated
6,SVM,0.7335618666730149,0.029438584504907706,Original
7,SVM,0.7333793574086861,0.029393237989653622,Interpolated
8,LDA,0.42843653041953317,0.05435775334645383,Original
9,LDA,0.3999166805532412,0.07094389133072974,Interpolated
10,DART,0.7926274192396509,0.03989519718693487,Original
11,DART,0.7888066274668509,0.040818517799111755,Interpolated
