,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20,TOTUSJZ_21,TOTUSJZ_22,TOTUSJZ_23,TOTUSJZ_24,TOTUSJZ_25,TOTUSJZ_26,TOTUSJZ_27,TOTUSJZ_28,TOTUSJZ_29,TOTUSJZ_30,TOTUSJZ_31,TOTUSJZ_32,TOTUSJZ_33,TOTUSJZ_34,TOTUSJZ_35,TOTUSJZ_36,TOTUSJZ_37,TOTUSJZ_38,TOTUSJZ_39,TOTUSJZ_40,TOTUSJZ_41,TOTUSJZ_42,TOTUSJZ_43,TOTUSJZ_44,TOTUSJZ_45,TOTUSJZ_46,TOTUSJZ_47,TOTUSJZ_48,TOTUSJZ_49,TOTUSJZ_50,TOTUSJZ_51,TOTUSJZ_52,TOTUSJZ_53,TOTUSJZ_54,TOTUSJZ_55
0,X,False,49798000000000.0,50329000000000.0,50637000000000.0,49921000000000.0,50534000000000.0,50522000000000.0,50492000000000.0,49582000000000.0,49678000000000.0,49648000000000.0,50103000000000.0,49338000000000.0,49572000000000.0,49211000000000.0,49586000000000.0,50519000000000.0,50319000000000.0,49752000000000.0,49966000000000.0,50085000000000.0,50922000000000.0,50942000000000.0,50376000000000.0,49654000000000.0,50547000000000.0,51145000000000.0,50856000000000.0,51043000000000.0,51550000000000.0,51609000000000.0,50719000000000.0,50858000000000.0,51123000000000.0,51273000000000.0,50707000000000.0,51158000000000.0,50725000000000.0,50391000000000.0,49966000000000.0,50342000000000.0,50646000000000.0,49627000000000.0,49441000000000.0,49985000000000.0,50232000000000.0,50239000000000.0,50037000000000.0,50601000000000.0,51112000000000.0,51312000000000.0,51398000000000.0,52256000000000.0,52154000000000.0,52339000000000.0,52313000000000.0
1,X,False,62324000000000.0,61686000000000.0,62797000000000.0,61799000000000.0,62366000000000.0,61484000000000.0,60860000000000.0,61379000000000.0,60785000000000.0,60778000000000.0,60279000000000.0,60809000000000.0,60777000000000.0,60657000000000.0,59731000000000.0,59688000000000.0,60548000000000.0,61117000000000.0,59936000000000.0,59512000000000.0,59792000000000.0,59305000000000.0,59386000000000.0,59493000000000.0,58784000000000.0,58263000000000.0,58137000000000.0,57350000000000.0,57628000000000.0,57292000000000.0,57848000000000.0,57375000000000.0,57059000000000.0,57167000000000.0,56480000000000.0,56871000000000.0,56788000000000.0,57647000000000.0,58497000000000.0,59042000000000.0,59281000000000.0,59190000000000.0,58978000000000.0,58100000000000.0,57238000000000.0,56914000000000.0,57162000000000.0,56851000000000.0,56865000000000.0,56554000000000.0,56578000000000.0,56314000000000.0,56117000000000.0,55842000000000.0,56069000000000.0
2,X,False,41675000000000.0,42121000000000.0,42426000000000.0,42106000000000.0,42148000000000.0,42000000000000.0,41958000000000.0,40262000000000.0,40524000000000.0,39574000000000.0,39596000000000.0,39292000000000.0,39103000000000.0,38603000000000.0,39214000000000.0,38895000000000.0,38787000000000.0,39039000000000.0,39549000000000.0,39744000000000.0,39425000000000.0,38616000000000.0,38239000000000.0,37830000000000.0,37811000000000.0,38404000000000.0,38543000000000.0,38092000000000.0,38112000000000.0,39008000000000.0,38613000000000.0,37997000000000.0,37663000000000.0,37482000000000.0,37760000000000.0,37750000000000.0,37185000000000.0,37496000000000.0,37959000000000.0,38692000000000.0,37985000000000.0,37964000000000.0,37348000000000.0,36720000000000.0,37173000000000.0,37355000000000.0,38156000000000.0,37931000000000.0,38183000000000.0,38910000000000.0,39603000000000.0,38972000000000.0,39544000000000.0,40492000000000.0,40485000000000.0
3,X,False,35737000000000.0,35971000000000.0,36350000000000.0,36574000000000.0,35810000000000.0,35741000000000.0,35486000000000.0,35319000000000.0,35563000000000.0,34874000000000.0,34928000000000.0,34605000000000.0,34093000000000.0,33953000000000.0,34239000000000.0,34121000000000.0,34036000000000.0,34649000000000.0,34651000000000.0,34397000000000.0,34067000000000.0,34070000000000.0,33867000000000.0,33687000000000.0,33657000000000.0,33521000000000.0,34301000000000.0,33574000000000.0,33596000000000.0,33557000000000.0,32971000000000.0,32368000000000.0,32608000000000.0,32575000000000.0,33144000000000.0,33983000000000.0,35113000000000.0,37022000000000.0,37927000000000.0,38615000000000.0,37185000000000.0,35771000000000.0,33426000000000.0,32350000000000.0,31135000000000.0,31107000000000.0,31604000000000.0,31441000000000.0,31282000000000.0,31127000000000.0,30861000000000.0,30584000000000.0,30909000000000.0,30496000000000.0,31201000000000.0
4,X,True,29136000000000.0,29650000000000.0,29585000000000.0,28928000000000.0,28517000000000.0,28694000000000.0,28929000000000.0,28712000000000.0,28745000000000.0,28643000000000.0,28832000000000.0,28881000000000.0,29159000000000.0,29415000000000.0,29388000000000.0,28688000000000.0,28982000000000.0,28940000000000.0,28652000000000.0,28987000000000.0,28034000000000.0,28444000000000.0,28777000000000.0,28852000000000.0,28806000000000.0,28572000000000.0,28149000000000.0,28830000000000.0,28234000000000.0,28646000000000.0,28728000000000.0,28926000000000.0,28903000000000.0,29242000000000.0,29509000000000.0,29878000000000.0,31276000000000.0,32717000000000.0,33572000000000.0,34842000000000.0,33367000000000.0,32060000000000.0,30510000000000.0,28814000000000.0,27952000000000.0,28276000000000.0,27383000000000.0,27614000000000.0,27682000000000.0,27365000000000.0,27682000000000.0,27491000000000.0,27525000000000.0,27504000000000.0,27652000000000.0
5,X,False,78539000000000.0,78771000000000.0,82272000000000.0,77766000000000.0,81167000000000.0,78763000000000.0,79547000000000.0,79900000000000.0,80598000000000.0,82043000000000.0,83969000000000.0,83841000000000.0,83459000000000.0,82580000000000.0,81985000000000.0,82788000000000.0,83135000000000.0,83071000000000.0,83102000000000.0,82754000000000.0,84481000000000.0,83994000000000.0,85342000000000.0,85888000000000.0,86079000000000.0,85656000000000.0,85732000000000.0,85878000000000.0,86054000000000.0,86844000000000.0,86961000000000.0,87027000000000.0,87495000000000.0,86001000000000.0,87164000000000.0,85194000000000.0,87339000000000.0,86625000000000.0,88869000000000.0,87798000000000.0,87836000000000.0,86492000000000.0,88201000000000.0,88000000000000.0,87891000000000.0,87089000000000.0,87038000000000.0,87002000000000.0,88688000000000.0,89290000000000.0,90122000000000.0,92908000000000.0,93170000000000.0,91290000000000.0,91273000000000.0
6,X,True,35637000000000.0,35277000000000.0,35231000000000.0,35187000000000.0,34494000000000.0,35486000000000.0,35745000000000.0,34954000000000.0,35664000000000.0,35150000000000.0,35298000000000.0,35427000000000.0,35830000000000.0,35629000000000.0,35063000000000.0,35089000000000.0,35074000000000.0,34410000000000.0,34692000000000.0,34358000000000.0,34832000000000.0,34486000000000.0,34935000000000.0,35926000000000.0,36230000000000.0,36648000000000.0,36953000000000.0,35907000000000.0,37985000000000.0,37839000000000.0,39046000000000.0,38301000000000.0,38936000000000.0,38570000000000.0,38380000000000.0,37975000000000.0,37362000000000.0,37294000000000.0,37912000000000.0,38218000000000.0,39538000000000.0,39736000000000.0,40287000000000.0,40611000000000.0,41998000000000.0,41114000000000.0,41637000000000.0,41684000000000.0,41782000000000.0,42561000000000.0,42931000000000.0,42965000000000.0,43621000000000.0,43251000000000.0,43158000000000.0
7,X,False,139290000000000.0,138110000000000.0,137690000000000.0,137290000000000.0,137280000000000.0,137530000000000.0,135440000000000.0,135610000000000.0,135170000000000.0,134840000000000.0,134080000000000.0,134870000000000.0,132480000000000.0,133520000000000.0,134020000000000.0,133980000000000.0,133980000000000.0,133640000000000.0,135160000000000.0,134830000000000.0,135230000000000.0,137770000000000.0,139250000000000.0,140580000000000.0,211280000000000.0,146670000000000.0,147240000000000.0,147410000000000.0,147250000000000.0,148100000000000.0,146090000000000.0,145030000000000.0,144740000000000.0,142350000000000.0,140830000000000.0,140550000000000.0,140430000000000.0,139010000000000.0,139590000000000.0,139890000000000.0,140850000000000.0,140760000000000.0,140310000000000.0,140840000000000.0,140140000000000.0,140310000000000.0,138840000000000.0,139820000000000.0,139750000000000.0,140240000000000.0,138840000000000.0,138620000000000.0,138050000000000.0,139160000000000.0,139630000000000.0
8,X,False,23656000000000.0,23585000000000.0,23836000000000.0,23698000000000.0,23614000000000.0,24062000000000.0,24083000000000.0,23827000000000.0,23767000000000.0,24350000000000.0,23599000000000.0,24428000000000.0,24126000000000.0,24137000000000.0,24651000000000.0,24182000000000.0,24463000000000.0,24961000000000.0,25035000000000.0,24618000000000.0,24699000000000.0,25006000000000.0,24917000000000.0,24816000000000.0,25060000000000.0,25069000000000.0,25700000000000.0,26601000000000.0,26748000000000.0,26912000000000.0,26310000000000.0,27245000000000.0,27042000000000.0,27795000000000.0,27879000000000.0,26962000000000.0,27185000000000.0,28338000000000.0,28082000000000.0,27149000000000.0,27078000000000.0,27035000000000.0,27147000000000.0,27543000000000.0,27466000000000.0,27481000000000.0,27091000000000.0,26754000000000.0,27031000000000.0,27154000000000.0,27517000000000.0,27663000000000.0,27635000000000.0,27353000000000.0,26656000000000.0
9,X,True,71239000000000.0,70460000000000.0,69888000000000.0,69884000000000.0,70080000000000.0,69678000000000.0,69982000000000.0,69079000000000.0,69033000000000.0,68690000000000.0,69133000000000.0,69276000000000.0,69803000000000.0,69375000000000.0,69822000000000.0,69292000000000.0,68325000000000.0,68867000000000.0,69250000000000.0,69551000000000.0,69382000000000.0,70494000000000.0,69705000000000.0,70116000000000.0,71512000000000.0,71517000000000.0,71649000000000.0,71110000000000.0,70026000000000.0,68910000000000.0,69067000000000.0,68445000000000.0,67463000000000.0,68014000000000.0,66561000000000.0,66956000000000.0,66686000000000.0,66542000000000.0,66232000000000.0,65888000000000.0,66019000000000.0,67228000000000.0,67021000000000.0,68086000000000.0,65728000000000.0,65676000000000.0,65893000000000.0,67478000000000.0,65617000000000.0,66314000000000.0,66771000000000.0,66049000000000.0,67285000000000.0,68312000000000.0,68238000000000.0
