,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60
0,X,False,77.032,77.983,78.456,77.285,77.846,77.209,76.979,75.615,75.668,75.677,75.705,74.292,74.487,73.89,74.337,74.245,74.746,73.917,73.307,72.424,72.245,71.692,71.228,70.536,70.719,71.707,71.616,71.685,71.857,71.363,71.408,71.892,72.578,72.657,72.332,72.67,72.475,72.545,72.638,72.974,72.563,71.773,71.57,72.21,71.667,71.457,70.787,70.784,70.354,70.198,69.465,70.257,69.896,70.055,69.824,70.086,69.845,69.571,69.541,69.486
1,X,False,72.767,72.836,72.742,72.625,72.476,71.903,71.951,71.819,71.611,70.733,70.66,71.185,70.878,71.055,70.651,70.993,70.954,70.371,70.776,71.25,71.501,71.368,71.542,71.155,70.906,70.739,70.262,69.958,69.548,68.996,68.675,67.523,67.387,67.511,67.101,66.54,66.403,65.898,66.057,66.51,66.844,66.898,67.739,68.759,68.62,69.103,69.65,69.6,69.531,69.66,69.79,69.459,68.977,68.628,68.337,68.112,67.524,66.966,66.898,66.603
2,X,False,43.583,43.314,43.31,43.411,43.413,44.212,44.314,44.205,44.153,44.346,44.235,44.404,44.121,44.297,44.006,43.91,43.524,43.576,43.366,43.15,43.188,43.122,42.686,42.43,42.23,42.333,41.939,41.866,41.78,42.412,42.48,42.283,42.204,42.118,42.195,42.482,42.212,42.181,41.922,42.136,42.237,42.078,42.131,42.492,42.649,42.671,42.96,42.734,42.636,42.478,42.737,41.922,42.077,42.171,41.676,41.558,41.284,41.489,41.421,41.721
3,X,False,68.637,69.47,69.624,69.945,69.497,70.11,71.31,70.927,70.188,70.1,69.802,70.722,70.838,70.673,70.19,70.575,70.852,71.021,71.336,71.64,70.853,71.194,70.95,70.982,71.518,71.72,71.963,71.395,71.472,71.05,69.934,69.16,69.204,68.498,68.592,67.561,67.43,67.041,66.858,66.752,67.888,69.102,69.561,70.484,70.015,69.309,69.736,70.688,71.375,71.513,70.716,70.836,71.788,71.563,70.413,69.529,68.782,68.153,68.189,68.074
4,X,True,69.928,69.586,70.441,70.751,70.922,70.149,70.51,69.82,69.844,69.147,69.491,69.318,69.632,69.656,69.392,68.827,68.607,67.945,68.489,68.526,68.677,68.981,68.785,68.733,68.075,68.636,68.041,67.948,67.906,67.384,67.41,66.371,65.36,64.507,63.102,62.9,62.229,62.028,61.426,61.702,61.882,62.202,62.486,62.641,63.233,63.961,64.496,64.804,64.661,64.648,65.077,64.531,63.324,62.478,62.003,61.218,60.387,59.858,59.572,59.711
5,X,False,39.934,40.32,41.281,40.263,41.194,40.751,40.811,40.672,40.577,40.507,41.048,41.072,40.656,40.766,40.625,40.809,40.915,40.802,40.843,41.037,41.237,41.491,41.348,41.786,41.538,41.381,41.398,41.291,41.814,41.871,42.195,42.504,42.675,42.376,42.768,42.033,43.003,42.626,42.808,42.806,43.005,42.33,42.359,42.547,41.739,41.897,41.895,41.875,41.86,41.701,41.988,42.037,42.073,42.231,42.438,42.585,42.319,42.962,42.986,43.08
6,X,True,43.407,42.791,42.537,42.434,41.737,41.973,42.245,42.072,42.751,42.476,42.608,42.622,43.172,43.715,43.627,43.994,44.256,44.148,44.179,44.393,44.343,44.105,43.974,44.068,44.42,44.178,44.547,43.82,44.75,44.288,44.865,44.34,44.415,44.059,44.201,44.563,44.908,45.232,45.799,45.598,46.54,47.212,46.6,47.136,47.612,47.054,46.97,47.37,47.525,47.596,48.11,47.685,47.876,47.382,47.999,48.242,49.071,48.706,49.031,49.177
7,X,False,56.958,56.773,57.003,57.085,57.313,57.702,57.943,58.21,58.573,59.076,59.271,59.248,59.625,59.644,60.247,60.392,60.215,60.212,60.361,60.149,59.853,59.34,59.099,58.963,53.674,58.159,57.409,57.355,57.365,57.356,57.335,57.292,57.364,57.358,57.409,57.641,57.851,57.906,58.482,58.407,58.982,59.173,59.374,59.52,59.622,59.669,59.774,59.987,59.628,59.58,59.183,59.328,59.388,59.084,58.986,58.873,58.977,59.102,59.093,59.039
8,X,False,39.573,39.463,39.73,39.197,39.719,39.464,39.49,40.768,40.963,41.242,41.374,42.004,42.553,42.452,43.484,43.161,42.889,43.255,43.122,42.656,42.35,41.693,41.48,41.72,41.995,42.285,42.047,41.911,42.45,41.997,41.934,42.13,42.199,43.31,43.014,42.607,42.317,43.056,42.814,42.357,42.449,42.057,41.984,42.674,42.815,43.035,43.44,42.429,43.248,43.35,43.469,44.143,43.902,44.017,43.838,43.643,43.666,43.415,43.379,44.144
9,X,True,50.418,50.548,50.835,50.851,50.882,50.874,51.241,50.841,50.822,50.957,50.85,49.984,49.537,49.41,48.913,47.98,47.397,47.303,46.811,46.846,46.787,46.545,46.26,46.382,47.107,46.895,47.502,47.698,48.087,48.517,48.778,48.912,48.875,49.005,48.78,48.739,48.76,48.049,47.935,47.658,47.475,47.148,47.087,46.778,46.342,46.134,45.619,45.532,44.8,44.558,44.652,44.398,44.572,44.706,44.578,44.887,44.785,44.882,45.274,45.182
