,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10,ABSNJZH_11,ABSNJZH_12,ABSNJZH_13,ABSNJZH_14,ABSNJZH_15,ABSNJZH_16,ABSNJZH_17,ABSNJZH_18,ABSNJZH_19,ABSNJZH_20,ABSNJZH_21,ABSNJZH_22,ABSNJZH_23,ABSNJZH_24,ABSNJZH_25,ABSNJZH_26,ABSNJZH_27,ABSNJZH_28,ABSNJZH_29,ABSNJZH_30,ABSNJZH_31,ABSNJZH_32,ABSNJZH_33,ABSNJZH_34,ABSNJZH_35,ABSNJZH_36,ABSNJZH_37,ABSNJZH_38,ABSNJZH_39,ABSNJZH_40,ABSNJZH_41,ABSNJZH_42,ABSNJZH_43,ABSNJZH_44,ABSNJZH_45,ABSNJZH_46,ABSNJZH_47,ABSNJZH_48,ABSNJZH_49,ABSNJZH_50,ABSNJZH_51,ABSNJZH_52,ABSNJZH_53,ABSNJZH_54,ABSNJZH_55,ABSNJZH_56,ABSNJZH_57,ABSNJZH_58,ABSNJZH_59,ABSNJZH_60,ABSNJZH_61,ABSNJZH_62,ABSNJZH_63,ABSNJZH_64,ABSNJZH_65
0,X,False,764.14,745.29,769.27,796.42,833.26,807.49,823.0,838.58,848.0,829.88,866.7,872.58,860.06,867.4,848.23,841.44,848.64,828.53,818.45,828.21,812.3,808.52,809.8,819.73,799.24,793.95,812.98,789.51,797.36,795.91,780.3,761.33,733.78,736.71,745.64,745.17,750.03,730.12,741.92,708.42,693.79,734.77,730.57,755.25,663.98,651.0,689.87,647.52,654.27,648.22,664.06,679.84,661.02,651.29,646.09,643.17,622.68,583.28,585.15,562.45,570.66,558.12,545.61,504.75,482.89
1,X,False,170.57,177.31,175.42,145.16,127.4,150.63,165.21,161.44,156.94,172.37,170.26,186.81,181.56,174.99,204.02,259.95,238.31,227.57,257.53,246.01,254.9,217.6,200.82,210.44,184.94,212.22,223.93,186.39,177.13,166.06,177.84,182.17,140.17,152.45,129.66,90.933,90.055,90.383,122.35,143.44,150.27,156.47,149.4,171.1,195.44,189.66,210.63,196.01,223.53,190.97,188.63,164.91,142.09,121.66,128.34,130.82,127.59,107.97,116.32,110.75,60.454,80.973,64.136,41.307,33.995
2,X,False,817.87,813.65,792.8,796.06,799.03,802.45,795.17,802.91,789.0,783.48,781.65,788.88,774.86,768.46,780.87,775.61,776.4,791.26,801.02,802.05,794.55,791.72,786.67,773.87,789.89,776.95,808.42,799.13,807.34,819.84,796.92,777.95,799.16,815.54,816.77,823.27,810.28,828.31,846.81,843.17,836.86,849.8,861.54,847.62,868.05,880.77,896.14,906.37,920.01,927.67,941.42,948.37,978.15,1017.8,1025.2,1046.6,1055.3,1041.0,1072.3,1049.8,1061.4,1038.6,1041.9,1042.1,1029.8
3,X,False,223.28,196.5,192.04,198.23,207.29,183.63,184.9,173.73,181.85,153.82,160.85,216.65,178.23,212.77,167.86,147.77,151.0,180.93,157.45,207.03,216.6,220.31,216.68,209.99,206.44,202.66,212.41,196.74,234.43,249.1,276.81,284.44,281.25,299.84,302.55,313.64,291.55,299.55,274.04,276.28,259.15,273.46,237.42,212.92,214.28,222.28,239.74,225.63,219.82,222.9,216.94,221.25,233.64,239.34,249.0,253.04,246.39,251.34,240.07,233.48,240.8,226.1,237.39,244.08,232.89
4,X,True,360.82,397.61,404.05,398.52,402.7,390.82,403.82,407.98,421.46,423.6,434.72,428.12,428.1,422.22,408.79,408.51,391.21,385.47,384.81,382.53,394.91,395.41,393.15,374.29,377.66,379.38,392.68,398.49,387.66,407.9,397.53,384.78,394.21,391.3,379.28,394.45,405.38,396.68,400.38,389.1,398.73,379.74,356.15,351.23,358.56,333.33,353.45,353.22,346.63,353.42,357.87,356.63,349.98,354.21,351.75,358.46,348.14,330.14,344.28,339.1,327.19,332.41,321.53,327.91,317.3
5,X,False,123.83,227.95,40.131,122.73,117.55,59.184,26.548,85.885,79.975,54.714,135.23,83.837,91.206,141.23,168.51,185.34,171.4,181.27,275.81,214.47,260.54,189.15,315.12,223.62,318.12,317.37,298.47,272.83,206.38,293.46,186.31,247.03,255.98,220.76,215.12,63.224,264.11,50.527,237.57,156.41,179.98,25.463,24.255,170.31,51.765,3.4551,31.268,39.604,53.225,40.846,27.855,67.743,51.959,19.89,4.5936,25.886,26.484,19.867,85.226,17.467,20.13,22.349,55.719,162.17,180.0
6,X,True,925.63,901.3,929.44,923.21,977.85,925.81,981.07,952.25,947.59,1029.6,990.87,965.98,951.94,975.69,991.37,948.7,962.29,972.98,955.2,958.45,921.32,888.17,887.58,909.81,924.92,888.88,907.43,897.74,883.99,879.26,884.86,864.95,866.89,908.17,845.28,859.27,838.4,846.02,847.89,852.54,855.11,884.8,883.57,918.37,893.51,848.24,897.06,897.92,921.64,943.6,962.5,942.98,948.26,967.34,987.47,962.58,980.97,977.15,1006.9,1002.7,1031.6,1045.4,1009.6,1057.2,959.09
7,X,False,1375.0,1362.7,1361.6,1395.0,1349.4,1370.0,1364.1,1385.6,1396.0,1373.6,1347.6,1423.1,1409.3,1437.9,1462.0,1444.3,1486.7,1484.5,1476.6,1511.6,1509.9,1480.3,1525.9,1514.1,1525.5,1487.6,1530.9,1476.1,1471.1,1442.9,1460.7,1451.8,1491.6,1419.4,1450.4,1442.9,1455.8,1451.0,1430.0,1420.9,1390.3,1395.1,1346.5,1428.0,1420.6,1371.7,1434.8,1407.6,1384.2,1406.4,1403.0,1401.5,1400.2,1386.9,1433.8,1441.4,1373.9,1355.5,1372.2,1363.1,1342.6,1388.1,1390.6,1356.5,1386.5
8,X,False,156.65,301.92,274.58,237.84,306.6,326.54,680.34,344.43,349.04,694.7,346.9,688.25,357.72,302.69,237.61,255.74,238.3,247.93,346.2,254.98,397.36,403.04,419.52,417.58,415.99,449.3,499.7,557.67,481.37,568.97,612.99,620.82,593.28,554.09,558.39,544.19,589.94,490.77,432.98,540.11,529.17,527.96,576.04,463.29,487.43,519.1,508.65,503.62,513.72,485.94,513.31,505.21,516.22,543.75,553.5,537.45,557.57,528.39,526.84,506.3,506.51,517.27,662.76,689.52,491.53
9,X,True,798.16,793.8,822.06,818.54,848.69,788.07,769.68,759.26,766.73,747.13,877.12,812.89,753.7,771.78,728.36,743.33,775.05,760.68,768.62,797.3,751.25,755.23,717.19,735.98,759.29,760.12,774.34,781.59,769.83,790.59,804.12,804.78,812.6,853.63,845.38,813.98,797.88,818.33,798.1,795.39,766.07,763.73,770.62,525.12,742.53,731.14,740.29,475.61,705.73,697.67,677.2,673.45,479.37,494.81,478.9,691.52,708.77,713.0,738.58,705.94,735.09,710.45,733.7,526.71,543.65
