,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5,MEANGBT_6,MEANGBT_7,MEANGBT_8,MEANGBT_9,MEANGBT_10,MEANGBT_11,MEANGBT_12,MEANGBT_13,MEANGBT_14,MEANGBT_15,MEANGBT_16,MEANGBT_17,MEANGBT_18,MEANGBT_19,MEANGBT_20,MEANGBT_21,MEANGBT_22,MEANGBT_23,MEANGBT_24,MEANGBT_25,MEANGBT_26,MEANGBT_27,MEANGBT_28,MEANGBT_29,MEANGBT_30,MEANGBT_31,MEANGBT_32,MEANGBT_33,MEANGBT_34,MEANGBT_35,MEANGBT_36,MEANGBT_37,MEANGBT_38,MEANGBT_39,MEANGBT_40,MEANGBT_41,MEANGBT_42,MEANGBT_43,MEANGBT_44,MEANGBT_45,MEANGBT_46,MEANGBT_47,MEANGBT_48,MEANGBT_49,MEANGBT_50,MEANGBT_51,MEANGBT_52,MEANGBT_53,MEANGBT_54,MEANGBT_55,MEANGBT_56,MEANGBT_57,MEANGBT_58,MEANGBT_59,MEANGBT_60,MEANGBT_61,MEANGBT_62,MEANGBT_63,MEANGBT_64,MEANGBT_65,MEANGBT_66,MEANGBT_67,MEANGBT_68,MEANGBT_69,MEANGBT_70
0,X,False,106.29,107.74,107.87,106.49,106.65,105.73,105.36,103.99,103.29,103.24,102.64,100.88,100.88,100.11,100.46,100.38,100.93,99.903,98.992,97.48,97.381,97.045,96.54,96.246,96.51,97.379,97.845,97.495,98.347,98.059,98.571,99.137,99.473,99.616,99.181,99.728,99.575,99.563,99.921,99.799,98.66,97.742,96.971,96.918,96.086,96.063,95.08,94.649,94.445,94.242,93.813,94.773,94.316,94.468,94.307,94.578,94.435,94.228,94.628,94.826,94.124,93.429,92.806,92.935,92.402,92.408,92.252,92.027,92.313,92.086
1,X,False,103.08,102.94,103.1,103.1,103.02,102.44,102.24,101.97,101.79,101.06,100.37,101.45,101.41,101.45,100.95,101.37,101.37,100.52,100.5,100.65,100.96,100.64,100.86,100.53,100.26,99.875,99.113,98.316,98.009,96.996,96.419,94.868,94.585,94.72,93.764,93.445,93.623,93.202,93.932,94.824,95.308,95.175,96.465,97.013,97.004,97.036,97.742,96.895,96.265,96.085,96.016,95.257,94.223,93.52,92.608,92.311,91.93,91.342,91.125,90.997,91.134,90.741,91.032,92.083,91.807,92.639,92.633,92.032,91.66,92.163
2,X,False,76.138,75.969,75.88,75.959,76.217,77.439,77.578,77.804,77.877,78.062,78.104,78.079,77.546,78.031,77.53,77.057,76.828,76.833,76.291,76.334,76.409,76.022,75.224,74.953,74.979,74.667,74.242,74.405,73.794,73.87,74.506,74.617,73.976,74.154,73.931,73.919,73.63,73.774,73.584,73.637,74.004,74.577,74.04,75.138,75.133,75.157,75.222,75.084,74.685,74.589,74.673,73.756,73.295,72.934,72.351,71.736,71.468,71.11,71.266,71.153,71.118,71.669,71.951,72.134,72.315,72.101,72.138,72.118,72.797,73.236
3,X,False,107.36,107.73,108.28,108.92,108.16,108.67,110.2,110.15,109.49,109.01,108.52,109.94,110.07,109.86,110.1,109.12,109.93,109.81,110.69,110.44,109.28,109.46,108.68,108.96,110.3,110.47,110.18,109.37,110.2,109.48,108.38,107.68,107.64,106.7,107.85,107.79,108.47,109.0,109.89,109.69,111.13,111.87,110.92,111.77,110.45,109.07,108.86,109.17,109.14,109.19,107.94,107.19,108.21,109.05,107.84,107.04,106.63,106.43,106.79,107.53,107.4,107.64,109.02,109.67,109.27,109.51,109.54,110.35,109.92,109.13
4,X,True,113.94,113.97,115.28,115.91,116.59,116.14,116.69,116.14,116.92,115.64,115.68,116.86,116.01,117.11,116.75,115.9,116.02,114.58,115.66,115.72,115.84,115.42,115.27,114.28,113.09,114.01,112.88,113.25,112.8,112.15,112.26,111.18,110.34,109.68,107.93,108.49,108.4,108.53,108.8,110.11,110.57,110.96,110.57,110.27,110.28,111.23,111.29,111.15,110.07,110.76,110.76,109.14,107.49,106.89,106.6,105.55,104.32,104.11,103.83,105.09,104.89,105.09,104.47,104.08,104.78,104.99,105.6,105.27,105.45,105.13
5,X,False,61.414,61.23,64.155,61.307,64.901,62.493,62.325,62.795,62.523,62.68,63.429,62.868,62.417,62.027,61.408,62.115,62.26,62.13,62.324,61.921,63.138,62.931,63.081,63.52,63.693,63.558,63.566,63.248,64.158,64.537,64.287,65.061,65.635,64.85,64.921,63.902,65.011,64.43,64.91,65.525,65.239,64.128,64.224,64.629,64.035,63.935,64.451,64.317,64.137,64.089,64.278,65.211,65.509,65.575,66.117,66.347,66.235,66.515,66.676,66.6,66.939,66.609,65.444,65.432,64.818,65.368,64.449,64.848,64.897,65.166
6,X,True,61.524,60.637,60.188,60.401,59.898,59.937,59.984,60.362,61.66,61.873,62.315,62.235,62.724,63.928,64.16,64.095,64.706,64.675,63.829,64.357,64.432,64.161,63.855,64.606,65.147,64.816,64.364,64.289,65.219,64.756,65.399,64.963,65.261,64.793,65.056,65.152,65.651,65.996,66.759,65.907,68.152,68.118,67.927,68.566,68.816,68.573,69.251,69.707,69.975,69.987,70.762,70.662,71.161,71.161,71.732,72.142,72.544,72.879,72.887,72.944,73.463,74.494,74.322,74.274,74.533,75.273,74.974,75.216,75.157,75.371
7,X,False,94.853,94.139,94.239,94.209,94.364,94.397,94.978,95.353,95.959,96.259,96.65,96.842,97.511,98.067,98.682,99.191,99.13,99.461,99.981,100.01,100.03,99.875,99.944,100.01,91.659,98.513,97.549,97.419,97.062,96.97,96.582,96.315,96.558,96.278,96.266,96.397,96.518,96.353,97.181,97.271,97.806,97.744,97.881,98.291,98.351,98.515,98.739,99.076,98.595,98.304,98.041,98.133,98.287,97.813,97.827,97.725,97.746,97.962,98.1,97.891,97.988,97.851,97.843,97.155,97.126,96.856,96.767,96.632,96.632,96.512
8,X,False,68.713,68.136,68.034,65.026,68.006,68.01,66.017,69.227,69.124,70.198,69.748,70.676,71.861,72.164,74.201,73.217,73.857,73.158,75.746,73.506,72.069,72.684,70.375,69.764,70.514,71.834,72.103,70.606,72.421,70.152,68.319,68.49,69.23,72.085,71.889,71.149,70.88,72.816,73.673,72.259,71.845,72.649,72.797,72.299,72.361,74.146,74.456,73.132,73.158,74.213,73.915,74.593,73.792,74.589,74.586,74.163,74.992,75.829,76.117,76.665,77.015,76.844,72.672,73.257,76.301,75.847,77.394,76.419,76.876,76.142
9,X,True,91.471,92.282,92.539,92.697,93.306,93.369,93.643,93.532,93.753,94.016,93.747,93.066,92.284,92.505,91.498,90.602,89.859,89.233,88.601,88.252,88.295,88.252,87.686,88.017,88.6,88.213,89.003,89.411,89.713,90.033,90.459,91.208,91.009,91.252,91.459,91.109,91.206,90.553,90.308,90.497,90.161,89.626,89.336,88.959,88.505,87.654,87.031,86.4,85.708,85.406,85.425,85.148,85.087,85.039,84.821,85.517,85.541,85.867,85.629,85.282,85.118,85.13,85.184,85.322,85.487,85.624,85.367,85.542,85.282,85.136
10,X,False,65.504,64.388,65.018,65.182,64.085,64.1,63.372,63.697,62.528,62.096,62.6,62.566,61.806,61.949,61.742,60.388,60.786,59.987,59.956,63.104,61.231,61.728,62.039,61.455,62.911,61.765,63.097,63.687,64.012,63.261,63.348,65.093,63.1,62.608,62.51,63.129,60.011,59.105,59.53,61.436,59.493,59.621,60.013,60.842,62.002,61.751,62.717,62.086,63.059,61.308,63.223,61.829,63.637,62.118,62.279,61.889,61.123,61.171,59.459,60.812,60.339,58.487,59.645,57.942,58.385,60.955,58.919,57.584,55.355,55.614
11,X,False,84.704,84.585,84.913,84.441,84.692,84.852,84.454,84.779,84.69,84.597,85.029,84.838,85.245,85.513,86.154,86.818,87.461,87.488,87.782,88.389,89.148,89.347,89.979,89.382,89.394,90.262,89.36,89.279,89.386,89.024,89.23,89.772,89.676,89.245,88.799,88.241,87.999,88.058,87.223,86.716,86.327,86.748,86.527,86.918,87.088,87.625,87.875,88.572,89.093,89.87,90.329,90.643,90.779,90.812,91.115,90.519,90.448,90.873,90.855,90.75,90.432,90.046,90.189,90.345,90.483,90.384,89.724,89.756,89.734,89.883
12,X,False,102.42,101.84,102.62,103.19,103.44,102.61,102.15,101.41,100.67,100.43,99.534,98.487,97.695,97.155,96.905,96.941,96.677,97.225,98.45,99.225,99.456,99.879,100.73,100.73,101.86,101.99,101.87,101.96,101.98,101.99,101.87,101.83,101.73,101.71,101.69,101.61,101.87,101.67,101.33,101.21,101.33,100.9,101.38,101.58,101.48,101.88,101.48,101.74,101.18,100.83,100.63,100.5,100.14,99.39,99.406,98.891,98.084,98.253,97.949,97.421,97.292,97.458,97.779,97.993,99.191,99.665,100.34,101.25,102.01,102.37
13,X,False,106.71,107.63,107.76,107.67,108.71,107.8,107.43,107.14,107.21,107.13,107.27,107.17,106.05,104.76,104.84,104.39,104.09,103.83,103.49,103.67,103.23,103.7,104.38,104.56,105.22,105.2,105.62,105.84,105.43,105.44,105.61,105.44,105.86,105.62,106.35,105.61,105.99,105.9,106.14,105.12,105.69,105.58,104.9,104.19,104.18,103.92,103.53,103.56,103.67,103.2,103.92,104.11,104.83,105.11,105.38,106.35,106.41,107.19,107.25,107.66,107.47,107.96,108.18,109.32,108.12,106.97,106.86,106.77,105.79,104.91
