,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40,d_l_f_41,d_l_f_42,d_l_f_43,d_l_f_44,d_l_f_45,d_l_f_46,d_l_f_47,d_l_f_48,d_l_f_49,d_l_f_50,d_l_f_51,d_l_f_52,d_l_f_53,d_l_f_54,d_l_f_55,d_l_f_56,d_l_f_57,d_l_f_58,d_l_f_59,d_l_f_60,d_l_f_61,d_l_f_62,d_l_f_63,d_l_f_64,d_l_f_65,d_l_f_66,d_l_f_67,d_l_f_68,d_l_f_69,d_l_f_70,d_l_f_71,d_l_f_72,d_l_f_73,d_l_f_74,d_l_f_75,d_l_f_76,d_l_f_77,d_l_f_78,d_l_f_79,d_l_f_80
0,X,False,171.11,170.05,172.19,169.78,168.43,171.41,169.93,168.61,167.77,168.12,168.06,169.51,169.66,169.47,170.64,171.78,170.36,171.73,171.77,173.55,174.37,174.76,174.57,175.62,174.4,177.29,178.5,178.53,173.58,178.79,170.58,176.76,176.28,176.94,177.7,178.47,176.28,176.99,177.48,178.96,178.22,178.53,178.24,177.49,176.9,174.01,173.43,174.7,173.82,174.45,175.8,175.75,178.3,176.6,180.52,176.13,180.39,181.96,181.63,182.05,181.45,181.08,184.03,184.83,185.16,185.88,186.69,185.77,185.23,184.93,186.46,183.85,182.58,180.9,180.45,180.02,180.14,180.5,182.08,180.36
1,X,False,228.15,226.86,227.39,226.86,226.08,225.68,228.28,228.57,227.66,228.28,228.78,229.43,228.79,227.79,228.46,229.55,228.94,228.67,227.78,230.13,230.81,229.08,230.46,232.01,230.46,228.97,228.84,229.1,228.82,230.79,230.6,232.57,231.29,230.87,230.33,229.09,227.92,227.12,226.19,228.97,227.32,227.32,227.2,228.18,228.74,229.72,229.19,229.03,228.85,227.75,228.5,229.13,228.33,228.94,229.43,228.84,229.64,230.63,229.57,229.38,229.97,230.97,230.52,229.69,230.2,230.35,229.31,231.31,231.49,231.62,230.76,231.22,230.99,231.4,233.16,233.32,231.46,229.66,229.55,230.5
2,X,False,284.27,280.42,282.42,282.18,279.68,277.97,278.89,280.16,281.48,282.27,284.34,285.71,285.13,284.87,284.79,287.22,285.61,285.65,282.32,285.7,282.91,286.2,283.21,284.44,282.21,282.57,281.27,276.21,277.62,277.13,278.22,275.51,277.05,276.32,278.85,277.7,274.42,271.18,272.56,267.98,267.94,270.93,268.44,267.72,269.42,268.94,266.08,266.5,269.25,268.13,266.41,266.0,265.88,263.93,264.17,265.37,264.17,266.35,266.1,265.88,268.41,268.63,267.17,267.31,267.14,267.86,266.74,267.07,269.55,271.48,269.48,273.29,272.53,270.62,271.52,272.12,272.74,273.63,274.04,275.78
3,X,False,83.003,76.922,79.425,77.401,79.738,75.69,77.252,71.512,70.93,71.069,65.472,64.604,67.422,67.146,62.471,59.787,59.115,59.03,59.491,57.79,64.468,65.626,57.504,64.593,65.45,64.63,64.799,65.224,66.302,65.131,64.852,65.334,64.403,62.463,64.127,64.332,64.725,65.4,65.599,65.868,63.454,64.551,65.284,65.238,64.242,64.106,64.045,63.811,62.801,63.844,63.237,63.65,65.498,64.707,64.481,65.027,65.075,63.653,64.657,64.167,63.853,62.792,63.598,63.379,64.935,65.315,65.316,62.579,63.44,64.999,67.015,66.662,67.745,68.819,68.504,67.461,66.806,65.808,64.083,64.722
4,X,True,47.656,50.036,46.362,47.108,48.24,47.791,46.027,44.171,43.846,44.837,46.355,43.167,44.94,41.752,45.097,40.559,41.073,39.797,39.81,40.089,39.829,41.312,39.813,40.946,40.434,40.135,41.719,37.671,36.853,38.716,39.086,42.92,41.258,41.282,41.617,48.889,48.906,49.48,38.414,50.367,50.877,41.299,41.882,52.336,51.927,52.916,52.555,42.255,41.738,41.862,42.978,42.854,44.334,48.526,44.03,44.914,45.718,45.364,44.696,45.329,46.216,46.083,45.87,44.638,44.807,42.946,45.378,45.264,46.083,45.571,46.427,45.459,45.487,45.759,46.68,46.698,46.327,46.005,46.329,45.976
5,X,False,359.3,318.92,327.6,350.96,315.87,267.3,325.37,259.99,278.19,283.75,245.01,320.22,264.76,287.49,324.98,324.77,333.82,312.09,288.05,284.66,349.1,291.65,267.97,278.98,283.29,323.5,311.85,318.46,271.9,341.77,282.53,322.22,334.58,343.11,319.93,306.85,324.16,293.93,312.68,321.68,324.44,421.17,315.95,307.29,276.27,342.31,406.13,300.21,273.72,289.75,314.43,297.64,318.09,257.86,263.16,311.85,306.71,265.44,299.38,303.02,325.18,277.53,285.75,285.43,292.97,358.72,307.34,331.97,354.29,343.79,288.05,289.12,258.27,328.66,284.19,295.5,317.6,294.34,320.72,291.13
6,X,True,103.4,102.04,101.87,102.12,104.85,105.72,103.91,102.77,103.94,102.4,102.51,103.52,103.05,104.87,105.7,105.01,105.22,104.36,104.8,106.57,107.15,108.34,106.61,106.93,107.96,106.73,108.4,107.81,106.61,108.18,107.48,106.69,107.59,108.17,108.12,109.39,110.13,109.48,109.05,108.75,107.54,106.89,108.16,108.6,107.05,107.5,107.37,106.86,108.36,107.89,114.3,118.5,125.17,128.07,125.1,124.38,126.47,136.02,141.49,140.16,152.42,193.08,196.16,194.49,192.95,208.55,210.66,210.37,208.33,210.01,212.63,218.35,222.91,230.92,232.62,234.71,233.48,228.13,230.53,232.03
7,X,False,493.8,491.61,493.69,499.2,499.87,500.05,502.18,499.83,500.21,502.28,501.07,502.4,503.38,500.06,499.35,500.15,503.88,500.89,505.19,506.89,507.38,509.1,506.58,506.84,506.67,505.48,505.77,506.85,510.74,512.34,509.0,507.87,509.06,512.49,515.77,517.88,516.51,517.97,518.4,520.06,519.36,516.85,516.12,519.37,522.98,522.64,518.43,519.81,521.0,520.4,520.47,519.72,521.24,519.44,526.22,527.34,529.89,528.22,535.36,530.73,533.4,534.49,535.82,538.59,531.04,541.69,546.99,546.6,543.18,542.34,540.49,543.03,542.33,543.57,545.16,546.64,544.53,553.63,547.88,553.44
8,X,False,406.3,391.83,398.12,397.63,392.35,396.84,399.87,398.07,398.26,397.15,400.99,407.88,414.45,422.61,420.1,417.04,424.36,437.5,446.29,450.5,454.14,345.56,326.5,354.96,366.05,478.37,359.74,311.26,351.91,483.2,315.62,326.05,225.77,300.07,234.11,221.21,216.34,265.13,281.51,304.15,305.7,227.6,211.51,213.04,212.54,211.42,213.11,211.75,211.65,212.67,212.4,214.63,214.59,215.74,216.7,216.46,216.55,216.02,216.88,217.41,218.34,217.62,216.44,218.0,219.96,215.73,215.85,217.25,218.88,216.52,216.3,215.45,214.29,214.51,213.55,213.31,212.81,216.25,217.71,217.74
9,X,True,246.94,249.03,249.22,248.14,246.39,247.4,244.77,247.81,244.55,248.29,248.81,249.31,250.8,249.41,249.32,249.63,250.01,251.24,248.52,253.4,252.33,254.31,258.78,255.1,252.11,258.11,261.99,253.96,253.1,251.69,254.88,251.95,252.54,255.0,252.7,248.83,248.83,250.68,248.07,246.91,245.04,245.38,245.9,242.87,244.44,245.42,244.33,250.13,247.71,246.96,246.94,248.13,246.2,247.53,246.48,252.96,252.11,249.78,248.02,255.1,256.77,261.91,261.71,259.12,259.29,256.27,262.58,263.56,263.36,259.86,262.57,253.42,252.21,254.67,250.7,246.66,248.39,247.34,247.38,246.43
