,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5
0,X,False,764.14,745.29,769.27,796.42,833.26
1,X,False,170.57,177.31,175.42,145.16,127.4
2,X,False,817.87,813.65,792.8,796.06,799.03
3,X,False,223.28,196.5,192.04,198.23,207.29
4,X,True,360.82,397.61,404.05,398.52,402.7
5,X,True,566.6,99.295,420.9,277.95,395.25
6,X,False,123.83,227.95,40.131,122.73,117.55
7,X,False,554.08,530.75,548.27,547.82,544.18
8,X,True,925.63,901.3,929.44,923.21,977.85
9,X,False,2231.5,2201.3,2130.6,2168.5,2161.5
10,X,False,2109.0,2198.9,2163.0,2135.2,2154.6
11,X,False,1543.2,1512.1,1443.7,1375.7,1393.8
12,X,False,1375.0,1362.7,1361.6,1395.0,1349.4
13,X,False,156.65,301.92,274.58,237.84,306.6
14,X,True,2.4958,7.2854,10.847,4.6126,8.082
15,X,True,798.16,793.8,822.06,818.54,848.69
16,X,False,417.83,384.62,189.77,261.9,167.13
17,X,False,1034.8,1055.9,1052.0,1064.9,1171.9
18,X,False,591.78,574.67,550.5,646.47,593.43
19,X,False,523.13,596.73,610.09,598.4,631.2
20,X,False,605.94,621.78,643.87,618.71,617.49
21,X,False,1934.9,1954.5,1955.7,1990.9,2021.4
22,X,False,1.6745,0.1672,0.21835,3.0554,1.8223
23,X,False,232.47,189.32,254.52,239.4,254.84
24,X,False,422.15,442.4,522.0,480.06,462.69
25,X,False,968.66,23.432,926.41,121.04,916.09
26,X,True,1041.5,1003.6,1088.4,1119.7,1096.8
27,X,True,486.03,577.97,590.08,616.94,590.52
28,X,True,724.93,734.11,738.45,689.28,677.61
29,X,True,484.84,484.05,432.85,496.79,498.31
30,X,True,63.304,20.848,74.588,53.178,58.484
31,X,False,1567.2,1583.0,1522.5,1538.4,1557.9
32,X,False,1164.7,1176.2,1153.1,1150.7,1124.3
33,X,True,1695.4,1678.9,1679.0,1669.8,1681.2
34,X,False,1.92,11.594,5.1193,9.0927,50.304
35,X,True,2681.1,2739.4,2677.5,2722.7,2735.9
36,X,True,2742.3,2816.1,2762.5,2818.4,2890.8
37,X,False,3852.7,3738.5,3697.8,3649.4,3744.9
38,X,False,376.18,576.48,553.49,434.37,447.95
39,M,False,249.61,240.63,264.96,271.17,274.89
40,M,False,20.74,19.354,20.222,35.544,19.716
41,M,False,132.15,143.69,142.55,144.08,151.55
42,M,False,10.009,12.381,11.286,11.934,12.336
43,M,True,54.656,36.733,4.407,35.304,36.884
44,M,False,35.183,42.823,38.623,45.255,33.986
45,M,False,113.9,106.82,94.831,103.6,101.55
46,M,False,50.13,143.88,138.01,149.87,131.63
47,M,False,55.622,35.038,46.33,49.428,34.691
48,M,True,3.039,15.378,12.492,0.13985,3.053
49,M,True,736.12,738.51,834.2,840.25,835.09
50,M,False,126.98,141.61,137.36,156.06,151.38
51,M,False,1001.4,1019.0,1027.8,1025.2,1042.5
52,M,True,846.62,864.71,845.27,820.21,829.3
53,M,True,161.97,172.32,174.45,169.94,172.6
54,M,False,707.05,728.14,740.43,744.76,750.54
55,M,False,201.99,190.02,191.13,195.92,188.95
56,M,False,129.91,153.23,158.6,147.12,131.18
57,M,False,542.82,456.77,524.3,534.25,541.03
58,M,True,774.17,738.51,759.58,744.76,746.28
59,M,True,322.87,302.3,269.48,269.69,274.42
60,M,False,662.75,631.9,624.15,647.78,630.38
61,M,False,602.93,588.2,572.89,565.05,572.63
62,M,False,61.021,63.813,52.046,77.609,63.441
63,M,False,620.52,619.77,615.01,614.87,597.9
64,M,True,77.451,34.183,41.161,2.6772,5.9336
65,M,False,519.12,536.96,435.94,565.51,603.09
66,M,False,376.46,377.57,470.59,485.8,483.43
67,M,False,682.81,661.66,760.8,845.54,844.33
68,M,False,910.91,986.1,946.26,963.36,1065.4
69,M,True,100.5,74.624,108.84,111.9,100.64
70,M,False,40.853,49.79,39.551,48.082,58.848
71,M,False,94.831,87.833,64.513,42.903,67.261
72,M,True,688.61,695.67,684.15,700.42,722.68
73,M,False,453.21,698.2,703.75,696.84,537.99
74,M,False,2.4704,30.512,70.992,200.65,24.96
75,M,False,311.02,311.79,299.03,314.06,317.66
76,M,False,361.27,357.74,358.24,362.27,430.01
77,M,False,396.31,372.8,372.07,380.84,356.24
78,M,True,345.75,354.89,354.1,350.1,384.99
79,M,False,397.52,405.33,431.67,443.85,417.66
80,M,True,127.42,518.28,106.67,29.601,47.463
81,M,False,637.65,590.43,578.53,610.72,626.09
82,M,False,368.18,344.49,367.53,364.93,374.11
83,M,False,3.4593,18.994,3.0224,6.9827,18.387
84,M,False,299.52,304.23,296.8,294.54,290.55
85,M,False,86.361,88.442,98.736,78.394,75.3
86,M,True,70.843,43.499,48.338,27.795,37.323
87,M,True,1074.3,1095.1,1088.6,1080.1,1104.3
88,M,False,712.42,731.49,755.4,751.42,748.35
89,M,True,1056.0,1085.8,1084.1,1080.5,1057.0
90,M,False,1101.4,1172.8,1205.0,1203.4,1226.9
91,M,True,1013.3,1028.1,1030.7,1028.2,1035.0
92,M,False,932.89,924.1,902.23,889.61,869.88
