,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5
0,X,False,90177.0,95488.0,99707.0,126350.0,112640.0
1,X,False,53345.0,57244.0,56641.0,63109.0,61677.0
2,X,False,22712.0,23823.0,23979.0,26990.0,21875.0
3,X,False,10917.0,13983.0,11363.0,10125.0,10222.0
4,X,True,12555.0,13425.0,14097.0,12308.0,10512.0
5,X,True,28108.0,28863.0,31383.0,30304.0,27992.0
6,X,False,49339.0,47697.0,47923.0,54234.0,49323.0
7,X,False,3392.7,3267.5,3868.1,3463.3,3364.2
8,X,True,23349.0,28456.0,29320.0,33442.0,24647.0
9,X,False,221090.0,236750.0,226620.0,189810.0,196940.0
10,X,False,214480.0,257940.0,215360.0,233140.0,231980.0
11,X,False,153200.0,146430.0,135460.0,139620.0,145400.0
12,X,False,244100.0,231390.0,232280.0,249480.0,209150.0
13,X,False,7449.7,9904.1,8980.2,5607.6,21075.0
14,X,True,95548.0,85436.0,40320.0,38986.0,50456.0
15,X,True,25912.0,24478.0,25105.0,35705.0,27379.0
16,X,False,24856.0,25737.0,22603.0,23067.0,22632.0
17,X,False,83967.0,96688.0,81706.0,82330.0,95764.0
18,X,False,101400.0,94005.0,89694.0,91240.0,84401.0
19,X,False,52072.0,45661.0,56666.0,55626.0,54202.0
20,X,False,22304.0,21432.0,25951.0,23128.0,17262.0
21,X,False,162470.0,148760.0,174190.0,169030.0,199840.0
22,X,False,107860.0,93479.0,117600.0,68881.0,61844.0
23,X,False,53159.0,60625.0,81995.0,123820.0,107890.0
24,X,False,5970.3,5257.3,4988.3,4809.8,4722.4
25,X,False,104340.0,97915.0,103660.0,156690.0,138730.0
26,X,True,477420.0,450030.0,441660.0,495270.0,497580.0
27,X,True,719410.0,693600.0,755940.0,679400.0,679380.0
28,X,True,653370.0,642420.0,685930.0,670160.0,644480.0
29,X,True,770740.0,749020.0,716840.0,745510.0,774570.0
30,X,True,750370.0,778250.0,741590.0,815620.0,727960.0
31,X,False,26973.0,26975.0,25944.0,27661.0,27747.0
32,X,False,189060.0,194210.0,166940.0,157390.0,169300.0
33,X,True,26519.0,30901.0,32613.0,32845.0,30427.0
34,X,False,48210.0,23363.0,51788.0,62205.0,52863.0
35,X,True,184650.0,177750.0,177630.0,182420.0,186190.0
36,X,True,166180.0,175930.0,194590.0,187340.0,186860.0
37,X,False,180320.0,189270.0,204910.0,227260.0,231140.0
38,X,False,11710.0,10558.0,10510.0,15437.0,25482.0
39,M,False,3216.8,3629.3,2595.3,2544.5,3079.3
40,M,False,0.0,0.0,0.0,0.0,0.0
41,M,False,627.61,649.63,654.65,658.16,654.72
42,M,False,728.44,825.95,690.31,782.74,788.59
43,M,True,7794.9,14900.0,4283.3,6566.8,7631.2
44,M,False,19919.0,7511.2,9300.3,4170.5,3125.2
45,M,False,0.0,0.0,0.0,22.934,0.0
46,M,False,1741.0,1657.5,1739.4,1679.1,1677.8
47,M,False,82.084,75.812,78.298,146.01,78.903
48,M,True,2498.7,3025.4,3425.8,2045.6,1878.2
49,M,True,89872.0,89521.0,86272.0,86688.0,78015.0
50,M,False,1020.7,741.19,1038.8,1396.7,1760.8
51,M,False,80620.0,81263.0,89124.0,80144.0,81602.0
52,M,True,35518.0,37416.0,33208.0,32845.0,32751.0
53,M,True,4573.0,4965.6,4809.3,4793.4,4870.5
54,M,False,38807.0,36671.0,37371.0,39505.0,39556.0
55,M,False,5242.3,5252.3,5327.3,4930.2,5525.1
56,M,False,4058.4,3741.6,4549.1,4422.3,3578.8
57,M,False,3129.5,3248.0,4454.5,3637.6,3572.3
58,M,True,71293.0,73141.0,76921.0,70778.0,72984.0
59,M,True,4049.3,4668.2,5460.9,4963.3,5211.6
60,M,False,52238.0,52529.0,50059.0,58049.0,60548.0
61,M,False,74484.0,61571.0,62637.0,75503.0,72989.0
62,M,False,7292.3,8284.0,8380.1,7459.3,7411.7
63,M,False,43365.0,41093.0,42963.0,33070.0,29095.0
64,M,True,5234.2,4764.2,4134.3,4465.1,4414.1
65,M,False,4607.4,4334.0,4733.7,4876.1,4614.9
66,M,False,13345.0,10445.0,9615.0,11520.0,11307.0
67,M,False,13458.0,13707.0,14732.0,17349.0,14921.0
68,M,False,13150.0,12798.0,12327.0,22183.0,13674.0
69,M,True,66622.0,63643.0,71040.0,68197.0,68826.0
70,M,False,66319.0,60944.0,66848.0,68026.0,81956.0
71,M,False,66274.0,78944.0,72429.0,69548.0,71602.0
72,M,True,20716.0,18939.0,18392.0,17974.0,17847.0
73,M,False,6016.2,5358.0,7584.8,5377.5,6154.3
74,M,False,9175.6,13161.0,13672.0,8502.2,9957.4
75,M,False,2114.6,3948.6,5271.5,3822.2,2883.5
76,M,False,18241.0,18022.0,17208.0,15309.0,12988.0
77,M,False,37241.0,35917.0,37109.0,36033.0,32006.0
78,M,True,4734.5,3596.6,4577.8,5267.1,4503.0
79,M,False,8655.9,11066.0,9983.3,11356.0,7572.9
80,M,True,1453.1,4712.0,1771.0,2844.5,2247.6
81,M,False,12548.0,13749.0,26530.0,31358.0,24229.0
82,M,False,2255.5,2261.4,1843.7,2030.8,2028.5
83,M,False,137290.0,156840.0,136670.0,135410.0,77748.0
84,M,False,4439.1,6833.3,4685.5,4181.3,5539.7
85,M,False,5700.3,6608.5,5702.6,7419.7,9284.4
86,M,True,73153.0,68450.0,80849.0,68603.0,73978.0
87,M,True,46068.0,50432.0,44045.0,46474.0,44187.0
88,M,False,65865.0,56327.0,71422.0,67485.0,68264.0
89,M,True,52128.0,45208.0,40686.0,36543.0,36897.0
90,M,False,37345.0,42263.0,38222.0,35388.0,33964.0
91,M,True,32469.0,28969.0,34909.0,36551.0,33155.0
92,M,False,19782.0,19976.0,25713.0,23884.0,24908.0
93,M,True,641.07,634.89,616.14,884.69,882.8
94,M,False,212.66,213.62,211.3,210.52,216.62
95,M,False,0.0,0.0,0.0,0.0,0.0
96,M,True,16284.0,16576.0,17966.0,17984.0,16666.0
97,M,True,9260.8,10245.0,8454.0,8130.4,8517.2
98,M,False,9980.8,11521.0,9393.5,8744.3,9817.8
99,M,True,9399.3,9436.6,9365.6,7490.4,9617.3
