,FLARE_TYPE,COINCIDENCE,MEANGBT_1,MEANGBT_2,MEANGBT_3,MEANGBT_4,MEANGBT_5
0,X,False,106.29,107.74,107.87,106.49,106.65
1,X,False,103.08,102.94,103.1,103.1,103.02
2,X,False,76.138,75.969,75.88,75.959,76.217
3,X,False,107.36,107.73,108.28,108.92,108.16
4,X,True,113.94,113.97,115.28,115.91,116.59
5,X,True,72.649,64.071,72.076,68.697,64.05
6,X,False,61.414,61.23,64.155,61.307,64.901
7,X,False,63.452,62.831,62.378,61.538,61.583
8,X,True,61.524,60.637,60.188,60.401,59.898
9,X,False,88.877,89.14,89.149,89.422,89.145
10,X,False,89.511,89.536,90.055,89.147,89.431
11,X,False,108.73,108.83,108.25,107.71,108.19
12,X,False,94.853,94.139,94.239,94.209,94.364
13,X,False,68.713,68.136,68.034,65.026,68.006
14,X,True,86.596,75.185,76.7,67.865,61.5
15,X,True,91.471,92.282,92.539,92.697,93.306
16,X,False,65.504,64.388,65.018,65.182,64.085
17,X,False,84.704,84.585,84.913,84.441,84.692
18,X,False,102.42,101.84,102.62,103.19,103.44
19,X,False,106.71,107.63,107.76,107.67,108.71
20,X,False,87.368,87.236,86.531,85.671,85.583
21,X,False,89.119,89.555,90.135,91.286,91.486
22,X,False,56.602,57.955,56.461,58.521,58.566
23,X,False,76.026,76.789,75.84,78.22,77.412
24,X,False,62.628,59.165,59.882,61.884,63.221
25,X,False,62.921,65.513,62.373,66.268,62.911
26,X,True,94.659,94.693,95.14,95.417,95.33
27,X,True,94.673,94.572,95.081,94.978,94.739
28,X,True,96.003,96.008,96.252,96.035,95.91
29,X,True,93.026,92.884,92.778,92.707,92.694
30,X,True,89.346,89.352,89.94,90.32,90.509
31,X,False,92.152,91.738,91.96,92.174,92.274
32,X,False,104.46,104.32,103.84,103.51,103.96
33,X,True,101.87,101.1,100.48,99.951,100.41
34,X,False,107.81,80.454,75.822,67.936,96.794
35,X,True,102.34,104.1,103.44,104.08,103.95
36,X,True,107.99,107.06,107.19,106.78,106.22
37,X,False,105.64,107.43,107.24,106.52,107.49
38,X,False,69.594,68.885,70.983,68.916,69.77
39,M,False,113.81,112.0,112.6,111.07,110.77
40,M,False,111.54,104.84,106.7,110.39,102.51
41,M,False,90.047,89.587,89.979,90.406,89.803
42,M,False,128.49,128.83,131.17,131.52,130.89
43,M,True,67.385,45.351,61.829,46.819,46.295
44,M,False,63.135,65.282,66.756,65.007,65.812
45,M,False,78.045,77.878,78.557,77.51,78.083
46,M,False,63.136,61.379,61.43,60.232,61.319
47,M,False,86.358,84.182,85.246,84.591,84.477
48,M,True,119.08,121.23,119.25,119.25,120.6
49,M,True,104.17,104.87,107.05,108.17,108.73
50,M,False,112.64,111.58,111.18,110.34,108.06
51,M,False,92.424,92.638,92.754,92.459,92.826
52,M,True,100.82,101.4,100.75,100.68,100.99
53,M,True,108.01,108.05,107.38,107.15,107.34
54,M,False,101.33,101.37,100.65,100.38,100.93
55,M,False,110.61,110.24,110.63,108.67,109.78
56,M,False,108.78,108.84,109.75,108.01,108.76
57,M,False,77.344,78.573,76.675,77.148,77.601
58,M,True,100.19,100.08,100.2,99.919,98.815
59,M,True,99.276,99.433,98.471,98.854,99.997
60,M,False,93.541,93.323,93.977,94.076,94.41
61,M,False,96.157,96.286,96.176,96.329,96.087
62,M,False,92.878,91.464,92.036,92.618,93.863
63,M,False,90.267,90.818,91.233,92.106,93.207
64,M,True,86.909,86.037,85.035,84.863,84.351
65,M,False,83.52,83.8,83.1,83.036,82.851
66,M,False,80.277,79.536,80.689,79.142,77.488
67,M,False,66.793,66.812,67.889,67.549,67.85
68,M,False,72.147,71.504,71.427,70.038,73.051
69,M,True,91.572,91.201,91.798,92.421,92.902
70,M,False,95.075,94.706,94.938,94.874,95.169
