,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5
0,X,False,116.17,117.58,117.63,115.9,115.69
1,X,False,111.2,111.31,110.64,110.88,110.62
2,X,False,81.416,81.235,81.149,81.004,81.401
3,X,False,109.42,109.62,110.12,110.79,110.44
4,X,True,118.31,118.77,119.91,120.94,122.47
5,X,True,90.965,76.984,89.318,83.758,76.724
6,X,False,78.691,78.185,83.238,78.156,85.101
7,X,False,70.139,69.345,68.07,67.348,68.234
8,X,True,80.036,77.638,77.277,76.947,76.072
9,X,False,107.21,107.37,106.74,107.35,106.86
10,X,False,107.42,107.9,108.45,107.08,107.23
11,X,False,123.21,123.65,122.78,122.07,122.76
12,X,False,98.249,97.593,97.562,97.653,97.855
13,X,False,95.425,95.694,95.912,89.913,96.495
14,X,True,105.68,87.265,94.002,84.37,74.717
15,X,True,99.216,99.768,100.17,100.67,101.11
16,X,False,84.695,83.945,85.766,85.556,83.332
17,X,False,94.745,94.483,94.761,94.154,94.472
18,X,False,108.75,107.87,108.36,108.35,108.02
19,X,False,111.59,112.56,112.8,112.67,113.35
20,X,False,96.496,96.208,95.595,93.899,93.579
21,X,False,93.251,93.856,94.491,95.612,96.056
22,X,False,57.567,58.836,57.486,59.755,61.213
23,X,False,83.497,83.531,82.271,87.454,84.652
24,X,False,83.24,77.927,78.007,81.612,85.594
25,X,False,75.414,80.828,73.837,81.849,74.366
26,X,True,109.54,109.51,109.81,109.93,109.5
27,X,True,104.78,104.48,104.97,104.41,104.3
28,X,True,105.6,105.78,106.21,106.19,106.21
29,X,True,102.78,102.57,102.6,102.83,102.85
30,X,True,98.036,98.146,98.713,99.174,99.381
31,X,False,99.661,99.266,99.729,99.792,99.772
32,X,False,109.76,109.58,109.02,108.79,109.35
33,X,True,107.09,106.16,105.59,105.02,105.71
34,X,False,159.88,90.752,82.224,69.889,117.33
35,X,True,119.97,122.0,121.24,121.67,121.75
36,X,True,126.67,126.08,126.25,125.98,125.37
37,X,False,119.24,120.31,120.21,120.72,121.51
38,X,False,91.602,89.029,93.11,87.775,90.413
39,M,False,126.36,125.33,125.36,123.37,123.01
40,M,False,126.28,116.27,122.06,140.14,117.53
41,M,False,90.062,89.621,89.782,90.123,89.626
42,M,False,128.67,128.87,130.78,131.14,130.42
43,M,True,101.19,51.856,99.673,56.076,52.373
44,M,False,75.548,77.88,82.838,74.366,76.482
45,M,False,85.076,84.64,84.797,83.931,84.394
46,M,False,70.959,68.417,68.277,66.973,68.276
47,M,False,92.471,88.18,91.024,91.321,92.126
48,M,True,117.25,119.24,117.45,117.87,118.87
49,M,True,112.61,113.73,116.56,117.9,118.57
50,M,False,118.56,117.05,115.66,115.07,112.13
51,M,False,100.39,100.52,100.94,100.41,100.76
52,M,True,110.68,111.35,110.85,110.77,110.94
53,M,True,108.67,109.03,108.33,108.39,108.71
54,M,False,110.89,110.84,110.25,110.13,110.48
55,M,False,112.81,112.63,112.8,111.48,111.88
56,M,False,109.69,109.65,110.79,109.07,110.12
57,M,False,83.41,85.6,82.414,82.068,82.926
58,M,True,109.69,110.0,109.7,109.4,108.41
59,M,True,108.11,108.22,107.39,107.24,108.51
60,M,False,103.15,103.37,104.41,104.41,104.84
61,M,False,107.19,107.14,106.91,106.22,105.95
62,M,False,98.02,96.411,96.918,97.876,99.163
63,M,False,98.673,99.62,100.01,100.48,101.52
64,M,True,99.148,98.001,96.583,97.263,96.666
65,M,False,97.099,97.823,96.825,97.017,96.874
66,M,False,96.865,95.99,97.877,95.251,93.51
67,M,False,84.412,84.692,86.221,87.024,85.414
68,M,False,94.094,94.666,94.3,91.711,98.743
69,M,True,97.255,97.06,97.787,98.305,98.882
70,M,False,102.12,102.24,102.3,102.16,102.62
71,M,False,106.6,107.47,107.32,106.85,106.01
72,M,True,111.03,112.26,112.86,115.31,115.13
73,M,False,108.05,107.68,107.66,108.04,108.88
74,M,False,74.313,73.836,72.211,62.702,75.645
75,M,False,77.672,78.441,78.758,77.767,78.329
76,M,False,97.498,97.74,98.348,98.874,99.522
77,M,False,130.3,129.46,128.53,127.29,124.69
78,M,True,97.247,97.937,99.371,99.475,100.42
79,M,False,93.157,93.695,93.457,94.092,93.806
80,M,True,94.445,85.627,97.788,100.54,94.81
81,M,False,92.693,94.282,95.3,91.784,104.77
82,M,False,112.7,110.7,110.94,110.77,111.39
83,M,False,62.87,56.949,60.406,69.432,62.037
84,M,False,115.56,114.79,113.82,113.47,113.64
85,M,False,99.818,99.913,99.076,99.013,99.318
86,M,True,114.73,115.16,117.01,117.09,118.63
87,M,True,118.69,119.49,119.64,120.01,119.52
88,M,False,94.013,93.319,93.792,94.313,95.378
89,M,True,117.44,116.58,116.6,115.87,115.98
90,M,False,118.41,118.33,118.35,117.71,117.9
91,M,True,91.595,91.476,91.045,90.152,89.089
92,M,False,87.325,87.361,87.852,88.599,88.814
93,M,True,108.63,108.43,107.71,108.33,107.58
94,M,False,105.77,105.34,104.97,103.89,102.93
95,M,False,94.601,95.478,96.481,97.096,97.708
96,M,True,115.79,114.55,115.45,114.88,114.98
97,M,True,108.67,109.27,108.97,108.99,108.98
98,M,False,114.01,112.55,112.37,113.24,113.33
99,M,True,107.97,107.56,107.62,108.06,108.0
100,M,False,106.33,106.86,108.31,109.84,110.29
101,M,False,76.304,76.665,76.79,77.048,77.354
102,M,True,105.64,106.32,106.68,107.4,107.62
103,M,True,97.945,97.375,96.715,95.872,93.965
104,M,True,89.66,90.359,86.004,90.135,88.591
105,M,False,86.997,86.517,85.498,83.013,84.085
106,M,False,86.102,86.538,86.969,86.653,85.043
107,M,True,87.976,87.327,87.053,86.578,86.975
108,M,False,86.578,86.975,85.229,86.789,89.484
109,M,False,87.504,87.798,88.684,89.462,90.13
110,M,False,93.514,91.106,92.312,91.228,92.952
111,M,False,92.647,92.896,92.047,92.709,93.665
112,M,False,94.926,95.899,95.394,95.563,95.744
113,M,True,95.85,90.444,94.992,94.112,89.824
114,M,False,107.78,97.249,103.11,102.6,92.952
115,M,True,92.932,93.411,92.736,92.466,92.849
116,M,False,108.1,99.716,99.966,106.94,106.51
117,M,False,96.304,96.11,96.121,95.595,95.388
118,M,False,90.779,91.11,91.667,92.234,92.005
119,M,True,98.868,99.069,98.601,100.47,102.4
120,M,True,83.151,95.644,95.106,82.232,96.13
121,M,False,99.473,101.1,101.58,100.76,100.45
122,M,False,99.508,99.112,98.227,97.168,96.226
123,M,False,82.461,82.163,82.212,82.747,82.883
124,M,False,70.451,70.441,70.764,70.693,69.127
125,M,True,59.919,65.559,60.322,60.497,62.974
126,M,True,78.865,75.369,80.362,77.953,70.104
127,M,True,78.685,78.374,78.539,77.644,79.642
128,M,True,85.683,84.273,85.505,84.524,84.22
129,M,True,87.829,87.747,87.696,88.329,88.111
130,M,True,87.181,87.264,87.298,87.783,87.747
131,M,False,95.522,95.338,94.784,95.014,94.164
