,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5
0,X,False,0.022205,0.021724,0.022539,0.023239,0.024222
1,X,False,-0.0036212,-0.0037767,-0.0037094,-0.0030731,-0.0026788
2,X,False,0.014918,0.014699,0.014306,0.014452,0.014625
3,X,False,0.006875,0.006112,0.0059356,0.0061404,0.0065258
4,X,True,0.014583,0.016122,0.016697,0.01694,0.017502
5,X,True,-0.0077183,-0.0011734,-0.0055637,-0.003618,-0.0046061
6,X,False,0.0011629,0.0021336,-0.00037754,0.0011515,0.0011015
7,X,False,-0.0087541,-0.0083465,-0.008585,-0.0086268,-0.0086694
8,X,True,-0.020673,-0.019924,-0.020424,-0.020339,-0.021371
9,X,False,-0.033816,-0.03346,-0.032106,-0.032672,-0.032561
10,X,False,-0.031694,-0.033009,-0.032496,-0.031975,-0.032008
11,X,False,-0.020058,-0.019596,-0.018669,-0.017574,-0.017927
12,X,False,0.0095649,0.0095283,0.0095258,0.0098069,0.0095646
13,X,False,-0.004922,-0.0095317,-0.008448,-0.007431,-0.0095639
14,X,True,0.00066591,0.0018514,0.0026573,0.0010243,0.0016997
15,X,True,-0.010708,-0.010774,-0.011211,-0.011213,-0.011614
16,X,False,-0.0044399,-0.00407,-0.0020353,-0.0027942,-0.0017931
17,X,False,0.010704,0.010827,0.010799,0.010854,0.011938
18,X,False,0.0084404,0.0081428,0.0078152,0.0091983,0.0083803
19,X,False,0.0097552,0.011344,0.011755,0.011532,0.012172
20,X,False,0.0087187,0.0089337,0.0092435,0.0087867,0.0088053
21,X,False,0.013756,0.013999,0.014159,0.014613,0.014998
22,X,False,0.00024922,-2.4541e-05,3.1736e-05,0.0004371,0.00024753
23,X,False,0.0038556,0.0031738,0.0043151,0.0041996,0.0045109
24,X,False,0.018434,0.019108,0.02214,0.019958,0.019073
25,X,False,-0.0062506,0.00014976,-0.0058481,0.0007632,-0.0056829
26,X,True,-0.0059824,-0.0057342,-0.0061871,-0.0063538,-0.0061374
27,X,True,-0.0023621,-0.0028133,-0.0028749,-0.0030081,-0.002882
28,X,True,-0.003421,-0.0034805,-0.0034982,-0.0032577,-0.0031826
29,X,True,-0.0020418,-0.0020319,-0.0018199,-0.0020982,-0.0020946
30,X,True,-0.00025176,-8.36e-05,-0.00030012,-0.00021518,-0.00023822
31,X,False,0.021382,0.021503,0.020623,0.020972,0.021413
32,X,False,0.0076518,0.0077101,0.0075538,0.0075152,0.0073377
33,X,True,0.039084,0.038283,0.038009,0.037844,0.038609
34,X,False,0.0010429,-0.0057684,-0.0020477,-0.0032164,-0.01619
35,X,True,-0.049463,-0.052103,-0.050887,-0.051803,-0.051872
36,X,True,-0.052287,-0.053185,-0.052893,-0.053353,-0.054114
37,X,False,-0.060344,-0.058802,-0.057984,-0.057236,-0.058917
38,X,False,-0.0063132,-0.0099084,-0.0096551,-0.0078208,-0.0081492
39,M,False,-0.026659,-0.024196,-0.026369,-0.026217,-0.026725
40,M,False,-0.0064976,-0.0057177,-0.0065572,-0.010217,-0.0056703
41,M,False,-0.0049118,-0.0053353,-0.0053082,-0.0054182,-0.0057139
42,M,False,0.00053409,0.00065565,-0.00060376,-0.00064158,-0.00065432
43,M,True,0.016684,0.010916,0.0013572,0.010165,0.010823
44,M,False,0.0071234,0.0086738,0.0076346,0.0087263,0.0064883
45,M,False,-0.0037179,-0.0034453,-0.0030137,-0.003199,-0.0030677
46,M,False,0.0018861,0.0055616,0.0053871,0.0059129,0.0052655
47,M,False,-0.0037638,-0.002347,-0.0031427,-0.0032725,-0.0022553
48,M,True,-0.00030998,-0.0015713,-0.0012342,1.3662e-05,0.0002971
49,M,True,0.023756,0.023815,0.027231,0.027663,0.027466
50,M,False,-0.0076828,-0.008361,-0.0078693,-0.0087395,-0.008233
51,M,False,0.024031,0.02442,0.024724,0.024394,0.025005
52,M,True,0.018995,0.019456,0.019125,0.018527,0.018641
53,M,True,-0.0067793,-0.0072091,-0.0071953,-0.0070432,-0.0071065
54,M,False,0.015445,0.016053,0.0163,0.016241,0.016423
55,M,False,-0.0091515,-0.0086477,-0.0086764,-0.0087024,-0.008379
56,M,False,-0.0051232,-0.006,-0.0061297,-0.0056425,-0.0050636
57,M,False,0.015326,0.013093,0.015037,0.015426,0.015841
58,M,True,0.010289,0.0099012,0.010256,0.0099906,0.0099658
59,M,True,-0.0079595,-0.0073091,-0.0064708,-0.0064154,-0.0065838
60,M,False,0.0080919,0.0077534,0.0077601,0.0082142,0.0081132
61,M,False,0.0080389,0.0079266,0.0077434,0.0076605,0.0077702
62,M,False,-0.0018904,-0.0019252,-0.0015698,-0.0023438,-0.0019426
63,M,False,0.0074564,0.0074939,0.0075353,0.0076127,0.0074771
64,M,True,0.0012645,0.00055802,-0.00066535,4.3361e-05,-9.6714e-05
65,M,False,0.0083845,0.0087,0.0070107,0.009097,0.0097131
66,M,False,0.0060898,0.0061372,0.0076923,0.007863,0.0077464
67,M,False,0.010013,0.0097739,0.011471,0.0128,0.012999
68,M,False,0.014797,0.015928,0.015097,0.015101,0.016578
69,M,True,0.0019606,0.0014404,0.0021085,0.0021657,0.0019485
70,M,False,0.00081342,0.0009928,0.00078659,0.00095325,0.0011605
71,M,False,0.0016486,0.0015492,0.0011434,0.00076123,0.0011928
72,M,True,-0.020425,-0.020957,-0.020797,-0.021647,-0.022704
73,M,False,-0.013272,-0.020443,-0.020445,-0.020228,-0.015653
74,M,False,-8.7899e-05,-0.0010391,-0.0023525,0.0066103,-0.00081472
75,M,False,0.00589,0.0059243,0.0057016,0.005942,0.005999
76,M,False,0.0043208,0.0043001,0.0043374,0.0044034,0.0052077
77,M,False,-0.01051,-0.0095444,-0.00926,-0.0091223,-0.0082481
78,M,True,0.0050027,0.0052284,0.005319,0.0053401,0.0059279
79,M,False,0.0048481,0.004931,0.0052625,0.005452,0.0051662
80,M,True,0.0074503,0.029232,0.0059643,0.0015544,0.0024171
81,M,False,0.018528,0.017641,0.017115,0.018319,0.018399
82,M,False,0.0097703,0.0089129,0.0096197,0.0094931,0.0097488
83,M,False,0.00032333,-0.0016494,-0.00025506,-0.00056654,-0.0014339
84,M,False,0.014738,0.014503,0.014037,0.013667,0.013235
85,M,False,0.0023582,0.0024307,0.0026806,0.0021318,0.0020489
86,M,True,-0.0017884,-0.0010882,-0.0012102,-0.00069062,-0.00093327
87,M,True,0.032541,0.033748,0.033472,0.033318,0.03402
88,M,False,0.017381,0.017725,0.018196,0.018252,0.018289
89,M,True,0.032631,0.033139,0.033153,0.032849,0.032456
90,M,False,0.031239,0.03353,0.034282,0.03378,0.034426
91,M,True,0.019357,0.019339,0.019025,0.018728,0.018605
92,M,False,0.017188,0.017226,0.016898,0.016822,0.016537
93,M,True,-0.0026255,-0.0025911,-0.0024967,-0.0025831,-0.0022056
94,M,False,-0.003846,-0.0038335,-0.0035323,-0.0037006,-0.0032127
95,M,False,-0.0021549,-0.0026014,-0.0025648,-0.0030125,-0.0029238
96,M,True,-0.0014641,-0.0013295,-0.0020975,-0.0016883,-0.0010415
97,M,True,0.0098359,0.010353,0.0098498,0.0096615,0.0089188
98,M,False,0.0089234,0.0083326,0.0083873,0.0085925,0.008579
99,M,True,0.0071604,0.0073698,0.0068792,0.0071459,0.0070645
100,M,False,0.0057163,0.0066135,0.0060058,0.0066148,0.0049197
101,M,False,-0.0019396,-0.0020951,-0.0017475,-0.0020122,-0.0023354
102,M,True,0.0037169,0.0037843,0.0036967,0.0036344,0.0035206
103,M,True,0.0047297,0.0046287,0.0049743,0.0048532,0.0046332
104,M,True,-0.0067457,-0.0090913,-0.0078478,-0.0070742,-0.0069252
105,M,False,-0.006913,-0.0064888,-0.0074789,-0.0054943,-0.0041099
106,M,False,0.00065957,0.00096513,0.00015239,0.0010804,0.000543
107,M,True,-0.0081979,-0.014669,-0.0080827,-0.0084158,-0.0076466
108,M,False,-0.0084158,-0.0076466,-0.0080628,-0.005725,-0.007506
109,M,False,-0.0037046,-0.0027942,-0.0036805,-0.0071375,-0.0027534
110,M,False,-0.0092813,-0.01023,-0.0058976,-0.0037543,-0.0077527
111,M,False,-0.012688,-0.013439,-0.01272,-0.013083,-0.012495
112,M,False,-0.012777,-0.011831,-0.012773,-0.012284,-0.012141
113,M,True,-0.0064334,-0.0043978,-0.0070993,-0.0050934,-0.0053121
114,M,False,-0.0084619,-0.0065147,-0.0092913,-0.0084979,-0.0058829
