,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5
0,X,False,15349.0,15533.0,15759.0,15681.0,15720.0
1,X,False,15412.0,15445.0,15265.0,15235.0,15166.0
2,X,False,9899.8,9830.8,9886.4,9947.1,9971.9
3,X,False,8343.0,8419.1,8420.2,8420.8,8547.5
4,X,True,10300.0,10281.0,10439.0,10687.0,10940.0
5,X,True,15875.0,13578.0,15489.0,15102.0,12993.0
6,X,False,13658.0,13554.0,13999.0,13661.0,14048.0
7,X,False,4549.0,4491.2,4521.1,4544.4,4513.7
8,X,True,15410.0,15383.0,15478.0,15239.0,15160.0
9,X,False,18090.0,18193.0,18207.0,18276.0,18218.0
10,X,False,18211.0,18190.0,18013.0,18155.0,17909.0
11,X,False,14371.0,14403.0,14362.0,14240.0,14330.0
12,X,False,11917.0,11971.0,11998.0,12072.0,12153.0
13,X,False,11203.0,11029.0,11223.0,10926.0,11427.0
14,X,True,11350.0,10586.0,11234.0,10650.0,10439.0
15,X,True,10298.0,10408.0,10628.0,10710.0,10743.0
16,X,False,13032.0,13048.0,13109.0,13146.0,13099.0
17,X,False,11337.0,11337.0,11321.0,11304.0,11132.0
18,X,False,12896.0,12824.0,12818.0,12849.0,12748.0
19,X,False,11886.0,12096.0,12232.0,12271.0,12284.0
20,X,False,7726.3,7655.9,7595.1,7747.5,7718.9
21,X,False,15737.0,15905.0,16111.0,16349.0,16618.0
22,X,False,540.48,550.9,542.53,574.26,622.52
23,X,False,3670.5,3689.5,3655.7,3760.0,3575.7
24,X,False,9947.8,9668.1,9442.2,9570.1,9579.4
25,X,False,14022.0,14440.0,13704.0,14426.0,13458.0
26,X,True,18846.0,18781.0,18762.0,18729.0,18549.0
27,X,True,19267.0,19318.0,19357.0,19344.0,19392.0
28,X,True,18346.0,18390.0,18394.0,18396.0,18330.0
29,X,True,16434.0,16361.0,16342.0,16408.0,16298.0
30,X,True,14860.0,14967.0,15030.0,15094.0,15194.0
31,X,False,6490.9,6370.0,6376.3,6418.7,6447.2
32,X,False,8796.8,8724.6,8676.9,8626.4,8600.6
33,X,True,9957.1,9854.1,9791.2,9820.3,10011.0
34,X,False,12172.0,9096.3,8527.6,8756.6,12283.0
35,X,True,18783.0,19376.0,19209.0,19300.0,19341.0
36,X,True,19804.0,19742.0,19947.0,19837.0,19725.0
37,X,False,19707.0,20121.0,20330.0,19916.0,20547.0
38,X,False,9974.0,9995.7,10086.0,9350.3,9266.7
39,M,False,5456.5,5501.1,5370.6,5263.6,5273.8
40,M,False,3562.9,3293.6,3552.8,4548.2,3325.0
41,M,False,6323.4,6283.0,6295.1,6334.7,6289.2
42,M,False,2971.2,2994.3,3083.0,3127.5,3162.1
43,M,True,8206.8,5353.9,7606.3,5136.0,5250.9
44,M,False,2907.2,2906.1,2937.7,2834.3,2747.2
45,M,False,2749.3,2747.0,2783.2,2657.7,2706.7
46,M,False,7592.3,7593.4,7673.5,7798.2,7890.9
47,M,False,3740.5,3373.1,3783.2,3786.0,3889.5
48,M,True,5043.7,5202.9,5248.6,5283.3,5421.9
49,M,True,14078.0,14204.0,14522.0,14796.0,14824.0
50,M,False,3865.8,3735.9,3636.3,3699.3,3632.9
51,M,False,14985.0,15015.0,15064.0,14828.0,14932.0
52,M,True,10860.0,10896.0,11025.0,10930.0,10965.0
53,M,True,8984.4,9006.5,8916.8,8858.3,8812.6
54,M,False,10909.0,10960.0,11046.0,11001.0,11088.0
55,M,False,9615.0,9608.0,9628.8,9480.7,9466.5
56,M,False,8282.0,8253.4,8182.4,8101.5,8127.2
57,M,False,4816.1,5376.1,4869.4,4864.0,4918.8
58,M,True,11836.0,11872.0,12014.0,11972.0,11921.0
59,M,True,5339.2,5381.1,5449.9,5329.4,5481.1
60,M,False,10890.0,10984.0,11215.0,11499.0,11582.0
61,M,False,11898.0,11835.0,11899.0,11982.0,11774.0
62,M,False,10973.0,10809.0,10817.0,10790.0,10914.0
63,M,False,9875.8,9963.0,9912.4,9999.2,9953.5
64,M,True,6491.2,6510.5,6482.4,6504.8,6593.0
65,M,False,7481.2,7504.6,7572.8,7771.5,7559.5
66,M,False,8509.8,8684.7,8777.5,8713.6,8703.1
67,M,False,8981.1,9051.6,9204.0,9211.0,9041.1
68,M,False,9666.9,9665.8,9492.6,9327.2,9486.4
69,M,True,12682.0,12558.0,12736.0,12780.0,12871.0
70,M,False,13479.0,13453.0,13429.0,13365.0,13367.0
71,M,False,14184.0,14345.0,14352.0,14386.0,14407.0
72,M,True,8589.2,8752.5,8902.2,8888.5,9107.7
73,M,False,7704.8,8788.1,8861.9,8773.4,8405.5
74,M,False,12687.0,12614.0,12525.0,12541.0,12780.0
75,M,False,7715.0,7717.9,7686.0,7718.4,7656.7
76,M,False,6251.2,6282.9,6340.0,6403.7,6447.7
77,M,False,8078.1,7896.7,7667.2,7491.2,7342.1
78,M,True,3890.9,3863.0,3977.1,3923.2,3957.8
79,M,False,3320.4,3302.1,3287.6,3329.3,3308.7
80,M,True,13290.0,12378.0,13271.0,13215.0,12666.0
81,M,False,10405.0,10557.0,10778.0,10453.0,10899.0
82,M,False,3740.2,3677.6,3703.9,3735.9,3730.3
83,M,False,14768.0,14111.0,14300.0,14598.0,13883.0
84,M,False,5433.0,5375.5,5510.4,5492.7,5510.8
85,M,False,7749.5,7750.7,7659.3,7702.7,7676.8
86,M,True,11597.0,11577.0,11659.0,11708.0,11886.0
87,M,True,13520.0,13680.0,13596.0,13548.0,13516.0
88,M,False,21550.0,21462.0,21360.0,21509.0,21631.0
89,M,True,12262.0,12056.0,12215.0,12063.0,12093.0
90,M,False,11909.0,12052.0,12020.0,11857.0,11848.0
91,M,True,12177.0,12023.0,11808.0,11579.0,11503.0
92,M,False,10632.0,10686.0,10685.0,10774.0,10781.0
93,M,True,4477.5,4479.1,4459.1,4433.7,4411.3
94,M,False,4600.6,4593.8,4570.7,4524.7,4465.5
95,M,False,3953.9,4083.9,4131.2,4212.7,4343.2
96,M,True,7942.9,7791.1,7858.4,7796.2,7689.2
97,M,True,8249.9,8475.4,8480.4,8502.1,8567.0
98,M,False,7678.2,7588.8,7446.4,7307.6,7331.3
99,M,True,6948.0,6845.6,6872.4,6970.4,6913.2
100,M,False,6363.9,6554.2,6771.8,6815.4,7021.5
101,M,False,3217.5,3223.7,3215.7,3196.8,3167.5
102,M,True,5391.8,5521.9,5566.0,5678.8,5620.0
103,M,True,5729.0,5601.8,5583.2,5467.1,5313.8
104,M,True,16268.0,16021.0,15842.0,16114.0,16208.0
105,M,False,14483.0,14462.0,14334.0,14317.0,14452.0
106,M,False,7034.3,7106.7,7156.2,7253.6,7021.4
107,M,True,15260.0,14922.0,14588.0,14483.0,14432.0
108,M,False,14483.0,14432.0,14493.0,15308.0,15892.0
109,M,False,16281.0,16286.0,16586.0,15745.0,17042.0
110,M,False,16515.0,16434.0,17665.0,17821.0,17018.0
111,M,False,17669.0,17684.0,17873.0,17842.0,18166.0
112,M,False,19018.0,19251.0,19256.0,18759.0,18572.0
113,M,True,19149.0,17070.0,19044.0,19207.0,17060.0
114,M,False,3448.9,2691.3,3114.8,3009.1,2587.3
115,M,True,19493.0,19711.0,20409.0,19031.0,19109.0
116,M,False,5747.2,5231.9,5360.1,6212.0,6024.7
117,M,False,20273.0,20369.0,20419.0,20554.0,20641.0
118,M,False,20598.0,20584.0,20831.0,20908.0,20920.0
119,M,True,13886.0,13906.0,14004.0,14186.0,14027.0
120,M,True,9565.8,14698.0,15122.0,9868.7,16026.0
121,M,False,16699.0,16824.0,16656.0,16543.0,16522.0
122,M,False,12921.0,12761.0,12522.0,12135.0,11587.0
123,M,False,5834.8,5866.0,5879.8,5887.6,5914.4
124,M,False,6666.5,6588.9,6565.5,6475.8,6461.8
125,M,True,15894.0,15755.0,16102.0,15865.0,16065.0
126,M,True,14811.0,14285.0,14842.0,14621.0,13835.0
127,M,True,13467.0,13477.0,13483.0,13493.0,13494.0
128,M,True,13303.0,13045.0,13215.0,12975.0,12923.0
129,M,True,12997.0,13048.0,13113.0,13033.0,12952.0
130,M,True,11999.0,12052.0,12086.0,12060.0,11954.0
131,M,False,12783.0,12655.0,12556.0,12466.0,12288.0
132,M,False,11986.0,12102.0,12196.0,12201.0,12241.0
133,M,False,12044.0,12009.0,11998.0,11997.0,12059.0
134,M,False,6152.9,6148.6,6123.8,6113.1,6146.4
135,M,True,5803.1,5739.6,5677.0,5575.2,5473.9
136,M,False,4073.2,4169.8,4177.4,4207.8,4215.0
137,M,False,3971.2,4310.8,4013.3,4079.6,4675.8
138,M,True,3732.5,3678.6,3550.2,3517.6,3479.2
139,M,False,9674.0,9776.7,9860.3,9960.1,9836.0
140,M,True,6225.8,6378.5,6151.7,6257.8,6257.3
141,M,False,5851.8,5711.3,5772.6,5709.0,5775.5
142,M,False,5730.8,5941.9,5877.6,5741.8,5807.6
143,M,True,6449.9,6420.6,6485.9,6421.9,6418.0
144,M,False,6068.6,6007.0,5932.2,5925.4,5894.2
145,M,False,8876.2,8895.0,9021.2,9038.8,8938.8
146,M,False,8914.9,7230.2,7201.5,9229.6,9218.7
147,M,False,8177.7,8158.5,8185.3,8113.1,8055.0
148,M,False,5006.0,5121.0,5158.3,5238.1,5365.9
149,M,True,17414.0,18598.0,17692.0,18384.0,18338.0
150,M,True,13193.0,13338.0,13361.0,13499.0,13491.0
151,M,False,13338.0,13361.0,13499.0,13491.0,13535.0
152,M,False,14134.0,14001.0,13845.0,14283.0,14270.0
153,M,True,14309.0,14224.0,14271.0,14226.0,14159.0
154,M,False,14508.0,14541.0,14600.0,14585.0,14652.0
155,M,False,14435.0,14667.0,14900.0,14808.0,14671.0
156,M,False,15167.0,15182.0,14862.0,14946.0,14774.0
157,M,False,16026.0,16121.0,16101.0,16098.0,15975.0
158,M,False,17438.0,17584.0,17596.0,17934.0,18133.0
159,M,False,16505.0,16438.0,16383.0,16315.0,16120.0
160,M,False,13626.0,13605.0,13499.0,13537.0,13355.0
161,M,False,8651.2,8459.8,8246.2,8182.2,8162.2
162,M,True,3346.5,3338.0,3324.3,3343.7,3339.3
163,M,False,4796.4,4901.7,4951.6,5095.6,5070.6
164,M,False,8079.7,8158.0,8175.7,8055.2,7976.5
165,M,True,0.0,0.0,0.0,0.0,0.0
166,M,False,7981.9,7972.4,8075.0,8061.1,8159.6
167,M,True,11937.0,11962.0,11951.0,11801.0,11711.0
168,M,True,13711.0,13698.0,13710.0,13617.0,13668.0
169,M,False,13457.0,13286.0,13043.0,13140.0,13090.0
170,M,True,14481.0,14431.0,14646.0,14621.0,14626.0
171,M,False,16009.0,16277.0,16659.0,17046.0,17443.0
172,M,False,16973.0,17148.0,17317.0,17516.0,17632.0
173,M,False,6031.1,6108.8,6038.8,6066.4,6055.1
174,M,False,3305.4,3363.3,3400.3,3433.3,3473.7
175,M,False,11905.0,11897.0,11861.0,11944.0,12055.0
176,M,True,0.0,0.0,0.0,0.0,0.0
177,M,False,6559.5,6616.4,6306.9,6442.6,6190.0
178,M,False,4831.0,4640.7,4787.5,5032.6,4879.8
179,M,False,10020.0,9986.0,10073.0,10249.0,10375.0
