,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5
0,X,False,4.807,4.8052,4.8056,4.7758,4.8486
1,X,False,4.8723,4.8666,4.8476,4.8315,4.8657
2,X,False,4.5183,4.5195,4.5335,4.5256,4.5374
3,X,False,4.4428,4.4147,4.4108,4.4136,4.4595
4,X,True,4.3364,4.3932,4.3662,4.3328,4.2942
5,X,True,4.7589,4.7549,4.7634,4.7573,4.7314
6,X,False,4.7956,4.7824,4.7933,4.8089,4.7866
7,X,False,4.5422,4.4485,4.5724,4.3806,4.4312
8,X,True,4.3916,4.3966,4.3986,4.362,4.3973
9,X,False,5.1583,5.1352,5.1524,5.1569,5.1618
10,X,False,5.1538,5.1531,5.1544,5.1935,5.2021
11,X,False,5.1722,5.1801,5.1599,5.1681,5.1774
12,X,False,5.0802,5.0847,5.0613,5.0658,5.0676
13,X,False,4.4101,4.4114,4.4233,4.4314,4.5186
14,X,True,4.5797,4.6521,4.6186,4.6347,4.5449
15,X,True,4.6082,4.6164,4.6106,4.6185,4.6325
16,X,False,4.3179,4.3102,4.3038,4.3213,4.3129
17,X,False,5.0392,5.0348,5.0213,4.9865,4.9859
18,X,False,4.8627,4.8488,4.8567,4.8184,4.8082
19,X,False,4.5979,4.5549,4.4965,4.5343,4.5725
20,X,False,4.8033,4.8033,4.8074,4.8209,4.8392
21,X,False,5.0995,5.1108,5.0286,4.9979,4.9881
22,X,False,0.0,0.0,0.0,0.0,0.0
23,X,False,4.655,4.6328,4.6703,4.6256,4.6137
24,X,False,4.1281,4.1034,4.0748,0.0,4.0117
25,X,False,4.8983,4.8676,4.8707,4.869,4.8959
26,X,True,5.3603,5.3791,5.3823,5.3917,5.3946
27,X,True,5.4404,5.435,5.4172,5.4058,5.3859
28,X,True,5.3384,5.3588,5.3593,5.3663,5.3833
29,X,True,5.4455,5.4351,5.4274,5.4319,5.4472
30,X,True,5.4792,5.4756,5.4767,5.4859,5.4759
31,X,False,4.7915,4.8086,4.7738,4.8145,4.8319
32,X,False,5.1689,5.1692,5.1099,5.1266,5.1297
33,X,True,4.8709,4.8632,4.8607,4.8922,4.9164
34,X,False,4.5529,4.4898,4.5288,4.6744,4.643
35,X,True,5.2362,5.2347,5.2497,5.2513,5.2351
36,X,True,5.2356,5.2472,5.2599,5.2342,5.2461
37,X,False,5.2961,5.3061,5.2912,5.289,5.2763
38,X,False,4.6972,4.7484,4.7692,4.8526,4.7954
39,M,False,3.9748,4.0721,4.0393,3.9291,3.9731
40,M,False,3.192,3.1597,3.3161,3.3,3.2914
41,M,False,3.8124,3.7767,3.8181,3.8437,3.884
42,M,False,3.7072,3.6699,3.893,3.8245,3.8383
43,M,True,4.3478,4.5047,4.2709,4.2392,4.2875
44,M,False,4.2293,4.1959,4.0459,4.2903,4.1412
45,M,False,4.004,4.0255,3.9825,3.9626,3.9211
46,M,False,4.0148,4.0152,3.9593,3.971,3.9807
47,M,False,3.703,3.7818,3.7493,3.7832,3.7511
48,M,True,3.5778,3.4732,3.6326,3.4055,3.5978
49,M,True,4.8027,4.8132,4.8297,4.8362,4.8024
50,M,False,4.1224,4.1725,4.082,4.049,3.934
51,M,False,4.8609,4.8845,4.8833,4.8684,4.8773
52,M,True,5.0051,4.9722,4.9955,5.0017,5.02
53,M,True,4.0184,4.0744,4.0247,4.0479,4.1316
54,M,False,5.0267,4.9954,4.9876,4.9887,4.9709
55,M,False,4.0147,4.0548,4.0538,4.0521,3.9926
56,M,False,3.6648,3.6493,3.728,3.7739,3.7781
57,M,False,4.4348,4.4511,4.4193,4.4264,4.4323
58,M,True,4.9975,5.0015,4.9892,5.0098,4.9778
59,M,True,4.5385,4.5612,4.5168,4.5311,4.5273
60,M,False,5.0776,5.082,5.0843,5.075,5.0589
61,M,False,5.0599,5.0541,5.0543,5.0513,5.0487
62,M,False,4.2952,4.3211,4.3149,4.363,4.3027
63,M,False,4.8647,4.8457,4.8648,4.8453,4.7875
64,M,True,4.6062,4.5732,4.5924,4.6112,4.5972
65,M,False,4.6942,4.6869,4.6727,4.629,4.595
66,M,False,4.7264,4.7308,4.7414,4.7284,4.7375
67,M,False,4.7396,4.7507,4.7374,4.7461,4.6934
68,M,False,4.7139,4.7132,4.7065,4.7787,4.6858
69,M,True,4.8665,4.8806,4.8543,4.8489,4.8226
70,M,False,4.9003,4.9287,4.9368,4.931,4.9327
71,M,False,4.9256,4.9311,4.9811,4.9607,4.9315
72,M,True,4.5813,4.557,4.5413,4.5688,4.5687
73,M,False,4.4048,4.4312,4.4194,4.4258,4.4037
74,M,False,4.4707,4.5411,4.51,4.4322,4.5305
75,M,False,4.437,4.4764,4.4836,4.4454,4.4687
76,M,False,4.5962,4.5602,4.5546,4.5441,4.5832
77,M,False,4.7526,4.7725,4.8031,4.7774,4.776
78,M,True,4.3433,4.3757,4.3894,4.4271,4.4141
79,M,False,4.4983,4.4959,4.5173,4.5612,4.5628
80,M,True,4.3738,4.3422,4.3346,4.3428,4.3662
81,M,False,4.7549,4.6724,4.6478,4.6835,4.6517
82,M,False,3.9993,3.8866,3.9707,4.0506,4.0083
83,M,False,5.0473,4.8361,4.9204,4.8782,4.8872
84,M,False,4.4213,4.4076,4.3756,4.3971,4.4462
85,M,False,4.4644,4.5097,4.5129,4.5137,4.4881
86,M,True,4.7573,4.7742,4.851,4.8011,4.8526
87,M,True,4.7564,4.736,4.7345,4.7646,4.7668
88,M,False,4.8128,4.8173,4.8298,4.8533,4.8623
89,M,True,4.7422,4.7617,4.7804,4.7775,4.7428
90,M,False,4.7177,4.7285,4.7296,4.7512,4.7423
91,M,True,4.7502,4.7492,4.7546,4.7369,4.7476
92,M,False,4.5445,4.5456,4.5223,4.5375,4.5325
93,M,True,3.719,3.7222,3.7563,3.8058,3.8013
94,M,False,3.7239,3.821,3.7861,3.7887,3.8823
95,M,False,3.946,3.9079,3.8585,3.7994,3.9026
96,M,True,4.1445,4.1944,4.2925,4.2944,4.2793
97,M,True,4.3539,4.3316,4.3663,4.3188,4.3816
98,M,False,4.4981,4.4947,4.4148,4.4211,4.3985
99,M,True,4.4843,4.5026,4.4808,4.4977,4.5308
100,M,False,4.543,4.5232,4.5708,4.61,4.6045
101,M,False,4.1794,4.1533,4.1352,4.1043,4.1372
102,M,True,4.5218,4.5615,4.5233,4.5149,4.4299
103,M,True,4.6723,4.6639,4.6507,4.626,4.6346
104,M,True,4.9025,4.9075,4.8593,4.9003,4.8854
105,M,False,4.7066,4.7248,4.741,4.748,4.7339
106,M,False,4.6764,4.6412,4.6428,4.6333,4.6373
107,M,True,4.821,4.8275,4.8422,4.8545,4.8395
108,M,False,4.8545,4.8395,4.8484,4.873,4.8762
109,M,False,4.8645,4.8803,4.8856,4.85,4.8538
110,M,False,4.8712,4.8775,4.9092,4.907,4.9109
111,M,False,4.9013,4.8984,4.9089,4.9305,4.9225
112,M,False,4.9615,4.9454,4.9476,4.9595,4.9708
113,M,True,4.9208,4.9127,4.9037,4.9076,4.8898
114,M,False,3.3407,3.2322,3.0754,3.455,3.4092
115,M,True,4.9023,4.9722,4.9779,4.9548,4.9332
116,M,False,3.5832,3.5697,3.5646,3.6273,3.6526
117,M,False,5.1401,5.1531,5.155,5.1464,5.1475
118,M,False,4.9204,4.9187,4.933,4.9401,4.9236
119,M,True,3.8749,3.7613,3.9127,4.0172,3.9689
120,M,True,3.9976,4.012,3.8999,3.8206,3.9353
121,M,False,4.2122,4.2335,4.2227,4.2401,4.157
122,M,False,4.6462,4.6091,4.5757,4.5883,4.5732
123,M,False,4.5328,4.512,4.5028,4.5043,4.5536
124,M,False,4.5743,4.5851,4.5661,4.5931,4.5758
125,M,True,4.828,4.873,4.8139,4.7883,4.7867
126,M,True,4.434,4.4304,4.4518,4.3242,4.3701
127,M,True,4.8529,4.8394,4.8773,4.8682,4.8724
128,M,True,4.9771,4.9764,4.9596,4.9615,4.9464
129,M,True,4.9615,4.985,4.9751,4.9747,4.9926
130,M,True,5.001,5.029,4.9984,4.9795,5.0158
131,M,False,5.1202,5.0882,5.1253,5.128,5.1297
132,M,False,5.1455,5.1377,5.1704,5.1796,5.157
133,M,False,5.1342,5.116,5.1382,5.1448,5.1519
134,M,False,4.2506,4.3038,4.2544,4.1907,4.2755
135,M,True,4.2998,4.3484,4.3196,4.3068,4.4071
136,M,False,4.06,4.0454,4.0804,4.1745,4.2067
137,M,False,4.8001,4.8084,4.8724,4.8724,4.7638
138,M,True,3.2821,3.2513,3.1325,3.2795,3.3973
139,M,False,4.5052,4.5249,4.5276,4.4951,4.491
140,M,True,4.5011,4.4653,4.4463,4.4707,4.495
141,M,False,4.6545,4.6191,4.6307,4.6008,4.5511
142,M,False,4.5157,4.5397,4.559,4.4845,4.531
143,M,True,4.6536,4.6701,4.653,4.6336,4.6364
144,M,False,4.6354,4.6325,4.6543,4.6747,4.6825
145,M,False,4.6936,4.698,4.673,4.6388,4.6698
146,M,False,4.8866,4.8769,4.8826,4.8884,4.8694
147,M,False,4.633,4.6847,4.6717,4.7262,4.7421
148,M,False,4.0928,4.0827,4.1224,4.1722,4.1586
149,M,True,4.454,4.4076,4.4061,4.469,4.4413
150,M,True,4.8265,4.8216,4.8393,4.8317,4.8337
151,M,False,4.8216,4.8393,4.8317,4.8337,4.8547
152,M,False,4.9107,4.8792,4.887,4.8928,4.9061
153,M,True,4.9051,4.8984,4.9143,4.8867,4.8887
154,M,False,4.9313,4.9235,4.9457,4.9351,4.9357
155,M,False,5.006,4.9633,5.0057,4.9964,4.9827
156,M,False,5.0062,5.0102,4.9927,4.9943,4.9979
157,M,False,4.9496,4.9502,4.9712,4.9834,4.9963
158,M,False,5.1402,5.1363,5.1495,5.1503,5.1286
159,M,False,5.1572,5.1636,5.1903,5.1816,5.1729
160,M,False,4.9669,4.9508,4.9492,4.9748,4.9483
161,M,False,4.6839,4.6509,4.643,4.6423,4.6594
162,M,True,3.6486,3.7866,3.6628,3.6381,3.6181
163,M,False,1.7912,0.0,0.0,1.9099,0.0
164,M,False,3.5893,3.5022,3.6004,3.6096,3.6134
165,M,True,4.5842,4.5682,4.4533,4.4958,4.7692
166,M,False,4.0401,3.9935,3.9013,3.9817,3.9435
167,M,True,4.8776,4.8935,4.8644,4.8851,4.8475
168,M,True,5.0384,5.0362,5.0383,5.0058,5.0279
169,M,False,5.0248,4.9983,4.9838,4.9866,4.9755
170,M,True,5.0121,5.0021,5.0148,5.0107,4.9833
171,M,False,5.0081,5.0139,5.0257,5.0693,5.0523
172,M,False,5.0361,5.0577,5.0857,5.0808,5.0781
173,M,False,4.1088,4.1,4.1262,4.1726,4.19
174,M,False,4.2509,4.29,4.361,4.3311,4.3386
175,M,False,4.0126,3.9502,3.986,3.9451,3.9188
176,M,True,2.3106,3.9256,3.8568,3.8651,3.9902
177,M,False,3.5906,3.5931,3.569,3.5091,3.5417
178,M,False,3.3371,3.3517,3.5055,3.5973,3.6396
179,M,False,4.715,4.6935,4.6793,4.7282,4.8229
180,M,True,4.2856,4.2677,4.3127,4.2716,4.2459
181,M,False,4.228,4.2245,4.2228,4.1949,4.2622
182,M,True,4.3212,4.2285,4.324,4.3465,4.3607
183,M,False,4.2433,4.2559,4.2236,4.2699,4.2808
184,M,True,4.2111,4.1788,4.1517,4.0848,4.0393
185,M,False,4.2473,4.2966,4.2821,4.306,4.3693
186,M,True,4.694,4.6556,4.6401,4.6678,4.7478
187,M,False,4.8244,4.792,4.8045,4.7645,4.7828
188,M,False,4.7819,4.721,4.7602,4.7727,4.7882
189,M,True,4.9674,4.9165,4.904,4.9512,4.9735
190,M,True,4.9579,4.955,4.9383,5.0058,4.9779
191,M,True,4.9564,4.9236,4.9403,4.969,4.9899
192,M,True,5.0128,5.0105,5.0279,5.0813,5.0601
193,M,False,3.9851,4.0099,3.9628,3.9799,4.1265
194,M,True,4.994,4.9456,4.9706,5.0226,5.0112
195,M,False,5.024,5.0184,5.0059,5.0199,5.0253
196,M,False,5.0355,5.0326,5.0223,4.9965,4.9944
197,M,True,5.0368,5.0384,5.0601,5.0627,5.0806
198,M,True,5.0806,5.1028,5.0841,5.1115,5.0683
199,M,False,5.1365,5.1439,5.1543,5.1336,5.1282
200,M,False,3.5509,3.5557,3.5005,4.0388,4.2096
201,M,True,5.1195,5.1361,5.1497,5.1582,5.1443
202,M,False,5.1443,5.1532,5.151,5.1392,5.1423
203,M,False,5.1737,5.1814,5.1671,5.1784,5.2009
204,M,True,5.227,5.243,5.2331,5.2505,5.2287
205,M,False,5.2406,5.2216,5.2515,5.2359,5.2201
206,M,True,5.1878,5.2163,5.2254,5.213,5.2206
207,M,False,5.2228,5.2486,5.2543,5.246,5.2374
208,M,True,5.2053,5.2266,5.2297,5.1933,5.225
209,M,False,5.1811,5.1728,5.1919,5.1969,5.2127
210,M,True,5.2032,5.1929,5.1738,5.1945,5.2194
211,M,False,5.2817,5.2777,5.2852,5.2543,5.2593
212,M,False,5.1953,5.2053,5.217,5.2264,5.237
213,M,False,4.9016,4.9305,4.8959,4.877,4.865
214,M,True,5.2408,5.2434,5.239,5.2448,5.2419
215,M,True,5.0999,5.1008,5.0981,5.0958,5.1007
216,M,False,5.0814,5.059,5.0843,5.0824,5.0648
217,M,False,5.0182,5.0015,5.0092,4.9925,4.9902
218,M,False,4.9645,4.9629,4.9486,4.9399,4.9545
219,M,True,5.1973,5.1974,5.1729,5.1611,5.1944
220,M,False,5.2284,5.2169,5.2438,5.2532,5.2342
221,M,False,5.25,5.2394,5.2304,5.2324,5.2695
222,M,False,5.0573,5.0631,5.09,5.0791,5.0974
223,M,False,4.9492,4.9436,4.9585,4.9556,4.9839
224,M,False,4.8847,4.8718,4.9331,5.004,5.0334
225,M,True,4.5981,4.6177,4.616,4.5994,4.563
226,M,False,4.6073,4.5976,4.5861,4.5834,4.607
227,M,False,4.7671,4.7729,4.782,4.7733,4.7553
228,M,False,4.3624,4.3081,4.3078,4.3847,4.3902
229,M,False,4.3218,4.5148,4.1586,4.3477,4.0849
230,M,False,4.1586,4.3477,4.0849,4.1594,4.091
231,M,False,4.3306,4.2882,4.1994,4.2106,4.1985
232,M,False,3.9997,4.1184,4.0806,4.1264,4.2205
233,M,False,4.2144,4.1788,4.258,4.1993,4.2933
234,M,False,4.2805,4.3072,4.3316,4.2933,4.2887
235,M,True,4.5055,4.6131,4.7306,4.4903,4.7083
236,M,True,4.6067,4.6068,4.6415,4.6405,4.6495
237,M,True,4.1597,4.0935,4.0255,4.0979,4.2727
238,M,False,4.0365,4.0391,4.086,4.1502,4.115
239,M,True,4.1723,4.1004,4.1591,4.1909,4.1373
240,M,False,4.3736,4.3719,4.4135,4.4224,4.4241
241,M,False,4.4365,4.4089,4.3933,4.3826,4.4081
242,M,True,4.199,4.1986,4.3458,4.3616,4.4016
243,M,False,4.6468,4.5969,4.6054,4.6203,4.6034
244,M,False,4.6455,4.5946,4.6408,4.6301,4.6606
245,M,False,4.1514,4.131,4.1315,4.1342,4.1432
246,M,False,4.7795,4.772,4.7224,4.7178,4.6973
247,M,False,4.7506,4.6951,4.7633,4.7271,4.7029
248,M,True,5.0643,5.0663,5.0704,5.0979,5.0779
249,M,False,5.0121,4.9989,4.9809,5.019,5.0511
250,M,True,4.212,4.2402,4.2166,4.2798,4.3025
251,M,False,4.2129,4.2283,4.28,4.3062,4.2289
252,M,False,2.5745,2.3101,2.951,3.0906,2.8299
253,M,False,4.1785,4.1639,4.1794,4.1406,4.0973
254,M,False,4.2562,4.1836,4.2455,4.2731,4.1985
255,M,False,4.4911,4.4491,4.4637,4.5041,4.5682
256,M,False,4.9347,4.9354,4.9892,4.9681,5.0072
257,M,False,4.718,4.7631,4.7815,4.8065,4.7706
258,M,False,4.3991,4.4631,4.4922,4.496,4.5058
259,M,False,4.5383,4.5412,4.5161,4.5273,4.5655
260,M,True,4.4601,4.4499,4.4764,4.4733,4.4803
261,M,False,4.4584,4.437,4.4708,4.4443,4.4907
262,M,False,3.4047,3.4392,3.4334,3.395,3.4039
263,M,False,3.5301,3.5533,3.5309,3.5516,3.4886
264,M,False,4.6177,4.6172,4.6421,4.5856,4.6188
265,M,False,4.1974,4.2217,4.2301,4.1738,4.0959
266,M,False,3.9909,3.9599,3.9827,3.9763,3.9884
267,M,False,3.7107,3.7848,3.6127,3.5999,3.6981
268,M,False,4.3681,4.4073,4.3803,4.4038,4.4173
269,M,False,4.2486,4.3308,4.3285,4.2586,4.2845
270,M,True,4.4603,4.4519,4.4816,4.466,4.4819
271,M,False,4.466,4.4819,4.5024,4.5359,4.5825
272,M,False,4.6904,4.6244,4.6972,4.7541,4.6013
273,M,False,4.4132,4.351,4.3245,4.3305,4.3986
274,M,True,4.2185,4.2583,4.281,4.3063,4.2438
275,M,False,4.2927,4.2832,4.3204,4.3166,4.2732
276,M,True,4.2921,4.2778,4.3401,4.321,4.2916
277,M,False,4.7254,4.6954,4.7154,4.7337,4.6704
278,M,True,4.8132,4.7742,4.7727,4.8331,4.823
279,M,True,4.8893,4.9187,4.8749,4.8482,4.8443
280,M,False,4.8801,4.8632,4.8742,4.8925,4.8763
281,M,False,4.8742,4.8925,4.8763,4.9269,4.9558
282,M,False,4.4661,4.5114,4.5143,4.5039,4.5088
283,M,False,4.9379,4.9311,4.9325,4.9483,4.9657
284,M,False,4.9483,4.9657,4.9321,4.9101,4.9234
285,M,True,4.5801,4.5342,4.7958,4.8389,4.8202
286,M,True,4.5235,4.4253,4.3203,4.295,4.2922
287,M,True,4.3664,4.3819,4.3997,4.3973,4.3714
288,M,False,4.3819,4.3874,4.3944,4.3637,4.3855
289,M,False,4.3679,4.3915,4.423,4.4052,4.4281
290,M,False,4.4329,4.4118,4.4348,4.3915,4.4273
291,M,False,4.5059,4.5016,4.5067,4.5167,4.5025
292,M,True,4.7785,4.7855,4.7475,4.7564,4.746
293,M,False,4.5888,4.6037,4.6186,4.6244,4.5676
294,M,False,4.5153,4.5293,4.4589,4.5092,4.5064
295,M,False,4.6096,4.62,4.5875,4.6409,4.6151
296,M,True,4.6187,4.6545,4.6396,4.6652,4.678
297,M,False,4.6396,4.6652,4.678,4.6989,4.6724
298,M,False,4.4997,4.4249,4.3754,4.464,4.4453
299,M,False,4.2432,4.2495,4.3184,4.2981,4.3873
300,M,False,4.5877,4.5901,4.5665,4.5601,4.5572
301,M,True,4.4205,4.4398,4.452,4.434,4.4561
302,M,False,4.4917,4.4853,4.4233,4.3975,4.4358
303,M,True,4.8325,4.8152,4.8216,4.8109,4.8016
304,M,True,4.9779,4.9677,4.9889,4.9746,4.9724
305,M,True,4.9942,5.0084,5.0279,5.0431,5.0726
306,M,True,5.0193,5.0225,4.9975,5.008,5.0295
307,M,True,4.9572,4.9606,4.9361,4.9754,4.9915
308,M,False,4.2254,4.2901,4.2668,4.2637,4.2663
309,M,False,5.1187,5.1775,5.1133,5.1087,5.1851
310,M,False,4.7936,4.8125,4.8159,4.8,4.8113
311,M,False,4.3464,4.3316,4.3895,4.3438,4.3251
312,M,True,4.4456,4.4436,4.459,4.4874,4.4785
313,M,True,4.582,4.5841,4.5587,4.5146,4.5263
314,M,False,4.8242,4.8353,4.8539,4.85,4.8059
315,M,False,4.9181,4.9571,5.0265,5.0368,5.0809
316,M,True,4.1429,4.2207,4.1832,4.2301,4.2446
