,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5
0,X,False,8.3512,8.2119,8.3359,8.1024,8.0681
1,X,False,10.507,10.328,10.417,10.417,10.418
2,X,False,16.635,16.25,16.296,16.426,16.243
3,X,False,6.1238,5.6126,5.7595,5.728,5.9154
4,X,True,3.8323,4.0007,3.7176,3.7828,3.8962
5,X,True,13.002,13.141,13.256,13.226,13.263
6,X,False,16.769,14.482,14.761,15.593,14.265
7,X,False,93.228,84.052,94.419,78.04,75.995
8,X,True,6.1526,5.9407,6.0077,5.9413,6.3093
9,X,False,6.7598,6.5545,5.4491,7.0448,7.109
10,X,False,7.1218,6.8063,6.8011,6.7412,6.6831
11,X,False,10.802,10.946,10.893,11.033,10.973
12,X,False,14.609,14.545,14.638,14.805,14.827
13,X,False,51.302,46.622,48.453,52.042,40.9
14,X,True,4.445,5.5973,2.8484,5.1099,7.4807
15,X,True,12.389,12.592,12.603,12.539,12.469
16,X,False,4.7405,4.4006,4.8004,4.8317,4.6458
17,X,False,11.084,11.09,11.113,11.054,10.869
18,X,False,11.565,11.621,11.623,11.763,11.684
19,X,False,14.31,14.574,14.452,14.44,14.306
20,X,False,12.916,13.222,13.023,13.027,13.089
21,X,False,9.0822,9.1165,9.0347,9.1052,8.9693
22,X,False,5.3424,6.9044,7.2251,10.054,8.1797
23,X,False,65.202,34.685,31.288,29.959,31.371
24,X,False,10.216,9.9285,9.9773,11.591,10.71
25,X,False,5.9906,6.1028,7.4041,7.0416,6.9674
26,X,True,4.554,4.5484,4.5601,4.5263,4.5182
27,X,True,5.1474,5.1483,5.1123,5.1878,5.2024
28,X,True,5.5013,5.5406,5.5375,5.5581,5.5747
29,X,True,5.5954,5.6135,5.5466,5.5563,5.5173
30,X,True,5.6907,5.6809,5.7182,5.7204,5.7319
31,X,False,12.86,12.739,12.952,12.713,12.64
32,X,False,20.113,20.227,19.949,20.01,20.101
33,X,True,6.0971,5.9439,6.0267,6.024,5.9887
34,X,False,2.6744,2.8009,3.4646,2.9676,2.9536
35,X,True,4.3183,4.3321,4.3425,4.2676,4.2655
36,X,True,3.9757,4.2932,4.275,3.877,3.8842
37,X,False,3.4197,3.3798,3.3567,3.3181,3.2933
38,X,False,26.514,27.197,25.721,24.841,22.853
39,M,False,14.308,12.97,14.187,13.961,13.5
40,M,False,0.0,0.0,0.0,0.0,0.0
41,M,False,19.656,19.279,19.234,19.203,19.248
42,M,False,15.808,15.501,15.192,15.006,14.675
43,M,True,2.4091,2.744,9.8021,13.366,11.001
44,M,False,6.3574,8.1209,8.6535,8.8314,11.759
45,M,False,2.8339,307.1,249.42,305.36,272.32
46,M,False,38.3,38.636,38.373,39.737,38.941
47,M,False,43.323,44.174,45.072,44.895,45.798
48,M,True,25.025,23.917,23.092,24.262,24.327
49,M,True,8.4887,8.5338,8.6114,8.7296,8.6781
50,M,False,23.262,23.215,22.857,22.976,20.009
51,M,False,8.3769,8.4692,8.3067,8.2312,8.324
52,M,True,10.331,10.549,10.551,10.567,10.518
53,M,True,14.748,14.785,15.025,15.322,15.214
54,M,False,10.189,10.077,10.226,10.199,10.172
55,M,False,15.56,15.644,15.728,15.916,15.71
56,M,False,17.768,17.738,17.676,17.739,17.829
57,M,False,23.029,14.077,13.935,23.187,23.192
58,M,True,8.2684,8.4063,8.3583,8.4011,8.4103
59,M,True,21.918,22.119,21.622,21.691,22.084
60,M,False,8.3308,8.1822,8.1958,8.3372,8.317
61,M,False,8.1602,8.2877,8.2307,8.1824,8.3787
62,M,False,15.774,15.583,15.49,15.463,15.458
