,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5
0,X,False,7.0148e+23,7.0773e+23,7.1436e+23,7.1369e+23,7.1821e+23
1,X,False,9.6413e+23,9.6309e+23,9.5874e+23,9.5569e+23,9.5794e+23
2,X,False,7.2083e+23,7.2274e+23,7.2759e+23,7.2767e+23,7.2356e+23
3,X,False,3.5987e+23,3.595e+23,3.6178e+23,3.6103e+23,3.6058e+23
4,X,True,3.3849e+23,3.3675e+23,3.3549e+23,3.3389e+23,3.3429e+23
5,X,True,1.5478e+24,1.526e+24,1.5562e+24,1.5409e+24,1.4808e+24
6,X,False,1.9313e+24,1.9233e+24,1.9763e+24,1.9338e+24,1.991e+24
7,X,False,3.8239e+23,3.793e+23,3.8346e+23,3.8326e+23,3.7628e+23
8,X,True,9.1636e+23,9.2421e+23,9.3543e+23,9.1867e+23,9.2129e+23
9,X,False,1.5854e+24,1.5896e+24,1.6047e+24,1.611e+24,1.6061e+24
10,X,False,1.6094e+24,1.6094e+24,1.5924e+24,1.6102e+24,1.601e+24
11,X,False,1.4684e+24,1.476e+24,1.475e+24,1.4804e+24,1.4797e+24
12,X,False,2.2752e+24,2.2737e+24,2.2776e+24,2.2806e+24,2.2771e+24
13,X,False,4.735e+23,4.6397e+23,4.8446e+23,4.6443e+23,4.8654e+23
14,X,True,5.6494e+22,5.5318e+22,6.0913e+22,6.3692e+22,6.5919e+22
15,X,True,1.0194e+24,1.0184e+24,1.035e+24,1.0384e+24,1.0426e+24
16,X,False,1.6288e+24,1.6376e+24,1.6233e+24,1.6365e+24,1.6215e+24
17,X,False,1.4556e+24,1.4684e+24,1.4646e+24,1.4728e+24,1.4514e+24
18,X,False,1.2009e+24,1.2019e+24,1.1992e+24,1.1993e+24,1.1989e+24
19,X,False,8.465e+23,8.4498e+23,8.4313e+23,8.4568e+23,8.46e+23
20,X,False,7.1314e+23,7.0766e+23,7.0262e+23,7.2453e+23,7.1888e+23
21,X,False,2.9396e+24,2.949e+24,2.9556e+24,2.9583e+24,2.9745e+24
22,X,False,4.8227e+21,4.9845e+21,4.9578e+21,5.3309e+21,6.0864e+21
23,X,False,2.9392e+23,2.9229e+23,2.8638e+23,2.8466e+23,2.6829e+23
24,X,False,3.0255e+23,2.9729e+23,2.9565e+23,3.0571e+23,3.0866e+23
25,X,False,2.8858e+24,3.0006e+24,2.8833e+24,3.0383e+24,2.8811e+24
26,X,True,4.3574e+24,4.3655e+24,4.3833e+24,4.3833e+24,4.4025e+24
27,X,True,5.2649e+24,5.2707e+24,5.2764e+24,5.2689e+24,5.2771e+24
28,X,True,5.1631e+24,5.1514e+24,5.1568e+24,5.1693e+24,5.183e+24
29,X,True,5.1828e+24,5.1762e+24,5.1619e+24,5.1594e+24,5.1495e+24
30,X,True,4.9624e+24,4.9571e+24,4.9609e+24,4.954e+24,4.9541e+24
31,X,False,6.3181e+23,6.2278e+23,6.2518e+23,6.2533e+23,6.2294e+23
32,X,False,1.7783e+24,1.7677e+24,1.7592e+24,1.7542e+24,1.7502e+24
33,X,True,5.7363e+23,5.7392e+23,5.7439e+23,5.7546e+23,5.7895e+23
34,X,False,2.9759e+22,2.4281e+22,2.8313e+22,3.2876e+22,5.0683e+22
35,X,True,1.3522e+24,1.3529e+24,1.3423e+24,1.3472e+24,1.3548e+24
36,X,True,1.3794e+24,1.3884e+24,1.3836e+24,1.3917e+24,1.3994e+24
37,X,False,1.6709e+24,1.6989e+24,1.7218e+24,1.6865e+24,1.7345e+24
38,X,False,7.8931e+23,7.7233e+23,7.6788e+23,6.897e+23,6.7648e+23
39,M,False,6.7848e+22,7.2655e+22,7.1673e+22,7.23e+22,7.2042e+22
40,M,False,1.5104e+22,1.4806e+22,1.4551e+22,2.1014e+22,1.5354e+22
41,M,False,2.2594e+23,2.2472e+23,2.2452e+23,2.2371e+23,2.2154e+23
42,M,False,7.3953e+22,7.5097e+22,7.6545e+22,7.7258e+22,7.9172e+22
43,M,True,3.5705e+22,2.3926e+22,3.28e+22,2.3689e+22,2.3765e+22
44,M,False,1.9069e+22,1.9054e+22,1.9737e+22,1.9524e+22,1.911e+22
45,M,False,1.1185e+23,1.1311e+23,1.1631e+23,1.1432e+23,1.19e+23
46,M,False,2.6799e+23,2.6089e+23,2.6109e+23,2.625e+23,2.6198e+23
47,M,False,7.3411e+22,6.688e+22,7.4072e+22,7.5948e+22,7.9455e+22
48,M,True,6.5669e+22,6.7625e+22,7.0547e+22,7.182e+22,7.3999e+22
49,M,True,5.7933e+23,5.8498e+23,5.9083e+23,5.9686e+23,5.9855e+23
50,M,False,8.4854e+22,8.4031e+22,8.4298e+22,8.7733e+22,8.8711e+22
51,M,False,8.2927e+23,8.3214e+23,8.3164e+23,8.2763e+23,8.2678e+23
52,M,True,6.4287e+23,6.4317e+23,6.4713e+23,6.4264e+23,6.4787e+23
53,M,True,2.851e+23,2.859e+23,2.8711e+23,2.8385e+23,2.8425e+23
54,M,False,6.6325e+23,6.6023e+23,6.6639e+23,6.7002e+23,6.7299e+23
55,M,False,2.8184e+23,2.8037e+23,2.8169e+23,2.8345e+23,2.8352e+23
56,M,False,2.7891e+23,2.7992e+23,2.8117e+23,2.8052e+23,2.7963e+23
57,M,False,2.2654e+23,2.491e+23,2.2548e+23,2.2372e+23,2.2311e+23
58,M,True,1.1827e+24,1.176e+24,1.1817e+24,1.1853e+24,1.1855e+24
59,M,True,2.8764e+23,2.9557e+23,3.0143e+23,2.9753e+23,3.0342e+23
60,M,False,1.1845e+24,1.1889e+24,1.198e+24,1.2043e+24,1.1952e+24
61,M,False,1.1851e+24,1.1663e+24,1.1692e+24,1.1738e+24,1.1523e+24
62,M,False,4.7042e+23,4.7587e+23,4.763e+23,4.7452e+23,4.7337e+23
63,M,False,1.0915e+24,1.0943e+24,1.0744e+24,1.0726e+24,1.057e+24
64,M,True,5.2801e+23,5.2965e+23,5.3261e+23,5.3337e+23,5.3718e+23
65,M,False,6.1515e+23,6.1513e+23,6.2538e+23,6.4162e+23,6.2337e+23
66,M,False,6.9865e+23,7.0958e+23,7.1314e+23,7.1498e+23,7.2134e+23
67,M,False,8.1336e+23,8.1378e+23,8.1067e+23,8.0809e+23,7.799e+23
68,M,False,7.9035e+23,7.9476e+23,7.9019e+23,7.9024e+23,8.0968e+23
69,M,True,8.6329e+23,8.6409e+23,8.7307e+23,8.7702e+23,8.8292e+23
70,M,False,8.9911e+23,8.9605e+23,8.9677e+23,8.953e+23,9.0027e+23
71,M,False,1.0835e+24,1.0801e+24,1.0754e+24,1.0769e+24,1.0789e+24
72,M,True,3.8458e+23,3.8588e+23,3.8891e+23,3.8195e+23,3.8501e+23
73,M,False,3.4942e+23,3.9862e+23,4.0513e+23,4.0138e+23,3.8371e+23
74,M,False,4.7353e+23,4.9189e+23,5.0196e+23,5.0553e+23,5.2001e+23
75,M,False,5.4105e+23,5.3944e+23,5.3536e+23,5.4179e+23,5.3848e+23
76,M,False,6.9416e+23,6.9416e+23,6.9547e+23,6.9969e+23,7.0706e+23
77,M,False,4.0457e+23,4.0965e+23,4.0917e+23,4.1535e+23,4.2114e+23
78,M,True,3.5714e+23,3.4822e+23,3.5163e+23,3.4159e+23,3.4137e+23
79,M,False,3.6157e+23,3.6048e+23,3.5815e+23,3.5996e+23,3.5526e+23
80,M,True,3.019e+23,2.9148e+23,3.152e+23,3.3421e+23,3.3034e+23
81,M,False,4.7557e+23,4.6925e+23,4.8384e+23,4.6282e+23,4.9258e+23
82,M,False,1.8719e+23,1.8878e+23,1.8793e+23,1.9073e+23,1.9011e+23
83,M,False,2.0986e+23,2.1581e+23,2.2509e+23,2.3896e+23,2.3642e+23
