,FLARE_TYPE,COINCIDENCE,TOTUSJH_1,TOTUSJH_2,TOTUSJH_3,TOTUSJH_4,TOTUSJH_5
0,X,False,2922.3,2975.1,2982.6,2959.0,2975.3
1,X,False,3133.6,3067.6,3078.9,3041.2,3073.1
2,X,False,2283.9,2283.0,2307.4,2299.2,2327.6
3,X,False,1711.6,1710.0,1716.0,1724.4,1712.4
4,X,True,1630.3,1687.8,1708.1,1706.9,1697.7
5,X,True,4590.6,4441.4,4524.8,4370.4,4544.9
6,X,False,4998.1,5003.2,5247.5,4992.9,5237.0
7,X,False,1778.1,1781.6,1764.1,1738.6,1706.9
8,X,True,2406.0,2403.8,2362.9,2391.4,2314.4
9,X,False,5145.9,5139.9,5119.3,5097.1,5121.5
10,X,False,5188.1,5227.6,5217.8,5208.6,5221.8
11,X,False,6786.8,6764.3,6669.7,6614.4,6581.4
12,X,False,6779.7,6764.0,6730.8,6754.6,6756.8
13,X,False,1683.1,1716.6,1690.0,1634.7,1673.0
14,X,True,242.74,217.88,217.6,215.1,209.23
15,X,True,3668.1,3689.6,3671.8,3660.7,3659.5
16,X,False,4101.1,4048.7,3979.3,4014.3,4017.2
17,X,False,5331.5,5382.8,5313.5,5325.6,5380.0
18,X,False,4618.4,4604.8,4583.3,4579.3,4544.8
19,X,False,3347.9,3358.8,3359.8,3395.7,3359.1
20,X,False,3243.1,3238.5,3268.1,3180.2,3173.1
21,X,False,7149.5,7201.9,7269.5,7376.2,7431.7
22,X,False,110.52,113.6,113.8,114.07,120.12
23,X,False,1745.6,1733.6,1743.8,1747.2,1717.4
24,X,False,1100.0,1141.7,1175.4,1154.1,1173.2
25,X,False,6151.7,6510.8,6166.4,6610.7,6295.4
26,X,True,11696.0,11644.0,11688.0,11647.0,11665.0
27,X,True,11515.0,11427.0,11477.0,11323.0,11369.0
28,X,True,12264.0,12281.0,12470.0,12447.0,12373.0
29,X,True,12716.0,12653.0,12651.0,12659.0,12678.0
30,X,True,13208.0,13151.0,13202.0,13270.0,13336.0
31,X,False,4091.2,4060.5,3993.0,4016.1,3983.4
