,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20,MEANPOT_21,MEANPOT_22,MEANPOT_23,MEANPOT_24,MEANPOT_25,MEANPOT_26,MEANPOT_27,MEANPOT_28,MEANPOT_29,MEANPOT_30,MEANPOT_31,MEANPOT_32,MEANPOT_33,MEANPOT_34,MEANPOT_35,MEANPOT_36,MEANPOT_37,MEANPOT_38,MEANPOT_39,MEANPOT_40,MEANPOT_41,MEANPOT_42,MEANPOT_43,MEANPOT_44,MEANPOT_45,MEANPOT_46,MEANPOT_47,MEANPOT_48,MEANPOT_49,MEANPOT_50,MEANPOT_51,MEANPOT_52,MEANPOT_53,MEANPOT_54,MEANPOT_55,MEANPOT_56,MEANPOT_57,MEANPOT_58,MEANPOT_59,MEANPOT_60,MEANPOT_61,MEANPOT_62,MEANPOT_63,MEANPOT_64,MEANPOT_65,MEANPOT_66,MEANPOT_67,MEANPOT_68,MEANPOT_69,MEANPOT_70,MEANPOT_71,MEANPOT_72,MEANPOT_73,MEANPOT_74,MEANPOT_75,MEANPOT_76,MEANPOT_77,MEANPOT_78,MEANPOT_79,MEANPOT_80,MEANPOT_81,MEANPOT_82,MEANPOT_83,MEANPOT_84,MEANPOT_85,MEANPOT_86,MEANPOT_87,MEANPOT_88,MEANPOT_89,MEANPOT_90,MEANPOT_91,MEANPOT_92,MEANPOT_93,MEANPOT_94,MEANPOT_95,MEANPOT_96,MEANPOT_97,MEANPOT_98,MEANPOT_99,MEANPOT_100,MEANPOT_101,MEANPOT_102,MEANPOT_103,MEANPOT_104,MEANPOT_105,MEANPOT_106,MEANPOT_107,MEANPOT_108,MEANPOT_109,MEANPOT_110
0,X,False,15349.0,15533.0,15759.0,15681.0,15720.0,15735.0,15749.0,15710.0,15815.0,15832.0,15739.0,15651.0,15552.0,15571.0,15584.0,15604.0,15551.0,15556.0,15360.0,15299.0,15244.0,15153.0,15145.0,15140.0,15177.0,15198.0,15345.0,15434.0,15480.0,15506.0,15638.0,15852.0,15930.0,16032.0,16007.0,15908.0,15835.0,15812.0,15785.0,15778.0,15587.0,15410.0,15343.0,15465.0,15534.0,15524.0,15443.0,15515.0,15370.0,15301.0,15084.0,15143.0,15087.0,15049.0,15075.0,15181.0,15264.0,15436.0,15387.0,15401.0,15326.0,15372.0,15327.0,15435.0,15357.0,15400.0,15431.0,15542.0,15440.0,15410.0,15399.0,15497.0,15692.0,15721.0,15700.0,15644.0,15831.0,15688.0,15810.0,15954.0,16068.0,16116.0,16149.0,16193.0,16105.0,15906.0,15692.0,15675.0,15373.0,15308.0,15264.0,15215.0,15260.0,15141.0,15082.0,15045.0,15080.0,15046.0,14970.0,14961.0,15028.0,15171.0,15319.0,15334.0,15412.0,15557.0,15518.0,15425.0,15503.0,15697.0
1,X,False,15412.0,15445.0,15265.0,15235.0,15166.0,15178.0,15090.0,15063.0,15159.0,14974.0,14997.0,14997.0,15013.0,14999.0,15020.0,14996.0,14997.0,14793.0,14987.0,15198.0,15310.0,15352.0,15468.0,15432.0,15460.0,15364.0,15312.0,15213.0,15129.0,15020.0,14777.0,14633.0,14573.0,14540.0,14559.0,14392.0,14391.0,14350.0,14356.0,14459.0,14648.0,14860.0,15270.0,15764.0,16023.0,16171.0,16109.0,16049.0,15964.0,15909.0,15851.0,15696.0,15586.0,15446.0,15423.0,15422.0,15252.0,15159.0,15051.0,15043.0,14922.0,14803.0,14693.0,14803.0,14675.0,14713.0,14664.0,14656.0,14629.0,14688.0,14790.0,14779.0,14763.0,14867.0,14829.0,14902.0,14922.0,14889.0,14972.0,15008.0,14978.0,14993.0,15088.0,15176.0,15309.0,15321.0,15442.0,15544.0,15662.0,15657.0,15928.0,16073.0,16084.0,16187.0,16198.0,16219.0,16072.0,15754.0,15324.0,15083.0,14937.0,14948.0,12865.0,15168.0,15304.0,15295.0,15253.0,15290.0,15347.0,15335.0
2,X,False,9899.8,9830.8,9886.4,9947.1,9971.9,10158.0,10188.0,10337.0,10405.0,10529.0,10483.0,10569.0,10533.0,10502.0,10430.0,10346.0,10268.0,10277.0,10176.0,10015.0,9965.5,10015.0,9995.8,10069.0,9978.8,9943.6,9919.5,9904.0,9850.4,9862.1,9903.7,9938.0,9917.4,10019.0,10057.0,10088.0,10141.0,10130.0,9989.2,9958.6,10019.0,10185.0,10217.0,10431.0,10446.0,10504.0,10519.0,10543.0,10519.0,10438.0,10398.0,10340.0,10419.0,10360.0,10248.0,10128.0,10203.0,10179.0,10223.0,10283.0,10202.0,10183.0,10269.0,10379.0,10481.0,10571.0,10618.0,10678.0,10823.0,10821.0,10775.0,10674.0,10601.0,10447.0,10255.0,10168.0,10130.0,10198.0,10161.0,10198.0,10169.0,10288.0,10189.0,10089.0,10106.0,10153.0,10001.0,9998.6,9848.5,9945.4,10013.0,10003.0,10031.0,10010.0,9955.9,9977.3,10197.0,10059.0,10083.0,10159.0,10288.0,10451.0,10509.0,10413.0,10492.0,10591.0,10628.0,10769.0,11471.0,11460.0
3,X,False,8343.0,8419.1,8420.2,8420.8,8547.5,8669.2,8894.0,8918.3,8870.3,9051.5,9074.7,9190.3,9327.2,9238.9,9207.6,9166.8,9307.9,9248.4,9540.9,9692.2,9675.9,9676.6,9620.0,9606.3,9576.1,9537.0,9540.4,9556.1,9488.3,9459.0,9471.7,9474.5,9463.1,9368.3,9291.9,8945.7,8839.7,8555.2,8510.5,8482.9,8913.5,9471.0,9999.6,10530.0,10615.0,10542.0,10414.0,10372.0,10250.0,10143.0,9972.2,10006.0,9996.7,9927.6,9764.3,9570.9,9227.3,9051.5,8935.3,8949.4,9101.0,9167.5,9216.7,9411.4,9477.7,9694.8,9861.5,10038.0,10122.0,10204.0,10307.0,10521.0,10462.0,10501.0,10509.0,10450.0,10526.0,10474.0,10480.0,10261.0,10153.0,10109.0,9957.0,9882.1,9575.5,9391.7,9350.7,9317.7,9238.0,9295.5,9172.1,9062.0,9164.6,9420.2,9723.3,9989.8,10054.0,10152.0,10174.0,10336.0,10304.0,10464.0,10575.0,10623.0,10353.0,10298.0,9714.1,9093.6,8448.0,8238.9
4,X,True,10300.0,10281.0,10439.0,10687.0,10940.0,10822.0,10955.0,10935.0,10968.0,10912.0,10913.0,10927.0,11034.0,10907.0,10880.0,11005.0,10925.0,10770.0,10875.0,10743.0,10912.0,10785.0,10635.0,10656.0,10449.0,10382.0,10454.0,10365.0,10363.0,10231.0,10257.0,10111.0,9932.3,9718.0,9505.9,9418.8,9009.1,8914.3,8745.0,8580.3,9011.4,9351.1,9877.8,10321.0,10532.0,10558.0,10703.0,10485.0,10318.0,10272.0,10169.0,10031.0,9862.8,9689.4,9525.7,9252.0,9164.4,9022.7,9048.8,8842.0,8778.2,8736.2,8608.6,8605.8,8698.4,8757.8,8834.7,8844.0,8793.4,8790.2,8786.6,8914.3,8788.9,8768.7,8600.0,8610.9,8679.1,8497.6,8517.6,8432.3,8355.8,8432.1,8316.7,8268.0,8296.2,8249.9,8475.4,8480.4,8502.1,8567.0,8770.4,8919.8,9060.4,9168.7,9179.3,9206.9,9230.5,9210.5,9180.7,9076.5,8991.0,8677.3,8306.7,7898.7,5628.7,7430.5,7472.7,7508.5,7725.4,7753.1
5,X,False,13658.0,13554.0,13999.0,13661.0,14048.0,13899.0,13799.0,13715.0,13606.0,13517.0,13539.0,13511.0,13539.0,13485.0,13470.0,13463.0,13467.0,13477.0,13483.0,13493.0,13494.0,13553.0,13504.0,13536.0,13658.0,13681.0,13675.0,13516.0,13662.0,13687.0,13625.0,13786.0,13776.0,13776.0,13761.0,13820.0,13825.0,13858.0,13469.0,13661.0,13575.0,13644.0,13569.0,13376.0,13179.0,13309.0,13146.0,12967.0,12957.0,12905.0,13011.0,12741.0,12627.0,12719.0,12747.0,12857.0,12929.0,13036.0,12968.0,13232.0,13029.0,13210.0,13360.0,12817.0,12891.0,13063.0,12792.0,12842.0,12880.0,12841.0,12790.0,12790.0,12642.0,12720.0,12480.0,12628.0,12516.0,12641.0,12417.0,12661.0,12494.0,12394.0,12486.0,12344.0,12485.0,12524.0,12495.0,12551.0,12422.0,12402.0,12570.0,12714.0,12716.0,12604.0,12634.0,12698.0,12675.0,12556.0,12496.0,12455.0,12274.0,12216.0,11992.0,11958.0,11987.0,11940.0,12012.0,12013.0,12241.0,12164.0
6,X,True,15410.0,15383.0,15478.0,15239.0,15160.0,15080.0,14686.0,14848.0,14635.0,14658.0,14780.0,15023.0,14834.0,14880.0,14875.0,14827.0,14747.0,14775.0,14791.0,14651.0,14586.0,14543.0,14403.0,14253.0,14130.0,13913.0,13779.0,13531.0,13500.0,13315.0,13157.0,13290.0,13120.0,13217.0,12967.0,13109.0,13030.0,13154.0,13068.0,12951.0,12700.0,12701.0,12466.0,12502.0,12425.0,12682.0,12337.0,12637.0,12540.0,12517.0,12575.0,12609.0,12623.0,12580.0,12602.0,12745.0,12610.0,12797.0,12813.0,12807.0,12849.0,12774.0,12652.0,12721.0,12715.0,12690.0,12666.0,12525.0,12523.0,12132.0,12201.0,12061.0,11804.0,11723.0,11855.0,11869.0,11806.0,11902.0,12192.0,12240.0,12607.0,12982.0,13124.0,13193.0,13338.0,13361.0,13499.0,13491.0,13535.0,13696.0,13421.0,13852.0,13607.0,13830.0,13954.0,14054.0,13903.0,13910.0,13921.0,14134.0,14001.0,13845.0,14283.0,14270.0,14428.0,14462.0,14580.0,14707.0,14670.0,14309.0
7,X,False,11917.0,11971.0,11998.0,12072.0,12153.0,12230.0,12369.0,12485.0,12619.0,12697.0,12789.0,12822.0,13075.0,13139.0,13239.0,13347.0,13420.0,13524.0,13549.0,13545.0,13507.0,13318.0,13153.0,13007.0,9377.2,12442.0,12269.0,12173.0,12139.0,12120.0,12221.0,12269.0,12304.0,12387.0,12478.0,12583.0,12657.0,12714.0,12823.0,12825.0,12911.0,12970.0,13049.0,13097.0,13150.0,13167.0,13276.0,13289.0,13218.0,13204.0,13202.0,13166.0,13248.0,13200.0,13154.0,13167.0,13133.0,13096.0,13021.0,13071.0,13045.0,12804.0,12984.0,12934.0,12842.0,12848.0,12770.0,12717.0,12676.0,12556.0,12425.0,12281.0,12319.0,12326.0,12440.0,12485.0,12776.0,13095.0,13356.0,13557.0,13773.0,13916.0,13941.0,14125.0,14022.0,13968.0,13876.0,13814.0,13850.0,13635.0,13657.0,13619.0,13506.0,13394.0,13265.0,13178.0,13120.0,13117.0,13007.0,12905.0,12820.0,12763.0,12662.0,12648.0,12565.0,12500.0,12493.0,12438.0,12442.0,12420.0
8,X,False,11203.0,11029.0,11223.0,10926.0,11427.0,11301.0,10730.0,11501.0,11306.0,11187.0,11821.0,11065.0,11600.0,11257.0,11584.0,11396.0,11490.0,11603.0,11872.0,11087.0,11406.0,11249.0,11206.0,11089.0,11217.0,10935.0,11232.0,11105.0,10754.0,10707.0,10089.0,10019.0,10013.0,9755.5,10249.0,10420.0,9796.5,9970.6,9448.3,9057.3,9388.5,8960.1,9081.2,9242.3,9125.8,9088.2,9484.2,9244.4,9315.0,9405.8,9494.4,9335.0,9104.4,9347.9,9487.7,9051.5,9174.8,8801.3,8668.0,8757.9,8611.7,8460.1,7645.0,7721.7,8903.8,8997.8,8764.3,8876.1,8076.4,7960.3,7881.8,7893.4,7850.2,7772.4,7846.8,7825.3,7838.0,6970.7,7804.8,7645.0,7534.4,7784.8,7625.4,7373.4,7565.5,7471.1,7807.9,7354.1,7543.5,7580.3,7529.2,6997.5,7377.6,7615.9,7582.0,7579.1,7504.0,6916.7,7394.9,7272.8,7323.3,7347.2,7487.0,7343.6,7195.1,6654.2,7299.4,7081.5,7009.3,6916.2
9,X,True,10298.0,10408.0,10628.0,10710.0,10743.0,10705.0,10770.0,10816.0,10814.0,10750.0,10742.0,10574.0,10355.0,10292.0,10188.0,10031.0,9980.8,10024.0,9810.3,9813.4,9762.1,9704.1,9734.9,9766.4,9922.5,9906.3,10126.0,10316.0,10404.0,10551.0,10633.0,10779.0,10885.0,10851.0,10777.0,10638.0,10596.0,10535.0,10467.0,10430.0,10366.0,10295.0,10263.0,10289.0,10177.0,10116.0,10081.0,10060.0,9899.8,9914.2,9947.0,9938.6,10030.0,10040.0,10145.0,10100.0,10174.0,10155.0,10265.0,10215.0,10203.0,10312.0,10415.0,10553.0,10887.0,10862.0,10730.0,10913.0,11069.0,11000.0,11025.0,10967.0,11053.0,10900.0,10937.0,10644.0,10500.0,10473.0,10225.0,10144.0,10135.0,10093.0,10118.0,10147.0,10094.0,10209.0,10285.0,10403.0,10373.0,10505.0,10729.0,10553.0,10893.0,11072.0,10976.0,11067.0,10776.0,10873.0,10699.0,10580.0,10534.0,10363.0,10456.0,10378.0,10292.0,10267.0,10272.0,10124.0,10088.0,10137.0
