,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25,g_s_26,g_s_27,g_s_28,g_s_29,g_s_30,g_s_31,g_s_32,g_s_33,g_s_34,g_s_35,g_s_36,g_s_37,g_s_38,g_s_39,g_s_40,g_s_41,g_s_42,g_s_43,g_s_44,g_s_45,g_s_46,g_s_47,g_s_48,g_s_49,g_s_50,g_s_51,g_s_52,g_s_53,g_s_54,g_s_55,g_s_56,g_s_57,g_s_58,g_s_59,g_s_60,g_s_61,g_s_62,g_s_63,g_s_64,g_s_65,g_s_66,g_s_67,g_s_68,g_s_69,g_s_70,g_s_71,g_s_72,g_s_73,g_s_74,g_s_75,g_s_76,g_s_77,g_s_78,g_s_79,g_s_80,g_s_81,g_s_82,g_s_83,g_s_84,g_s_85,g_s_86,g_s_87,g_s_88,g_s_89,g_s_90,g_s_91,g_s_92,g_s_93,g_s_94,g_s_95,g_s_96,g_s_97,g_s_98,g_s_99,g_s_100,g_s_101,g_s_102,g_s_103,g_s_104,g_s_105,g_s_106,g_s_107,g_s_108,g_s_109,g_s_110,g_s_111,g_s_112,g_s_113,g_s_114,g_s_115,g_s_116,g_s_117,g_s_118
0,X,False,90177.0,95488.0,99707.0,126350.0,112640.0,106220.0,96951.0,97643.0,103450.0,94982.0,109330.0,95691.0,112320.0,101980.0,115740.0,93265.0,102680.0,108500.0,103060.0,83802.0,80370.0,81966.0,73761.0,76486.0,76916.0,63208.0,64400.0,71691.0,72150.0,69857.0,69593.0,61041.0,68184.0,75019.0,82241.0,75152.0,79287.0,88095.0,85382.0,88397.0,105730.0,87624.0,104780.0,104880.0,103660.0,100560.0,96694.0,92514.0,98887.0,92453.0,75151.0,72233.0,79242.0,84527.0,78300.0,83930.0,91121.0,85674.0,102480.0,100940.0,97152.0,100350.0,77544.0,71459.0,72423.0,66588.0,68431.0,70412.0,73768.0,64449.0,69623.0,85598.0,92416.0,93893.0,104930.0,100480.0,100820.0,112530.0,105590.0,101350.0,99663.0,88006.0,93423.0,95565.0,94300.0,102040.0,91733.0,84491.0,97406.0,105260.0,88480.0,101860.0,92601.0,82752.0,79806.0,87368.0,88467.0,85262.0,89108.0,87142.0,77949.0,77905.0,90459.0,90317.0,95389.0,91912.0,97596.0,95099.0,84093.0,93046.0,89062.0,81796.0,89158.0,89774.0,88870.0,83196.0,72370.0,81746.0
1,X,False,53345.0,57244.0,56641.0,63109.0,61677.0,58080.0,56071.0,49778.0,49333.0,51625.0,44968.0,44570.0,51049.0,48191.0,53662.0,55673.0,58037.0,61599.0,64854.0,54230.0,53793.0,55779.0,53675.0,46868.0,51363.0,51162.0,53641.0,55170.0,57595.0,55751.0,53700.0,53826.0,54152.0,62106.0,56836.0,59843.0,69249.0,65267.0,72563.0,66447.0,79743.0,68421.0,59554.0,69345.0,65559.0,59269.0,52914.0,62159.0,60049.0,68680.0,59576.0,61295.0,63466.0,56635.0,58148.0,62306.0,67717.0,66874.0,73373.0,69414.0,66686.0,65007.0,70174.0,58685.0,57137.0,60234.0,71911.0,65529.0,69582.0,70597.0,67888.0,64521.0,66595.0,75726.0,70751.0,72073.0,68570.0,73548.0,74872.0,79769.0,76956.0,70038.0,71926.0,77883.0,71079.0,69568.0,71822.0,73936.0,80100.0,68211.0,67205.0,71960.0,82495.0,77364.0,81076.0,77850.0,82946.0,81611.0,93828.0,97628.0,90529.0,90487.0,87513.0,97000.0,96319.0,94626.0,99607.0,94606.0,79891.0,88536.0,83565.0,82867.0,74280.0,74066.0,73204.0,74480.0,73906.0,73534.0
2,X,False,22712.0,23823.0,23979.0,26990.0,21875.0,23738.0,23418.0,23965.0,23624.0,26158.0,23084.0,27902.0,28855.0,20865.0,24441.0,28140.0,27204.0,22872.0,23245.0,22566.0,21113.0,20680.0,18699.0,20970.0,15911.0,16216.0,15839.0,22925.0,23206.0,22793.0,23157.0,24500.0,30488.0,27896.0,27776.0,28160.0,26917.0,21740.0,27100.0,29157.0,31644.0,24701.0,24696.0,24846.0,24800.0,28384.0,29196.0,21368.0,24109.0,29118.0,27598.0,29739.0,25262.0,28027.0,26036.0,25425.0,28649.0,30866.0,28119.0,23179.0,20848.0,24555.0,25516.0,24215.0,25657.0,23229.0,27988.0,28338.0,23808.0,21465.0,21659.0,20139.0,19367.0,19589.0,20475.0,21580.0,18469.0,17844.0,17749.0,16987.0,17314.0,17443.0,17883.0,17254.0,20792.0,16601.0,17069.0,22620.0,17861.0,17443.0,19588.0,19729.0,20411.0,23346.0,21263.0,19138.0,17121.0,17453.0,18695.0,17151.0,21104.0,19322.0,21054.0,16790.0,17015.0,19729.0,20448.0,17526.0,18130.0,18418.0,19250.0,18948.0,16406.0,18574.0,17569.0,17938.0,17397.0,19780.0
3,X,False,10917.0,13983.0,11363.0,10125.0,10222.0,10653.0,11185.0,11847.0,11977.0,11992.0,15913.0,16693.0,19112.0,17787.0,13530.0,11327.0,10766.0,10017.0,12965.0,13338.0,12012.0,12972.0,12326.0,11877.0,13561.0,12533.0,12389.0,12168.0,12797.0,12658.0,15621.0,14995.0,15274.0,15985.0,13611.0,13715.0,10456.0,13477.0,10325.0,12592.0,12945.0,15713.0,13087.0,13488.0,13514.0,9829.2,8841.1,9915.7,8587.9,9547.5,10160.0,14308.0,14219.0,13721.0,13202.0,11252.0,11684.0,12555.0,12766.0,12918.0,12747.0,12332.0,14643.0,14494.0,14238.0,15157.0,16319.0,20106.0,18690.0,16845.0,14655.0,12046.0,12470.0,9394.2,10844.0,11371.0,10252.0,13986.0,14128.0,17470.0,14589.0,17429.0,18336.0,10259.0,11911.0,14778.0,14342.0,14131.0,18080.0,15309.0,11496.0,10651.0,11578.0,11587.0,13809.0,12992.0,11610.0,13725.0,10674.0,11293.0,12355.0,12840.0,12467.0,12664.0,12249.0,12692.0,11005.0,11157.0,11255.0,12566.0,11749.0,11707.0,11275.0,11165.0,11067.0,10951.0,11793.0,11699.0
4,X,True,12555.0,13425.0,14097.0,12308.0,10512.0,10762.0,13336.0,11171.0,10936.0,10181.0,11655.0,10302.0,8320.8,9432.0,13474.0,9569.4,9900.4,8226.8,10919.0,9038.0,8737.0,9839.3,9587.6,9414.1,10337.0,9515.1,8448.9,8901.2,10137.0,9098.6,8919.9,9431.4,10146.0,11758.0,7722.5,7167.5,8455.9,7590.1,8112.2,6130.8,5346.5,7146.1,8484.9,6993.1,8231.0,5993.1,5261.2,5762.3,5779.4,5781.3,7164.8,6557.1,5940.7,6612.5,6278.7,5854.9,5824.9,5744.0,5649.4,5634.9,5655.9,5746.6,6228.8,6020.2,8473.7,6365.7,5744.9,5416.3,6470.0,5944.9,8717.0,6069.9,4676.0,9727.4,9487.4,7221.0,7222.2,7123.2,6938.5,6780.5,6921.4,7329.8,6959.4,7362.5,7032.2,9260.8,10245.0,8454.0,8130.4,8517.2,10079.0,10642.0,10121.0,9938.1,9464.7,9453.7,9323.3,9936.0,7983.0,9781.3,10373.0,9780.9,9761.0,9376.8,9135.1,9723.0,8927.2,7051.7,7721.1,9238.1,7479.5,7853.0,7679.2,7778.5,7158.4,8281.1,7524.4,7767.4
5,X,False,49339.0,47697.0,47923.0,54234.0,49323.0,45237.0,44540.0,42944.0,43192.0,52557.0,36415.0,44766.0,34623.0,44541.0,42623.0,42864.0,46708.0,54418.0,44993.0,45214.0,55501.0,49932.0,45950.0,45453.0,53671.0,56497.0,45242.0,53251.0,52229.0,54033.0,45278.0,55628.0,52580.0,63341.0,51693.0,63737.0,63159.0,65221.0,58360.0,49637.0,62622.0,64655.0,58103.0,48914.0,58528.0,56078.0,64756.0,65358.0,77401.0,71405.0,63265.0,69354.0,66979.0,61391.0,72646.0,75568.0,71695.0,68128.0,76182.0,77712.0,70362.0,63429.0,69577.0,59483.0,73501.0,64394.0,58032.0,56257.0,62332.0,59132.0,57570.0,57284.0,53212.0,56313.0,60771.0,48140.0,52066.0,59788.0,61064.0,63203.0,65444.0,57493.0,63757.0,67777.0,78000.0,75109.0,62621.0,92471.0,66965.0,73806.0,71970.0,69667.0,75531.0,98020.0,81387.0,81065.0,82604.0,78306.0,83909.0,78959.0,76130.0,86950.0,80661.0,78520.0,68560.0,71977.0,76162.0,85091.0,82146.0,73442.0,76864.0,90065.0,94375.0,85951.0,87224.0,93530.0,96289.0,93424.0
6,X,False,3392.7,3267.5,3868.1,3463.3,3364.2,3186.5,3601.6,5491.7,7096.5,5428.4,4319.2,3084.6,3212.7,2950.4,3034.1,2294.2,2210.5,2219.1,2685.6,2628.1,2506.9,2645.4,2099.0,1964.8,2525.6,1763.1,3504.4,2737.1,2640.5,3989.0,3044.2,1604.1,1674.8,2649.9,1297.3,2029.5,1237.1,1244.1,1246.5,1554.7,1479.9,1311.4,19808.0,1315.5,1497.6,1536.6,1545.5,1784.2,1714.7,5771.7,3069.1,7678.3,4495.8,1752.5,8265.6,6376.4,3313.4,1820.8,5985.6,4640.1,10591.0,7837.9,4414.4,2400.2,2873.2,3513.3,3315.8,4140.0,3466.9,2481.7,2601.3,4709.2,6402.4,2218.8,3189.7,2340.2,2016.8,2247.4,2089.4,3243.2,4971.3,5299.7,2093.3,6688.9,4340.5,9966.1,3913.4,6432.2,5119.9,5569.0,5074.0,5864.9,0.0,592.03,6711.3,7465.1,9795.3,7774.8,8758.6,7736.4,8441.9,8412.5,11488.0,8482.0,9954.1,8253.8,7379.2,11432.0,7136.1,10451.0,20117.0,20417.0,17792.0,9093.1,20492.0,2426.5,15418.0,17550.0
7,X,True,23349.0,28456.0,29320.0,33442.0,24647.0,25665.0,29184.0,26569.0,29355.0,37315.0,26551.0,34445.0,28060.0,25810.0,21700.0,25932.0,26778.0,29759.0,30530.0,25303.0,24749.0,27123.0,24803.0,26912.0,30205.0,27517.0,28555.0,34692.0,33396.0,25564.0,32905.0,37826.0,42784.0,29292.0,33551.0,31856.0,28277.0,28363.0,31311.0,28786.0,32336.0,31770.0,26813.0,27835.0,32874.0,32210.0,34575.0,35988.0,32714.0,36169.0,30075.0,34824.0,38750.0,44055.0,43868.0,40892.0,43862.0,46526.0,44297.0,44366.0,49169.0,44301.0,46186.0,54700.0,46650.0,49233.0,50993.0,55731.0,55402.0,56090.0,59548.0,64424.0,57494.0,60676.0,59971.0,58861.0,74010.0,65845.0,71014.0,71906.0,58492.0,62059.0,72985.0,74832.0,77763.0,88644.0,88221.0,83551.0,94604.0,82742.0,83164.0,84503.0,83050.0,82226.0,85990.0,84450.0,83075.0,92390.0,110700.0,98843.0,100980.0,106440.0,97585.0,86862.0,108630.0,83516.0,101130.0,91380.0,96525.0,94316.0,97917.0,89452.0,101460.0,90625.0,105340.0,112090.0,95687.0,125160.0
8,X,False,221090.0,236750.0,226620.0,189810.0,196940.0,214480.0,257940.0,215360.0,233140.0,231980.0,246280.0,219720.0,233750.0,216070.0,207880.0,218700.0,224730.0,203010.0,200950.0,179470.0,194440.0,178870.0,186500.0,198940.0,188450.0,194680.0,179740.0,177620.0,173310.0,183670.0,192770.0,165070.0,151690.0,153920.0,197050.0,163560.0,209050.0,220540.0,213390.0,199950.0,170770.0,165340.0,185060.0,226910.0,189990.0,221680.0,199480.0,189660.0,153880.0,197610.0,178810.0,172860.0,187740.0,190060.0,170100.0,184180.0,198450.0,170440.0,188180.0,242380.0,188820.0,192910.0,190110.0,223250.0,204830.0,186170.0,200560.0,197220.0,202920.0,218520.0,226530.0,220300.0,244610.0,199620.0,187880.0,194980.0,194560.0,208470.0,193670.0,198380.0,191340.0,218340.0,210550.0,189610.0,242860.0,246810.0,264360.0,227330.0,244040.0,267810.0,235060.0,238900.0,231360.0,263720.0,266720.0,241860.0,262810.0,287670.0,267760.0,282750.0,317250.0,315620.0,284820.0,322570.0,286940.0,288050.0,253410.0,232160.0,238250.0,259970.0,290230.0,252320.0,214450.0,266890.0,305400.0,276970.0,228600.0,241900.0
9,X,False,214480.0,257940.0,215360.0,233140.0,231980.0,246280.0,219720.0,233750.0,216070.0,207880.0,218700.0,224730.0,203010.0,200950.0,179470.0,194440.0,178870.0,186500.0,198940.0,188450.0,194680.0,179740.0,177620.0,173310.0,183670.0,192770.0,165070.0,151690.0,153920.0,197050.0,163560.0,209050.0,220540.0,213390.0,199950.0,170770.0,165340.0,185060.0,226910.0,189990.0,221680.0,199480.0,189660.0,153880.0,197610.0,178810.0,172860.0,187740.0,190060.0,170100.0,184180.0,198450.0,170440.0,188180.0,242380.0,188820.0,192910.0,190110.0,223250.0,204830.0,186170.0,200560.0,197220.0,202920.0,218520.0,226530.0,220300.0,244610.0,199620.0,187880.0,194980.0,194560.0,208470.0,193670.0,198380.0,191340.0,218340.0,210550.0,189610.0,242860.0,246810.0,264360.0,227330.0,244040.0,267810.0,235060.0,238900.0,231360.0,263720.0,266720.0,241860.0,262810.0,287670.0,267760.0,282750.0,317250.0,315620.0,284820.0,322570.0,286940.0,288050.0,253410.0,232160.0,238250.0,259970.0,290230.0,252320.0,214450.0,266890.0,305400.0,276970.0,228600.0,241900.0,262880.0,243150.0,244730.0,243510.0,223020.0
