,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15,MEANGBH_16,MEANGBH_17,MEANGBH_18,MEANGBH_19,MEANGBH_20,MEANGBH_21,MEANGBH_22,MEANGBH_23,MEANGBH_24,MEANGBH_25,MEANGBH_26,MEANGBH_27,MEANGBH_28,MEANGBH_29,MEANGBH_30,MEANGBH_31,MEANGBH_32,MEANGBH_33,MEANGBH_34,MEANGBH_35,MEANGBH_36,MEANGBH_37,MEANGBH_38,MEANGBH_39,MEANGBH_40,MEANGBH_41,MEANGBH_42,MEANGBH_43,MEANGBH_44,MEANGBH_45,MEANGBH_46,MEANGBH_47,MEANGBH_48,MEANGBH_49,MEANGBH_50,MEANGBH_51,MEANGBH_52,MEANGBH_53,MEANGBH_54,MEANGBH_55,MEANGBH_56,MEANGBH_57,MEANGBH_58,MEANGBH_59,MEANGBH_60,MEANGBH_61,MEANGBH_62,MEANGBH_63,MEANGBH_64,MEANGBH_65,MEANGBH_66,MEANGBH_67,MEANGBH_68,MEANGBH_69,MEANGBH_70,MEANGBH_71,MEANGBH_72,MEANGBH_73,MEANGBH_74,MEANGBH_75,MEANGBH_76,MEANGBH_77,MEANGBH_78,MEANGBH_79,MEANGBH_80,MEANGBH_81,MEANGBH_82,MEANGBH_83,MEANGBH_84,MEANGBH_85,MEANGBH_86,MEANGBH_87,MEANGBH_88,MEANGBH_89,MEANGBH_90,MEANGBH_91,MEANGBH_92,MEANGBH_93,MEANGBH_94,MEANGBH_95,MEANGBH_96,MEANGBH_97,MEANGBH_98,MEANGBH_99,MEANGBH_100,MEANGBH_101,MEANGBH_102,MEANGBH_103,MEANGBH_104,MEANGBH_105,MEANGBH_106,MEANGBH_107,MEANGBH_108,MEANGBH_109,MEANGBH_110,MEANGBH_111,MEANGBH_112,MEANGBH_113,MEANGBH_114,MEANGBH_115,MEANGBH_116,MEANGBH_117,MEANGBH_118,MEANGBH_119
0,M,True,47.428,46.826,46.872,46.268,46.582,46.816,47.356,46.974,46.495,46.615,46.895,46.819,46.415,46.299,45.997,46.13,45.666,45.921,46.822,46.182,46.586,46.617,46.4,46.237,46.152,46.651,45.81,47.026,45.896,47.318,46.589,47.421,47.771,48.189,48.389,48.141,48.178,49.098,48.363,48.438,49.174,49.022,47.327,47.534,47.85,47.235,47.075,46.945,46.724,46.715,46.874,46.727,46.998,47.42,48.047,48.139,48.256,48.288,49.792,50.48,50.455,50.734,51.142,52.073,52.271,51.973,52.095,51.892,51.39,51.041,50.469,51.034,51.33,52.394,51.821,51.879,52.201,52.044,52.081,51.951,53.062,53.03,53.358,52.889,53.073,53.322,53.382,53.888,53.819,53.224,53.363,53.73,53.126,52.987,52.254,51.765,52.049,52.883,52.327,52.668,52.361,53.304,52.985,53.173,53.494,54.178,54.88,55.383,55.016,55.368,54.884,53.862,53.878,53.686,53.246,52.267,52.233,51.434,51.098
1,M,True,46.874,46.727,46.998,47.42,48.047,48.139,48.256,48.288,49.792,50.48,50.455,50.734,51.142,52.073,52.271,51.973,52.095,51.892,51.39,51.041,50.469,51.034,51.33,52.394,51.821,51.879,52.201,52.044,52.081,51.951,53.062,53.03,53.358,52.889,53.073,53.322,53.382,53.888,53.819,53.224,53.363,53.73,53.126,52.987,52.254,51.765,52.049,52.883,52.327,52.668,52.361,53.304,52.985,53.173,53.494,54.178,54.88,55.383,55.016,55.368,54.884,53.862,53.878,53.686,53.246,52.267,52.233,51.434,51.098,51.737,52.54,52.037,51.535,51.962,52.036,51.675,51.704,51.982,52.223,52.147,51.434,51.849,52.639,52.584,52.019,51.84,51.47,52.119,52.612,52.091,52.32,51.96,52.278,52.255,51.839,51.281,52.648,51.914,51.946,52.161,52.866,51.702,52.65,52.66,52.813,53.274,53.591,53.702,53.427,53.396,51.81,51.663,51.21,51.001,50.554,50.715,50.831,51.706,51.003
2,B,False,74.676,74.16,73.97,73.109,72.63,73.181,72.425,72.774,72.612,72.226,71.881,72.456,72.515,71.074,71.311,71.85,71.411,70.964,71.185,71.316,71.812,71.27,71.106,71.683,71.036,70.654,71.205,70.806,70.594,69.586,69.128,69.26,68.779,69.742,69.441,70.196,70.548,69.845,70.386,70.49,70.591,70.162,70.201,69.271,69.268,68.967,68.604,70.145,70.998,71.308,72.682,72.608,72.348,73.93,74.751,75.806,75.069,73.677,74.091,73.279,72.605,72.443,72.402,71.804,71.113,70.401,70.17,70.588,69.349,69.356,70.219,69.711,67.972,67.938,69.36,70.108,69.221,69.787,71.097,71.434,70.656,70.815,69.973,69.545,69.435,69.601,69.9,70.287,70.729,70.081,69.715,70.461,69.62,69.129,69.651,69.067,67.379,68.345,67.465,68.465,68.521,68.446,68.31,68.01,68.917,70.125,73.744,74.793,75.296,75.999,76.906,77.74,76.98,77.756,76.733,74.849,72.476,71.304,70.347
3,B,True,63.48,64.376,63.324,65.171,65.192,66.22,65.945,65.511,67.193,66.039,66.252,66.121,66.677,64.739,64.572,65.202,64.922,64.362,64.439,63.355,62.84,63.547,62.631,63.152,63.386,63.378,64.143,64.523,63.695,64.204,63.927,64.309,65.198,65.122,66.107,65.743,66.849,65.172,66.161,65.42,65.677,64.706,64.226,63.914,62.722,61.59,61.98,61.088,60.348,60.781,59.986,60.126,60.039,59.801,59.822,60.986,60.653,61.906,61.773,62.658,62.499,63.33,63.619,65.597,65.226,65.792,65.932,66.479,66.658,66.329,65.377,65.698,64.554,64.531,64.405,65.189,64.735,62.967,63.022,64.308,63.824,63.759,64.537,65.072,65.086,64.666,65.527,64.621,64.48,63.749,63.216,63.237,63.968,63.43,62.041,61.881,61.369,60.125,58.623,58.385,58.123,56.36,55.461,54.531,53.592,54.957,54.23,53.709,53.878,53.038,53.113,52.792,53.658,54.615,55.039,55.436,54.977,55.022,55.539
4,B,True,73.647,74.598,67.957,66.239,63.934,64.734,66.568,66.297,68.848,70.098,68.042,68.667,71.343,74.708,78.769,79.46,78.416,74.723,73.575,74.282,72.755,70.932,73.576,72.021,73.933,71.194,73.461,74.436,70.987,67.915,67.754,70.308,68.234,67.951,70.819,71.649,71.516,73.139,75.144,76.134,74.471,76.634,78.55,76.402,76.402,73.39,74.966,75.629,76.505,76.885,76.265,76.19,73.574,73.727,70.36,72.562,71.823,75.17,73.263,72.708,72.084,73.387,73.399,73.553,74.933,73.556,72.906,74.424,73.786,73.633,75.862,74.024,72.419,71.681,69.733,67.391,66.864,66.007,64.765,63.998,61.962,63.597,63.62,61.79,61.838,61.863,61.656,62.732,62.472,64.728,64.36,64.517,65.081,64.694,64.005,63.949,64.978,64.939,63.685,62.934,64.759,65.776,66.391,66.693,66.017,66.062,64.346,63.595,61.898,62.588,62.489,63.176,63.455,64.114,62.986,63.12,62.17,60.907,60.986
5,B,True,37.15,37.056,36.936,37.343,37.066,37.409,37.623,38.703,38.935,38.269,39.623,39.308,39.587,39.292,38.661,38.415,37.784,37.581,37.235,36.758,36.356,35.467,35.007,34.883,35.186,34.624,34.521,33.792,33.572,33.489,33.461,34.08,34.266,34.004,34.728,34.682,34.399,34.932,35.163,35.888,36.0,37.119,36.97,37.44,37.853,36.385,36.706,37.697,37.615,36.95,36.37,36.427,35.547,35.662,35.89,37.235,37.463,37.565,37.877,39.522,40.463,40.621,40.71,40.107,40.361,39.693,39.628,38.785,38.579,38.247,37.527,38.36,38.658,39.168,38.367,39.06,39.662,39.362,39.79,39.412,39.312,39.662,39.243,40.404,40.591,40.861,41.254,41.854,41.804,42.474,43.186,42.922,42.831,42.4,42.842,43.925,44.089,44.081,45.519,45.911,46.496,47.011,48.381,48.564,49.508,49.471,50.328,50.29,50.979,50.197,49.813,49.534,49.287,49.034,48.537,48.288,48.435,48.355,48.08
6,B,False,52.597,53.238,54.718,54.933,57.201,58.071,58.459,58.952,58.162,57.407,56.445,55.452,54.643,54.258,53.544,53.118,53.082,52.63,52.163,52.29,51.951,51.977,51.792,51.394,50.89,50.539,50.704,50.834,50.439,50.791,51.168,50.37,49.542,49.925,50.53,50.891,51.4,51.453,51.208,51.465,51.267,51.329,51.895,51.185,51.716,51.405,51.406,50.344,50.452,50.434,51.394,52.92,53.446,54.996,56.241,56.781,60.053,61.1,62.48,62.144,61.734,62.541,61.274,60.785,58.085,58.596,56.739,55.244,55.674,56.321,55.109,55.709,56.471,56.103,57.023,57.222,58.216,58.402,58.13,57.831,60.083,61.728,61.414,61.548,61.21,61.684,62.634,63.272,63.423,62.231,63.898,63.545,63.141,62.535,63.136,64.667,63.399,63.865,62.519,63.232,64.175,63.668,63.024,62.724,62.322,62.095,62.096,63.613,62.377,62.804,62.24,61.54,61.077,61.342,60.416,59.419,59.05,56.553,57.099
7,B,False,48.876,49.309,48.979,49.166,49.214,49.019,48.372,48.798,48.118,48.284,47.382,47.953,47.447,47.324,47.471,47.705,47.823,48.428,47.965,47.956,48.17,48.425,48.24,48.468,48.942,47.597,47.878,48.174,48.308,48.62,48.414,48.456,48.695,48.122,48.181,47.923,48.047,47.737,47.181,46.619,47.666,46.768,46.828,46.585,46.84,47.259,46.771,47.315,46.515,47.044,46.26,46.411,46.663,47.11,46.842,47.314,46.16,45.876,45.95,46.86,46.666,46.508,45.958,46.27,46.452,46.895,47.294,46.698,45.833,46.694,46.087,46.101,45.91,45.801,46.135,46.56,46.562,46.638,45.613,46.163,46.472,46.606,45.614,45.516,45.681,46.146,46.19,46.634,45.993,45.991,46.525,45.999,45.972,46.163,45.838,45.76,45.503,45.856,44.963,45.076,45.758,45.603,45.403,45.576,45.232,45.608,45.745,45.554,45.831,45.592,44.775,44.789,45.107,45.93,45.575,45.778,45.704,46.269,45.936
8,B,False,53.285,54.816,54.544,54.357,54.982,55.586,56.464,57.277,57.595,58.393,58.664,58.828,58.664,58.833,59.529,59.914,60.9,61.163,60.542,61.697,61.244,59.466,59.734,58.969,59.469,59.561,58.34,57.889,57.415,56.313,56.945,56.979,57.318,57.148,58.287,58.697,59.11,61.105,62.002,62.843,62.86,63.286,64.644,64.285,65.54,63.601,64.779,64.655,64.425,62.636,62.926,64.458,64.012,63.929,63.385,63.954,62.988,64.627,64.187,64.574,64.039,64.298,63.448,64.454,64.237,64.649,63.77,62.385,61.761,61.533,60.753,61.167,61.249,61.269,61.055,60.996,60.014,62.431,63.26,62.505,63.621,65.857,66.826,68.307,69.703,70.758,71.26,72.015,69.819,69.039,68.945,68.242,67.016,67.544,66.993,66.913,67.795,66.063,65.673,65.05,65.768,64.741,65.121,64.924,64.152,64.004,63.703,63.7,63.752,64.33,64.714,65.685,66.264,65.781,65.255,66.026,65.873,66.738,66.361
9,B,False,53.614,53.844,53.296,53.562,54.653,55.775,57.004,58.442,60.11,60.943,62.176,62.39,63.216,63.537,62.592,60.778,59.175,58.263,57.106,56.38,55.958,55.915,55.481,55.693,56.41,57.389,57.163,57.795,58.7,59.431,59.467,60.6,60.881,61.983,61.475,62.359,63.321,63.571,63.01,63.286,63.034,63.035,62.773,63.788,63.612,63.202,63.864,63.995,63.842,63.192,62.713,62.594,62.429,61.33,60.902,61.221,61.159,59.438,59.085,58.379,58.248,57.249,57.233,56.362,56.149,56.205,56.75,56.957,58.596,61.208,62.586,64.381,64.55,65.282,64.468,64.015,62.411,61.503,60.301,58.421,56.7,55.694,55.681,55.379,54.8,54.79,54.288,54.724,54.772,54.984,55.895,56.956,57.756,58.864,60.246,60.538,61.227,61.079,60.813,61.859,61.887,62.465,63.021,62.832,62.953,63.162,62.187,60.972,60.688,60.71,59.745,59.551,59.13,57.916,57.464,57.114,57.206,57.822,57.754
10,B,True,47.251,47.481,47.964,48.511,49.141,49.564,49.989,50.729,50.521,51.03,51.743,52.363,52.473,52.36,52.578,52.762,52.765,53.146,53.16,53.082,52.571,52.138,51.878,51.383,50.303,50.237,50.513,50.127,50.483,50.313,49.875,50.071,50.55,50.792,51.156,51.367,51.571,51.783,52.06,52.245,52.32,52.566,52.318,52.593,52.646,52.242,51.619,51.044,50.801,50.126,49.166,48.468,48.106,48.1,48.003,46.97,47.101,47.288,46.87,47.165,47.168,47.417,48.306,49.102,50.228,50.203,50.931,51.18,51.02,51.509,51.789,51.382,51.06,50.485,50.337,50.442,49.406,49.217,48.919,49.04,48.861,48.92,48.804,48.411,48.339,48.262,48.428,48.081,47.865,48.105,48.346,48.821,49.334,49.031,49.077,49.416,49.459,50.152,50.293,51.054,51.213,51.233,51.018,50.675,50.415,50.486,49.62,49.3,48.384,47.662,47.58,46.201,46.261,46.174,45.899,46.657,46.067,46.018,46.226
11,B,True,40.576,40.717,40.711,40.948,40.839,40.663,40.397,40.289,39.803,39.429,39.482,39.426,39.233,39.159,39.233,39.294,40.079,40.637,40.699,41.56,41.772,42.405,42.603,42.726,42.564,42.556,42.717,42.859,42.583,42.496,42.059,41.878,41.874,42.115,42.02,42.12,41.851,41.548,42.01,42.266,42.23,41.733,42.351,42.538,42.484,42.741,42.943,43.266,43.245,43.257,43.592,43.679,44.093,44.418,44.823,44.896,44.95,45.123,45.113,44.981,44.453,44.379,43.669,43.376,42.873,42.591,42.548,43.032,43.577,44.451,45.314,46.295,46.678,46.776,46.61,46.111,46.251,45.919,45.934,45.552,45.612,45.334,44.926,44.582,44.212,44.305,43.783,43.884,44.296,44.522,44.538,44.7,44.83,44.915,45.371,45.376,45.511,45.787,45.846,45.699,45.669,45.487,45.422,45.574,45.334,45.332,45.185,45.198,45.1,45.059,45.122,45.415,45.381,45.397,45.579,45.777,46.321,47.036,47.187
12,B,True,36.81,36.599,37.441,37.653,38.193,38.807,38.877,39.342,39.89,40.255,40.071,39.763,40.34,40.344,40.471,40.314,39.951,40.321,40.466,41.283,40.876,40.649,41.315,41.234,41.474,41.661,42.262,42.03,41.403,41.247,41.623,41.263,40.865,40.371,40.791,40.479,40.356,40.258,39.344,39.025,39.051,38.498,38.682,38.435,39.837,39.583,39.828,40.269,40.966,41.845,42.802,43.595,43.428,44.101,43.68,43.621,43.307,44.008,43.521,42.947,42.672,41.678,41.773,41.176,41.196,41.195,40.379,40.324,40.271,39.633,40.106,40.011,40.078,40.121,40.075,40.089,40.231,40.095,39.82,39.618,39.731,39.878,40.064,39.378,39.119,39.767,39.43,39.714,40.459,40.865,40.858,41.393,41.269,41.61,41.262,41.333,41.934,42.218,42.272,42.375,43.747,44.664,44.57,44.992,45.812,45.064,44.855,44.088,44.103,43.663,43.21,42.644,42.192,41.547,41.079,40.369,39.983,39.946,39.865
