,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20,MEANPOT_21,MEANPOT_22,MEANPOT_23,MEANPOT_24,MEANPOT_25,MEANPOT_26,MEANPOT_27,MEANPOT_28,MEANPOT_29,MEANPOT_30,MEANPOT_31,MEANPOT_32,MEANPOT_33,MEANPOT_34,MEANPOT_35,MEANPOT_36,MEANPOT_37,MEANPOT_38,MEANPOT_39,MEANPOT_40,MEANPOT_41,MEANPOT_42,MEANPOT_43,MEANPOT_44,MEANPOT_45,MEANPOT_46,MEANPOT_47,MEANPOT_48,MEANPOT_49,MEANPOT_50,MEANPOT_51,MEANPOT_52,MEANPOT_53,MEANPOT_54,MEANPOT_55,MEANPOT_56,MEANPOT_57,MEANPOT_58,MEANPOT_59,MEANPOT_60,MEANPOT_61,MEANPOT_62,MEANPOT_63,MEANPOT_64,MEANPOT_65,MEANPOT_66,MEANPOT_67,MEANPOT_68,MEANPOT_69,MEANPOT_70,MEANPOT_71,MEANPOT_72,MEANPOT_73,MEANPOT_74,MEANPOT_75,MEANPOT_76,MEANPOT_77,MEANPOT_78,MEANPOT_79,MEANPOT_80,MEANPOT_81,MEANPOT_82,MEANPOT_83,MEANPOT_84,MEANPOT_85,MEANPOT_86,MEANPOT_87,MEANPOT_88,MEANPOT_89,MEANPOT_90,MEANPOT_91,MEANPOT_92,MEANPOT_93,MEANPOT_94,MEANPOT_95,MEANPOT_96,MEANPOT_97,MEANPOT_98,MEANPOT_99,MEANPOT_100,MEANPOT_101,MEANPOT_102,MEANPOT_103,MEANPOT_104,MEANPOT_105,MEANPOT_106,MEANPOT_107,MEANPOT_108,MEANPOT_109,MEANPOT_110,MEANPOT_111,MEANPOT_112,MEANPOT_113,MEANPOT_114,MEANPOT_115,MEANPOT_116,MEANPOT_117,MEANPOT_118,MEANPOT_119
0,M,True,9737.1,9737.7,9713.5,9401.7,9432.4,9543.9,9651.5,9483.2,9410.8,9224.0,9244.9,9105.9,9096.2,9126.3,8644.6,9067.0,8508.8,8542.7,8746.6,8757.4,8871.1,8680.6,8772.4,8678.8,8890.5,8717.3,8605.9,8547.4,8426.7,8742.8,8399.9,8786.3,8838.5,8812.5,8876.7,8534.7,8507.2,8435.5,8392.5,8296.9,8464.6,8480.5,8142.4,8194.2,8038.6,7998.6,7766.7,7729.4,7840.5,7852.3,7894.6,7841.3,7840.2,7872.8,8033.7,8030.2,8052.4,7975.5,8134.0,8047.6,8029.8,8067.1,8093.7,8066.9,7965.8,7940.6,7939.6,7856.6,7667.9,7553.8,7584.9,7618.8,7579.4,7626.4,7574.9,7531.8,7534.0,7471.5,7472.7,7451.9,7575.9,7456.4,7538.6,7459.6,7468.0,7392.6,7349.4,7313.1,7260.7,7191.1,7002.2,7054.3,6948.3,6843.4,6774.7,6641.6,6698.3,6656.1,6635.9,6794.8,6718.0,6980.6,6982.0,6855.6,6888.1,7029.5,7088.0,7012.6,6959.5,6875.0,6942.4,6870.0,6926.2,6834.0,6616.2,6577.6,6591.7,6471.0,6433.1
1,M,True,7894.6,7841.3,7840.2,7872.8,8033.7,8030.2,8052.4,7975.5,8134.0,8047.6,8029.8,8067.1,8093.7,8066.9,7965.8,7940.6,7939.6,7856.6,7667.9,7553.8,7584.9,7618.8,7579.4,7626.4,7574.9,7531.8,7534.0,7471.5,7472.7,7451.9,7575.9,7456.4,7538.6,7459.6,7468.0,7392.6,7349.4,7313.1,7260.7,7191.1,7002.2,7054.3,6948.3,6843.4,6774.7,6641.6,6698.3,6656.1,6635.9,6794.8,6718.0,6980.6,6982.0,6855.6,6888.1,7029.5,7088.0,7012.6,6959.5,6875.0,6942.4,6870.0,6926.2,6834.0,6616.2,6577.6,6591.7,6471.0,6433.1,6399.6,6558.0,6706.0,6784.4,6853.0,7104.7,7075.0,7172.6,7216.1,7218.6,7229.9,7081.2,7227.6,7431.2,7276.5,6982.7,6799.5,7032.0,7187.7,7288.0,7166.3,7265.7,7094.3,7190.2,6934.7,6861.3,6786.7,6910.7,6939.7,6868.4,7182.4,7242.1,7701.2,7274.1,7364.5,7942.5,7976.2,7996.9,7918.1,7711.4,7666.0,7793.1,7882.7,7873.0,7815.5,7867.5,7910.3,7990.7,8049.2,8170.0
2,B,False,6560.5,6702.1,6588.5,6568.6,6366.3,6440.9,6380.0,6377.4,6329.9,6342.7,6335.8,6283.3,6250.3,6337.5,6429.1,6447.3,6404.8,6244.0,6261.3,6301.3,6302.1,6265.1,6275.7,6359.2,6408.8,6297.4,6281.2,6212.6,6302.9,6250.3,6179.8,6242.0,6241.4,6224.9,6242.0,6394.3,6498.5,6579.2,6479.0,6494.5,6592.2,6647.4,6499.9,6562.9,6466.7,6480.5,6422.1,6529.3,6584.3,6628.5,6626.4,6676.0,6613.7,6710.0,6838.1,6908.8,6787.1,6743.6,6704.9,6599.0,6440.8,6388.2,6339.4,6208.1,6141.2,6054.8,6091.4,6050.4,6022.0,6115.8,6189.2,6161.4,5963.0,6007.9,6049.4,6164.7,6023.6,6054.7,6102.1,6158.7,6182.9,6221.3,6155.5,6061.1,5995.7,5930.4,5994.7,6110.5,5986.0,5931.3,5890.5,5971.1,5864.7,5770.7,5714.1,5684.4,5543.8,5636.8,5658.4,5683.7,5695.3,5668.6,5734.2,5736.5,5695.2,5735.4,6025.9,6073.5,6066.5,6154.4,6174.0,6211.6,6148.8,6218.3,6135.7,5968.4,5733.3,5556.8,5514.1
3,B,True,7025.2,7106.6,6937.7,7146.5,7045.1,7107.7,7188.3,7048.9,7171.3,7222.0,7295.1,7182.0,7317.8,7253.3,7259.0,7352.3,7396.8,7337.0,7313.5,7091.2,7046.8,7045.0,6959.2,6845.7,6882.6,6949.4,6999.8,6924.7,6814.5,6966.1,6873.8,6859.9,6897.7,7020.5,6887.7,6842.6,6923.6,6769.5,6937.2,6780.8,6848.7,6794.3,6555.3,6544.9,6394.5,6403.0,6480.8,6378.9,6346.8,6467.8,6440.0,6482.5,6427.2,6401.9,6367.1,6449.5,6484.4,6644.5,6619.2,6685.1,6761.9,6921.0,6874.1,6974.6,6932.9,6958.8,6844.2,6894.3,6913.0,6797.7,6705.2,6666.7,6585.8,6558.1,6604.0,6728.9,6596.6,6488.1,6555.7,6655.7,6552.6,6395.8,6523.7,6564.0,6619.8,6630.6,6542.4,6407.3,6441.5,6345.0,6299.1,6280.6,6344.9,6350.6,6231.0,6148.7,6163.1,6027.7,5999.8,5912.2,5844.0,5573.8,5498.1,5380.7,5297.4,5369.3,5329.0,5183.3,5239.0,5082.9,5090.6,4968.9,5012.6,5076.7,5124.3,5141.9,5185.9,5210.7,5183.6
4,B,True,4410.9,4381.6,3982.7,3589.5,3407.7,3481.9,3351.9,3158.6,3151.0,3368.1,3134.0,3056.3,3180.0,3449.2,3502.7,3387.1,3484.8,3233.2,3352.9,3280.1,3226.2,3219.0,3424.7,3423.4,3470.8,3330.1,3389.1,3316.5,3257.3,3309.8,3436.3,3599.5,3544.4,3386.9,3585.5,3518.1,3759.8,3751.4,3702.0,3613.1,3450.7,3417.8,3592.6,3544.3,3490.5,3316.3,3475.1,3717.1,3791.0,3818.5,3739.3,3777.8,3772.6,3855.1,3914.6,4011.9,3804.3,3812.0,3946.3,3918.7,3838.0,4203.2,4294.5,4173.2,4383.4,4216.9,4165.0,4337.4,4285.3,4289.4,4333.0,4248.6,4055.5,4301.0,4036.6,3934.5,3959.8,3963.8,3789.2,3540.7,3557.8,3752.3,3732.5,3597.1,3507.1,3511.8,3431.5,3411.4,3507.9,3556.2,3639.5,3607.7,3660.1,3810.7,3727.4,3752.4,4017.7,3998.9,4191.2,4220.5,4441.7,4657.9,4892.8,4738.9,4688.6,4840.4,4903.1,4814.0,4806.0,4770.3,4921.1,4859.4,4565.7,4666.0,4623.9,4815.7,4876.0,4672.4,4598.8
5,B,True,1529.4,1540.0,1593.0,1606.0,1637.4,1693.2,1752.1,1784.7,1805.2,1803.0,1843.6,1786.0,1764.6,1747.5,1713.5,1670.0,1617.2,1607.6,1597.0,1563.8,1522.4,1491.6,1455.3,1441.5,1450.6,1439.7,1440.3,1428.5,1422.2,1400.2,1411.9,1451.6,1492.5,1468.9,1477.3,1527.5,1568.5,1621.1,1669.4,1715.5,1838.1,1857.2,1882.5,1944.9,1977.3,1865.9,1849.8,1841.8,1899.2,1901.8,1854.0,1866.9,1842.0,1832.1,1819.7,1917.6,1886.0,1935.2,2002.2,2152.8,2118.3,2248.9,2203.9,2251.5,2322.6,2292.1,2254.6,2232.2,2285.6,2278.0,2292.9,2332.6,2334.4,2340.9,2235.9,2252.6,2278.2,2295.1,2355.2,2327.8,2436.0,2385.5,2429.1,2511.0,2568.4,2606.2,2677.6,2790.3,2883.8,2860.4,3007.6,3010.3,3130.5,3067.4,3125.1,3277.2,3424.3,3415.8,3589.3,3560.7,3712.5,3926.2,3999.0,4005.7,4135.4,4210.9,4306.6,4399.2,4392.2,4453.8,4283.2,4232.9,4144.8,4080.0,4078.7,4122.3,4155.6,4155.5,4206.3
6,B,False,2177.9,2204.8,2246.1,2258.2,2304.1,2276.7,2277.0,2275.4,2240.3,2192.7,2126.4,2084.1,2027.3,1991.7,1952.7,1916.0,1900.1,1862.9,1899.0,1896.3,1874.9,1865.4,1871.2,1817.7,1807.0,1805.4,1814.2,1796.5,1805.9,1792.4,1797.9,1743.9,1728.8,1743.2,1735.9,1716.6,1730.6,1725.1,1705.4,1727.0,1719.9,1731.2,1726.5,1681.8,1675.9,1697.0,1706.9,1635.0,1580.3,1619.6,1668.8,1692.0,1696.0,1761.4,1765.5,1780.2,1928.1,1970.9,2055.0,2070.9,2041.5,2079.7,2036.7,1955.8,1890.9,1867.3,1837.2,1830.7,1820.5,1831.4,1777.5,1765.0,1790.8,1777.1,1801.2,1817.0,1799.6,1801.8,1795.4,1803.3,1865.5,1902.6,1878.1,1864.8,1913.3,1905.1,1898.8,1903.8,1920.1,1902.7,1923.2,1920.7,1932.9,1923.0,1980.0,1959.2,1935.0,1893.6,1912.7,1926.2,1923.4,1891.9,1865.9,1874.2,1846.9,1875.8,1840.4,1870.4,1857.4,1809.4,1800.1,1783.8,1788.9,1801.8,1805.2,1819.7,1772.9,1721.5,1748.4
7,B,False,19367.0,19785.0,19467.0,19484.0,19214.0,19157.0,18762.0,18902.0,18572.0,18486.0,18290.0,18412.0,18453.0,18489.0,18426.0,18770.0,18822.0,18818.0,18982.0,19058.0,19160.0,19150.0,19158.0,19359.0,19456.0,19118.0,19268.0,19698.0,19620.0,20018.0,20079.0,20503.0,20010.0,19987.0,20240.0,20514.0,20402.0,20130.0,20210.0,20282.0,19987.0,19682.0,19806.0,19666.0,19811.0,19620.0,19631.0,20105.0,19908.0,19725.0,19280.0,19409.0,19407.0,19263.0,19338.0,19040.0,19191.0,19154.0,19010.0,19232.0,18976.0,19518.0,19505.0,19657.0,19914.0,20163.0,20225.0,20092.0,19906.0,19714.0,19479.0,19546.0,19244.0,19228.0,18804.0,18858.0,18710.0,18717.0,19073.0,18474.0,18470.0,18324.0,18185.0,18343.0,18286.0,18526.0,18589.0,18551.0,18611.0,18665.0,18647.0,18618.0,18597.0,18684.0,18338.0,18250.0,18412.0,18663.0,18548.0,18549.0,18665.0,18600.0,18913.0,19124.0,18876.0,18994.0,18958.0,19243.0,19118.0,19143.0,19149.0,19198.0,19460.0,19943.0,20062.0,19856.0,20246.0,20390.0,20490.0
8,B,False,3465.7,3469.9,3538.5,3596.8,3556.7,3550.8,3641.0,3704.8,3782.5,3932.0,3976.6,4070.9,4068.6,3993.0,4132.8,4062.6,3967.8,4136.3,4085.6,4092.2,3889.9,3811.1,3906.7,3858.3,3818.7,3808.5,3734.2,3784.1,3749.3,3683.3,3682.9,3710.1,3683.7,3660.7,3744.0,3767.6,3717.8,4031.0,4071.6,4229.6,4223.8,4284.1,4337.0,4493.5,4545.2,4407.3,4450.2,4375.4,4322.8,4388.4,4453.3,4623.3,4584.5,4585.4,4562.1,4556.3,4560.8,4669.3,4616.9,4787.9,4766.6,4865.4,4800.5,4889.1,4745.7,4906.3,4827.7,4772.6,4766.3,4779.8,4700.9,4670.6,4735.7,4688.3,4693.1,4744.4,4647.6,4973.4,5093.3,4947.2,5005.1,5154.7,5316.9,5415.4,5624.3,5777.1,6040.6,6107.1,6172.8,6247.3,6229.0,6202.0,6126.3,6148.9,6050.1,6076.8,6114.4,5982.8,5990.7,5881.6,5889.6,5791.1,5878.3,5751.4,5663.2,5558.1,5490.6,5545.3,5600.5,5628.6,5666.1,5820.5,5799.8,5736.6,5704.1,5758.5,5826.5,5909.5,5964.0
9,B,False,8279.3,8236.1,8265.2,8342.4,8237.1,8399.8,8628.5,8749.7,9063.4,9293.6,9460.2,9617.5,9755.8,10285.0,10260.0,9922.6,9552.9,9251.1,9003.5,8798.5,8650.1,8613.8,8627.7,8581.4,8700.6,8744.9,8733.3,8559.6,8583.2,8865.3,8935.8,9260.3,9277.5,9427.9,9537.4,9598.9,9841.3,10079.0,10122.0,10074.0,10106.0,10050.0,10070.0,10165.0,10198.0,10089.0,10049.0,9960.5,9920.7,9977.8,9863.9,9819.3,9787.4,9624.3,9613.5,9547.7,9550.5,9368.5,9208.3,9095.5,8997.1,8935.3,9032.6,8785.0,8729.0,8719.1,8983.7,9234.3,9590.2,10033.0,10404.0,10465.0,10140.0,10231.0,10102.0,9876.8,9624.6,9413.4,9126.7,8768.6,8713.8,8473.6,8273.3,8146.0,8133.7,8240.4,7975.8,8065.6,8102.0,8260.8,8369.7,8675.8,8583.3,8820.9,9017.3,9145.4,9350.0,9441.9,9314.5,9397.2,9451.5,9542.9,9546.7,9443.6,9406.9,9601.1,9208.9,9142.4,8944.6,8709.5,8752.1,8433.3,8139.1,7983.3,7892.4,7727.4,7740.6,7948.6,7935.2
