,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15,slf_16,slf_17,slf_18,slf_19,slf_20,slf_21,slf_22,slf_23,slf_24,slf_25,slf_26,slf_27,slf_28,slf_29,slf_30,slf_31,slf_32,slf_33,slf_34,slf_35,slf_36,slf_37,slf_38,slf_39,slf_40,slf_41,slf_42,slf_43,slf_44,slf_45,slf_46,slf_47,slf_48,slf_49,slf_50,slf_51,slf_52,slf_53,slf_54,slf_55,slf_56,slf_57,slf_58,slf_59,slf_60,slf_61,slf_62,slf_63,slf_64,slf_65,slf_66,slf_67,slf_68,slf_69,slf_70,slf_71,slf_72,slf_73,slf_74,slf_75,slf_76,slf_77,slf_78,slf_79,slf_80,slf_81,slf_82,slf_83,slf_84,slf_85,slf_86,slf_87,slf_88,slf_89,slf_90,slf_91,slf_92,slf_93,slf_94,slf_95,slf_96,slf_97,slf_98,slf_99,slf_100,slf_101,slf_102,slf_103,slf_104,slf_105,slf_106,slf_107,slf_108,slf_109,slf_110,slf_111,slf_112,slf_113,slf_114,slf_115,slf_116,slf_117,slf_118,slf_119,slf_120
0,X,False,8.3512,8.2119,8.3359,8.1024,8.0681,8.2002,8.0741,7.9812,7.8867,7.9414,7.8674,8.0602,7.9248,7.8807,7.9772,8.1803,7.8925,7.9733,8.0109,8.1014,8.1214,8.0284,8.1333,8.0625,7.995,8.2473,8.2228,8.2083,8.0426,8.2673,7.9225,8.1154,8.1592,8.2361,8.2563,8.3344,8.1242,8.1868,8.1051,8.1124,8.1568,8.1398,8.2301,8.1867,8.1334,7.8892,7.8824,8.0232,7.8986,8.0445,8.0955,8.124,8.1332,7.9735,8.3019,8.0118,8.1633,8.2599,8.1566,8.1955,8.1167,8.0739,8.2373,8.3039,8.3649,8.4068,8.3367,8.3346,8.322,8.2247,8.3593,8.2239,8.1889,8.0394,8.0228,8.0878,8.1104,8.0427,8.1885,8.0802,8.044,8.2284,8.0685,8.0153,7.8383,7.8862,7.963,7.9679,7.9104,8.0909,8.218,8.1019,8.0341,8.116,8.1475,8.0787,8.1953,8.1983,8.2989,8.3102,8.5674,8.6525,8.601,8.6835,8.6583,8.6972,8.7373,8.6645,8.82,8.4084,8.7426,8.4752,8.414,8.4296,8.6151,8.5636,8.4112,8.4236,8.4859,8.4781
1,X,False,10.507,10.328,10.417,10.417,10.418,10.33,10.481,10.627,10.557,10.559,10.622,10.685,10.692,10.576,10.509,10.564,10.477,10.499,10.479,10.634,10.553,10.449,10.602,10.651,10.624,10.433,10.348,10.457,10.403,10.499,10.546,10.588,10.485,10.362,10.381,10.263,10.097,9.9529,9.8142,9.9704,9.8621,9.8934,9.931,9.8806,9.8224,9.9673,9.9264,9.8216,9.9895,9.8693,9.871,9.9554,9.8832,9.9562,9.8508,9.8335,9.9732,10.009,9.8904,9.9047,10.002,10.073,9.8563,9.8994,9.7926,9.8001,9.7877,9.9203,9.9383,9.8732,9.8335,9.9512,9.9023,9.8278,10.035,10.032,9.8058,9.6862,9.5573,9.6379,9.648,9.6408,9.6126,9.5976,9.6873,9.7086,9.6392,9.7069,9.6508,9.69,9.7727,9.7624,9.6865,9.5825,9.7133,9.7125,9.642,9.516,9.5776,9.5217,9.595,9.3361,9.4066,9.4687,9.4101,9.4624,9.5006,9.4853,9.6666,9.5636,9.6266,9.5116,9.7202,9.6809,9.634,9.734,9.7471,9.7864,9.8434,9.8069
2,X,False,16.635,16.25,16.296,16.426,16.243,16.108,16.207,16.333,16.523,16.569,16.857,16.622,16.557,16.77,16.603,17.061,16.939,17.001,16.329,16.835,16.506,16.904,16.533,16.725,16.668,16.651,16.607,16.051,16.188,16.202,16.481,16.151,16.13,16.155,16.303,16.129,15.992,15.584,15.941,15.369,15.544,15.849,15.32,15.317,15.537,15.317,15.182,15.346,15.617,15.355,15.195,15.331,15.232,14.927,14.962,15.239,14.946,15.099,15.189,15.078,15.385,15.46,15.146,15.11,15.079,15.32,15.179,15.097,15.597,15.933,15.683,16.048,16.144,15.975,16.292,16.428,16.495,16.713,16.759,16.851,16.652,16.692,16.513,16.928,16.954,17.625,17.229,17.97,17.834,18.005,18.042,17.698,17.943,17.678,17.82,17.931,18.303,18.188,18.183,17.823,17.66,17.13,16.267,16.47,16.334,15.787,16.088,15.654,15.304,15.307,15.124,15.189,15.308,15.116,14.879,14.74,14.933,14.908,14.911,14.675
3,X,False,6.1238,5.6126,5.7595,5.728,5.9154,5.5557,5.6875,5.1481,5.0755,5.1296,4.7228,4.6521,4.8259,4.8548,4.5731,4.3494,4.3787,4.3368,4.2988,4.2217,4.7081,4.7367,4.1908,4.7671,4.7883,4.7383,4.7851,4.8092,4.8277,4.7692,4.8022,4.7671,4.7573,4.6267,4.8395,4.8443,4.9018,4.9978,5.0443,5.0484,4.925,4.9637,4.968,4.9203,4.8982,4.891,4.9184,4.9198,4.8694,4.8997,4.8723,4.8515,4.9228,4.9336,4.9276,4.9532,4.9189,4.8299,4.9013,4.883,4.8844,4.8429,4.8856,4.8497,5.0672,5.0208,5.0061,4.8751,5.0192,5.1,5.3094,5.3301,5.3467,5.5603,5.4217,5.3578,5.3665,5.3055,5.1422,5.0575,5.1583,4.9569,5.0683,5.079,5.023,4.743,4.8521,5.0168,4.8482,4.7863,4.801,4.7964,5.0193,4.9214,5.0795,5.0035,4.9777,5.0832,4.8498,4.8984,4.8697,4.6068,4.5094,4.6339,4.5387,4.5743,4.5857,4.5836,4.4897,4.6719,4.5701,4.4889,4.5734,4.6456,4.6024,4.4393,4.3914,4.3853,4.2639,4.4351
4,X,True,3.8323,4.0007,3.7176,3.7828,3.8962,3.8883,3.7107,3.5106,3.5298,3.5992,3.6725,3.3858,3.537,3.309,3.5348,3.2453,3.2587,3.129,3.1387,3.1628,3.1622,3.288,3.152,3.215,3.1436,3.1832,3.2813,2.9477,2.8916,2.9919,3.048,3.2993,3.2001,3.1619,3.1814,3.6966,3.7157,3.7449,2.9186,3.8255,3.8779,3.0875,3.1518,3.92,3.9301,4.061,4.0479,3.2145,3.1691,3.1503,3.2507,3.2834,3.3597,3.6506,3.3197,3.4134,3.5063,3.501,3.4587,3.5065,3.5468,3.5297,3.5531,3.4774,3.4882,3.3111,3.5387,3.4933,3.5864,3.6042,3.6873,3.6129,3.6539,3.6985,3.784,3.6959,3.6665,3.6551,3.7189,3.731,3.7269,3.8518,3.9382,3.8916,3.8556,3.8018,3.801,3.7647,4.192,4.3946,3.8529,4.2407,3.8498,3.8393,4.4287,3.8341,3.9008,4.3618,3.9019,3.8604,3.6736,3.5989,3.7756,3.856,3.8437,3.9532,4.0731,3.8998,3.9321,5.8463,6.2774,7.0191,6.7711,7.0389,6.213,7.293,6.2959,6.2119,5.7896,6.6389
5,X,False,16.769,14.482,14.761,15.593,14.265,12.218,14.84,11.778,12.762,12.496,11.003,14.073,12.07,12.918,14.571,14.074,14.443,13.588,12.909,12.28,14.66,12.233,11.365,11.783,11.985,13.517,13.101,13.377,11.721,14.507,12.289,13.71,14.246,14.562,14.008,13.055,13.606,12.395,13.115,13.982,13.543,17.125,12.91,12.473,11.32,14.122,16.169,12.063,11.15,11.719,13.074,11.975,12.758,10.392,10.664,12.777,12.43,10.922,12.233,12.343,13.536,11.453,11.783,11.919,12.157,15.283,13.357,14.351,15.175,14.719,12.479,12.592,11.268,14.162,12.207,12.542,13.59,12.689,13.85,12.469,13.346,12.938,13.702,14.568,13.38,13.167,12.799,15.866,12.579,13.394,13.792,12.972,11.427,14.715,11.621,11.916,11.897,11.797,11.908,10.563,11.066,11.671,10.844,10.337,10.382,10.485,10.405,10.13,10.074,10.359,10.325,10.213,10.073,10.181,10.008,10.023,9.9003,9.9032,9.7879,9.8101
6,X,True,6.1526,5.9407,6.0077,5.9413,6.3093,6.3883,6.2191,6.1103,6.2698,6.014,6.2111,6.0112,5.9894,6.1394,6.2735,6.1726,6.1919,6.1566,6.1493,6.325,6.4647,6.4954,6.2812,6.4099,6.5332,6.4657,6.599,6.4471,6.4097,6.4513,6.4222,6.3535,6.486,6.6431,6.507,6.6418,6.8602,6.7936,6.8545,6.8157,6.7369,6.6835,6.8803,6.8322,6.6469,6.7301,6.7427,6.6154,6.7829,6.6908,7.1313,7.2771,7.6723,7.4463,7.3417,7.318,7.5345,7.9828,8.2736,8.025,8.719,11.095,10.934,10.761,11.0,11.704,11.728,11.694,11.252,11.445,11.374,11.331,11.724,12.025,12.112,12.258,11.719,11.509,11.398,11.559,11.966,11.742,13.443,13.82,13.667,13.282,13.539,13.281,12.999,13.591,12.958,12.877,11.636,12.693,12.392,12.091,12.91,12.821,12.872,12.943,12.494,12.565,12.089,12.439,13.931,14.363,12.472,11.953,12.059,11.678,11.851,11.643,14.652,11.831,11.481,11.064,10.854,10.374,10.282,10.294
7,X,False,14.609,14.545,14.638,14.805,14.827,14.809,15.027,14.871,14.9,14.816,14.825,14.951,14.984,14.905,14.838,14.796,14.998,14.745,14.956,15.042,14.936,15.057,14.952,14.957,14.948,14.928,14.734,14.768,15.01,14.968,14.837,14.932,14.818,14.954,15.175,15.14,14.912,15.001,15.147,15.252,15.263,15.109,14.917,15.017,15.251,15.19,15.103,15.135,15.147,15.127,15.205,15.122,15.105,14.957,15.338,15.176,15.446,15.222,15.663,15.411,15.618,15.606,15.434,15.631,15.382,15.555,15.901,15.851,15.691,15.69,15.554,15.674,15.564,15.85,15.838,15.839,15.844,16.11,15.791,16.045,15.999,16.093,16.111,16.098,16.381,16.243,16.093,16.209,16.223,16.266,16.346,16.337,16.524,16.512,16.131,16.322,16.368,16.296,16.279,16.494,16.508,16.383,16.332,16.046,16.404,16.375,16.452,16.644,16.519,16.623,16.636,16.753,16.746,16.737,16.872,16.773,16.68,16.752,16.773,16.603
8,X,False,51.302,46.622,48.453,52.042,40.9,44.841,41.887,41.471,40.018,41.227,44.014,37.392,38.392,47.72,38.531,42.681,39.77,40.941,41.01,43.269,44.074,35.386,35.671,38.525,37.817,48.986,40.11,34.706,38.194,47.192,33.432,34.281,24.666,31.299,25.211,23.807,24.359,29.874,30.514,32.503,33.071,25.773,23.649,23.853,23.747,23.3,23.455,23.792,23.797,23.778,23.52,23.881,24.493,24.412,24.383,24.888,24.681,23.824,24.719,24.779,24.867,25.302,24.234,24.599,24.391,23.921,23.536,24.041,24.49,23.798,23.806,22.638,22.152,22.096,21.458,21.434,20.807,21.257,22.025,21.769,20.951,20.971,20.938,20.901,20.401,20.188,21.492,21.38,21.288,20.683,21.405,20.624,20.242,20.51,20.596,21.357,21.166,20.998,21.581,21.356,21.14,21.283,21.386,20.974,20.867,21.032,20.878,21.214,21.081,20.875,20.746,20.494,20.438,20.151,20.489,20.347,20.573,20.653,20.229,20.463
9,X,True,12.389,12.592,12.603,12.539,12.469,12.492,12.26,12.482,12.189,12.355,12.266,12.341,12.368,12.149,12.2,12.102,12.297,12.254,12.085,12.547,12.288,12.35,12.661,12.413,12.385,12.665,12.758,12.366,12.269,12.034,12.354,12.366,12.503,12.565,12.37,12.127,11.97,12.174,11.984,11.83,11.753,11.873,11.798,11.737,12.017,12.089,12.016,12.411,12.364,12.321,12.241,12.099,11.961,12.215,12.153,12.414,12.453,12.314,12.053,12.588,12.649,13.012,13.03,12.935,12.837,12.626,13.077,13.077,13.18,12.792,12.933,12.359,12.282,12.5,12.186,11.985,12.095,11.912,12.069,12.179,11.709,11.455,12.068,12.359,12.568,12.523,12.451,12.711,12.672,12.627,12.55,12.334,12.21,12.577,13.506,13.058,12.968,13.141,13.078,13.125,12.932,12.546,12.595,12.643,12.663,12.727,13.316,12.936,12.21,12.125,12.203,12.107,11.853,11.527,11.651,11.556,11.272,11.067,11.149,11.042
