,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20,TOTUSJZ_21,TOTUSJZ_22,TOTUSJZ_23,TOTUSJZ_24,TOTUSJZ_25,TOTUSJZ_26,TOTUSJZ_27,TOTUSJZ_28,TOTUSJZ_29,TOTUSJZ_30,TOTUSJZ_31,TOTUSJZ_32,TOTUSJZ_33,TOTUSJZ_34,TOTUSJZ_35,TOTUSJZ_36,TOTUSJZ_37,TOTUSJZ_38,TOTUSJZ_39,TOTUSJZ_40,TOTUSJZ_41,TOTUSJZ_42,TOTUSJZ_43,TOTUSJZ_44,TOTUSJZ_45,TOTUSJZ_46,TOTUSJZ_47,TOTUSJZ_48,TOTUSJZ_49,TOTUSJZ_50,TOTUSJZ_51,TOTUSJZ_52,TOTUSJZ_53,TOTUSJZ_54,TOTUSJZ_55,TOTUSJZ_56,TOTUSJZ_57,TOTUSJZ_58,TOTUSJZ_59,TOTUSJZ_60,TOTUSJZ_61,TOTUSJZ_62,TOTUSJZ_63,TOTUSJZ_64,TOTUSJZ_65,TOTUSJZ_66,TOTUSJZ_67,TOTUSJZ_68,TOTUSJZ_69,TOTUSJZ_70,TOTUSJZ_71,TOTUSJZ_72,TOTUSJZ_73,TOTUSJZ_74,TOTUSJZ_75,TOTUSJZ_76,TOTUSJZ_77,TOTUSJZ_78,TOTUSJZ_79,TOTUSJZ_80,TOTUSJZ_81,TOTUSJZ_82,TOTUSJZ_83,TOTUSJZ_84,TOTUSJZ_85,TOTUSJZ_86,TOTUSJZ_87,TOTUSJZ_88,TOTUSJZ_89,TOTUSJZ_90,TOTUSJZ_91,TOTUSJZ_92,TOTUSJZ_93,TOTUSJZ_94,TOTUSJZ_95,TOTUSJZ_96,TOTUSJZ_97,TOTUSJZ_98,TOTUSJZ_99,TOTUSJZ_100,TOTUSJZ_101,TOTUSJZ_102,TOTUSJZ_103,TOTUSJZ_104,TOTUSJZ_105,TOTUSJZ_106,TOTUSJZ_107,TOTUSJZ_108,TOTUSJZ_109,TOTUSJZ_110,TOTUSJZ_111,TOTUSJZ_112,TOTUSJZ_113,TOTUSJZ_114,TOTUSJZ_115,TOTUSJZ_116,TOTUSJZ_117,TOTUSJZ_118,TOTUSJZ_119
0,M,True,16276000000000.0,16177000000000.0,16309000000000.0,16163000000000.0,16081000000000.0,16323000000000.0,16495000000000.0,16669000000000.0,16696000000000.0,16650000000000.0,16449000000000.0,17044000000000.0,17161000000000.0,17018000000000.0,17352000000000.0,17177000000000.0,17378000000000.0,17547000000000.0,17269000000000.0,16712000000000.0,16587000000000.0,17026000000000.0,16655000000000.0,16971000000000.0,16705000000000.0,16982000000000.0,17131000000000.0,18169000000000.0,17837000000000.0,17890000000000.0,17872000000000.0,17674000000000.0,17811000000000.0,18477000000000.0,18064000000000.0,18014000000000.0,18156000000000.0,18946000000000.0,18374000000000.0,19144000000000.0,19572000000000.0,19459000000000.0,19922000000000.0,20007000000000.0,20134000000000.0,20505000000000.0,20647000000000.0,21105000000000.0,20828000000000.0,20922000000000.0,21273000000000.0,21277000000000.0,21478000000000.0,22521000000000.0,22221000000000.0,22813000000000.0,22608000000000.0,22299000000000.0,22565000000000.0,23009000000000.0,22584000000000.0,22343000000000.0,22554000000000.0,23319000000000.0,23913000000000.0,24009000000000.0,24093000000000.0,23935000000000.0,23779000000000.0,24372000000000.0,24009000000000.0,24311000000000.0,24944000000000.0,24818000000000.0,25228000000000.0,25399000000000.0,25299000000000.0,25027000000000.0,25296000000000.0,25337000000000.0,25934000000000.0,26444000000000.0,26481000000000.0,26696000000000.0,26801000000000.0,27325000000000.0,28052000000000.0,28850000000000.0,29839000000000.0,30917000000000.0,31695000000000.0,32910000000000.0,33653000000000.0,34760000000000.0,35184000000000.0,36136000000000.0,36449000000000.0,36744000000000.0,36949000000000.0,37828000000000.0,37532000000000.0,38464000000000.0,37697000000000.0,38393000000000.0,38172000000000.0,38645000000000.0,39267000000000.0,39201000000000.0,39436000000000.0,40954000000000.0,40491000000000.0,40851000000000.0,40270000000000.0,40613000000000.0,41389000000000.0,40991000000000.0,40773000000000.0,41024000000000.0,41164000000000.0
1,M,True,21273000000000.0,21277000000000.0,21478000000000.0,22521000000000.0,22221000000000.0,22813000000000.0,22608000000000.0,22299000000000.0,22565000000000.0,23009000000000.0,22584000000000.0,22343000000000.0,22554000000000.0,23319000000000.0,23913000000000.0,24009000000000.0,24093000000000.0,23935000000000.0,23779000000000.0,24372000000000.0,24009000000000.0,24311000000000.0,24944000000000.0,24818000000000.0,25228000000000.0,25399000000000.0,25299000000000.0,25027000000000.0,25296000000000.0,25337000000000.0,25934000000000.0,26444000000000.0,26481000000000.0,26696000000000.0,26801000000000.0,27325000000000.0,28052000000000.0,28850000000000.0,29839000000000.0,30917000000000.0,31695000000000.0,32910000000000.0,33653000000000.0,34760000000000.0,35184000000000.0,36136000000000.0,36449000000000.0,36744000000000.0,36949000000000.0,37828000000000.0,37532000000000.0,38464000000000.0,37697000000000.0,38393000000000.0,38172000000000.0,38645000000000.0,39267000000000.0,39201000000000.0,39436000000000.0,40954000000000.0,40491000000000.0,40851000000000.0,40270000000000.0,40613000000000.0,41389000000000.0,40991000000000.0,40773000000000.0,41024000000000.0,41164000000000.0,40772000000000.0,41218000000000.0,41018000000000.0,41040000000000.0,40940000000000.0,41391000000000.0,41881000000000.0,41634000000000.0,41476000000000.0,41638000000000.0,42570000000000.0,42377000000000.0,43198000000000.0,43081000000000.0,42592000000000.0,42796000000000.0,43456000000000.0,42840000000000.0,43257000000000.0,43550000000000.0,43586000000000.0,43078000000000.0,43744000000000.0,44622000000000.0,44313000000000.0,44305000000000.0,44848000000000.0,45390000000000.0,44501000000000.0,44771000000000.0,44843000000000.0,45987000000000.0,44608000000000.0,45733000000000.0,45215000000000.0,45227000000000.0,46802000000000.0,46229000000000.0,46858000000000.0,46800000000000.0,47466000000000.0,47247000000000.0,47241000000000.0,47247000000000.0,47780000000000.0,47857000000000.0,48869000000000.0,50085000000000.0,50816000000000.0,50198000000000.0
2,B,False,19299000000000.0,19165000000000.0,19616000000000.0,19307000000000.0,19109000000000.0,18820000000000.0,19015000000000.0,18434000000000.0,18622000000000.0,18569000000000.0,18433000000000.0,18871000000000.0,18949000000000.0,18291000000000.0,18154000000000.0,17933000000000.0,17816000000000.0,17662000000000.0,18145000000000.0,18207000000000.0,18259000000000.0,18254000000000.0,18152000000000.0,17657000000000.0,17548000000000.0,18104000000000.0,18389000000000.0,18527000000000.0,18378000000000.0,18597000000000.0,18308000000000.0,18201000000000.0,18360000000000.0,18302000000000.0,18272000000000.0,18243000000000.0,18309000000000.0,18043000000000.0,18910000000000.0,18793000000000.0,18835000000000.0,18631000000000.0,18571000000000.0,18691000000000.0,18586000000000.0,18372000000000.0,18075000000000.0,18853000000000.0,18996000000000.0,18385000000000.0,18885000000000.0,19036000000000.0,19166000000000.0,19169000000000.0,18063000000000.0,17998000000000.0,18113000000000.0,18138000000000.0,17797000000000.0,17401000000000.0,17457000000000.0,17094000000000.0,17410000000000.0,17618000000000.0,17286000000000.0,17351000000000.0,17082000000000.0,17299000000000.0,16994000000000.0,16854000000000.0,16998000000000.0,17041000000000.0,17318000000000.0,17687000000000.0,17635000000000.0,17037000000000.0,17284000000000.0,17312000000000.0,17345000000000.0,17365000000000.0,17507000000000.0,17390000000000.0,17642000000000.0,17280000000000.0,17346000000000.0,17443000000000.0,17196000000000.0,17043000000000.0,16991000000000.0,17032000000000.0,17318000000000.0,17231000000000.0,16799000000000.0,16895000000000.0,17060000000000.0,16853000000000.0,17377000000000.0,16806000000000.0,16546000000000.0,16365000000000.0,16177000000000.0,16160000000000.0,15832000000000.0,15601000000000.0,15782000000000.0,15783000000000.0,15700000000000.0,15722000000000.0,15838000000000.0,15284000000000.0,15465000000000.0,15355000000000.0,15184000000000.0,15200000000000.0,15254000000000.0,15592000000000.0,15889000000000.0,15822000000000.0,15507000000000.0
3,B,True,9496800000000.0,9561700000000.0,9742100000000.0,9502100000000.0,9642200000000.0,9473300000000.0,9616000000000.0,9749400000000.0,9549100000000.0,9507500000000.0,9489700000000.0,9386100000000.0,9520400000000.0,9089200000000.0,9362700000000.0,9174700000000.0,9367800000000.0,9570000000000.0,9387100000000.0,9617000000000.0,9540200000000.0,9683200000000.0,9310400000000.0,9514800000000.0,9721800000000.0,9908100000000.0,9940300000000.0,10038000000000.0,9883100000000.0,9900700000000.0,10217000000000.0,10334000000000.0,10475000000000.0,10280000000000.0,10501000000000.0,10385000000000.0,10368000000000.0,10538000000000.0,10442000000000.0,10263000000000.0,10071000000000.0,10053000000000.0,10455000000000.0,10374000000000.0,10226000000000.0,10050000000000.0,10041000000000.0,9912400000000.0,9677000000000.0,9625000000000.0,9969400000000.0,9948300000000.0,10260000000000.0,10492000000000.0,10615000000000.0,10423000000000.0,10250000000000.0,10314000000000.0,10370000000000.0,10201000000000.0,9947100000000.0,9728600000000.0,9787200000000.0,10037000000000.0,10199000000000.0,10072000000000.0,9985600000000.0,10007000000000.0,9774300000000.0,10052000000000.0,10504000000000.0,10315000000000.0,10459000000000.0,10508000000000.0,10182000000000.0,10261000000000.0,10333000000000.0,10521000000000.0,9901000000000.0,9959100000000.0,9988000000000.0,10115000000000.0,9947000000000.0,10090000000000.0,9948000000000.0,9932900000000.0,9750700000000.0,9707800000000.0,9324000000000.0,9265000000000.0,9482300000000.0,9521800000000.0,9325300000000.0,9179100000000.0,9166100000000.0,9084000000000.0,8960200000000.0,8910900000000.0,8941700000000.0,9087800000000.0,9097000000000.0,9860700000000.0,9834500000000.0,9578900000000.0,9639000000000.0,9770000000000.0,9779100000000.0,9839600000000.0,9499200000000.0,9527100000000.0,9529200000000.0,10017000000000.0,9826700000000.0,9807200000000.0,9690800000000.0,9718600000000.0,9575100000000.0,9341000000000.0,9476700000000.0
4,B,True,1765700000000.0,1738200000000.0,1642300000000.0,1623000000000.0,1612500000000.0,1844400000000.0,1955300000000.0,1894200000000.0,2089000000000.0,2015200000000.0,1994400000000.0,1898500000000.0,2316400000000.0,2107200000000.0,1972400000000.0,2127200000000.0,2244900000000.0,1958900000000.0,2002200000000.0,1897800000000.0,1782600000000.0,1821300000000.0,1974100000000.0,2014100000000.0,1859200000000.0,1853900000000.0,1818600000000.0,1998400000000.0,1871200000000.0,2040300000000.0,2091100000000.0,2431000000000.0,2284900000000.0,2177100000000.0,2320600000000.0,2423900000000.0,2287700000000.0,2142900000000.0,2108400000000.0,2109600000000.0,2319900000000.0,2456800000000.0,2494200000000.0,2604500000000.0,2573100000000.0,2728700000000.0,2477200000000.0,2562000000000.0,2747000000000.0,2604700000000.0,2585500000000.0,2716300000000.0,2769700000000.0,2874200000000.0,3169300000000.0,3159600000000.0,3305100000000.0,3294400000000.0,3074600000000.0,2986800000000.0,3298300000000.0,3219100000000.0,3353000000000.0,3374600000000.0,3323100000000.0,3345600000000.0,3161500000000.0,3044200000000.0,3515000000000.0,3501500000000.0,3550400000000.0,3495200000000.0,3525600000000.0,3472700000000.0,3743700000000.0,3666300000000.0,3682100000000.0,3655300000000.0,3573100000000.0,3681400000000.0,3614100000000.0,3910700000000.0,3887800000000.0,3908500000000.0,3938100000000.0,4095200000000.0,4520100000000.0,4713200000000.0,4662400000000.0,4795800000000.0,4736400000000.0,4710200000000.0,4734500000000.0,4658600000000.0,4829000000000.0,5108000000000.0,5016500000000.0,5348000000000.0,5623900000000.0,5659300000000.0,5604700000000.0,5721000000000.0,5784300000000.0,5895900000000.0,5749400000000.0,5518700000000.0,5374000000000.0,5369000000000.0,5334400000000.0,5572300000000.0,5794200000000.0,5913800000000.0,5909800000000.0,6204900000000.0,6047100000000.0,6079000000000.0,6011300000000.0,6077500000000.0,6023100000000.0
5,B,True,6546200000000.0,6443200000000.0,6375400000000.0,6440400000000.0,6362800000000.0,6183100000000.0,5885400000000.0,5731300000000.0,5869100000000.0,5628200000000.0,5579400000000.0,5721400000000.0,5723500000000.0,5760500000000.0,5999400000000.0,6068800000000.0,6024400000000.0,5965400000000.0,5900300000000.0,6041800000000.0,6181100000000.0,6035800000000.0,6284000000000.0,6268200000000.0,6048300000000.0,6031900000000.0,6025100000000.0,5999900000000.0,6239700000000.0,6295400000000.0,6287200000000.0,6240700000000.0,6348400000000.0,6308500000000.0,6356400000000.0,6499300000000.0,6551200000000.0,6872600000000.0,6566500000000.0,6442300000000.0,6761000000000.0,6942700000000.0,6850200000000.0,7029100000000.0,7421500000000.0,7219600000000.0,7683300000000.0,8214300000000.0,8692700000000.0,9397400000000.0,9437800000000.0,9629200000000.0,9084600000000.0,9133100000000.0,9214600000000.0,9540200000000.0,9479800000000.0,9254600000000.0,9340000000000.0,9477500000000.0,10083000000000.0,9942500000000.0,10374000000000.0,10065000000000.0,10468000000000.0,10694000000000.0,10675000000000.0,10729000000000.0,10689000000000.0,10663000000000.0,11040000000000.0,11510000000000.0,11156000000000.0,11087000000000.0,11178000000000.0,11117000000000.0,11183000000000.0,11319000000000.0,11196000000000.0,11239000000000.0,11309000000000.0,11502000000000.0,10925000000000.0,11197000000000.0,11215000000000.0,11772000000000.0,12328000000000.0,12369000000000.0,12830000000000.0,13126000000000.0,13486000000000.0,13677000000000.0,13872000000000.0,13756000000000.0,14217000000000.0,13873000000000.0,13688000000000.0,13850000000000.0,13946000000000.0,14171000000000.0,14154000000000.0,13846000000000.0,14112000000000.0,14153000000000.0,14125000000000.0,13939000000000.0,13940000000000.0,13867000000000.0,13602000000000.0,13018000000000.0,13363000000000.0,13591000000000.0,13534000000000.0,14053000000000.0,13910000000000.0,13509000000000.0,13353000000000.0,13390000000000.0,13076000000000.0
6,B,False,10534000000000.0,10510000000000.0,9903600000000.0,9877900000000.0,9441700000000.0,9711000000000.0,9351800000000.0,9492600000000.0,9467800000000.0,9247700000000.0,9354000000000.0,9276900000000.0,9219100000000.0,9208600000000.0,9026800000000.0,8988600000000.0,8967100000000.0,8950000000000.0,8777900000000.0,9028400000000.0,9025100000000.0,9227700000000.0,9133600000000.0,9145500000000.0,9024000000000.0,9308300000000.0,9061000000000.0,9258300000000.0,9247800000000.0,9136200000000.0,8924300000000.0,8783400000000.0,8892500000000.0,9079100000000.0,8871600000000.0,9208400000000.0,9207300000000.0,9036500000000.0,8853100000000.0,8920500000000.0,8868700000000.0,8808200000000.0,8423500000000.0,8404500000000.0,8454300000000.0,7911000000000.0,7818900000000.0,7625600000000.0,7731900000000.0,7522900000000.0,7448200000000.0,7495600000000.0,7402100000000.0,7325700000000.0,7246600000000.0,7268300000000.0,7066900000000.0,7131600000000.0,6993300000000.0,6876500000000.0,6737800000000.0,6767700000000.0,7054400000000.0,7581900000000.0,7697500000000.0,7873400000000.0,7956500000000.0,7732600000000.0,8010100000000.0,7379700000000.0,7492800000000.0,7001600000000.0,7212400000000.0,6843000000000.0,6558700000000.0,6515500000000.0,6168000000000.0,6027600000000.0,6136200000000.0,6060500000000.0,5980500000000.0,6071400000000.0,6141000000000.0,6253100000000.0,6111200000000.0,6042000000000.0,5966300000000.0,5918700000000.0,6085200000000.0,6129600000000.0,6061100000000.0,6006000000000.0,5943400000000.0,5986900000000.0,5533900000000.0,5715700000000.0,5663800000000.0,5638600000000.0,5749900000000.0,5666700000000.0,5669800000000.0,5668100000000.0,5609300000000.0,5844700000000.0,5967400000000.0,5842300000000.0,5540200000000.0,5646600000000.0,5355800000000.0,5341300000000.0,5396800000000.0,5289900000000.0,5402900000000.0,5260800000000.0,5170700000000.0,5210200000000.0,5364500000000.0,5494300000000.0,5942400000000.0
7,B,False,5969500000000.0,5779500000000.0,6074700000000.0,6181000000000.0,6301600000000.0,6325900000000.0,6245400000000.0,6279800000000.0,6372700000000.0,6451900000000.0,6315300000000.0,6336500000000.0,6405100000000.0,6237700000000.0,6305100000000.0,6122600000000.0,5914700000000.0,6239000000000.0,6013100000000.0,6019200000000.0,5992800000000.0,6053500000000.0,6045000000000.0,5988200000000.0,5911700000000.0,6081600000000.0,5875800000000.0,5882600000000.0,5672400000000.0,5576400000000.0,5686600000000.0,5443700000000.0,5550500000000.0,5425700000000.0,5399000000000.0,5373900000000.0,5401800000000.0,5661600000000.0,5388600000000.0,5298100000000.0,5618100000000.0,5723600000000.0,5664400000000.0,5805400000000.0,5568100000000.0,5760500000000.0,5785900000000.0,5554900000000.0,5501400000000.0,5810100000000.0,5853800000000.0,5948500000000.0,5930700000000.0,6093200000000.0,6052900000000.0,6434200000000.0,5980000000000.0,5929000000000.0,5738200000000.0,5813600000000.0,5930000000000.0,5646800000000.0,5528300000000.0,5398100000000.0,5418200000000.0,5539900000000.0,5487400000000.0,5407200000000.0,5397700000000.0,5625200000000.0,5315600000000.0,5336200000000.0,5659200000000.0,5676400000000.0,5846200000000.0,5629400000000.0,5945600000000.0,5802200000000.0,5612300000000.0,5952700000000.0,6038300000000.0,6087300000000.0,5886600000000.0,5853800000000.0,5775800000000.0,5760800000000.0,5692400000000.0,5666100000000.0,5593100000000.0,5535000000000.0,5695100000000.0,5586000000000.0,5643200000000.0,5657900000000.0,5851600000000.0,5802900000000.0,5706600000000.0,5689600000000.0,5510400000000.0,5413800000000.0,5471500000000.0,5396700000000.0,5173800000000.0,5135800000000.0,5265700000000.0,5327500000000.0,5376800000000.0,5380800000000.0,5405700000000.0,5243000000000.0,4980400000000.0,5158100000000.0,5149700000000.0,5019000000000.0,5014100000000.0,5188400000000.0,4972700000000.0,5153300000000.0,4990500000000.0
8,B,False,13062000000000.0,13531000000000.0,13556000000000.0,13702000000000.0,13541000000000.0,13405000000000.0,13293000000000.0,13641000000000.0,13657000000000.0,13674000000000.0,13343000000000.0,13455000000000.0,13647000000000.0,14181000000000.0,14081000000000.0,13857000000000.0,14727000000000.0,14576000000000.0,14445000000000.0,14724000000000.0,15102000000000.0,14897000000000.0,14731000000000.0,15051000000000.0,15263000000000.0,15207000000000.0,15025000000000.0,15098000000000.0,15218000000000.0,15453000000000.0,15371000000000.0,15766000000000.0,15919000000000.0,15849000000000.0,16157000000000.0,16678000000000.0,16559000000000.0,16444000000000.0,16363000000000.0,16719000000000.0,16468000000000.0,16617000000000.0,16574000000000.0,16811000000000.0,16376000000000.0,16709000000000.0,16390000000000.0,16516000000000.0,16270000000000.0,16534000000000.0,15932000000000.0,16853000000000.0,16801000000000.0,17173000000000.0,16929000000000.0,17585000000000.0,16980000000000.0,17076000000000.0,17201000000000.0,16810000000000.0,16936000000000.0,17023000000000.0,17202000000000.0,17273000000000.0,17342000000000.0,17823000000000.0,17398000000000.0,17404000000000.0,17458000000000.0,16982000000000.0,17228000000000.0,17587000000000.0,17665000000000.0,17863000000000.0,17829000000000.0,17607000000000.0,17414000000000.0,17963000000000.0,17628000000000.0,17601000000000.0,17780000000000.0,17824000000000.0,18149000000000.0,17889000000000.0,17676000000000.0,17839000000000.0,17684000000000.0,17978000000000.0,18005000000000.0,18014000000000.0,18000000000000.0,17901000000000.0,17704000000000.0,18066000000000.0,18471000000000.0,19008000000000.0,19129000000000.0,18993000000000.0,19192000000000.0,18979000000000.0,18420000000000.0,19070000000000.0,19385000000000.0,18983000000000.0,19099000000000.0,19201000000000.0,18525000000000.0,18109000000000.0,17884000000000.0,18175000000000.0,18153000000000.0,18329000000000.0,19026000000000.0,18904000000000.0,19041000000000.0,19119000000000.0,18798000000000.0,18384000000000.0,18929000000000.0
9,B,False,14130000000000.0,13824000000000.0,13749000000000.0,13615000000000.0,13902000000000.0,13743000000000.0,13663000000000.0,13965000000000.0,13712000000000.0,13345000000000.0,13316000000000.0,13342000000000.0,13277000000000.0,12574000000000.0,12724000000000.0,12913000000000.0,13236000000000.0,13634000000000.0,13669000000000.0,13644000000000.0,13574000000000.0,13102000000000.0,12495000000000.0,12402000000000.0,12138000000000.0,12440000000000.0,12134000000000.0,12571000000000.0,12175000000000.0,11904000000000.0,12228000000000.0,11951000000000.0,11994000000000.0,12116000000000.0,11874000000000.0,12081000000000.0,12095000000000.0,11994000000000.0,11548000000000.0,11719000000000.0,11708000000000.0,11598000000000.0,11477000000000.0,11670000000000.0,11637000000000.0,11498000000000.0,11452000000000.0,11489000000000.0,11484000000000.0,11283000000000.0,11661000000000.0,11480000000000.0,11240000000000.0,11101000000000.0,11074000000000.0,11278000000000.0,11220000000000.0,10944000000000.0,11214000000000.0,11327000000000.0,11407000000000.0,11246000000000.0,11288000000000.0,11548000000000.0,11752000000000.0,12279000000000.0,12187000000000.0,12256000000000.0,12088000000000.0,11918000000000.0,11356000000000.0,11356000000000.0,11423000000000.0,11049000000000.0,11016000000000.0,10968000000000.0,10900000000000.0,10810000000000.0,10685000000000.0,10743000000000.0,10695000000000.0,10878000000000.0,10952000000000.0,11161000000000.0,11069000000000.0,10864000000000.0,11341000000000.0,11310000000000.0,11485000000000.0,11350000000000.0,11734000000000.0,11667000000000.0,12172000000000.0,12155000000000.0,12092000000000.0,12251000000000.0,11894000000000.0,11502000000000.0,11932000000000.0,11985000000000.0,11812000000000.0,11885000000000.0,11898000000000.0,11752000000000.0,11666000000000.0,11271000000000.0,11531000000000.0,11427000000000.0,11427000000000.0,11895000000000.0,11397000000000.0,11391000000000.0,11753000000000.0,11541000000000.0,11420000000000.0,11449000000000.0,11192000000000.0,11074000000000.0,10762000000000.0
