,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,ABSNJZH_2,ABSNJZH_3,ABSNJZH_4,ABSNJZH_5,ABSNJZH_6,ABSNJZH_7,ABSNJZH_8,ABSNJZH_9,ABSNJZH_10
0,X,False,764.14,745.29,769.27,796.42,833.26,807.49,823.0,838.58,848.0,829.88
1,X,False,170.57,177.31,175.42,145.16,127.4,150.63,165.21,161.44,156.94,172.37
2,X,False,817.87,813.65,792.8,796.06,799.03,802.45,795.17,802.91,789.0,783.48
3,X,False,223.28,196.5,192.04,198.23,207.29,183.63,184.9,173.73,181.85,153.82
4,X,True,360.82,397.61,404.05,398.52,402.7,390.82,403.82,407.98,421.46,423.6
5,X,False,123.83,227.95,40.131,122.73,117.55,59.184,26.548,85.885,79.975,54.714
6,X,False,554.08,530.75,548.27,547.82,544.18,542.7,523.1,519.02,545.43,499.18
7,X,True,925.63,901.3,929.44,923.21,977.85,925.81,981.07,952.25,947.59,1029.6
8,X,False,2231.5,2201.3,2130.6,2168.5,2161.5,2109.0,2198.9,2163.0,2135.2,2154.6
9,X,False,2109.0,2198.9,2163.0,2135.2,2154.6,2132.3,2157.2,2193.5,2167.7,2135.3
10,X,False,1543.2,1512.1,1443.7,1375.7,1393.8,1462.3,1485.5,1455.7,1366.4,1403.6
11,X,False,1375.0,1362.7,1361.6,1395.0,1349.4,1370.0,1364.1,1385.6,1396.0,1373.6
12,X,False,156.65,301.92,274.58,237.84,306.6,326.54,680.34,344.43,349.04,694.7
13,X,True,2.4958,7.2854,10.847,4.6126,8.082,0.10891,10.55,7.0675,14.025,11.522
14,X,True,798.16,793.8,822.06,818.54,848.69,788.07,769.68,759.26,766.73,747.13
15,X,False,417.83,384.62,189.77,261.9,167.13,240.92,132.32,170.56,162.45,263.54
16,X,False,1034.8,1055.9,1052.0,1064.9,1171.9,1173.2,1211.2,1251.4,1164.4,1128.3
17,X,False,591.78,574.67,550.5,646.47,593.43,552.39,555.89,590.58,563.66,567.94
18,X,False,523.13,596.73,610.09,598.4,631.2,637.59,630.4,618.89,609.97,618.33
19,X,False,605.94,621.78,643.87,618.71,617.49,613.3,593.58,610.37,607.19,619.83
20,X,False,1934.9,1954.5,1955.7,1990.9,2021.4,2073.7,2087.5,2072.9,2061.6,2055.7
21,X,False,1.6745,0.1672,0.21835,3.0554,1.8223,1.2221,3.3764,2.6865,0.35711,1.2024
22,X,False,232.47,189.32,254.52,239.4,254.84,258.24,250.96,229.34,215.96,237.73
23,X,False,422.15,442.4,522.0,480.06,462.69,487.05,483.14,537.68,531.85,514.13
24,X,False,968.66,23.432,926.41,121.04,916.09,890.41,836.74,918.83,180.94,85.408
25,X,True,1041.5,1003.6,1088.4,1119.7,1096.8,1132.0,1089.4,1153.1,1161.4,1079.1
26,X,True,486.03,577.97,590.08,616.94,590.52,573.8,554.9,553.98,557.6,557.16
27,X,True,484.84,484.05,432.85,496.79,498.31,497.72,474.08,494.82,494.35,520.61
28,X,True,63.304,20.848,74.588,53.178,58.484,53.519,72.628,62.954,94.599,26.067
29,X,False,1567.2,1583.0,1522.5,1538.4,1557.9,1562.7,1551.7,1583.6,1618.3,1617.4
30,X,False,1164.7,1176.2,1153.1,1150.7,1124.3,1106.5,1083.7,1106.0,1128.9,1066.9
31,X,True,1695.4,1678.9,1679.0,1669.8,1681.2,1682.8,1682.0,1694.7,1728.1,1723.6
32,X,False,1.92,11.594,5.1193,9.0927,50.304,15.551,16.364,17.847,25.174,24.453
33,X,True,2681.1,2739.4,2677.5,2722.7,2735.9,2723.2,2760.2,2680.9,2685.7,2450.9
34,X,True,2742.3,2816.1,2762.5,2818.4,2890.8,2863.1,2888.1,2882.1,2896.4,2945.4
35,X,False,3852.7,3738.5,3697.8,3649.4,3744.9,3688.1,3556.6,3579.9,3669.6,3810.7
36,X,False,376.18,576.48,553.49,434.37,447.95,539.71,453.9,171.39,383.63,245.94
37,M,False,249.61,240.63,264.96,271.17,274.89,278.53,274.77,280.7,267.34,257.62
38,M,False,20.74,19.354,20.222,35.544,19.716,23.584,43.421,17.09,18.843,14.497
39,M,False,132.15,143.69,142.55,144.08,151.55,151.13,154.36,146.02,146.75,147.01
40,M,True,54.656,36.733,4.407,35.304,36.884,35.79,35.914,37.538,37.717,55.114
41,M,False,113.9,106.82,94.831,103.6,101.55,81.725,108.15,110.61,134.02,125.19
42,M,False,50.13,143.88,138.01,149.87,131.63,124.24,120.4,114.51,114.31,20.436
43,M,False,55.622,35.038,46.33,49.428,34.691,31.41,67.38,25.23,33.315,17.072
