,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10
0,X,False,942.44,945.31,946.55,947.42,946.52,952.37,956.45,961.74,962.37,964.36
1,X,False,1395.5,1401.9,1407.3,1400.0,1403.0,1400.9,1394.0,1391.5,1393.2,1402.8
2,X,False,1095.0,1098.4,1088.3,1080.2,1072.5,1068.5,1067.0,1065.7,1060.9,1067.1
3,X,False,1386.9,1386.2,1382.2,1379.6,1383.7,1374.7,1375.0,1373.1,1367.6,1366.2
4,X,True,1212.4,1213.1,1209.6,1208.1,1209.1,1207.2,1209.3,1205.2,1198.6,1193.4
5,X,False,2655.3,2643.5,2650.9,2666.4,2653.7,2677.6,2665.3,2675.5,2685.6,2672.9
6,X,False,1052.7,1050.2,1033.9,1023.7,1024.8,1027.6,1032.6,1028.4,1012.8,1016.1
7,X,True,1139.0,1143.0,1148.1,1152.5,1139.4,1141.1,1151.3,1150.2,1152.7,1156.0
8,X,False,1704.3,1713.0,1720.5,1724.5,1730.8,1737.0,1736.2,1744.9,1751.8,1754.5
9,X,False,1737.0,1736.2,1744.9,1751.8,1754.5,1765.4,1765.0,1769.2,1771.8,1769.6
10,X,False,2216.8,2217.6,2219.3,2242.8,2238.4,2236.4,2230.6,2239.9,2240.8,2251.3
11,X,False,4558.6,4560.0,4566.9,4569.7,4568.4,4577.0,4573.3,4577.3,4588.0,4584.5
12,X,False,827.95,838.45,846.02,842.72,844.96,844.17,848.82,855.06,855.22,855.09
13,X,True,411.93,429.1,431.68,451.05,460.05,471.16,488.28,500.65,511.52,522.36
14,X,True,1909.1,1909.1,1930.8,1933.3,1923.0,1923.1,1911.3,1915.0,1927.2,1930.3
15,X,False,2157.9,2143.0,2145.5,2129.3,2143.0,2130.9,2143.4,2129.2,2119.7,2153.2
16,X,False,2338.0,2334.4,2333.7,2322.2,2331.7,2330.6,2329.5,2330.5,2341.4,2348.8
17,X,False,2366.6,2373.5,2376.2,2379.1,2375.3,2382.6,2373.1,2373.9,2378.5,2375.9
18,X,False,2177.5,2171.4,2176.2,2170.5,2169.6,2172.4,2156.9,2162.0,2163.1,2160.8
19,X,False,1513.6,1504.7,1490.5,1504.4,1515.5,1520.5,1513.4,1515.6,1522.4,1530.7
20,X,False,4538.5,4545.5,4556.8,4566.7,4556.3,4563.3,4552.4,4542.2,4552.1,4541.3
21,X,False,89.82,89.58,103.24,108.87,112.23,116.21,127.03,146.89,148.47,172.25
22,X,False,1443.5,1410.5,1388.7,1368.6,1357.7,1313.1,1307.9,1268.6,1256.4,1215.1
23,X,False,408.5,402.58,400.8,386.99,383.22,380.21,385.79,391.58,388.11,369.87
24,X,False,3656.5,3642.1,3649.7,3652.5,3648.5,3618.7,3639.0,3642.6,3627.4,3663.8
