,FLARE_TYPE,COINCIDENCE,MEANGBZ_1,MEANGBZ_2,MEANGBZ_3,MEANGBZ_4,MEANGBZ_5,MEANGBZ_6,MEANGBZ_7,MEANGBZ_8,MEANGBZ_9,MEANGBZ_10
0,X,False,116.17,117.58,117.63,115.9,115.69,115.35,115.13,114.56,113.81,113.53
1,X,False,111.2,111.31,110.64,110.88,110.62,110.19,109.55,109.23,109.59,108.42
2,X,False,81.416,81.235,81.149,81.004,81.401,82.767,83.161,83.244,83.291,83.35
3,X,False,109.42,109.62,110.12,110.79,110.44,111.22,112.5,112.35,112.23,111.68
4,X,True,118.31,118.77,119.91,120.94,122.47,122.02,122.57,122.7,123.47,121.51
5,X,False,78.691,78.185,83.238,78.156,85.101,79.517,79.514,79.392,79.939,79.51
6,X,False,70.139,69.345,68.07,67.348,68.234,67.388,66.749,66.032,73.603,68.375
7,X,True,80.036,77.638,77.277,76.947,76.072,76.63,76.547,76.632,79.403,79.075
8,X,False,107.21,107.37,106.74,107.35,106.86,107.42,107.9,108.45,107.08,107.23
9,X,False,107.42,107.9,108.45,107.08,107.23,106.56,106.81,107.5,107.3,106.96
10,X,False,123.21,123.65,122.78,122.07,122.76,122.7,121.82,121.74,121.93,121.06
11,X,False,98.249,97.593,97.562,97.653,97.855,97.95,98.634,99.094,99.655,99.833
12,X,False,95.425,95.694,95.912,89.913,96.495,95.759,91.317,99.294,96.483,97.867
13,X,True,105.68,87.265,94.002,84.37,74.717,83.655,88.576,61.1,66.536,65.784
14,X,True,99.216,99.768,100.17,100.67,101.11,100.84,100.82,100.89,101.06,101.47
15,X,False,84.695,83.945,85.766,85.556,83.332,84.084,83.948,84.512,81.759,82.031
16,X,False,94.745,94.483,94.761,94.154,94.472,94.648,94.141,94.628,94.549,94.422
17,X,False,108.75,107.87,108.36,108.35,108.02,106.77,106.34,105.46,104.7,103.97
18,X,False,111.59,112.56,112.8,112.67,113.35,112.45,111.65,111.03,110.87,110.41
19,X,False,96.496,96.208,95.595,93.899,93.579,94.087,93.799,94.531,94.382,94.035
20,X,False,93.251,93.856,94.491,95.612,96.056,97.084,97.943,98.438,98.567,99.413
21,X,False,57.567,58.836,57.486,59.755,61.213,63.792,63.621,63.56,64.63,60.09
22,X,False,83.497,83.531,82.271,87.454,84.652,86.021,85.058,87.631,87.42,87.692
23,X,False,83.24,77.927,78.007,81.612,85.594,81.606,85.035,84.831,90.26,88.084
24,X,False,75.414,80.828,73.837,81.849,74.366,74.851,74.556,75.873,78.517,79.516
25,X,True,109.54,109.51,109.81,109.93,109.5,109.5,109.07,108.81,108.13,107.81
26,X,True,104.78,104.48,104.97,104.41,104.3,104.41,104.55,104.89,104.45,105.02
27,X,True,102.78,102.57,102.6,102.83,102.85,102.64,102.73,102.59,102.62,102.62
28,X,True,98.036,98.146,98.713,99.174,99.381,99.637,99.882,100.21,100.52,100.27
29,X,False,99.661,99.266,99.729,99.792,99.772,100.64,101.45,102.8,103.49,104.73
30,X,False,109.76,109.58,109.02,108.79,109.35,109.08,109.16,109.1,109.09,109.03
31,X,True,107.09,106.16,105.59,105.02,105.71,106.15,107.4,107.56,108.26,110.1
32,X,False,159.88,90.752,82.224,69.889,117.33,69.059,61.838,53.913,49.331,47.247
33,X,True,119.97,122.0,121.24,121.67,121.75,122.0,122.99,123.31,122.84,124.21
34,X,True,126.67,126.08,126.25,125.98,125.37,125.16,125.31,123.78,123.75,122.91
35,X,False,119.24,120.31,120.21,120.72,121.51,122.36,122.72,123.55,123.66,125.8
36,X,False,91.602,89.029,93.11,87.775,90.413,93.843,91.981,94.161,99.157,97.932
37,M,False,126.36,125.33,125.36,123.37,123.01,124.0,124.29,123.58,122.39,122.01
38,M,False,126.28,116.27,122.06,140.14,117.53,137.82,135.4,111.3,112.05,111.76
39,M,False,90.062,89.621,89.782,90.123,89.626,90.782,90.649,91.605,92.809,93.053
40,M,True,101.19,51.856,99.673,56.076,52.373,53.132,53.567,54.413,54.13,104.19
41,M,False,85.076,84.64,84.797,83.931,84.394,86.07,83.419,82.449,81.955,81.291
42,M,False,70.959,68.417,68.277,66.973,68.276,66.897,70.405,68.778,68.262,67.456
43,M,False,92.471,88.18,91.024,91.321,92.126,92.869,92.729,93.246,93.048,92.126
44,M,True,117.25,119.24,117.45,117.87,118.87,121.5,123.05,123.07,122.61,123.44
45,M,True,112.61,113.73,116.56,117.9,118.57,118.32,119.21,119.36,119.94,120.69
46,M,False,118.56,117.05,115.66,115.07,112.13,111.45,110.74,108.65,108.57,108.23
47,M,False,100.39,100.52,100.94,100.41,100.76,100.66,101.23,102.65,102.71,102.42
48,M,True,110.68,111.35,110.85,110.77,110.94,111.98,111.63,111.09,111.15,109.99
49,M,True,108.67,109.03,108.33,108.39,108.71,109.21,109.51,109.9,110.75,110.69
50,M,False,110.89,110.84,110.25,110.13,110.48,110.61,110.59,111.56,112.56,112.68
51,M,False,112.81,112.63,112.8,111.48,111.88,112.56,111.64,110.66,110.0,110.84
52,M,False,109.69,109.65,110.79,109.07,110.12,110.57,111.3,111.39,113.25,114.32
53,M,False,83.41,85.6,82.414,82.068,82.926,83.434,82.602,82.778,82.903,83.524
54,M,True,109.69,110.0,109.7,109.4,108.41,108.02,107.63,106.94,104.89,104.16
55,M,True,108.11,108.22,107.39,107.24,108.51,108.34,107.15,108.29,107.94,108.02
56,M,False,103.15,103.37,104.41,104.41,104.84,106.3,107.19,107.14,106.91,106.22
57,M,False,107.19,107.14,106.91,106.22,105.95,105.96,106.28,106.03,105.31,104.83
58,M,False,98.02,96.411,96.918,97.876,99.163,99.22,98.286,98.125,97.375,97.444
59,M,False,98.673,99.62,100.01,100.48,101.52,101.43,101.38,100.98,100.95,99.566
60,M,True,99.148,98.001,96.583,97.263,96.666,99.425,95.567,94.86,96.641,97.751
61,M,False,97.099,97.823,96.825,97.017,96.874,96.628,97.037,97.855,97.667,96.051
62,M,False,96.865,95.99,97.877,95.251,93.51,95.91,92.507,91.983,92.301,92.375
63,M,False,84.412,84.692,86.221,87.024,85.414,87.772,88.889,87.057,94.094,94.666
64,M,False,94.094,94.666,94.3,91.711,98.743,98.471,93.055,94.802,92.955,94.214
65,M,True,97.255,97.06,97.787,98.305,98.882,98.62,99.081,99.941,100.74,100.65
