,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10
0,X,False,0.11124,0.10488,0.13981,0.18104,0.14171,0.14921,0.1414,0.1156,0.10094,0.058417
1,X,False,0.39676,0.45178,0.47101,0.44905,0.42835,0.50758,0.46046,0.51279,0.41747,0.47587
2,X,False,0.066541,0.064499,0.027927,0.045047,0.046233,0.02813,-0.013745,0.0088658,0.051629,0.039532
3,X,False,0.37759,0.43689,0.44408,0.47136,0.42905,0.37456,0.38685,0.41699,0.34251,0.34819
4,X,True,0.2471,0.16808,0.27453,0.22309,0.24328,0.27617,0.12947,0.33043,0.31094,0.33664
5,X,False,-0.028996,-0.0033343,-0.050259,-0.0084686,0.069043,-0.039216,-0.02834,-0.024848,-0.027795,-0.035258
6,X,False,-0.013727,0.015115,0.024974,0.046231,0.00053605,0.036306,0.045401,0.061635,0.068087,0.042537
7,X,True,0.088182,0.068162,-0.0069056,0.068125,0.074085,0.040607,0.034446,0.038883,0.070209,0.067126
8,X,False,0.026096,0.013547,-0.047343,0.00024238,-0.0013328,-0.025496,-0.03644,-0.0036902,-0.014751,0.015097
9,X,False,-0.025496,-0.03644,-0.0036902,-0.014751,0.015097,0.032818,0.025944,0.025114,-0.0026856,-0.0061804
10,X,False,-0.2113,-0.16079,-0.12979,-0.17618,-0.13679,-0.194,-0.19547,-0.14255,-0.088461,-0.068338
11,X,False,0.24945,0.26023,0.25616,0.27467,0.25066,0.24144,0.26593,0.25406,0.25838,0.23582
12,X,False,-0.084806,-0.089071,-0.057105,-0.099041,-0.057116,-0.19815,-0.027689,-0.16862,-0.23121,-0.13771
13,X,True,-0.36071,-0.053037,-0.049399,-0.05944,-0.010515,0.021039,0.19823,-0.0098901,0.10035,-0.084606
14,X,True,0.13647,0.18064,0.17251,0.18773,0.12359,0.12625,0.12006,0.1204,0.081548,0.11088
15,X,False,-0.0080651,0.0166,0.044873,0.05679,0.054917,0.0019969,-0.0084533,0.038668,0.002197,-0.020192
16,X,False,-0.071349,-0.067366,-0.045246,-0.033926,-0.045122,-0.045574,-0.10488,-0.088682,-0.069164,-0.055075
17,X,False,-0.040821,-0.040536,-0.052127,-0.12343,-0.057423,-0.059937,-0.067877,-0.077554,-0.057499,-0.036251
18,X,False,0.23124,0.19962,0.13257,0.16393,0.15869,0.15265,0.14565,0.13804,0.095986,0.0772
19,X,False,-0.14417,-0.21463,-0.18271,-0.15557,-0.20316,-0.15774,-0.17459,-0.20582,-0.21451,-0.22873
20,X,False,0.18994,0.20608,0.19843,0.1938,0.19995,0.17046,0.19537,0.19073,0.21186,0.1365
21,X,False,-0.080412,-0.065701,-0.05682,-0.03249,-0.15779,-0.1534,-0.022619,-0.1438,-0.02964,-0.1695
22,X,False,-0.066379,-0.057506,-0.05837,-0.070427,-0.036716,-0.068891,-0.104,-0.0349,-0.031451,-0.0098586
23,X,False,0.47934,0.5576,0.6568,0.60961,0.4609,0.45168,0.44165,0.37677,0.3715,0.089552
24,X,False,-0.034101,-0.085632,-0.07016,-0.061271,-0.057418,-0.022381,-0.037742,-0.036803,-0.0062619,-0.025456
25,X,True,0.060584,0.080046,0.10009,0.091575,0.087557,0.10571,0.11786,0.13295,0.13078,0.11825
26,X,True,0.073373,0.080457,0.058172,0.060684,0.041216,0.059304,0.063358,0.03542,0.043641,0.026675
27,X,True,0.10832,0.091256,0.11392,0.11016,0.11579,0.121,0.12522,0.12252,0.12798,0.1196
28,X,True,0.066035,0.052623,0.059599,0.079203,0.06265,0.060347,0.052164,0.043123,0.024953,0.0078262
29,X,False,0.017255,0.02227,0.0038469,0.018414,0.050084,0.02439,0.0077247,0.050562,0.033122,-0.016582
30,X,False,0.21326,0.19875,0.21198,0.21443,0.19487,0.1817,0.18079,0.21317,0.18793,0.20279
31,X,True,0.12352,0.15816,0.26462,0.16581,0.20941,0.20576,0.20364,0.24125,0.18536,0.1455
32,X,False,0.24106,0.1152,-0.24006,-0.51174,-0.51778,-0.41688,0.041553,0.14283,0.1469,0.11129
33,X,True,0.10294,0.023538,-0.00097538,-0.04241,0.061468,0.0066911,0.089318,0.088612,0.089011,0.063438
34,X,True,0.12661,0.11535,0.038478,0.073222,-0.0043441,0.029507,0.022344,0.017627,0.014844,0.019501
35,X,False,-0.33315,-0.19588,-0.32639,-0.24664,-0.19869,-0.26336,-0.22508,-0.23069,-0.18493,-0.21537
36,X,False,-0.2529,-0.29507,-0.406,-0.42005,-0.35676,-0.18942,-0.21776,-0.33786,-0.077164,-0.19525
37,M,False,-0.13928,-0.12102,-0.20535,-0.09096,-0.16092,-0.15269,-0.107,-0.12717,-0.085642,-0.21272
38,M,False,-0.36592,-0.74456,-0.83645,-0.61915,-0.503,-0.64891,-0.59689,-0.51658,-0.37667,-0.44262
39,M,False,-0.21485,-0.11105,-0.14628,-0.1472,-0.12457,-0.14593,-0.082339,-0.085854,-0.080621,-0.10075
40,M,True,0.35191,0.73354,0.0077968,0.68104,0.81349,0.69114,0.66685,0.73087,0.74849,0.68383
41,M,False,0.21497,0.11834,0.04523,0.13078,0.078544,0.13891,0.18277,0.13696,0.11729,0.082682
42,M,False,-0.30999,-0.3372,-0.30464,-0.31557,-0.22995,-0.31251,-0.28622,-0.27635,-0.30454,-0.14937
43,M,False,-0.35787,-0.19513,-0.32859,-0.26615,-0.19823,-0.096122,-0.19112,-0.20662,-0.2099,-0.2015
44,M,True,0.22749,0.25255,0.29752,0.11,0.079731,0.12627,-0.01505,0.16439,-0.024663,-0.058774
45,M,True,0.013596,0.078197,0.022146,-0.0017799,0.053234,0.013152,0.021643,0.025872,0.061696,0.051499
46,M,False,-0.27733,-0.23795,-0.22426,-0.20306,-0.24586,-0.25837,-0.21355,-0.26596,-0.31586,-0.21149
47,M,False,0.20009,0.19108,0.17003,0.18543,0.14537,0.15002,0.14139,0.16681,0.13634,0.21042
48,M,True,-0.090532,-0.10605,-0.10652,-0.092416,-0.027129,-0.040506,-0.092549,-0.054265,-0.10278,-0.089544
