,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10
0,X,False,0.022205,0.021724,0.022539,0.023239,0.024222,0.023233,0.023516,0.023874,0.024104,0.023511
1,X,False,-0.0036212,-0.0037767,-0.0037094,-0.0030731,-0.0026788,-0.0031772,-0.0034954,-0.0033839,-0.0033109,-0.0036003
2,X,False,0.014918,0.014699,0.014306,0.014452,0.014625,0.014985,0.014894,0.015452,0.015311,0.015436
3,X,False,0.006875,0.006112,0.0059356,0.0061404,0.0065258,0.0058851,0.0060678,0.0056883,0.0059153,0.0051044
4,X,True,0.014583,0.016122,0.016697,0.01694,0.017502,0.016689,0.01741,0.017551,0.018187,0.018166
5,X,False,0.0011629,0.0021336,-0.00037754,0.0011515,0.0011015,0.00055166,0.00024627,0.00079262,0.00073111,0.00049679
6,X,False,-0.0087541,-0.0083465,-0.008585,-0.0086268,-0.0086694,-0.0086222,-0.0084523,-0.0084823,-0.0089111,-0.0082536
7,X,True,-0.020673,-0.019924,-0.020424,-0.020339,-0.021371,-0.020168,-0.021251,-0.020736,-0.020737,-0.022603
8,X,False,-0.033816,-0.03346,-0.032106,-0.032672,-0.032561,-0.031694,-0.033009,-0.032496,-0.031975,-0.032008
9,X,False,-0.031694,-0.033009,-0.032496,-0.031975,-0.032008,-0.031481,-0.031985,-0.032647,-0.032105,-0.031374
10,X,False,-0.020058,-0.019596,-0.018669,-0.017574,-0.017927,-0.018767,-0.018929,-0.018472,-0.017349,-0.017663
11,X,False,0.0095649,0.0095283,0.0095258,0.0098069,0.0095646,0.0097648,0.00983,0.010058,0.010259,0.010167
12,X,False,-0.004922,-0.0095317,-0.008448,-0.007431,-0.0095639,-0.010024,-0.021119,-0.010747,-0.011063,-0.022133
13,X,True,0.00066591,0.0018514,0.0026573,0.0010243,0.0016997,2.3025e-05,0.0020141,0.0013774,0.0025724,0.0021338
14,X,True,-0.010708,-0.010774,-0.011211,-0.011213,-0.011614,-0.010797,-0.010595,-0.010395,-0.010488,-0.010229
15,X,False,-0.0044399,-0.00407,-0.0020353,-0.0027942,-0.0017931,-0.0025972,-0.00143,-0.0018489,-0.0017924,-0.0029113
16,X,False,0.010704,0.010827,0.010799,0.010854,0.011938,0.011943,0.012339,0.012707,0.011799,0.011418
17,X,False,0.0084404,0.0081428,0.0078152,0.0091983,0.0083803,0.0077028,0.007764,0.0081991,0.0077661,0.0077719
18,X,False,0.0097552,0.011344,0.011755,0.011532,0.012172,0.012182,0.011876,0.01161,0.011374,0.011527
19,X,False,0.0087187,0.0089337,0.0092435,0.0087867,0.0088053,0.0088081,0.0085263,0.0087526,0.0086766,0.0088011
20,X,False,0.013756,0.013999,0.014159,0.014613,0.014998,0.015436,0.015729,0.01575,0.015742,0.015818
21,X,False,0.00024922,-2.4541e-05,3.1736e-05,0.0004371,0.00024753,-0.00015752,0.0004254,0.00034504,4.4533e-05,0.00014333
22,X,False,0.0038556,0.0031738,0.0043151,0.0041996,0.0045109,0.0046258,0.0045331,0.0042038,0.0039802,0.0043853
