,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10
0,X,False,15349.0,15533.0,15759.0,15681.0,15720.0,15735.0,15749.0,15710.0,15815.0,15832.0
1,X,False,15412.0,15445.0,15265.0,15235.0,15166.0,15178.0,15090.0,15063.0,15159.0,14974.0
2,X,False,9899.8,9830.8,9886.4,9947.1,9971.9,10158.0,10188.0,10337.0,10405.0,10529.0
3,X,False,8343.0,8419.1,8420.2,8420.8,8547.5,8669.2,8894.0,8918.3,8870.3,9051.5
4,X,True,10300.0,10281.0,10439.0,10687.0,10940.0,10822.0,10955.0,10935.0,10968.0,10912.0
5,X,False,13658.0,13554.0,13999.0,13661.0,14048.0,13899.0,13799.0,13715.0,13606.0,13517.0
6,X,False,4549.0,4491.2,4521.1,4544.4,4513.7,4526.5,4564.7,4615.3,4662.8,4614.0
7,X,True,15410.0,15383.0,15478.0,15239.0,15160.0,15080.0,14686.0,14848.0,14635.0,14658.0
8,X,False,18090.0,18193.0,18207.0,18276.0,18218.0,18211.0,18190.0,18013.0,18155.0,17909.0
9,X,False,18211.0,18190.0,18013.0,18155.0,17909.0,17933.0,18014.0,18168.0,18035.0,17933.0
10,X,False,14371.0,14403.0,14362.0,14240.0,14330.0,14200.0,14134.0,14122.0,14267.0,14045.0
11,X,False,11917.0,11971.0,11998.0,12072.0,12153.0,12230.0,12369.0,12485.0,12619.0,12697.0
12,X,False,11203.0,11029.0,11223.0,10926.0,11427.0,11301.0,10730.0,11501.0,11306.0,11187.0
13,X,True,11350.0,10586.0,11234.0,10650.0,10439.0,10794.0,10707.0,10207.0,9832.6,10067.0
14,X,True,10298.0,10408.0,10628.0,10710.0,10743.0,10705.0,10770.0,10816.0,10814.0,10750.0
15,X,False,13032.0,13048.0,13109.0,13146.0,13099.0,13263.0,13142.0,13283.0,13364.0,13501.0
16,X,False,11337.0,11337.0,11321.0,11304.0,11132.0,11127.0,11236.0,11171.0,11316.0,11297.0
17,X,False,12896.0,12824.0,12818.0,12849.0,12748.0,12561.0,12529.0,12477.0,12363.0,12246.0
18,X,False,11886.0,12096.0,12232.0,12271.0,12284.0,12177.0,12021.0,11986.0,11937.0,11937.0
19,X,False,7726.3,7655.9,7595.1,7747.5,7718.9,7740.1,7786.0,7757.3,7782.1,7613.5
20,X,False,15737.0,15905.0,16111.0,16349.0,16618.0,16762.0,17001.0,17202.0,17330.0,17448.0
21,X,False,540.48,550.9,542.53,574.26,622.52,621.06,633.65,649.49,634.31,625.1
22,X,False,3670.5,3689.5,3655.7,3760.0,3575.7,3550.0,3531.5,3668.5,3633.0,3524.5
23,X,False,9947.8,9668.1,9442.2,9570.1,9579.4,9178.1,9270.0,9336.7,9195.6,9030.1
24,X,False,14022.0,14440.0,13704.0,14426.0,13458.0,13222.0,13114.0,13012.0,13756.0,13814.0
25,X,True,18846.0,18781.0,18762.0,18729.0,18549.0,18490.0,18331.0,18124.0,17913.0,17765.0
26,X,True,19267.0,19318.0,19357.0,19344.0,19392.0,19420.0,19453.0,19512.0,19470.0,19501.0
27,X,True,16434.0,16361.0,16342.0,16408.0,16298.0,16179.0,16136.0,16104.0,16103.0,16048.0
28,X,True,14860.0,14967.0,15030.0,15094.0,15194.0,15282.0,15425.0,15498.0,15608.0,15674.0
29,X,False,6490.9,6370.0,6376.3,6418.7,6447.2,6562.9,6630.9,6708.8,6775.7,6927.0
30,X,False,8796.8,8724.6,8676.9,8626.4,8600.6,8597.0,8583.9,8582.2,8602.1,8596.3
31,X,True,9957.1,9854.1,9791.2,9820.3,10011.0,10152.0,10366.0,10606.0,11001.0,11148.0
32,X,False,12172.0,9096.3,8527.6,8756.6,12283.0,8985.3,8548.9,8766.5,8454.6,8057.1
33,X,True,18783.0,19376.0,19209.0,19300.0,19341.0,19167.0,19344.0,19230.0,19145.0,18927.0
34,X,True,19804.0,19742.0,19947.0,19837.0,19725.0,19685.0,19753.0,19704.0,19714.0,19592.0
35,X,False,19707.0,20121.0,20330.0,19916.0,20547.0,20025.0,19383.0,19179.0,20530.0,20639.0
36,X,False,9974.0,9995.7,10086.0,9350.3,9266.7,9276.2,8986.8,9374.4,9365.7,9238.8
37,M,False,5456.5,5501.1,5370.6,5263.6,5273.8,5374.9,5324.5,5386.8,5447.1,5594.7
38,M,False,3562.9,3293.6,3552.8,4548.2,3325.0,4477.2,4568.2,3284.4,3275.8,3282.1
39,M,False,6323.4,6283.0,6295.1,6334.7,6289.2,6362.6,6394.2,6491.2,6646.0,6747.8
40,M,True,8206.8,5353.9,7606.3,5136.0,5250.9,5119.7,5078.5,5271.5,5064.9,8368.8
41,M,False,2749.3,2747.0,2783.2,2657.7,2706.7,2682.4,2569.3,2433.1,2449.1,2449.0
42,M,False,7592.3,7593.4,7673.5,7798.2,7890.9,7956.1,8108.6,8098.0,8115.1,8045.2
43,M,False,3740.5,3373.1,3783.2,3786.0,3889.5,3872.6,3752.3,3849.6,3895.1,3872.8
44,M,True,5043.7,5202.9,5248.6,5283.3,5421.9,5539.5,5651.0,5699.7,5668.9,5875.1
45,M,True,14078.0,14204.0,14522.0,14796.0,14824.0,14803.0,14898.0,14992.0,15048.0,15204.0
46,M,False,3865.8,3735.9,3636.3,3699.3,3632.9,3618.7,3747.3,3824.5,3849.8,3868.1
47,M,False,14985.0,15015.0,15064.0,14828.0,14932.0,14896.0,15036.0,15117.0,15039.0,14974.0
48,M,True,10860.0,10896.0,11025.0,10930.0,10965.0,11006.0,10999.0,10976.0,10984.0,10968.0
49,M,True,8984.4,9006.5,8916.8,8858.3,8812.6,8941.9,8979.5,9014.5,9158.5,9264.2
50,M,False,10909.0,10960.0,11046.0,11001.0,11088.0,11174.0,11195.0,11293.0,11464.0,11598.0
51,M,False,9615.0,9608.0,9628.8,9480.7,9466.5,9442.8,9298.6,9191.0,9103.9,9093.6
52,M,False,8282.0,8253.4,8182.4,8101.5,8127.2,8216.4,8304.6,8400.3,8422.9,8517.9
53,M,False,4816.1,5376.1,4869.4,4864.0,4918.8,4899.1,4921.3,4848.7,4848.5,4873.8
54,M,True,11836.0,11872.0,12014.0,11972.0,11921.0,11893.0,11573.0,11489.0,11329.0,11201.0
55,M,True,5339.2,5381.1,5449.9,5329.4,5481.1,5591.4,5643.4,5666.7,5776.3,5848.8
56,M,False,10890.0,10984.0,11215.0,11499.0,11582.0,11713.0,11898.0,11835.0,11899.0,11982.0
57,M,False,11898.0,11835.0,11899.0,11982.0,11774.0,11749.0,11575.0,11545.0,11476.0,11336.0
58,M,False,10973.0,10809.0,10817.0,10790.0,10914.0,10776.0,10690.0,10644.0,10483.0,10420.0
59,M,False,9875.8,9963.0,9912.4,9999.2,9953.5,10103.0,10032.0,9929.5,9939.2,9626.1
60,M,True,6491.2,6510.5,6482.4,6504.8,6593.0,6512.1,6559.6,6640.4,6660.1,6581.3
61,M,False,7481.2,7504.6,7572.8,7771.5,7559.5,7562.0,7640.9,7745.9,7660.4,7894.9
62,M,False,8509.8,8684.7,8777.5,8713.6,8703.1,8566.9,8473.1,8556.0,8601.8,8618.2
63,M,False,8981.1,9051.6,9204.0,9211.0,9041.1,9306.8,9481.1,9432.7,9666.9,9665.8
64,M,False,9666.9,9665.8,9492.6,9327.2,9486.4,9568.8,9352.1,9481.0,9461.8,9653.9
65,M,True,12682.0,12558.0,12736.0,12780.0,12871.0,12903.0,13058.0,13203.0,13277.0,13297.0
66,M,False,13479.0,13453.0,13429.0,13365.0,13367.0,13346.0,13398.0,13318.0,13180.0,13174.0
67,M,False,14184.0,14345.0,14352.0,14386.0,14407.0,14244.0,14100.0,14040.0,13832.0,13680.0
68,M,True,8589.2,8752.5,8902.2,8888.5,9107.7,9204.5,9289.2,9320.6,9348.2,9281.7
69,M,False,7704.8,8788.1,8861.9,8773.4,8405.5,8347.7,8224.1,8854.7,8986.2,8473.3
70,M,False,12687.0,12614.0,12525.0,12541.0,12780.0,12279.0,12401.0,12456.0,12457.0,12313.0
71,M,False,7715.0,7717.9,7686.0,7718.4,7656.7,7594.3,7619.9,7524.4,7518.7,7526.2
72,M,False,6251.2,6282.9,6340.0,6403.7,6447.7,6440.8,6435.7,6418.1,6449.4,6404.2
73,M,False,8078.1,7896.7,7667.2,7491.2,7342.1,7210.5,7027.5,7057.6,7082.1,7227.2
74,M,True,3890.9,3863.0,3977.1,3923.2,3957.8,3928.5,3903.1,3922.9,3720.6,3686.9
75,M,False,3320.4,3302.1,3287.6,3329.3,3308.7,3367.5,3340.6,3409.6,3420.3,3482.3
76,M,True,13290.0,12378.0,13271.0,13215.0,12666.0,12839.0,12321.0,12152.0,11933.0,11977.0
77,M,False,10405.0,10557.0,10778.0,10453.0,10899.0,10688.0,10669.0,10918.0,10708.0,10915.0
78,M,False,3740.2,3677.6,3703.9,3735.9,3730.3,3755.3,3779.6,3785.2,3861.4,3874.7
79,M,False,14768.0,14111.0,14300.0,14598.0,13883.0,13273.0,13054.0,12934.0,12544.0,12621.0
80,M,False,5433.0,5375.5,5510.4,5492.7,5510.8,5403.3,5318.0,5217.6,5198.8,5215.0
81,M,False,7749.5,7750.7,7659.3,7702.7,7676.8,7672.7,7747.7,7833.4,7943.2,7905.9
82,M,True,11597.0,11577.0,11659.0,11708.0,11886.0,12170.0,12643.0,13020.0,13510.0,13769.0
83,M,True,13520.0,13680.0,13596.0,13548.0,13516.0,13513.0,13496.0,13375.0,13375.0,13314.0
84,M,False,21550.0,21462.0,21360.0,21509.0,21631.0,21855.0,22077.0,22545.0,22707.0,23012.0
85,M,True,12262.0,12056.0,12215.0,12063.0,12093.0,12189.0,12083.0,11926.0,12071.0,11904.0
86,M,False,11909.0,12052.0,12020.0,11857.0,11848.0,11701.0,11499.0,11397.0,11338.0,11284.0
87,M,True,12177.0,12023.0,11808.0,11579.0,11503.0,11392.0,11251.0,11142.0,11037.0,11186.0
88,M,False,10632.0,10686.0,10685.0,10774.0,10781.0,10897.0,10939.0,10967.0,10815.0,10820.0
89,M,True,4477.5,4479.1,4459.1,4433.7,4411.3,4488.6,4431.6,4355.9,4351.6,4380.0
90,M,False,4600.6,4593.8,4570.7,4524.7,4465.5,4330.5,4254.9,4124.5,3994.9,4036.1
91,M,False,3953.9,4083.9,4131.2,4212.7,4343.2,4508.3,4558.5,4505.2,4471.6,4408.5
92,M,True,7942.9,7791.1,7858.4,7796.2,7689.2,7702.3,7701.5,7661.9,7540.5,7469.4
93,M,True,8249.9,8475.4,8480.4,8502.1,8567.0,8770.4,8919.8,9060.4,9168.7,9179.3
94,M,False,7678.2,7588.8,7446.4,7307.6,7331.3,7449.7,7759.1,8093.4,8346.5,8608.1
95,M,True,6948.0,6845.6,6872.4,6970.4,6913.2,6807.7,6817.6,6807.6,6802.7,6756.8
96,M,False,6363.9,6554.2,6771.8,6815.4,7021.5,6977.2,7043.8,6939.2,6834.4,6809.4
97,M,False,3217.5,3223.7,3215.7,3196.8,3167.5,3161.0,3142.5,3148.7,3127.4,3082.8
98,M,True,5391.8,5521.9,5566.0,5678.8,5620.0,5753.7,5971.9,6020.0,5972.5,6062.7
99,M,True,5729.0,5601.8,5583.2,5467.1,5313.8,5247.0,5242.5,5242.7,5207.0,5244.1
100,M,True,16268.0,16021.0,15842.0,16114.0,16208.0,16299.0,16379.0,16159.0,16136.0,16062.0
101,M,False,14483.0,14462.0,14334.0,14317.0,14452.0,14479.0,14671.0,14593.0,14772.0,14398.0
102,M,False,7034.3,7106.7,7156.2,7253.6,7021.4,6977.3,7022.7,6744.8,6724.9,6730.0
103,M,True,15260.0,14922.0,14588.0,14483.0,14432.0,14493.0,15308.0,15892.0,15024.0,16281.0
104,M,False,14483.0,14432.0,14493.0,15308.0,15892.0,15024.0,16281.0,16286.0,16586.0,15745.0
105,M,False,16281.0,16286.0,16586.0,15745.0,17042.0,16114.0,16515.0,16434.0,17665.0,17821.0
106,M,False,16515.0,16434.0,17665.0,17821.0,17018.0,16721.0,16541.0,16782.0,17711.0,17647.0
107,M,False,17669.0,17684.0,17873.0,17842.0,18166.0,18257.0,18589.0,18660.0,18734.0,19056.0
108,M,True,19493.0,19711.0,20409.0,19031.0,19109.0,19229.0,20090.0,19499.0,18693.0,18446.0
109,M,False,5747.2,5231.9,5360.1,6212.0,6024.7,6060.7,6303.1,6351.4,6353.6,5637.4
110,M,False,20273.0,20369.0,20419.0,20554.0,20641.0,20691.0,20938.0,20748.0,20698.0,20366.0
111,M,False,20598.0,20584.0,20831.0,20908.0,20920.0,21112.0,21299.0,21284.0,21075.0,21083.0
112,M,True,13886.0,13906.0,14004.0,14186.0,14027.0,13658.0,13015.0,12376.0,11828.0,11431.0
